,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,BROOKLYN_ACTION,PHILADELPHIA_SCORE,BROOKLYN_SCORE
0,1,11:47.0,,T. Young makes 2-pt layup from 2 ft (assist by J. Jack),0,2
1,1,11:24.0,J. Okafor makes 2-pt hook shot from 4 ft,,2,2
2,1,11:09.0,,T. Young misses 2-pt layup from 2 ft,2,2
3,1,11:08.0,Defensive rebound by N. Noel,,2,2
4,1,10:54.0,N. Noel misses 2-pt jump shot from 15 ft,,2,2
5,1,10:53.0,,Defensive rebound by J. Jack,2,2
6,1,10:44.0,,J. Johnson misses 3-pt jump shot from 23 ft,2,2
7,1,10:43.0,Defensive rebound by N. Noel,,2,2
8,1,10:37.0,Shooting foul by B. Lopez (drawn by T. Wroten),,2,2
9,1,10:37.0,T. Wroten makes free throw 1 of 2,,3,2
10,1,10:37.0,T. Wroten misses free throw 2 of 2,,3,2
11,1,10:37.0,,Defensive rebound by Team,3,2
12,1,10:29.0,,Turnover by T. Young (bad pass; steal by R. Covington),3,2
13,1,10:18.0,J. Okafor misses 2-pt jump shot from 16 ft,,3,2
14,1,10:17.0,,Defensive rebound by T. Young,3,2
15,1,10:11.0,,B. Lopez makes 2-pt hook shot from 11 ft (assist by J. Jack),3,4
16,1,9:48.0,I. Canaan misses 3-pt jump shot from 25 ft,,3,4
17,1,9:47.0,,Defensive rebound by T. Young,3,4
18,1,9:37.0,,Turnover by B. Bogdanović (lost ball; steal by N. Noel),3,4
19,1,9:26.0,J. Okafor misses 2-pt layup from 2 ft,,3,4
20,1,9:24.0,,Defensive rebound by T. Young,3,4
21,1,9:17.0,,T. Young misses 2-pt hook shot from 5 ft,3,4
22,1,9:16.0,Defensive rebound by J. Okafor,,3,4
23,1,9:06.0,T. Wroten makes 2-pt layup from 1 ft,,5,4
24,1,8:54.0,,J. Jack misses 2-pt jump shot from 9 ft,5,4
25,1,8:53.0,,Offensive rebound by B. Lopez,5,4
26,1,8:32.0,,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by B. Lopez),5,7
27,1,8:08.0,N. Noel makes 2-pt jump shot from 5 ft (assist by I. Canaan),,7,7
28,1,7:50.0,,B. Bogdanović makes 2-pt jump shot from 19 ft (assist by J. Jack),7,9
29,1,7:39.0,J. Okafor misses 2-pt dunk at rim,,7,9
30,1,7:38.0,,Defensive rebound by T. Young,7,9
31,1,7:31.0,,Offensive foul by B. Lopez (drawn by R. Covington),7,9
