,QUARTER,TIME_REMAINING,HOUSTON_ACTION,MEMPHIS_ACTION,HOUSTON_SCORE,MEMPHIS_SCORE
0,1,11:36.0,,J. Green misses 2-pt jump shot from 19 ft,0,0
1,1,11:34.0,Defensive rebound by T. Jones,,0,0
2,1,11:20.0,J. Harden makes 3-pt jump shot from 24 ft (assist by T. Ariza),,3,0
3,1,11:09.0,,M. Gasol makes 2-pt jump shot from 14 ft (assist by T. Allen),3,2
4,1,10:53.0,J. Terry makes 2-pt jump shot from 23 ft (assist by D. Howard),,5,2
5,1,10:37.0,,T. Allen misses 2-pt jump shot from 8 ft,5,2
6,1,10:36.0,Defensive rebound by D. Howard,,5,2
7,1,10:26.0,T. Jones makes 2-pt layup from 1 ft,,7,2
8,1,10:17.0,,M. Conley misses 3-pt jump shot from 25 ft,7,2
9,1,10:15.0,Defensive rebound by Team,,7,2
10,1,10:02.0,Personal foul by T. Allen (drawn by J. Harden),,7,2
11,1,9:48.0,T. Jones misses 2-pt jump shot from 20 ft,,7,2
12,1,9:45.0,,Defensive rebound by J. Green,7,2
13,1,9:37.0,,M. Gasol misses 2-pt jump shot from 20 ft,7,2
14,1,9:34.0,,Offensive rebound by J. Green,7,2
15,1,9:26.0,,T. Allen misses 2-pt jump shot from 3 ft (block by D. Howard),7,2
16,1,9:24.0,Defensive rebound by J. Terry,,7,2
17,1,9:18.0,T. Ariza misses 3-pt jump shot from 25 ft,,7,2
18,1,9:16.0,,Defensive rebound by M. Conley,7,2
19,1,9:08.0,,J. Green misses 2-pt layup from 2 ft (block by J. Terry),7,2
20,1,9:07.0,Defensive rebound by J. Terry,,7,2
21,1,9:03.0,Personal foul by J. Green (drawn by T. Ariza),,7,2
22,1,8:55.0,T. Jones misses 2-pt layup from 2 ft,,7,2
23,1,8:55.0,Offensive rebound by Team,,7,2
24,1,8:55.0,,Loose ball foul by J. Green (drawn by D. Howard),7,2
25,1,8:49.0,Turnover by T. Ariza (bad pass; steal by M. Gasol),,7,2
26,1,8:42.0,,M. Conley makes 2-pt jump shot from 7 ft (assist by T. Allen),7,4
27,1,8:28.0,Turnover by J. Harden (bad pass),,7,4
28,1,8:05.0,,J. Green misses 2-pt jump shot from 23 ft,7,4
29,1,8:03.0,Defensive rebound by J. Harden,,7,4
30,1,7:54.0,J. Harden makes 2-pt layup from 1 ft,,9,4
31,1,7:48.0,,Personal foul by T. Ariza (drawn by J. Green),9,4
32,1,7:38.0,,T. Allen misses 2-pt layup from 2 ft (block by J. Harden),9,4
33,1,7:36.0,Defensive rebound by T. Jones,,9,4
34,1,7:25.0,J. Harden misses 2-pt jump shot from 8 ft,,9,4
35,1,7:23.0,,Defensive rebound by J. Green,9,4
36,1,7:22.0,,Shooting foul by T. Ariza (drawn by T. Allen),9,4
37,1,7:22.0,,T. Allen misses free throw 1 of 2,9,4
38,1,7:22.0,,Offensive rebound by Team,9,4
39,1,7:22.0,,M. Barnes enters the game for J. Green,9,4
40,1,7:22.0,,V. Carter enters the game for J. Green,9,4
41,1,7:22.0,,T. Allen makes free throw 2 of 2,9,5
42,1,6:56.0,J. Terry misses 2-pt jump shot from 17 ft (block by V. Carter),,9,5
43,1,6:55.0,,Defensive rebound by M. Conley,9,5
44,1,6:46.0,,Turnover by M. Conley (bad pass; steal by T. Ariza),9,5
45,1,6:41.0,T. Ariza makes 2-pt dunk at rim,,11,5
46,1,6:33.0,,Personal foul by J. Terry (drawn by M. Gasol),11,5
47,1,6:33.0,,Memphis full timeout,11,5
48,1,6:26.0,,M. Conley makes 2-pt jump shot from 7 ft (assist by M. Gasol),11,7
49,1,6:05.0,D. Howard misses 2-pt hook shot from 3 ft,,11,7
50,1,6:04.0,,Defensive rebound by T. Allen,11,7
51,1,6:04.0,Loose ball foul by T. Jones (drawn by T. Allen),,11,7
52,1,5:53.0,,M. Barnes misses 2-pt jump shot from 4 ft,11,7
53,1,5:52.0,Defensive rebound by D. Howard,,11,7
54,1,5:45.0,T. Ariza makes 3-pt jump shot from 23 ft (assist by J. Harden),,14,7
55,1,5:29.0,,T. Allen misses 2-pt jump shot from 18 ft,14,7
56,1,5:26.0,,Offensive rebound by V. Carter,14,7
57,1,5:26.0,,V. Carter misses 2-pt jump shot from 2 ft,14,7
58,1,5:25.0,Defensive rebound by D. Howard,,14,7
59,1,5:12.0,T. Ariza misses 3-pt jump shot from 23 ft,,14,7
60,1,5:11.0,,Defensive rebound by M. Conley,14,7
61,1,5:00.0,,V. Carter makes 3-pt jump shot from 24 ft (assist by M. Gasol),14,10
62,1,4:37.0,Shooting foul by V. Carter (drawn by D. Howard),,14,10
63,1,4:37.0,D. Howard makes free throw 1 of 2,,15,10
64,1,4:37.0,T. Lawson enters the game for J. Terry,,15,10
65,1,4:37.0,,C. Lee enters the game for T. Allen,15,10
66,1,4:37.0,C. Brewer enters the game for T. Ariza,,15,10
67,1,4:37.0,D. Howard misses free throw 2 of 2,,15,10
68,1,4:35.0,,Defensive rebound by M. Barnes,15,10
69,1,4:18.0,C. Capela enters the game for D. Howard,,15,10
70,1,4:14.0,,M. Gasol misses 2-pt hook shot from 5 ft,15,10
71,1,4:12.0,Defensive rebound by C. Capela,,15,10
72,1,3:55.0,Shooting foul by C. Lee (drawn by J. Harden),,15,10
73,1,3:55.0,J. Harden misses free throw 1 of 2,,15,10
74,1,3:55.0,Offensive rebound by Team,,15,10
75,1,3:55.0,J. Harden makes free throw 2 of 2,,16,10
76,1,3:40.0,,M. Gasol makes 2-pt layup from 2 ft,16,12
77,1,3:31.0,J. Harden misses 3-pt jump shot from 27 ft,,16,12
78,1,3:31.0,,Defensive rebound by M. Gasol,16,12
79,1,3:25.0,,Turnover by C. Lee (bad pass; steal by T. Lawson),16,12
80,1,3:13.0,T. Lawson misses 2-pt jump shot from 11 ft,,16,12
81,1,3:12.0,,Defensive rebound by M. Gasol,16,12
82,1,3:02.0,,M. Barnes makes 2-pt layup from 3 ft (assist by M. Conley),16,14
83,1,2:57.0,Houston full timeout,,16,14
84,1,2:57.0,M. Harrell enters the game for T. Jones,,16,14
85,1,2:57.0,M. Thornton enters the game for J. Harden,,16,14
86,1,2:57.0,,J. Green enters the game for M. Gasol,16,14
87,1,2:57.0,,M. Chalmers enters the game for M. Conley,16,14
88,1,2:45.0,,Offensive charge foul by M. Harrell (drawn by J. Green),16,14
89,1,2:45.0,Turnover by M. Harrell (offensive foul),,16,14
90,1,2:32.0,,V. Carter makes 3-pt jump shot from 24 ft (assist by M. Chalmers),16,17
91,1,2:13.0,C. Brewer misses 2-pt jump shot from 15 ft,,16,17
92,1,2:11.0,,Defensive rebound by M. Chalmers,16,17
93,1,2:08.0,,M. Barnes makes 2-pt layup from 1 ft (assist by M. Chalmers),16,19
94,1,1:48.0,M. Thornton misses 3-pt jump shot from 25 ft,,16,19
95,1,1:47.0,,Defensive rebound by M. Chalmers,16,19
96,1,1:37.0,,Turnover by J. Green (lost ball; steal by C. Brewer),16,19
97,1,1:13.0,M. Thornton misses 3-pt jump shot from 24 ft,,16,19
98,1,1:11.0,,Defensive rebound by V. Carter,16,19
99,1,1:04.0,,M. Chalmers misses 2-pt jump shot from 5 ft,16,19
100,1,1:01.0,Defensive rebound by C. Capela,,16,19
101,1,0:58.0,Shooting foul by M. Chalmers (drawn by T. Lawson),,16,19
102,1,0:58.0,T. Lawson makes free throw 1 of 2,,17,19
103,1,0:58.0,T. Lawson misses free throw 2 of 2,,17,19
