,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,INDIANA_ACTION,NEW ORLEANS_SCORE,INDIANA_SCORE
0,1,11:43.0,D. Cunningham misses 2-pt jump shot from 19 ft,,0,0
1,1,11:42.0,Offensive rebound by Ö. Aşık,,0,0
2,1,11:42.0,Shooting foul by I. Mahinmi (drawn by Ö. Aşık),,0,0
3,1,11:42.0,Ö. Aşık misses free throw 1 of 2,,0,0
4,1,11:42.0,Offensive rebound by Team,,0,0
5,1,11:42.0,Ö. Aşık misses free throw 2 of 2,,0,0
6,1,11:42.0,,Defensive rebound by I. Mahinmi,0,0
7,1,11:25.0,,P. George makes 2-pt jump shot from 12 ft,0,2
8,1,11:04.0,A. Ajinça makes 2-pt jump shot from 7 ft,,2,2
9,1,10:43.0,,G. Hill misses 3-pt jump shot from 27 ft,2,2
10,1,10:42.0,,Offensive rebound by I. Mahinmi,2,2
11,1,10:31.0,,M. Turner makes 2-pt jump shot from 19 ft (assist by G. Hill),2,4
12,1,10:16.0,A. Ajinça makes 2-pt jump shot from 20 ft (assist by T. Douglas),,4,4
13,1,10:08.0,,M. Ellis misses 2-pt layup at rim,4,4
14,1,10:07.0,,Offensive rebound by M. Turner,4,4
15,1,10:07.0,,M. Turner misses 2-pt layup at rim,4,4
16,1,10:06.0,Defensive rebound by Ö. Aşık,,4,4
17,1,9:57.0,T. Douglas makes 2-pt jump shot from 18 ft,,6,4
18,1,9:38.0,,M. Turner makes 2-pt jump shot from 15 ft (assist by I. Mahinmi),6,6
19,1,9:21.0,A. Ajinça misses 2-pt jump shot from 19 ft,,6,6
20,1,9:21.0,,Defensive rebound by P. George,6,6
21,1,9:09.0,,P. George makes 2-pt jump shot from 18 ft,6,8
22,1,8:50.0,Ö. Aşık misses 2-pt layup from 2 ft (block by M. Turner),,6,8
23,1,8:50.0,Offensive rebound by Team,,6,8
24,1,8:46.0,A. Ajinça misses 2-pt jump shot from 18 ft,,6,8
25,1,8:45.0,,Defensive rebound by M. Ellis,6,8
26,1,8:31.0,,M. Ellis makes 3-pt jump shot from 24 ft (assist by G. Hill),6,11
27,1,8:19.0,Turnover by A. Gee (bad pass),,6,11
28,1,8:08.0,,P. George misses 2-pt jump shot from 12 ft,6,11
29,1,8:07.0,Defensive rebound by Ö. Aşık,,6,11
30,1,7:53.0,D. Cunningham misses 3-pt jump shot from 24 ft,,6,11
31,1,7:50.0,Offensive rebound by D. Cunningham,,6,11
32,1,7:40.0,A. Ajinça makes 2-pt dunk at rim (assist by T. Douglas),,8,11
33,1,7:19.0,,I. Mahinmi misses 2-pt jump shot from 4 ft,8,11
34,1,7:19.0,Defensive rebound by Ö. Aşık,,8,11
35,1,7:04.0,A. Ajinça misses 2-pt hook shot from 5 ft,,8,11
36,1,7:04.0,,Defensive rebound by M. Turner,8,11
37,1,6:54.0,,Turnover by G. Hill (back court),8,11
38,1,6:43.0,D. Cunningham makes 3-pt jump shot from 24 ft (assist by A. Ajinça),,11,11
39,1,6:17.0,,P. George makes 2-pt jump shot from 18 ft (assist by G. Hill),11,13
40,1,6:17.0,,Shooting foul by D. Cunningham (drawn by P. George),11,13
41,1,6:17.0,,P. George misses free throw 1 of 1,11,13
42,1,6:17.0,Defensive rebound by A. Ajinça,,11,13
43,1,6:05.0,D. Cunningham misses 2-pt jump shot from 22 ft,,11,13
44,1,6:05.0,,Defensive rebound by M. Turner,11,13
45,1,5:58.0,,Indiana full timeout,11,13
46,1,5:49.0,,P. George misses 3-pt jump shot from 24 ft,11,13
47,1,5:49.0,Defensive rebound by T. Douglas,,11,13
48,1,5:36.0,A. Ajinça misses 2-pt jump shot from 9 ft,,11,13
49,1,5:34.0,,Defensive rebound by M. Turner,11,13
50,1,5:19.0,,M. Turner makes 2-pt jump shot from 18 ft (assist by I. Mahinmi),11,15
51,1,5:04.0,Turnover by A. Ajinça (lost ball; steal by M. Ellis),,11,15
52,1,4:54.0,,G. Hill misses 3-pt jump shot from 23 ft,11,15
53,1,4:53.0,Defensive rebound by Ö. Aşık,,11,15
54,1,4:42.0,T. Douglas misses 2-pt jump shot from 18 ft,,11,15
55,1,4:42.0,,Defensive rebound by G. Hill,11,15
56,1,4:38.0,,Turnover by G. Hill (bad pass),11,15
57,1,4:38.0,K. Perkins enters the game for Ö. Aşık,,11,15
58,1,4:23.0,Shooting foul by I. Mahinmi (drawn by K. Perkins),,11,15
59,1,4:23.0,K. Perkins misses free throw 1 of 2,,11,15
60,1,4:23.0,Offensive rebound by Team,,11,15
61,1,4:23.0,,J. Hill enters the game for I. Mahinmi,11,15
62,1,4:23.0,K. Perkins makes free throw 2 of 2,,12,15
