,QUARTER,TIME_REMAINING,CHICAGO_ACTION,SACRAMENTO_ACTION,CHICAGO_SCORE,SACRAMENTO_SCORE
0,1,11:41.0,T. Gibson misses 2-pt jump shot from 18 ft,,0,0
1,1,11:41.0,,Defensive rebound by R. Rondo,0,0
2,1,11:24.0,,D. Cousins misses 2-pt jump shot from 20 ft,0,0
3,1,11:23.0,Defensive rebound by T. Snell,,0,0
4,1,11:10.0,D. Rose misses 3-pt jump shot from 24 ft,,0,0
5,1,11:09.0,,Defensive rebound by D. Cousins,0,0
6,1,10:51.0,,M. Belinelli makes 2-pt jump shot from 15 ft (assist by R. Rondo),0,2
7,1,10:31.0,E. Moore makes 2-pt jump shot from 20 ft,,2,2
8,1,10:05.0,,D. Cousins misses 2-pt jump shot from 18 ft,2,2
9,1,10:05.0,Defensive rebound by P. Gasol,,2,2
10,1,10:01.0,Turnover by E. Moore (bad pass),,2,2
11,1,9:50.0,,W. Cauley-Stein misses 2-pt jump shot from 6 ft,2,2
12,1,9:49.0,,Offensive rebound by R. Gay,2,2
13,1,9:48.0,,R. Gay makes 2-pt layup from 2 ft,2,4
14,1,9:40.0,E. Moore makes 2-pt jump shot from 8 ft (assist by D. Rose),,4,4
15,1,9:20.0,,R. Gay misses 2-pt jump shot from 6 ft,4,4
16,1,9:18.0,Defensive rebound by T. Gibson,,4,4
17,1,9:14.0,Turnover by D. Rose (lost ball),,4,4
18,1,9:02.0,,R. Rondo makes 2-pt layup from 2 ft,4,6
19,1,8:49.0,Turnover by P. Gasol (bad pass),,4,6
20,1,8:38.0,,R. Rondo misses 2-pt jump shot from 5 ft,4,6
21,1,8:37.0,,Offensive rebound by W. Cauley-Stein,4,6
22,1,8:34.0,,D. Cousins misses 2-pt jump shot from 7 ft,4,6
23,1,8:32.0,Defensive rebound by T. Snell,,4,6
24,1,8:16.0,E. Moore makes 3-pt jump shot from 23 ft (assist by P. Gasol),,7,6
25,1,8:08.0,,W. Cauley-Stein misses 2-pt layup from 3 ft,7,6
26,1,8:07.0,Defensive rebound by P. Gasol,,7,6
27,1,7:54.0,T. Snell makes 3-pt jump shot from 24 ft (assist by P. Gasol),,10,6
28,1,7:32.0,,M. Belinelli makes 2-pt jump shot from 17 ft,10,8
29,1,7:17.0,T. Gibson misses 2-pt jump shot from 15 ft,,10,8
30,1,7:16.0,Offensive rebound by T. Gibson,,10,8
31,1,7:14.0,Turnover by T. Gibson (bad pass; steal by R. Gay),,10,8
32,1,7:09.0,,Turnover by M. Belinelli (bad pass; steal by D. Rose),10,8
33,1,7:03.0,E. Moore makes 3-pt jump shot from 24 ft (assist by D. Rose),,13,8
34,1,7:02.0,,Sacramento full timeout,13,8
35,1,7:02.0,,O. Casspi enters the game for R. Gay,13,8
36,1,6:49.0,,Turnover by M. Belinelli (bad pass; steal by P. Gasol),13,8
37,1,6:46.0,Shooting foul by R. Rondo (drawn by D. Rose),,13,8
38,1,6:46.0,D. Rose makes free throw 1 of 2,,14,8
39,1,6:46.0,D. Rose makes free throw 2 of 2,,15,8
40,1,6:25.0,,M. Belinelli makes 2-pt jump shot from 21 ft (assist by R. Rondo),15,10
41,1,6:09.0,E. Moore makes 3-pt jump shot from 24 ft (assist by D. Rose),,18,10
42,1,6:03.0,,Turnover by R. Rondo (lost ball),18,10
43,1,5:49.0,D. Rose makes 2-pt jump shot from 8 ft,,20,10
44,1,5:36.0,,M. Belinelli misses 3-pt jump shot from 24 ft,20,10
45,1,5:36.0,Defensive rebound by E. Moore,,20,10
46,1,5:25.0,T. Snell misses 3-pt jump shot from 23 ft,,20,10
47,1,5:24.0,,Defensive rebound by W. Cauley-Stein,20,10
48,1,5:19.0,,Personal foul by P. Gasol (drawn by D. Cousins),20,10
49,1,5:19.0,,D. Collison enters the game for W. Cauley-Stein,20,10
50,1,5:19.0,,K. Koufos enters the game for R. Rondo,20,10
51,1,5:19.0,B. Portis enters the game for T. Gibson,,20,10
52,1,5:19.0,D. McDermott enters the game for T. Snell,,20,10
53,1,5:04.0,,D. Cousins misses 2-pt layup from 2 ft,20,10
54,1,5:03.0,Defensive rebound by D. Rose,,20,10
55,1,4:58.0,B. Portis makes 2-pt layup from 1 ft (assist by D. Rose),,22,10
56,1,4:41.0,,D. Cousins makes 2-pt layup from 2 ft,22,12
57,1,4:23.0,B. Portis misses 2-pt jump shot from 12 ft,,22,12
58,1,4:23.0,,Defensive rebound by D. Cousins,22,12
59,1,4:17.0,Offensive charge foul by D. Cousins (drawn by P. Gasol),,22,12
60,1,4:17.0,,Turnover by D. Cousins (offensive foul),22,12
61,1,4:05.0,P. Gasol makes 2-pt jump shot from 15 ft (assist by D. Rose),,24,12
62,1,3:50.0,,D. Cousins makes 2-pt layup from 4 ft,24,14
63,1,3:37.0,P. Gasol makes 3-pt jump shot from 24 ft (assist by B. Portis),,27,14
64,1,3:18.0,,D. Cousins makes 2-pt jump shot from 15 ft,27,16
65,1,3:05.0,D. McDermott misses 2-pt jump shot from 19 ft,,27,16
66,1,3:05.0,,Defensive rebound by D. Cousins,27,16
67,1,2:52.0,,D. Cousins makes 2-pt jump shot from 20 ft (assist by D. Collison),27,18
68,1,2:50.0,Chicago full timeout,,27,18
69,1,2:50.0,,R. Gay enters the game for D. Cousins,27,18
70,1,2:50.0,,B. McLemore enters the game for M. Belinelli,27,18
71,1,2:39.0,Personal foul by R. Gay (drawn by P. Gasol),,27,18
72,1,2:31.0,P. Gasol misses 2-pt jump shot from 7 ft (block by K. Koufos),,27,18
73,1,2:30.0,,Defensive rebound by B. McLemore,27,18
74,1,2:28.0,,D. Collison makes 2-pt jump shot from 4 ft (assist by B. McLemore),27,20
75,1,2:28.0,,Shooting foul by E. Moore (drawn by D. Collison),27,20
76,1,2:28.0,,D. Collison makes free throw 1 of 1,27,21
77,1,2:09.0,P. Gasol makes 3-pt jump shot from 24 ft (assist by D. Rose),,30,21
78,1,1:56.0,,K. Koufos misses 2-pt jump shot from 7 ft,30,21
79,1,1:56.0,Defensive rebound by Team,,30,21
80,1,1:56.0,,Loose ball foul by K. Koufos (drawn by P. Gasol),30,21
81,1,1:43.0,D. Rose makes 2-pt jump shot from 19 ft (assist by E. Moore),,32,21
82,1,1:22.0,,D. Collison makes 2-pt jump shot from 17 ft (assist by K. Koufos),32,23
83,1,1:10.0,Turnover by D. Rose (bad pass; steal by O. Casspi),,32,23
84,1,1:03.0,,B. McLemore misses 3-pt jump shot from 25 ft,32,23
85,1,1:03.0,Defensive rebound by P. Gasol,,32,23
86,1,0:56.0,D. Rose misses 2-pt jump shot from 3 ft,,32,23
87,1,0:56.0,Offensive rebound by D. Rose,,32,23
88,1,0:56.0,Shooting foul by R. Gay (drawn by D. Rose),,32,23
89,1,0:56.0,D. Rose makes free throw 1 of 2,,33,23
