,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,INDIANA_ACTION,OKLAHOMA CITY_SCORE,INDIANA_SCORE
0,1,11:42.0,Turnover by K. Durant (bad pass),,0,0
1,1,11:24.0,,P. George makes 3-pt jump shot from 22 ft (assist by M. Ellis),0,3
2,1,11:08.0,K. Durant misses 2-pt jump shot from 19 ft,,0,3
3,1,11:06.0,,Defensive rebound by M. Ellis,0,3
4,1,10:59.0,,I. Mahinmi misses 2-pt layup from 1 ft,0,3
5,1,10:58.0,Defensive rebound by S. Ibaka,,0,3
6,1,10:49.0,R. Westbrook misses 2-pt jump shot from 3 ft,,0,3
7,1,10:48.0,,Defensive rebound by G. Hill,0,3
8,1,10:40.0,,G. Hill makes 3-pt jump shot from 23 ft (assist by M. Ellis),0,6
9,1,10:24.0,Turnover by K. Durant (bad pass; steal by M. Turner),,0,6
10,1,10:14.0,,G. Hill misses 3-pt jump shot from 24 ft,0,6
11,1,10:13.0,,Offensive rebound by M. Turner,0,6
12,1,10:10.0,,I. Mahinmi makes 2-pt hook shot from 4 ft (assist by M. Turner),0,8
13,1,9:50.0,R. Westbrook makes 2-pt jump shot from 12 ft,,2,8
14,1,9:24.0,,I. Mahinmi makes 2-pt jump shot from 5 ft (assist by G. Hill),2,10
15,1,9:12.0,R. Westbrook misses 2-pt layup from 2 ft,,2,10
16,1,9:10.0,,Defensive rebound by P. George,2,10
17,1,9:06.0,,G. Hill makes 3-pt jump shot from 25 ft (assist by P. George),2,13
18,1,9:04.0,Oklahoma City full timeout,,2,13
19,1,8:56.0,K. Durant makes 2-pt jump shot from 17 ft (assist by R. Westbrook),,4,13
20,1,8:42.0,,Turnover by I. Mahinmi (bad pass; steal by R. Westbrook),4,13
21,1,8:34.0,A. Roberson misses 3-pt jump shot from 24 ft,,4,13
22,1,8:33.0,,Defensive rebound by P. George,4,13
23,1,8:22.0,,M. Turner misses 2-pt jump shot from 14 ft,4,13
24,1,8:21.0,Defensive rebound by A. Roberson,,4,13
25,1,8:10.0,S. Adams makes 2-pt layup from 1 ft (assist by K. Durant),,6,13
26,1,7:46.0,,I. Mahinmi misses 2-pt jump shot from 10 ft,6,13
27,1,7:45.0,Defensive rebound by Team,,6,13
28,1,7:36.0,Shooting block foul by P. George (drawn by K. Durant),,6,13
29,1,7:36.0,K. Durant misses free throw 1 of 2,,6,13
30,1,7:36.0,Offensive rebound by Team,,6,13
31,1,7:36.0,K. Durant makes free throw 2 of 2,,7,13
32,1,7:25.0,,Turnover by P. George (bad pass),7,13
33,1,7:14.0,S. Ibaka makes 2-pt jump shot from 19 ft (assist by R. Westbrook),,9,13
34,1,6:53.0,,P. George misses 2-pt jump shot from 18 ft,9,13
35,1,6:51.0,,Offensive rebound by Team,9,13
36,1,6:44.0,,Turnover by G. Hill (bad pass; steal by S. Adams),9,13
37,1,6:39.0,K. Durant misses 2-pt layup at rim,,9,13
38,1,6:38.0,,Defensive rebound by P. George,9,13
39,1,6:31.0,,M. Ellis makes 3-pt jump shot from 25 ft (assist by P. George),9,16
40,1,6:05.0,K. Durant misses 2-pt layup from 2 ft (block by M. Turner),,9,16
41,1,6:04.0,Offensive rebound by K. Durant,,9,16
42,1,6:02.0,K. Durant misses 3-pt jump shot from 26 ft,,9,16
43,1,6:01.0,,Defensive rebound by I. Mahinmi,9,16
44,1,5:47.0,,I. Mahinmi misses 2-pt layup from 1 ft,9,16
45,1,5:47.0,Defensive rebound by S. Adams,,9,16
46,1,5:39.0,K. Durant makes 3-pt jump shot from 26 ft (assist by R. Westbrook),,12,16
47,1,5:32.0,,Indiana full timeout,12,16
48,1,5:32.0,R. Foye enters the game for K. Durant,,12,16
49,1,5:32.0,D. Waiters enters the game for A. Roberson,,12,16
50,1,5:24.0,,P. George makes 2-pt jump shot from 8 ft,12,18
51,1,4:59.0,R. Westbrook misses 3-pt jump shot from 22 ft,,12,18
52,1,4:58.0,,Defensive rebound by G. Hill,12,18
53,1,4:41.0,,P. George misses 3-pt jump shot from 24 ft,12,18
54,1,4:40.0,Defensive rebound by R. Westbrook,,12,18
55,1,4:28.0,Turnover by D. Waiters (bad pass; steal by M. Ellis),,12,18
56,1,4:17.0,,P. George makes 2-pt layup at rim (assist by G. Hill),12,20
57,1,4:02.0,D. Waiters makes 2-pt jump shot from 18 ft (assist by R. Westbrook),,14,20
58,1,3:43.0,,G. Hill makes 2-pt layup from 1 ft (assist by P. George),14,22
59,1,3:30.0,,Violation by G. Hill (kicked ball),14,22
60,1,3:18.0,R. Westbrook makes 3-pt jump shot from 25 ft (assist by S. Adams),,17,22
61,1,3:02.0,,G. Hill misses 3-pt jump shot from 23 ft,17,22
62,1,3:01.0,,Offensive rebound by M. Turner,17,22
63,1,3:01.0,,M. Turner makes 2-pt layup at rim,17,24
64,1,2:43.0,R. Foye makes 2-pt jump shot from 17 ft,,19,24
65,1,2:34.0,,Turnover by M. Ellis (bad pass; steal by S. Adams),19,24
66,1,2:32.0,Shooting foul by G. Hill (drawn by R. Westbrook),,19,24
67,1,2:32.0,R. Westbrook misses free throw 1 of 2,,19,24
68,1,2:32.0,Offensive rebound by Team,,19,24
69,1,2:32.0,,J. Hill enters the game for I. Mahinmi,19,24
70,1,2:32.0,,R. Stuckey enters the game for M. Ellis,19,24
71,1,2:32.0,K. Durant enters the game for S. Ibaka,,19,24
72,1,2:32.0,,S. Hill enters the game for M. Turner,19,24
73,1,2:32.0,R. Westbrook makes free throw 2 of 2,,20,24
74,1,2:12.0,,G. Hill makes 2-pt layup from 1 ft (assist by S. Hill),20,26
75,1,2:04.0,,Offensive charge foul by R. Westbrook (drawn by G. Hill),20,26
76,1,2:04.0,Turnover by R. Westbrook (offensive foul),,20,26
77,1,2:04.0,C. Payne enters the game for R. Westbrook,,20,26
78,1,1:39.0,,P. George misses 2-pt jump shot from 19 ft,20,26
79,1,1:37.0,Defensive rebound by R. Foye,,20,26
80,1,1:16.0,S. Adams makes 2-pt hook shot from 7 ft,,22,26
81,1,0:58.0,,J. Hill makes 2-pt layup from 2 ft (assist by G. Hill),22,28
82,1,0:46.0,K. Durant makes 2-pt layup at rim,,24,28
83,1,0:36.0,,P. George misses 3-pt jump shot from 26 ft,24,28
84,1,0:35.0,Defensive rebound by D. Waiters,,24,28
85,1,0:12.0,D. Waiters makes 3-pt jump shot from 26 ft (assist by K. Durant),,27,28
86,2,11:49.0,,J. Hill misses 2-pt jump shot from 18 ft,27,28
87,2,11:48.0,Defensive rebound by K. Durant,,27,28
88,2,11:36.0,E. Freedom misses 2-pt jump shot from 17 ft,,27,28
89,2,11:36.0,,Defensive rebound by C. Miles,27,28
90,2,11:16.0,,R. Stuckey makes 2-pt jump shot from 18 ft (assist by C. Miles),27,30
91,2,10:57.0,Turnover by D. Waiters (bad pass; steal by C. Miles),,27,30
92,2,10:52.0,,Turnover by M. Ellis (bad pass; steal by K. Durant),27,30
93,2,10:47.0,Shooting foul by R. Stuckey (drawn by R. Foye),,27,30
94,2,10:47.0,R. Foye makes 2-pt jump shot from 14 ft,,29,30
95,2,10:47.0,R. Foye misses free throw 1 of 1,,29,30
96,2,10:47.0,Offensive rebound by E. Freedom,,29,30
97,2,10:27.0,Shooting foul by S. Hill (drawn by C. Payne),,29,30
98,2,10:27.0,C. Payne makes free throw 1 of 2,,30,30
99,2,10:27.0,C. Payne makes free throw 2 of 2,,31,30
100,2,10:08.0,,R. Stuckey makes 2-pt jump shot from 12 ft,31,32
101,2,9:50.0,K. Durant makes 2-pt jump shot from 16 ft,,33,32
