,QUARTER,TIME_REMAINING,PORTLAND_ACTION,LA LAKERS_ACTION,PORTLAND_SCORE,LA LAKERS_SCORE
0,1,11:49.0,D. Lillard makes 3-pt jump shot from 25 ft (assist by A. Aminu),,3,0
1,1,11:33.0,,R. Hibbert misses 2-pt jump shot from 17 ft,3,0
2,1,11:32.0,Defensive rebound by N. Vonleh,,3,0
3,1,11:15.0,Turnover by N. Vonleh (lost ball; steal by K. Bryant),,3,0
4,1,11:04.0,,J. Randle misses 2-pt jump shot from 19 ft,3,0
5,1,11:04.0,Defensive rebound by C. McCollum,,3,0
6,1,10:53.0,N. Vonleh misses 2-pt jump shot from 22 ft,,3,0
7,1,10:51.0,Offensive rebound by Team,,3,0
8,1,10:46.0,,Loose ball foul by R. Hibbert (drawn by M. Plumlee),3,0
9,1,10:46.0,D. Lillard makes 3-pt jump shot from 25 ft (assist by A. Aminu),,6,0
10,1,10:34.0,,K. Bryant misses 3-pt jump shot from 25 ft,6,0
11,1,10:34.0,Defensive rebound by M. Plumlee,,6,0
12,1,10:24.0,C. McCollum makes 2-pt jump shot from 17 ft,,8,0
13,1,10:10.0,,K. Bryant makes 2-pt jump shot from 6 ft,8,2
14,1,9:48.0,M. Plumlee misses 2-pt jump shot from 15 ft,,8,2
15,1,9:48.0,,Defensive rebound by D. Russell,8,2
16,1,9:37.0,,Shooting foul by A. Aminu (drawn by K. Bryant),8,2
17,1,9:37.0,,K. Bryant makes free throw 1 of 2,8,3
18,1,9:37.0,,K. Bryant makes free throw 2 of 2,8,4
19,1,9:37.0,D. Lillard misses 2-pt jump shot from 13 ft,,8,4
20,1,9:37.0,,Defensive rebound by D. Russell,8,4
21,1,9:33.0,,Turnover by D. Russell (lost ball; steal by C. McCollum),8,4
22,1,9:28.0,D. Lillard makes 2-pt layup at rim (assist by C. McCollum),,10,4
23,1,9:13.0,,K. Bryant makes 2-pt jump shot from 15 ft (assist by D. Russell),10,6
24,1,8:54.0,N. Vonleh misses 2-pt hook shot from 4 ft,,10,6
25,1,8:53.0,,Defensive rebound by J. Randle,10,6
26,1,8:46.0,,K. Bryant misses 3-pt jump shot from 24 ft,10,6
27,1,8:46.0,Defensive rebound by C. McCollum,,10,6
28,1,8:38.0,D. Lillard misses 3-pt jump shot from 25 ft,,10,6
29,1,8:38.0,,Defensive rebound by J. Clarkson,10,6
30,1,8:27.0,,K. Bryant makes 2-pt layup from 1 ft,10,8
31,1,8:11.0,A. Aminu misses 2-pt jump shot from 20 ft,,10,8
32,1,8:10.0,Offensive rebound by A. Aminu,,10,8
33,1,8:02.0,A. Aminu misses 2-pt jump shot from 10 ft,,10,8
34,1,8:02.0,,Defensive rebound by D. Russell,10,8
35,1,7:54.0,,K. Bryant misses 2-pt jump shot from 17 ft,10,8
36,1,7:54.0,Defensive rebound by A. Aminu,,10,8
37,1,7:48.0,M. Plumlee makes 2-pt dunk at rim (assist by D. Lillard),,12,8
38,1,7:28.0,,R. Hibbert makes 2-pt jump shot at rim (assist by D. Russell),12,10
39,1,7:11.0,N. Vonleh misses 3-pt jump shot from 24 ft,,12,10
40,1,7:11.0,,Defensive rebound by R. Hibbert,12,10
41,1,7:03.0,,Shooting foul by A. Aminu (drawn by K. Bryant),12,10
42,1,7:03.0,,K. Bryant makes free throw 1 of 2,12,11
43,1,7:03.0,M. Harkless enters the game for A. Aminu,,12,11
44,1,7:03.0,,K. Bryant makes free throw 2 of 2,12,12
45,1,7:03.0,C. McCollum misses 2-pt jump shot from 15 ft (block by R. Hibbert),,12,12
46,1,7:02.0,,Defensive rebound by R. Hibbert,12,12
47,1,6:54.0,,K. Bryant misses 2-pt jump shot from 10 ft (block by C. McCollum),12,12
48,1,6:53.0,,Offensive rebound by J. Randle,12,12
49,1,6:48.0,,J. Randle misses 2-pt layup from 1 ft (block by N. Vonleh),12,12
50,1,6:47.0,,Offensive rebound by K. Bryant,12,12
51,1,6:35.0,,Shooting foul by M. Harkless (drawn by D. Russell),12,12
52,1,6:35.0,,LA Lakers full timeout,12,12
53,1,6:35.0,,L. Williams enters the game for J. Clarkson,12,12
54,1,6:35.0,A. Crabbe enters the game for C. McCollum,,12,12
55,1,6:35.0,,D. Russell makes free throw 1 of 2,12,13
56,1,6:35.0,,D. Russell makes free throw 2 of 2,12,14
57,1,6:35.0,M. Harkless misses 2-pt layup from 1 ft (block by R. Hibbert),,12,14
58,1,6:33.0,Offensive rebound by Team,,12,14
59,1,6:04.0,A. Crabbe misses 2-pt layup from 2 ft,,12,14
60,1,6:03.0,Offensive rebound by M. Plumlee,,12,14
61,1,6:01.0,M. Plumlee makes 2-pt dunk at rim,,14,14
62,1,5:52.0,,K. Bryant misses 3-pt jump shot from 25 ft,14,14
63,1,5:52.0,Defensive rebound by M. Plumlee,,14,14
