,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,UTAH_ACTION,OKLAHOMA CITY_SCORE,UTAH_SCORE
0,1,11:47.0,K. Durant makes 2-pt layup from 2 ft (assist by R. Westbrook),,2,0
1,1,11:29.0,,Turnover by R. Neto (bad pass; steal by K. Durant),2,0
2,1,11:25.0,Personal foul by G. Hayward (drawn by R. Westbrook),,2,0
3,1,11:16.0,A. Roberson makes 3-pt jump shot from 23 ft (assist by S. Ibaka),,5,0
4,1,10:52.0,,R. Hood misses 3-pt jump shot from 24 ft,5,0
5,1,10:51.0,Defensive rebound by S. Ibaka,,5,0
6,1,10:44.0,K. Durant makes 2-pt dunk at rim,,7,0
7,1,10:44.0,,Utah full timeout,7,0
8,1,10:27.0,,D. Favors misses 2-pt jump shot from 3 ft,7,0
9,1,10:27.0,Defensive rebound by R. Westbrook,,7,0
10,1,10:11.0,R. Westbrook makes 2-pt jump shot from 7 ft,,9,0
11,1,9:51.0,,R. Neto misses 3-pt jump shot from 24 ft,9,0
12,1,9:50.0,Defensive rebound by Team,,9,0
13,1,9:32.0,S. Ibaka misses 2-pt jump shot from 13 ft,,9,0
14,1,9:31.0,,Defensive rebound by G. Hayward,9,0
15,1,9:23.0,,Shooting block foul by S. Adams (drawn by G. Hayward),9,0
16,1,9:23.0,,G. Hayward makes free throw 1 of 2,9,1
17,1,9:23.0,,G. Hayward makes free throw 2 of 2,9,2
18,1,9:11.0,S. Ibaka makes 2-pt jump shot from 18 ft (assist by K. Durant),,11,2
19,1,8:48.0,,R. Hood misses 2-pt jump shot from 9 ft,11,2
20,1,8:48.0,Defensive rebound by K. Durant,,11,2
21,1,8:39.0,S. Ibaka misses 2-pt jump shot from 17 ft,,11,2
22,1,8:39.0,Offensive rebound by S. Adams,,11,2
23,1,8:37.0,S. Adams misses 2-pt layup at rim (block by T. Lyles),,11,2
24,1,8:34.0,,Defensive rebound by R. Hood,11,2
25,1,8:24.0,,G. Hayward makes 2-pt jump shot from 10 ft,11,4
26,1,8:16.0,Shooting foul by D. Favors (drawn by R. Westbrook),,11,4
27,1,8:16.0,R. Westbrook makes free throw 1 of 2,,12,4
28,1,8:16.0,R. Westbrook makes free throw 2 of 2,,13,4
29,1,8:00.0,,Turnover by G. Hayward (bad pass; steal by R. Westbrook),13,4
30,1,7:56.0,S. Ibaka misses 2-pt layup from 1 ft,,13,4
31,1,7:55.0,Offensive rebound by A. Roberson,,13,4
32,1,7:47.0,Turnover by K. Durant (bad pass; steal by D. Favors),,13,4
33,1,7:30.0,,G. Hayward makes 3-pt jump shot from 24 ft (assist by D. Favors),13,7
34,1,7:08.0,K. Durant misses 3-pt jump shot from 24 ft,,13,7
35,1,7:08.0,,Defensive rebound by R. Hood,13,7
36,1,6:56.0,,R. Neto makes 2-pt layup from 2 ft,13,9
37,1,6:44.0,S. Ibaka misses 2-pt jump shot from 16 ft,,13,9
