,QUARTER,TIME_REMAINING,CHICAGO_ACTION,NEW YORK_ACTION,CHICAGO_SCORE,NEW YORK_SCORE
0,1,11:42.0,,J. Calderón misses 2-pt jump shot from 7 ft,0,0
1,1,11:41.0,Defensive rebound by T. Gibson,,0,0
2,1,11:23.0,J. Butler misses 2-pt jump shot from 12 ft,,0,0
3,1,11:22.0,,Defensive rebound by J. Calderón,0,0
4,1,11:08.0,,S. Vujačić makes 3-pt jump shot from 24 ft,0,3
5,1,10:51.0,C. Felício misses 2-pt layup from 1 ft (block by R. Lopez),,0,3
6,1,10:50.0,,Defensive rebound by K. Porziņģis,0,3
7,1,10:29.0,,K. Porziņģis makes 2-pt layup from 1 ft (assist by R. Lopez),0,5
8,1,10:13.0,D. Rose makes 2-pt jump shot from 20 ft,,2,5
9,1,9:59.0,,Turnover by R. Lopez (lost ball; steal by D. Rose),2,5
10,1,9:56.0,Shooting foul by J. Calderón (drawn by D. Rose),,2,5
11,1,9:56.0,D. Rose makes free throw 1 of 2,,3,5
12,1,9:56.0,D. Rose makes free throw 2 of 2,,4,5
13,1,9:40.0,,Shooting foul by J. Butler (drawn by C. Anthony),4,5
14,1,9:40.0,,C. Anthony makes free throw 1 of 2,4,6
15,1,9:40.0,,C. Anthony makes free throw 2 of 2,4,7
16,1,9:22.0,T. Gibson makes 2-pt jump shot from 9 ft (assist by J. Butler),,6,7
17,1,9:14.0,,C. Anthony misses 3-pt jump shot from 24 ft,6,7
18,1,9:13.0,Defensive rebound by M. Dunleavy,,6,7
19,1,9:02.0,T. Gibson makes 2-pt hook shot from 6 ft (assist by M. Dunleavy),,8,7
20,1,8:45.0,,R. Lopez makes 2-pt dunk at rim (assist by S. Vujačić),8,9
21,1,8:32.0,M. Dunleavy misses 3-pt jump shot from 25 ft,,8,9
22,1,8:31.0,,Defensive rebound by S. Vujačić,8,9
23,1,8:18.0,,C. Anthony makes 3-pt jump shot from 23 ft (assist by S. Vujačić),8,12
24,1,7:50.0,Shooting foul by C. Anthony (drawn by T. Gibson),,8,12
25,1,7:50.0,T. Gibson makes free throw 1 of 2,,9,12
26,1,7:50.0,T. Gibson makes free throw 2 of 2,,10,12
27,1,7:33.0,,Turnover by J. Calderón (bad pass; steal by M. Dunleavy),10,12
28,1,7:24.0,Turnover by J. Butler (lost ball; steal by S. Vujačić),,10,12
29,1,7:18.0,,C. Anthony makes 3-pt jump shot from 25 ft (assist by S. Vujačić),10,15
30,1,7:07.0,Turnover by J. Butler (lost ball),,10,15
31,1,6:54.0,,Turnover by S. Vujačić (traveling),10,15
