,QUARTER,TIME_REMAINING,BOSTON_ACTION,MEMPHIS_ACTION,BOSTON_SCORE,MEMPHIS_SCORE
0,1,11:47.0,K. Olynyk misses 2-pt hook shot from 7 ft,,0,0
1,1,11:45.0,,Defensive rebound by M. Gasol,0,0
2,1,11:35.0,,M. Barnes misses 2-pt jump shot from 4 ft (block by A. Johnson),0,0
3,1,11:35.0,,Offensive rebound by Team,0,0
4,1,11:23.0,,T. Allen makes 3-pt jump shot from 25 ft,0,3
5,1,11:05.0,I. Thomas misses 2-pt jump shot from 5 ft,,0,3
6,1,11:04.0,,Defensive rebound by M. Gasol,0,3
7,1,10:55.0,,Turnover by J. Green (bad pass; steal by J. Crowder),0,3
8,1,10:47.0,I. Thomas makes 3-pt jump shot from 23 ft (assist by J. Crowder),,3,3
9,1,10:31.0,,T. Allen misses 2-pt layup from 2 ft,3,3
10,1,10:30.0,Defensive rebound by Team,,3,3
11,1,10:20.0,A. Bradley makes 2-pt jump shot from 20 ft (assist by A. Johnson),,5,3
12,1,10:01.0,,J. Green misses 2-pt jump shot from 22 ft,5,3
13,1,10:01.0,Defensive rebound by K. Olynyk,,5,3
14,1,9:47.0,Turnover by K. Olynyk (3 sec),,5,3
15,1,9:34.0,,M. Gasol misses 2-pt jump shot from 14 ft,5,3
16,1,9:33.0,Defensive rebound by I. Thomas,,5,3
17,1,9:28.0,J. Crowder makes 3-pt jump shot from 24 ft (assist by I. Thomas),,8,3
18,1,9:11.0,,Turnover by T. Allen (bad pass; steal by J. Crowder),8,3
19,1,9:07.0,J. Crowder makes 2-pt layup at rim,,10,3
20,1,9:07.0,,Memphis full timeout,10,3
21,1,8:51.0,,M. Chalmers misses 3-pt jump shot from 24 ft,10,3
22,1,8:49.0,Defensive rebound by K. Olynyk,,10,3
23,1,8:35.0,A. Bradley misses 3-pt jump shot from 24 ft,,10,3
24,1,8:34.0,,Defensive rebound by M. Gasol,10,3
25,1,8:16.0,,M. Barnes misses 3-pt jump shot from 24 ft,10,3
26,1,8:16.0,Defensive rebound by I. Thomas,,10,3
27,1,8:10.0,K. Olynyk makes 2-pt layup from 1 ft (assist by I. Thomas),,12,3
28,1,7:49.0,,Shooting foul by K. Olynyk (drawn by T. Allen),12,3
29,1,7:49.0,,T. Allen misses free throw 1 of 2,12,3
30,1,7:49.0,,Offensive rebound by Team,12,3
31,1,7:49.0,,T. Allen makes free throw 2 of 2,12,4
32,1,7:39.0,Personal foul by T. Allen (drawn by A. Bradley),,12,4
33,1,7:30.0,Personal foul by J. Green (drawn by I. Thomas),,12,4
34,1,7:23.0,I. Thomas makes 2-pt layup from 1 ft,,14,4
35,1,6:59.0,,M. Gasol misses 2-pt hook shot from 4 ft,14,4
36,1,6:55.0,Defensive rebound by K. Olynyk,,14,4
37,1,6:44.0,I. Thomas makes 3-pt jump shot from 24 ft (assist by A. Johnson),,17,4
38,1,6:26.0,,M. Gasol misses 2-pt jump shot from 4 ft,17,4
39,1,6:25.0,Defensive rebound by I. Thomas,,17,4
40,1,6:22.0,Shooting foul by M. Chalmers (drawn by A. Bradley),,17,4
41,1,6:22.0,A. Bradley makes free throw 1 of 2,,18,4
42,1,6:22.0,,Z. Randolph enters the game for T. Allen,18,4
43,1,6:22.0,A. Bradley makes free throw 2 of 2,,19,4
44,1,6:02.0,,M. Barnes makes 2-pt layup from 3 ft,19,6
45,1,5:46.0,J. Crowder misses 3-pt jump shot from 25 ft,,19,6
46,1,5:45.0,,Defensive rebound by M. Chalmers,19,6
47,1,5:41.0,,M. Barnes makes 2-pt layup from 1 ft (assist by M. Chalmers),19,8
48,1,5:25.0,J. Crowder misses 3-pt jump shot from 23 ft,,19,8
49,1,5:24.0,,Defensive rebound by M. Gasol,19,8
50,1,5:21.0,,Shooting foul by A. Johnson (drawn by M. Barnes),19,8
51,1,5:21.0,,M. Barnes makes free throw 1 of 2,19,9
52,1,5:21.0,M. Smart enters the game for A. Bradley,,19,9
53,1,5:21.0,J. Sullinger enters the game for K. Olynyk,,19,9
54,1,5:21.0,,M. Barnes makes free throw 2 of 2,19,10
55,1,5:05.0,I. Thomas makes 2-pt jump shot from 15 ft,,21,10
56,1,4:45.0,,M. Gasol makes 2-pt jump shot from 18 ft (assist by J. Green),21,12
57,1,4:25.0,I. Thomas makes 3-pt jump shot from 23 ft (assist by M. Smart),,24,12
58,1,4:25.0,,Memphis full timeout,24,12
59,1,4:25.0,,E. Williams enters the game for M. Chalmers,24,12
60,1,4:09.0,,E. Williams misses 3-pt jump shot from 24 ft,24,12
61,1,4:09.0,Defensive rebound by J. Sullinger,,24,12
62,1,3:51.0,A. Johnson makes 2-pt hook shot from 7 ft (assist by I. Thomas),,26,12
63,1,3:32.0,,Turnover by J. Green (lost ball),26,12
64,1,3:22.0,Personal foul by M. Barnes (drawn by J. Sullinger),,26,12
65,1,3:22.0,,V. Carter enters the game for J. Green,26,12
66,1,3:12.0,A. Johnson misses 2-pt jump shot from 5 ft (block by M. Barnes),,26,12
67,1,3:11.0,Offensive rebound by A. Johnson,,26,12
68,1,3:07.0,M. Smart misses 3-pt jump shot from 25 ft,,26,12
69,1,3:07.0,,Defensive rebound by Z. Randolph,26,12
70,1,2:59.0,,Shooting foul by I. Thomas (drawn by E. Williams),26,12
71,1,2:59.0,,E. Williams makes free throw 1 of 2,26,13
72,1,2:59.0,E. Turner enters the game for I. Thomas,,26,13
73,1,2:59.0,,E. Williams makes free throw 2 of 2,26,14
74,1,2:43.0,M. Smart misses 3-pt jump shot from 25 ft,,26,14
75,1,2:42.0,,Defensive rebound by M. Barnes,26,14
76,1,2:31.0,,M. Gasol misses 2-pt hook shot from 8 ft,26,14
77,1,2:29.0,Defensive rebound by A. Johnson,,26,14
