,QUARTER,TIME_REMAINING,INDIANA_ACTION,ORLANDO_ACTION,INDIANA_SCORE,ORLANDO_SCORE
0,1,11:46.0,P. George misses 2-pt layup from 1 ft,,0,0
1,1,11:45.0,,Defensive rebound by N. Vučević,0,0
2,1,11:42.0,,E. Fournier makes 3-pt jump shot from 27 ft (assist by E. Payton),0,3
3,1,11:24.0,Turnover by I. Mahinmi (lost ball; steal by E. Payton),,0,3
4,1,11:18.0,,A. Gordon makes 2-pt layup from 1 ft (assist by V. Oladipo),0,5
5,1,10:52.0,M. Turner makes 2-pt jump shot from 16 ft,,2,5
6,1,10:39.0,,N. Vučević misses 2-pt jump shot from 13 ft,2,5
7,1,10:38.0,Defensive rebound by M. Turner,,2,5
8,1,10:32.0,Turnover by P. George (bad pass),,2,5
9,1,10:16.0,,N. Vučević misses 2-pt jump shot from 13 ft,2,5
10,1,10:15.0,Defensive rebound by G. Hill,,2,5
11,1,10:03.0,Turnover by M. Ellis (bad pass; steal by A. Gordon),,2,5
12,1,9:57.0,,A. Gordon misses 2-pt layup at rim,2,5
13,1,9:55.0,Defensive rebound by I. Mahinmi,,2,5
14,1,9:47.0,Personal foul by A. Gordon (drawn by M. Turner),,2,5
15,1,9:42.0,P. George misses 2-pt jump shot from 13 ft,,2,5
16,1,9:39.0,,Defensive rebound by V. Oladipo,2,5
17,1,9:35.0,,E. Fournier misses 2-pt layup from 2 ft,2,5
18,1,9:34.0,Defensive rebound by Team,,2,5
19,1,9:26.0,M. Ellis misses 2-pt layup from 1 ft,,2,5
20,1,9:25.0,,Defensive rebound by N. Vučević,2,5
21,1,9:18.0,,V. Oladipo misses 3-pt jump shot from 24 ft,2,5
22,1,9:17.0,Defensive rebound by M. Turner,,2,5
23,1,9:07.0,Turnover by M. Turner (bad pass),,2,5
24,1,8:48.0,,N. Vučević misses 2-pt jump shot from 15 ft,2,5
25,1,8:47.0,Defensive rebound by I. Mahinmi,,2,5
26,1,8:37.0,P. George misses 2-pt jump shot from 16 ft,,2,5
27,1,8:36.0,,Defensive rebound by A. Gordon,2,5
28,1,8:29.0,,E. Payton misses 2-pt layup from 1 ft,2,5
29,1,8:27.0,Defensive rebound by I. Mahinmi,,2,5
30,1,8:22.0,G. Hill makes 2-pt dunk at rim,,4,5
31,1,8:22.0,,Orlando full timeout,4,5
32,1,8:22.0,,J. Smith enters the game for N. Vučević,4,5
33,1,8:09.0,,J. Smith makes 2-pt jump shot from 16 ft (assist by V. Oladipo),4,7
34,1,7:53.0,G. Hill misses 3-pt jump shot from 26 ft,,4,7
35,1,7:51.0,,Defensive rebound by V. Oladipo,4,7
36,1,7:42.0,,A. Gordon makes 3-pt jump shot from 25 ft (assist by V. Oladipo),4,10
37,1,7:27.0,Shooting foul by J. Smith (drawn by I. Mahinmi),,4,10
38,1,7:27.0,I. Mahinmi misses free throw 1 of 2,,4,10
39,1,7:27.0,Offensive rebound by Team,,4,10
40,1,7:27.0,I. Mahinmi makes free throw 2 of 2,,5,10
41,1,7:12.0,,V. Oladipo misses 2-pt jump shot from 4 ft (block by I. Mahinmi),5,10
42,1,7:10.0,Defensive rebound by I. Mahinmi,,5,10
43,1,7:03.0,M. Turner makes 2-pt layup at rim (assist by I. Mahinmi),,7,10
44,1,6:46.0,,E. Fournier misses 2-pt jump shot from 16 ft,7,10
45,1,6:45.0,Defensive rebound by M. Turner,,7,10
46,1,6:24.0,M. Ellis misses 3-pt jump shot from 22 ft (block by V. Oladipo),,7,10
47,1,6:23.0,,Defensive rebound by J. Smith,7,10
48,1,6:16.0,,E. Fournier makes 2-pt layup at rim (assist by A. Gordon),7,12
49,1,6:00.0,P. George misses 3-pt jump shot from 26 ft,,7,12
50,1,5:59.0,,Defensive rebound by A. Gordon,7,12
51,1,5:49.0,,Turnover by E. Fournier (step out of bounds),7,12
52,1,5:33.0,I. Mahinmi makes 2-pt hook shot from 3 ft (assist by M. Turner),,9,12
53,1,5:16.0,,V. Oladipo misses 3-pt jump shot from 26 ft,9,12
54,1,5:15.0,Defensive rebound by G. Hill,,9,12
55,1,5:09.0,G. Hill misses 2-pt layup from 1 ft (block by V. Oladipo),,9,12
56,1,5:08.0,,Defensive rebound by J. Smith,9,12
57,1,5:05.0,,Turnover by E. Payton (bad pass; steal by M. Ellis),9,12
58,1,5:02.0,Turnover by I. Mahinmi (bad pass; steal by E. Fournier),,9,12
59,1,4:56.0,,V. Oladipo misses 2-pt layup from 2 ft (block by M. Turner),9,12
60,1,4:55.0,Defensive rebound by Team,,9,12
61,1,4:55.0,,E. İlyasova enters the game for A. Gordon,9,12
62,1,4:41.0,M. Ellis makes 3-pt jump shot from 25 ft,,12,12
63,1,4:33.0,,Shooting foul by M. Turner (drawn by E. Fournier),12,12
64,1,4:33.0,,E. Fournier makes free throw 1 of 2,12,13
65,1,4:33.0,,B. Jennings enters the game for E. Payton,12,13
66,1,4:33.0,,E. Fournier makes free throw 2 of 2,12,14
67,1,4:14.0,Offensive foul by M. Turner (drawn by E. İlyasova),,12,14
68,1,4:14.0,Turnover by M. Turner (offensive foul),,12,14
69,1,4:14.0,L. Allen enters the game for M. Turner,,12,14
70,1,3:53.0,,J. Smith misses 2-pt jump shot from 21 ft,12,14
71,1,3:52.0,Defensive rebound by G. Hill,,12,14
72,1,3:48.0,Personal foul by E. Fournier (drawn by P. George),,12,14
73,1,3:48.0,Indiana full timeout,,12,14
74,1,3:48.0,,M. Hezonja enters the game for V. Oladipo,12,14
75,1,3:48.0,C. Miles enters the game for M. Ellis,,12,14
76,1,3:48.0,Violation by Team (delay of game),,12,14
77,1,3:33.0,I. Mahinmi makes 2-pt jump shot from 13 ft (assist by L. Allen),,14,14
78,1,3:12.0,,M. Hezonja misses 3-pt jump shot from 25 ft,14,14
79,1,3:11.0,Defensive rebound by G. Hill,,14,14
80,1,3:02.0,C. Miles makes 2-pt jump shot from 9 ft (assist by G. Hill),,16,14
81,1,2:45.0,,J. Smith misses 2-pt jump shot from 14 ft,16,14
82,1,2:43.0,Defensive rebound by P. George,,16,14
83,1,2:34.0,Turnover by C. Miles (lost ball; steal by M. Hezonja),,16,14
84,1,2:27.0,,J. Smith makes 2-pt layup from 1 ft (assist by B. Jennings),16,16
85,1,2:27.0,,Shooting foul by I. Mahinmi (drawn by J. Smith),16,16
86,1,2:27.0,J. Hill enters the game for I. Mahinmi,,16,16
87,1,2:27.0,J. Young enters the game for G. Hill,,16,16
88,1,2:27.0,,J. Smith misses free throw 1 of 1,16,16
89,1,2:25.0,Defensive rebound by J. Hill,,16,16
90,1,2:20.0,Offensive foul by P. George (drawn by E. Fournier),,16,16
91,1,2:20.0,Turnover by P. George (offensive foul),,16,16
92,1,2:20.0,,N. Vučević enters the game for J. Smith,16,16
93,1,2:10.0,,E. Fournier makes 2-pt jump shot from 4 ft,16,18
94,1,1:49.0,C. Miles makes 2-pt jump shot from 9 ft (assist by P. George),,18,18
95,1,1:40.0,,Turnover by N. Vučević (bad pass; steal by L. Allen),18,18
96,1,1:39.0,Personal foul by E. Fournier (drawn by P. George),,18,18
97,1,1:39.0,,V. Oladipo enters the game for E. Fournier,18,18
98,1,1:39.0,S. Hill enters the game for P. George,,18,18
99,1,1:26.0,Turnover by J. Young (bad pass; steal by V. Oladipo),,18,18
100,1,1:07.0,,E. İlyasova misses 2-pt layup from 2 ft,18,18
101,1,1:04.0,,Offensive rebound by E. İlyasova,18,18
102,1,1:04.0,,E. İlyasova misses 2-pt layup from 1 ft,18,18
