,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,MEMPHIS_ACTION,CLEVELAND_SCORE,MEMPHIS_SCORE
0,1,11:43.0,,M. Conley misses 2-pt jump shot from 20 ft,0,0
1,1,11:43.0,Defensive rebound by K. Love,,0,0
2,1,11:19.0,J. Smith misses 2-pt jump shot from 21 ft,,0,0
3,1,11:17.0,,Defensive rebound by Z. Randolph,0,0
4,1,11:06.0,,M. Gasol misses 2-pt jump shot from 4 ft,0,0
5,1,11:05.0,Defensive rebound by K. Love,,0,0
6,1,10:56.0,Turnover by M. Williams (bad pass; steal by C. Lee),,0,0
7,1,10:53.0,,Shooting foul by J. Smith (drawn by C. Lee),0,0
8,1,10:53.0,,C. Lee makes free throw 1 of 2,0,1
9,1,10:53.0,,C. Lee makes free throw 2 of 2,0,2
10,1,10:33.0,T. Mozgov misses 2-pt jump shot from 15 ft,,0,2
11,1,10:32.0,Offensive rebound by K. Love,,0,2
12,1,10:21.0,K. Love makes 2-pt layup from 1 ft (assist by L. James),,2,2
13,1,10:01.0,,Z. Randolph misses 2-pt jump shot from 18 ft,2,2
14,1,10:01.0,Defensive rebound by M. Williams,,2,2
15,1,9:51.0,K. Love misses 3-pt jump shot from 22 ft,,2,2
16,1,9:51.0,,Defensive rebound by J. Green,2,2
17,1,9:43.0,,Z. Randolph makes 2-pt layup at rim (assist by J. Green),2,4
18,1,9:24.0,M. Williams makes 3-pt jump shot from 24 ft,,5,4
19,1,9:06.0,,Z. Randolph makes 2-pt layup at rim,5,6
20,1,8:45.0,L. James misses 2-pt jump shot from 15 ft,,5,6
21,1,8:44.0,,Defensive rebound by Z. Randolph,5,6
22,1,8:27.0,,M. Gasol misses 2-pt jump shot from 9 ft,5,6
23,1,8:27.0,Defensive rebound by K. Love,,5,6
24,1,8:19.0,J. Smith makes 3-pt jump shot from 25 ft (assist by M. Williams),,8,6
25,1,8:01.0,,J. Green misses 2-pt jump shot from 17 ft,8,6
26,1,8:00.0,Defensive rebound by K. Love,,8,6
27,1,7:57.0,L. James makes 2-pt dunk at rim (assist by K. Love),,10,6
28,1,7:29.0,,Z. Randolph misses 3-pt jump shot from 22 ft,10,6
29,1,7:28.0,,Offensive rebound by Z. Randolph,10,6
30,1,7:14.0,,Z. Randolph misses 2-pt hook shot from 8 ft,10,6
31,1,7:12.0,Defensive rebound by K. Love,,10,6
32,1,6:59.0,T. Mozgov misses 2-pt jump shot from 13 ft,,10,6
33,1,6:59.0,Offensive rebound by J. Smith,,10,6
34,1,6:54.0,M. Williams misses 3-pt jump shot from 23 ft,,10,6
35,1,6:54.0,,Defensive rebound by Team,10,6
36,1,6:35.0,,J. Green misses 3-pt jump shot from 26 ft,10,6
37,1,6:34.0,Defensive rebound by T. Mozgov,,10,6
38,1,6:27.0,T. Mozgov makes 2-pt dunk at rim (assist by L. James),,12,6
