,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,DALLAS_ACTION,CLEVELAND_SCORE,DALLAS_SCORE
0,1,11:40.0,K. Irving misses 3-pt jump shot from 24 ft,,0,0
1,1,11:39.0,,Defensive rebound by D. Nowitzki,0,0
2,1,11:25.0,,D. Nowitzki makes 2-pt jump shot from 21 ft (assist by W. Matthews),0,2
3,1,11:11.0,T. Thompson misses 2-pt hook shot from 7 ft,,0,2
4,1,11:10.0,,Defensive rebound by D. Nowitzki,0,2
5,1,10:59.0,,Z. Pachulia makes 2-pt jump shot from 15 ft (assist by D. Nowitzki),0,4
6,1,10:40.0,K. Love misses 3-pt jump shot from 23 ft,,0,4
7,1,10:40.0,,Defensive rebound by D. Williams,0,4
8,1,10:31.0,,D. Nowitzki makes 2-pt jump shot from 17 ft (assist by D. Williams),0,6
9,1,10:13.0,Turnover by L. James (bad pass),,0,6
10,1,9:52.0,,C. Parsons makes 2-pt layup from 1 ft,0,8
11,1,9:46.0,Cleveland full timeout,,0,8
12,1,9:39.0,K. Irving misses 2-pt layup from 2 ft,,0,8
13,1,9:38.0,,Defensive rebound by D. Nowitzki,0,8
14,1,9:23.0,,C. Parsons makes 2-pt dunk at rim (assist by Z. Pachulia),0,10
15,1,9:12.0,L. James misses 2-pt layup from 1 ft (block by Z. Pachulia),,0,10
16,1,9:10.0,Offensive rebound by L. James,,0,10
17,1,9:09.0,L. James makes 2-pt layup from 2 ft,,2,10
18,1,8:50.0,,W. Matthews misses 2-pt jump shot from 14 ft,2,10
19,1,8:48.0,Defensive rebound by K. Love,,2,10
20,1,8:34.0,L. James makes 3-pt jump shot from 24 ft (assist by T. Thompson),,5,10
21,1,8:14.0,,D. Nowitzki makes 3-pt jump shot from 27 ft (assist by D. Williams),5,13
22,1,7:58.0,K. Love misses 3-pt jump shot from 26 ft,,5,13
23,1,7:56.0,,Defensive rebound by Z. Pachulia,5,13
24,1,7:50.0,,D. Williams makes 2-pt layup from 3 ft,5,15
25,1,7:33.0,T. Thompson makes 2-pt hook shot from 6 ft,,7,15
26,1,7:12.0,,Z. Pachulia makes 2-pt jump shot from 7 ft (assist by D. Nowitzki),7,17
27,1,6:50.0,K. Irving misses 3-pt jump shot from 24 ft (block by D. Williams),,7,17
28,1,6:49.0,,Defensive rebound by C. Parsons,7,17
29,1,6:47.0,,Turnover by C. Parsons (bad pass),7,17
30,1,6:26.0,,D. Powell enters the game for D. Nowitzki,7,17
31,1,6:23.0,K. Love misses 3-pt jump shot from 24 ft,,7,17
32,1,6:21.0,,Defensive rebound by W. Matthews,7,17
33,1,6:13.0,,C. Parsons makes 3-pt jump shot from 24 ft (assist by Z. Pachulia),7,20
34,1,5:48.0,K. Love misses 2-pt hook shot from 7 ft,,7,20
35,1,5:46.0,,Defensive rebound by Z. Pachulia,7,20
36,1,5:35.0,,D. Powell misses 2-pt jump shot from 19 ft,7,20
37,1,5:35.0,Defensive rebound by T. Thompson,,7,20
38,1,5:24.0,K. Love misses 2-pt jump shot from 15 ft,,7,20
39,1,5:23.0,,Defensive rebound by Z. Pachulia,7,20
40,1,5:00.0,,C. Parsons makes 3-pt jump shot from 23 ft (assist by Z. Pachulia),7,23
41,1,4:51.0,Cleveland full timeout,,7,23
42,1,4:51.0,,R. Felton enters the game for C. Parsons,7,23
43,1,4:51.0,M. Dellavedova enters the game for K. Irving,,7,23
44,1,4:45.0,L. James misses 3-pt jump shot from 24 ft,,7,23
45,1,4:45.0,,Defensive rebound by Team,7,23
46,1,4:32.0,,D. Williams misses 2-pt jump shot from 17 ft,7,23
47,1,4:32.0,Defensive rebound by J. Smith,,7,23
48,1,4:18.0,K. Love makes 3-pt jump shot from 26 ft (assist by L. James),,10,23
49,1,3:58.0,,D. Powell misses 2-pt jump shot from 19 ft,10,23
50,1,3:57.0,Defensive rebound by Team,,10,23
51,1,3:56.0,T. Mozgov enters the game for T. Thompson,,10,23
52,1,3:40.0,Shooting foul by D. Powell (drawn by K. Love),,10,23
53,1,3:40.0,K. Love makes free throw 1 of 2,,11,23
54,1,3:40.0,,Dallas full timeout,11,23
55,1,3:40.0,,J. McGee enters the game for Z. Pachulia,11,23
56,1,3:40.0,K. Love makes free throw 2 of 2,,12,23
57,1,3:18.0,,R. Felton misses 2-pt jump shot from 19 ft,12,23
58,1,3:16.0,Defensive rebound by L. James,,12,23
59,1,3:08.0,M. Dellavedova misses 3-pt jump shot from 25 ft,,12,23
60,1,3:06.0,Offensive rebound by T. Mozgov,,12,23
61,1,2:49.0,J. Smith makes 3-pt jump shot from 23 ft (assist by L. James),,15,23
62,1,2:36.0,,W. Matthews misses 2-pt jump shot from 3 ft (block by T. Mozgov),15,23
63,1,2:34.0,Defensive rebound by T. Mozgov,,15,23
64,1,2:32.0,Personal foul by D. Williams (drawn by L. James),,15,23
65,1,2:32.0,,D. Nowitzki enters the game for D. Powell,15,23
66,1,2:32.0,,D. Harris enters the game for D. Williams,15,23
67,1,2:32.0,I. Shumpert enters the game for K. Love,,15,23
68,1,2:32.0,,C. Parsons enters the game for W. Matthews,15,23
69,1,2:24.0,T. Mozgov makes 2-pt dunk at rim (assist by M. Dellavedova),,17,23
70,1,2:09.0,,Personal foul by I. Shumpert (drawn by C. Parsons),17,23
71,1,2:03.0,,Turnover by R. Felton (bad pass; steal by T. Mozgov),17,23
72,1,1:54.0,I. Shumpert misses 3-pt jump shot from 22 ft,,17,23
73,1,1:52.0,Offensive rebound by T. Mozgov,,17,23
74,1,1:32.0,L. James misses 2-pt jump shot from 19 ft,,17,23
75,1,1:31.0,Offensive rebound by L. James,,17,23
76,1,1:26.0,M. Dellavedova makes 3-pt jump shot from 25 ft (assist by I. Shumpert),,20,23
77,1,1:12.0,,Turnover by R. Felton (bad pass; steal by L. James),20,23
78,1,1:08.0,L. James makes 2-pt dunk at rim (assist by J. Smith),,22,23
79,1,1:05.0,,Dallas full timeout,22,23
80,1,1:05.0,,J. Barea enters the game for R. Felton,22,23
81,1,0:48.0,,J. McGee makes 2-pt dunk at rim (assist by D. Harris),22,25
82,1,0:34.0,Turnover by L. James (bad pass; steal by D. Harris),,22,25
83,1,0:27.0,,D. Harris misses 2-pt jump shot from 6 ft,22,25
84,1,0:25.0,Defensive rebound by T. Mozgov,,22,25
85,1,0:05.0,M. Dellavedova misses 2-pt jump shot from 11 ft (block by J. McGee),,22,25
86,1,0:04.0,Offensive rebound by Team,,22,25
87,1,0:02.0,T. Mozgov misses 2-pt jump shot from 17 ft,,22,25
88,1,0:01.0,Offensive rebound by M. Dellavedova,,22,25
89,2,11:35.0,,Turnover by J. McGee (offensive goaltending),22,25
90,2,11:22.0,K. Love misses 3-pt jump shot from 25 ft,,22,25
91,2,11:21.0,,Defensive rebound by C. Parsons,22,25
92,2,11:09.0,,D. Nowitzki misses 2-pt jump shot from 12 ft,22,25
93,2,11:07.0,Defensive rebound by I. Shumpert,,22,25
94,2,10:45.0,I. Shumpert misses 3-pt jump shot from 23 ft,,22,25
95,2,10:45.0,,Defensive rebound by C. Parsons,22,25
96,2,10:36.0,,J. Barea misses 3-pt jump shot from 24 ft,22,25
97,2,10:34.0,Defensive rebound by K. Love,,22,25
98,2,10:28.0,M. Dellavedova misses 2-pt jump shot from 5 ft,,22,25
99,2,10:27.0,,Defensive rebound by D. Nowitzki,22,25
100,2,10:20.0,,D. Harris makes 3-pt jump shot from 25 ft,22,28
