,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,DENVER_ACTION,WASHINGTON_SCORE,DENVER_SCORE
0,1,11:42.0,M. Morris misses 2-pt jump shot from 18 ft,,0,0
1,1,11:41.0,,Defensive rebound by G. Harris,0,0
2,1,11:26.0,,Personal foul by O. Porter,0,0
3,1,11:17.0,,G. Harris makes 2-pt layup from 2 ft,0,2
4,1,11:11.0,O. Porter makes 2-pt dunk at rim (assist by J. Wall),,2,2
5,1,10:49.0,,E. Mudiay makes 2-pt jump shot from 15 ft,2,4
6,1,10:35.0,Personal foul by J. Sampson,,2,4
7,1,10:29.0,O. Porter misses 2-pt jump shot from 21 ft,,2,4
8,1,10:28.0,,Defensive rebound by K. Faried,2,4
9,1,10:13.0,,Shooting foul by M. Gortat (drawn by E. Mudiay),2,4
10,1,10:13.0,,E. Mudiay makes free throw 1 of 2,2,5
11,1,10:13.0,,E. Mudiay makes free throw 2 of 2,2,6
12,1,10:00.0,M. Gortat misses 2-pt layup from 2 ft (block by J. Sampson),,2,6
13,1,9:59.0,,Defensive rebound by N. Jokić,2,6
14,1,9:52.0,,Turnover by G. Harris (lost ball; steal by O. Porter),2,6
15,1,9:43.0,J. Wall makes 3-pt jump shot from 24 ft (assist by M. Morris),,5,6
16,1,9:26.0,,E. Mudiay misses 2-pt jump shot from 14 ft,5,6
17,1,9:25.0,Defensive rebound by M. Gortat,,5,6
18,1,9:23.0,Personal foul by N. Jokić,,5,6
19,1,9:20.0,O. Porter misses 2-pt layup from 1 ft,,5,6
20,1,9:19.0,,Defensive rebound by K. Faried,5,6
21,1,9:07.0,,G. Harris makes 2-pt layup from 2 ft (assist by N. Jokić),5,8
22,1,8:52.0,Personal foul by E. Mudiay,,5,8
23,1,8:45.0,J. Wall misses 2-pt jump shot from 19 ft,,5,8
24,1,8:43.0,,Defensive rebound by K. Faried,5,8
25,1,8:32.0,,Shooting foul by M. Gortat (drawn by K. Faried),5,8
26,1,8:32.0,,K. Faried makes free throw 1 of 2,5,9
27,1,8:32.0,N. Hilário enters the game for M. Gortat,,5,9
28,1,8:32.0,,K. Faried makes free throw 2 of 2,5,10
29,1,8:19.0,M. Morris makes 2-pt jump shot from 18 ft (assist by J. Wall),,7,10
30,1,8:00.0,,Turnover by E. Mudiay (bad pass; steal by N. Hilário),7,10
31,1,7:57.0,Shooting block foul by J. Sampson (drawn by G. Temple),,7,10
32,1,7:57.0,G. Temple makes free throw 1 of 2,,8,10
33,1,7:57.0,G. Temple makes free throw 2 of 2,,9,10
34,1,7:46.0,,E. Mudiay makes 2-pt layup from 1 ft (assist by G. Harris),9,12
35,1,7:39.0,O. Porter misses 2-pt jump shot from 18 ft,,9,12
36,1,7:38.0,,Defensive rebound by J. Sampson,9,12
37,1,7:30.0,,Turnover by G. Harris (bad pass; steal by N. Hilário),9,12
38,1,7:25.0,O. Porter makes 2-pt layup from 2 ft (assist by N. Hilário),,11,12
39,1,7:17.0,,Denver full timeout,11,12
40,1,7:02.0,,G. Harris makes 2-pt jump shot from 20 ft (assist by J. Sampson),11,14
41,1,6:41.0,O. Porter misses 2-pt jump shot from 21 ft,,11,14
42,1,6:40.0,,Defensive rebound by N. Jokić,11,14
43,1,6:28.0,,G. Harris misses 3-pt jump shot from 24 ft,11,14
44,1,6:27.0,Defensive rebound by J. Wall,,11,14
45,1,6:18.0,G. Temple makes 3-pt jump shot from 24 ft (assist by J. Wall),,14,14
