,QUARTER,TIME_REMAINING,BOSTON_ACTION,INDIANA_ACTION,BOSTON_SCORE,INDIANA_SCORE
0,1,11:47.0,,P. George misses 3-pt jump shot from 25 ft,0,0
1,1,11:46.0,,Offensive rebound by J. Hill,0,0
2,1,11:44.0,,J. Hill makes 2-pt layup from 1 ft,0,2
3,1,11:29.0,Shooting foul by M. Ellis (drawn by A. Bradley),,0,2
4,1,11:29.0,A. Bradley makes free throw 1 of 2,,1,2
5,1,11:29.0,A. Bradley makes free throw 2 of 2,,2,2
6,1,11:08.0,,P. George misses 3-pt jump shot from 25 ft,2,2
7,1,11:06.0,Defensive rebound by A. Johnson,,2,2
8,1,11:01.0,Turnover by J. Crowder (bad pass),,2,2
9,1,10:41.0,,J. Hill misses 2-pt jump shot from 19 ft,2,2
10,1,10:40.0,Defensive rebound by A. Bradley,,2,2
11,1,10:33.0,J. Sullinger misses 2-pt layup from 1 ft,,2,2
12,1,10:33.0,,Defensive rebound by J. Hill,2,2
13,1,10:15.0,,M. Ellis makes 2-pt jump shot from 13 ft,2,4
14,1,9:56.0,J. Crowder makes 2-pt layup from 2 ft (assist by J. Sullinger),,4,4
15,1,9:44.0,,Personal foul by A. Bradley (drawn by P. George),4,4
16,1,9:37.0,,M. Ellis misses 2-pt jump shot from 19 ft,4,4
17,1,9:36.0,,Offensive rebound by P. George,4,4
18,1,9:23.0,,P. George misses 2-pt jump shot from 15 ft,4,4
19,1,9:22.0,Defensive rebound by J. Sullinger,,4,4
20,1,9:17.0,A. Bradley makes 3-pt jump shot from 27 ft (assist by I. Thomas),,7,4
21,1,8:58.0,,J. Hill misses 2-pt jump shot from 15 ft,7,4
22,1,8:57.0,Defensive rebound by A. Bradley,,7,4
23,1,8:51.0,Turnover by A. Johnson (offensive goaltending),,7,4
24,1,8:36.0,,L. Allen makes 2-pt layup from 2 ft (assist by M. Ellis),7,6
25,1,8:27.0,A. Bradley misses 2-pt jump shot from 16 ft,,7,6
26,1,8:26.0,,Defensive rebound by J. Hill,7,6
27,1,8:17.0,,Turnover by L. Allen (bad pass; steal by J. Sullinger),7,6
28,1,8:12.0,I. Thomas makes 2-pt jump shot from 17 ft (assist by A. Bradley),,9,6
29,1,7:51.0,,Shooting foul by A. Johnson (drawn by L. Allen),9,6
30,1,7:51.0,,L. Allen makes free throw 1 of 2,9,7
31,1,7:51.0,,L. Allen misses free throw 2 of 2,9,7
32,1,7:51.0,Defensive rebound by J. Crowder,,9,7
33,1,7:37.0,A. Bradley misses 3-pt jump shot from 24 ft,,9,7
34,1,7:37.0,,Defensive rebound by P. George,9,7
35,1,7:20.0,,P. George makes 2-pt jump shot from 18 ft,9,9
36,1,7:12.0,Turnover by J. Sullinger (lost ball; steal by P. George),,9,9
37,1,6:58.0,,L. Allen makes 2-pt jump shot from 16 ft (assist by G. Hill),9,11
38,1,6:46.0,A. Bradley makes 2-pt jump shot from 17 ft (assist by A. Johnson),,11,11
39,1,6:21.0,,G. Hill makes 2-pt jump shot from 17 ft,11,13
40,1,6:07.0,A. Johnson misses 3-pt jump shot from 27 ft,,11,13
41,1,6:06.0,,Defensive rebound by M. Ellis,11,13
42,1,5:53.0,,G. Hill misses 2-pt jump shot from 17 ft,11,13
43,1,5:53.0,Defensive rebound by J. Sullinger,,11,13
44,1,5:47.0,I. Thomas misses 3-pt jump shot from 25 ft,,11,13
45,1,5:45.0,Offensive rebound by A. Bradley,,11,13
46,1,5:42.0,Boston full timeout,,11,13
47,1,5:42.0,K. Olynyk enters the game for J. Sullinger,,11,13
48,1,5:34.0,J. Crowder misses 3-pt jump shot from 25 ft,,11,13
49,1,5:33.0,,Defensive rebound by J. Hill,11,13
50,1,5:10.0,,Shooting foul by I. Thomas (drawn by P. George),11,13
51,1,5:10.0,,P. George makes free throw 1 of 2,11,14
52,1,5:10.0,,P. George makes free throw 2 of 2,11,15
53,1,4:52.0,I. Thomas misses 2-pt jump shot from 12 ft,,11,15
54,1,4:51.0,,Defensive rebound by P. George,11,15
55,1,4:31.0,,M. Ellis misses 2-pt jump shot from 14 ft,11,15
56,1,4:29.0,Defensive rebound by K. Olynyk,,11,15
57,1,4:22.0,K. Olynyk misses 3-pt jump shot from 26 ft,,11,15
58,1,4:21.0,,Defensive rebound by M. Ellis,11,15
59,1,4:07.0,,Turnover by M. Ellis (bad pass; steal by J. Crowder),11,15
60,1,4:02.0,Turnover by I. Thomas (bad pass),,11,15
61,1,3:48.0,,G. Hill misses 2-pt layup from 1 ft (block by K. Olynyk),11,15
62,1,3:47.0,,Offensive rebound by J. Hill,11,15
63,1,3:44.0,,L. Allen misses 2-pt jump shot from 4 ft (block by K. Olynyk),11,15
64,1,3:43.0,,Offensive rebound by L. Allen,11,15
65,1,3:29.0,,Shooting foul by A. Johnson (drawn by P. George),11,15
66,1,3:29.0,,P. George makes free throw 1 of 2,11,16
67,1,3:29.0,,R. Stuckey enters the game for G. Hill,11,16
68,1,3:29.0,,M. Turner enters the game for J. Hill,11,16
69,1,3:29.0,T. Rozier enters the game for I. Thomas,,11,16
70,1,3:29.0,T. Zeller enters the game for A. Johnson,,11,16
71,1,3:29.0,,P. George makes free throw 2 of 2,11,17
72,1,3:14.0,K. Olynyk misses 2-pt jump shot from 11 ft,,11,17
73,1,3:13.0,Offensive rebound by T. Zeller,,11,17
74,1,3:11.0,T. Zeller misses 2-pt jump shot from 4 ft,,11,17
75,1,3:10.0,,Defensive rebound by L. Allen,11,17
76,1,2:57.0,,P. George makes 2-pt jump shot from 18 ft,11,19
77,1,2:43.0,A. Bradley makes 3-pt jump shot from 27 ft (assist by T. Zeller),,14,19
78,1,2:23.0,,M. Turner misses 2-pt jump shot from 19 ft,14,19
79,1,2:22.0,Defensive rebound by T. Rozier,,14,19
80,1,2:13.0,Turnover by A. Bradley (bad pass; steal by P. George),,14,19
81,1,2:04.0,,P. George misses 3-pt jump shot from 24 ft,14,19
82,1,2:03.0,Defensive rebound by T. Rozier,,14,19
83,1,1:50.0,Personal foul by R. Stuckey (drawn by T. Rozier),,14,19
84,1,1:50.0,,Indiana full timeout,14,19
85,1,1:50.0,E. Turner enters the game for J. Crowder,,14,19
86,1,1:50.0,,C. Budinger enters the game for L. Allen,14,19
87,1,1:38.0,T. Zeller misses 2-pt hook shot from 1 ft,,14,19
88,1,1:38.0,,Defensive rebound by R. Stuckey,14,19
89,1,1:23.0,,R. Stuckey misses 2-pt jump shot from 17 ft,14,19
90,1,1:21.0,Defensive rebound by T. Rozier,,14,19
91,1,1:11.0,A. Bradley misses 3-pt jump shot from 25 ft,,14,19
92,1,1:11.0,,Defensive rebound by P. George,14,19
93,1,1:02.0,,M. Turner makes 2-pt jump shot from 19 ft (assist by P. George),14,21
94,1,0:49.0,K. Olynyk misses 2-pt layup from 1 ft (block by M. Turner),,14,21
95,1,0:49.0,Offensive rebound by Team,,14,21
96,1,0:45.0,T. Rozier misses 3-pt jump shot from 22 ft,,14,21
97,1,0:44.0,,Defensive rebound by C. Budinger,14,21
98,1,0:27.0,,R. Stuckey misses 2-pt jump shot from 6 ft,14,21
99,1,0:26.0,,Offensive rebound by R. Stuckey,14,21
100,1,0:24.0,,R. Stuckey misses 2-pt jump shot from 3 ft,14,21
101,1,0:24.0,,Offensive rebound by M. Turner,14,21
102,1,0:24.0,,M. Turner makes 2-pt layup from 2 ft,14,23
103,1,0:04.0,E. Turner makes 2-pt layup from 1 ft,,16,23
104,1,0:00.0,,M. Ellis misses 3-pt jump shot from 26 ft,16,23
105,1,0:00.0,,Offensive rebound by Team,16,23
106,2,11:42.0,D. Lee makes 2-pt hook shot from 12 ft,,18,23
107,2,11:24.0,,M. Turner misses 2-pt jump shot from 20 ft,18,23
108,2,11:23.0,,Offensive rebound by R. Stuckey,18,23
109,2,11:15.0,,G. Hill misses 3-pt jump shot from 24 ft,18,23
110,2,11:14.0,Defensive rebound by D. Lee,,18,23
111,2,11:08.0,Turnover by K. Olynyk (lost ball; steal by G. Hill),,18,23
112,2,10:50.0,,G. Hill misses 2-pt jump shot from 15 ft,18,23
113,2,10:48.0,,Offensive rebound by M. Turner,18,23
114,2,10:48.0,,M. Turner misses 2-pt layup at rim,18,23
115,2,10:48.0,Defensive rebound by D. Lee,,18,23
116,2,10:39.0,T. Rozier misses 2-pt jump shot from 9 ft,,18,23
117,2,10:39.0,Offensive rebound by T. Rozier,,18,23
118,2,10:37.0,Turnover by T. Rozier (lost ball),,18,23
119,2,10:29.0,,Shooting block foul by T. Rozier (drawn by G. Hill),18,23
120,2,10:29.0,,G. Hill misses free throw 1 of 2,18,23
121,2,10:29.0,,Offensive rebound by Team,18,23
122,2,10:29.0,,G. Hill makes free throw 2 of 2,18,24
123,2,10:18.0,Turnover by T. Rozier (bad pass; steal by G. Hill),,18,24
124,2,10:04.0,,C. Budinger misses 3-pt jump shot from 26 ft,18,24
125,2,10:03.0,Defensive rebound by T. Rozier,,18,24
126,2,9:58.0,T. Rozier misses 2-pt layup at rim,,18,24
127,2,9:57.0,Offensive rebound by K. Olynyk,,18,24
128,2,9:57.0,K. Olynyk misses 2-pt layup from 1 ft,,18,24
129,2,9:55.0,,Defensive rebound by C. Budinger,18,24
130,2,9:46.0,,Turnover by G. Robinson (lost ball),18,24
131,2,9:34.0,T. Rozier misses 2-pt layup at rim,,18,24
132,2,9:33.0,,Defensive rebound by G. Hill,18,24
133,2,9:20.0,,Shooting foul by K. Olynyk (drawn by G. Hill),18,24
134,2,9:20.0,,G. Hill misses free throw 1 of 2,18,24
135,2,9:20.0,,Offensive rebound by Team,18,24
136,2,9:20.0,I. Thomas enters the game for T. Rozier,,18,24
137,2,9:20.0,R. Hunter enters the game for K. Olynyk,,18,24
138,2,9:20.0,,G. Hill misses free throw 2 of 2,18,24
139,2,9:20.0,Defensive rebound by E. Turner,,18,24
140,2,9:09.0,I. Thomas misses 2-pt layup from 1 ft,,18,24
141,2,9:08.0,Offensive rebound by D. Lee,,18,24
142,2,9:07.0,Shooting foul by M. Turner (drawn by D. Lee),,18,24
