,QUARTER,TIME_REMAINING,ORLANDO_ACTION,MINNESOTA_ACTION,ORLANDO_SCORE,MINNESOTA_SCORE
0,1,11:47.0,T. Harris misses 2-pt jump shot from 5 ft (block by K. Towns),,0,0
1,1,11:45.0,,Defensive rebound by K. Martin,0,0
2,1,11:42.0,,R. Rubio misses 2-pt layup from 2 ft,0,0
3,1,11:40.0,,Offensive rebound by K. Towns,0,0
4,1,11:40.0,,K. Towns misses 2-pt dunk from 1 ft,0,0
5,1,11:38.0,Defensive rebound by E. Payton,,0,0
6,1,11:23.0,N. Vučević misses 2-pt jump shot from 7 ft (block by K. Towns),,0,0
7,1,11:21.0,,Defensive rebound by A. Wiggins,0,0
8,1,11:14.0,,K. Garnett misses 2-pt jump shot from 7 ft,0,0
9,1,11:12.0,,Offensive rebound by K. Garnett,0,0
10,1,11:12.0,,K. Garnett makes 2-pt layup at rim,0,2
11,1,10:58.0,T. Harris misses 3-pt jump shot from 24 ft,,0,2
12,1,10:56.0,,Defensive rebound by K. Towns,0,2
13,1,10:42.0,,Turnover by R. Rubio (bad pass; steal by E. Fournier),0,2
14,1,10:23.0,E. Fournier makes 2-pt jump shot from 21 ft (assist by N. Vučević),,2,2
15,1,10:01.0,,Turnover by K. Garnett (3 sec),2,2
16,1,9:48.0,E. Fournier makes 2-pt layup at rim,,4,2
17,1,9:23.0,,R. Rubio misses 3-pt jump shot from 25 ft,4,2
18,1,9:22.0,Defensive rebound by N. Vučević,,4,2
19,1,9:08.0,T. Harris makes 2-pt jump shot from 10 ft,,6,2
20,1,8:46.0,,K. Towns misses 2-pt jump shot from 14 ft,6,2
21,1,8:45.0,,Offensive rebound by K. Garnett,6,2
22,1,8:41.0,,A. Wiggins misses 3-pt jump shot from 24 ft,6,2
23,1,8:40.0,,Offensive rebound by R. Rubio,6,2
24,1,8:24.0,,K. Martin misses 2-pt layup from 2 ft,6,2
25,1,8:23.0,Defensive rebound by N. Vučević,,6,2
26,1,8:20.0,Personal foul by R. Rubio (drawn by E. Payton),,6,2
27,1,8:11.0,N. Vučević makes 2-pt dunk at rim (assist by E. Payton),,8,2
28,1,8:04.0,,Minnesota full timeout,8,2
29,1,7:56.0,,K. Martin misses 2-pt jump shot from 20 ft,8,2
30,1,7:55.0,Defensive rebound by C. Frye,,8,2
31,1,7:44.0,E. Payton misses 2-pt jump shot from 20 ft,,8,2
32,1,7:43.0,,Defensive rebound by K. Garnett,8,2
33,1,7:33.0,,K. Towns misses 3-pt jump shot from 24 ft,8,2
34,1,7:32.0,Defensive rebound by C. Frye,,8,2
35,1,7:26.0,N. Vučević misses 2-pt jump shot from 15 ft,,8,2
36,1,7:25.0,,Defensive rebound by K. Towns,8,2
37,1,7:18.0,,K. Towns misses 2-pt layup from 1 ft (block by N. Vučević),8,2
38,1,7:17.0,Defensive rebound by C. Frye,,8,2
39,1,7:12.0,,Offensive charge foul by E. Payton (drawn by R. Rubio),8,2
40,1,7:12.0,Turnover by E. Payton (offensive foul),,8,2
41,1,7:00.0,,Shooting foul by N. Vučević (drawn by A. Wiggins),8,2
42,1,7:00.0,,A. Wiggins makes free throw 1 of 2,8,3
43,1,7:00.0,,A. Wiggins makes free throw 2 of 2,8,4
44,1,6:45.0,E. Fournier misses 2-pt layup at rim (block by K. Garnett),,8,4
45,1,6:44.0,,Defensive rebound by K. Garnett,8,4
46,1,6:36.0,,K. Martin misses 2-pt jump shot from 13 ft,8,4
47,1,6:35.0,Defensive rebound by T. Harris,,8,4
48,1,6:27.0,C. Frye misses 3-pt jump shot from 24 ft,,8,4
49,1,6:26.0,,Defensive rebound by K. Towns,8,4
50,1,6:22.0,,Shooting foul by T. Harris (drawn by K. Towns),8,4
51,1,6:22.0,,K. Towns misses free throw 1 of 2,8,4
52,1,6:22.0,,Offensive rebound by Team,8,4
53,1,6:22.0,,K. Towns misses free throw 2 of 2,8,4
54,1,6:22.0,Defensive rebound by N. Vučević,,8,4
55,1,6:06.0,N. Vučević misses 2-pt hook shot from 6 ft,,8,4
56,1,6:05.0,,Defensive rebound by K. Garnett,8,4
57,1,5:54.0,,Turnover by A. Wiggins (bad pass; steal by N. Vučević),8,4
58,1,5:45.0,Shooting foul by K. Towns (drawn by E. Payton),,8,4
59,1,5:45.0,E. Payton makes free throw 1 of 2,,9,4
60,1,5:45.0,,N. Bjelica enters the game for K. Garnett,9,4
61,1,5:45.0,E. Payton makes free throw 2 of 2,,10,4
62,1,5:33.0,,Turnover by A. Wiggins (lost ball),10,4
63,1,5:15.0,N. Vučević misses 2-pt hook shot from 4 ft,,10,4
64,1,5:14.0,Offensive rebound by N. Vučević,,10,4
65,1,5:11.0,N. Vučević makes 2-pt hook shot from 5 ft,,12,4
66,1,4:57.0,,K. Towns misses 2-pt jump shot from 20 ft,12,4
67,1,4:56.0,,Offensive rebound by N. Bjelica,12,4
68,1,4:47.0,,K. Towns makes 2-pt hook shot from 8 ft,12,6
69,1,4:33.0,Turnover by N. Vučević (bad pass),,12,6
70,1,4:33.0,A. Nicholson enters the game for C. Frye,,12,6
71,1,4:33.0,V. Oladipo enters the game for E. Fournier,,12,6
72,1,4:33.0,,G. Dieng enters the game for K. Towns,12,6
73,1,4:21.0,,A. Wiggins misses 2-pt jump shot from 19 ft,12,6
74,1,4:20.0,Defensive rebound by E. Payton,,12,6
75,1,4:16.0,Personal foul by N. Bjelica (drawn by T. Harris),,12,6
76,1,4:16.0,T. Harris makes free throw 1 of 2,,13,6
77,1,4:16.0,T. Harris misses free throw 2 of 2,,13,6
78,1,4:16.0,,Defensive rebound by G. Dieng,13,6
79,1,4:01.0,,Personal foul by V. Oladipo (drawn by K. Martin),13,6
80,1,4:01.0,,Z. LaVine enters the game for R. Rubio,13,6
81,1,4:01.0,,S. Muhammad enters the game for K. Martin,13,6
82,1,3:56.0,,A. Wiggins makes 2-pt jump shot from 19 ft (assist by Z. LaVine),13,8
83,1,3:39.0,N. Vučević misses 2-pt jump shot from 17 ft,,13,8
84,1,3:38.0,,Defensive rebound by Z. LaVine,13,8
85,1,3:24.0,,Z. LaVine misses 2-pt jump shot from 6 ft,13,8
86,1,3:23.0,Defensive rebound by Team,,13,8
87,1,3:23.0,Orlando full timeout,,13,8
88,1,3:10.0,E. Payton makes 2-pt jump shot from 12 ft (assist by V. Oladipo),,15,8
89,1,2:54.0,,S. Muhammad misses 2-pt jump shot from 9 ft,15,8
90,1,2:53.0,Defensive rebound by T. Harris,,15,8
91,1,2:42.0,A. Nicholson makes 2-pt hook shot from 8 ft,,17,8
92,1,2:23.0,,A. Wiggins makes 2-pt jump shot from 6 ft,17,10
93,1,2:23.0,,Shooting foul by N. Vučević (drawn by A. Wiggins),17,10
94,1,2:23.0,A. Gordon enters the game for T. Harris,,17,10
95,1,2:23.0,J. Smith enters the game for N. Vučević,,17,10
96,1,2:23.0,S. Napier enters the game for E. Payton,,17,10
97,1,2:23.0,,A. Wiggins misses free throw 1 of 1,17,10
98,1,2:22.0,Defensive rebound by S. Napier,,17,10
99,1,2:06.0,A. Gordon misses 2-pt layup at rim,,17,10
100,1,2:05.0,,Defensive rebound by Z. LaVine,17,10
101,1,1:51.0,,G. Dieng misses 2-pt jump shot from 7 ft,17,10
102,1,1:50.0,Defensive rebound by A. Gordon,,17,10
103,1,1:29.0,A. Gordon makes 2-pt jump shot from 10 ft,,19,10
104,1,1:12.0,,Shooting foul by A. Gordon (drawn by A. Wiggins),19,10
