,QUARTER,TIME_REMAINING,UTAH_ACTION,LA LAKERS_ACTION,UTAH_SCORE,LA LAKERS_SCORE
0,1,11:35.0,,R. Hibbert misses 2-pt jump shot from 14 ft,0,0
1,1,11:34.0,Defensive rebound by T. Lyles,,0,0
2,1,11:13.0,R. Neto misses 2-pt jump shot from 19 ft,,0,0
3,1,11:12.0,,Defensive rebound by A. Brown,0,0
4,1,10:53.0,,L. Williams makes 2-pt jump shot from 16 ft,0,2
5,1,10:34.0,R. Neto makes 2-pt jump shot from 4 ft,,2,2
6,1,10:16.0,,R. Hibbert misses 2-pt layup from 1 ft (block by R. Gobert),2,2
7,1,10:15.0,Defensive rebound by R. Hood,,2,2
8,1,9:56.0,G. Hayward makes 2-pt jump shot from 10 ft (assist by T. Lyles),,4,2
9,1,9:36.0,,L. Nance misses 2-pt layup from 2 ft,4,2
10,1,9:33.0,,Offensive rebound by R. Hibbert,4,2
11,1,9:33.0,,R. Hibbert misses 2-pt layup at rim,4,2
12,1,9:19.0,,Offensive rebound by L. Nance,4,2
13,1,9:19.0,,L. Nance misses 2-pt layup from 1 ft,4,2
14,1,9:19.0,,Offensive rebound by Team,4,2
15,1,9:19.0,Loose ball foul by T. Lyles (drawn by R. Hibbert),,4,2
16,1,9:19.0,,A. Brown misses 2-pt jump shot from 11 ft,4,2
17,1,9:18.0,Defensive rebound by T. Lyles,,4,2
18,1,9:10.0,R. Hood misses 2-pt jump shot from 9 ft,,4,2
19,1,9:10.0,,Defensive rebound by A. Brown,4,2
20,1,9:02.0,,A. Brown misses 2-pt jump shot from 15 ft,4,2
21,1,9:01.0,Defensive rebound by R. Neto,,4,2
22,1,8:56.0,G. Hayward makes 2-pt layup at rim (assist by R. Neto),,6,2
23,1,8:33.0,,L. Williams misses 3-pt jump shot from 25 ft,6,2
24,1,8:32.0,Defensive rebound by T. Lyles,,6,2
25,1,8:20.0,T. Lyles misses 2-pt jump shot from 17 ft,,6,2
26,1,8:20.0,,Defensive rebound by L. Nance,6,2
27,1,8:10.0,,J. Clarkson misses 2-pt hook shot from 1 ft,6,2
28,1,8:08.0,,Offensive rebound by R. Hibbert,6,2
29,1,8:00.0,,J. Clarkson misses 3-pt jump shot from 24 ft,6,2
30,1,7:59.0,Defensive rebound by R. Hood,,6,2
31,1,7:51.0,R. Gobert makes 2-pt dunk at rim (assist by G. Hayward),,8,2
32,1,7:29.0,,J. Clarkson misses 2-pt jump shot from 10 ft,8,2
33,1,7:26.0,Offensive rebound by Team,,8,2
34,1,7:11.0,Shooting foul by A. Brown (drawn by G. Hayward),,8,2
35,1,7:11.0,G. Hayward misses free throw 1 of 2,,8,2
36,1,7:11.0,Offensive rebound by Team,,8,2
37,1,7:11.0,G. Hayward makes free throw 2 of 2,,9,2
38,1,6:57.0,,J. Clarkson misses 2-pt jump shot from 19 ft,9,2
39,1,6:56.0,Defensive rebound by R. Gobert,,9,2
40,1,6:46.0,R. Hood misses 2-pt jump shot from 14 ft,,9,2
41,1,6:45.0,,Defensive rebound by L. Nance,9,2
42,1,6:20.0,,J. Clarkson makes 2-pt jump shot from 19 ft,9,4
43,1,6:02.0,G. Hayward misses 2-pt jump shot from 3 ft,,9,4
44,1,6:02.0,,Defensive rebound by R. Hibbert,9,4
45,1,5:59.0,,Personal take foul by R. Hood (drawn by J. Clarkson),9,4
46,1,5:59.0,,LA Lakers full timeout,9,4
47,1,5:57.0,C. Johnson enters the game for R. Hood,,9,4
48,1,5:44.0,,L. Nance misses 2-pt jump shot from 4 ft,9,4
49,1,5:43.0,,Offensive rebound by L. Nance,9,4
50,1,5:38.0,,J. Clarkson makes 3-pt jump shot from 24 ft (assist by L. Williams),9,7
51,1,5:21.0,Turnover by R. Neto (bad pass),,9,7
52,1,5:07.0,,Turnover by R. Hibbert (bad pass; steal by C. Johnson),9,7
53,1,5:03.0,Shooting foul by R. Hibbert (drawn by R. Gobert),,9,7
54,1,5:03.0,R. Gobert misses free throw 1 of 2,,9,7
55,1,5:03.0,Offensive rebound by Team,,9,7
56,1,5:03.0,T. Burke enters the game for R. Neto,,9,7
57,1,5:03.0,R. Gobert misses free throw 2 of 2,,9,7
58,1,5:02.0,,Defensive rebound by R. Hibbert,9,7
59,1,4:46.0,,A. Brown misses 3-pt jump shot from 23 ft,9,7
60,1,4:45.0,Defensive rebound by T. Lyles,,9,7
61,1,4:27.0,G. Hayward misses 3-pt jump shot from 24 ft,,9,7
62,1,4:26.0,,Defensive rebound by L. Williams,9,7
63,1,4:15.0,,L. Nance misses 2-pt jump shot from 19 ft,9,7
64,1,4:14.0,Defensive rebound by R. Gobert,,9,7
65,1,4:06.0,G. Hayward misses 2-pt jump shot from 19 ft,,9,7
66,1,4:05.0,,Defensive rebound by L. Williams,9,7
67,1,3:55.0,,Turnover by L. Williams (lost ball; steal by R. Gobert),9,7
68,1,3:54.0,Personal foul by J. Clarkson (drawn by T. Burke),,9,7
69,1,3:54.0,,J. Randle enters the game for L. Nance,9,7
70,1,3:54.0,,R. Sacre enters the game for R. Hibbert,9,7
71,1,3:54.0,J. Withey enters the game for R. Gobert,,9,7
72,1,3:54.0,,N. Young enters the game for L. Williams,9,7
73,1,3:37.0,T. Burke misses 2-pt jump shot from 17 ft,,9,7
74,1,3:36.0,,Defensive rebound by J. Randle,9,7
75,1,3:12.0,,J. Randle misses 2-pt jump shot from 14 ft,9,7
76,1,3:12.0,Defensive rebound by C. Johnson,,9,7
77,1,2:59.0,G. Hayward misses 2-pt jump shot from 8 ft,,9,7
78,1,2:58.0,,Defensive rebound by J. Randle,9,7
79,1,2:46.0,,R. Sacre makes 2-pt jump shot from 14 ft (assist by J. Clarkson),9,9
80,1,2:40.0,Utah full timeout,,9,9
81,1,2:40.0,T. Booker enters the game for T. Lyles,,9,9
82,1,2:21.0,C. Johnson misses 3-pt jump shot from 24 ft,,9,9
83,1,2:21.0,,Defensive rebound by Team,9,9
84,1,2:03.0,,N. Young makes 2-pt jump shot from 20 ft (assist by R. Sacre),9,11
85,1,1:52.0,Turnover by T. Booker (offensive foul),,9,11
86,1,1:52.0,Offensive foul by T. Booker (drawn by J. Clarkson),,9,11
87,1,1:52.0,R. Hood enters the game for G. Hayward,,9,11
88,1,1:35.0,,N. Young misses 2-pt jump shot from 19 ft,9,11
89,1,1:34.0,Defensive rebound by J. Withey,,9,11
90,1,1:19.0,R. Hood makes 3-pt jump shot from 22 ft (assist by J. Withey),,12,11
91,1,1:05.0,,J. Clarkson makes 2-pt layup at rim,12,13
92,1,1:05.0,,Shooting foul by J. Withey (drawn by J. Clarkson),12,13
93,1,1:05.0,,J. Clarkson makes free throw 1 of 1,12,14
94,1,0:56.0,Personal foul by N. Young (drawn by J. Withey),,12,14
95,1,0:52.0,T. Burke makes 3-pt jump shot from 25 ft (assist by R. Hood),,15,14
96,1,0:27.0,,R. Sacre misses 2-pt jump shot from 14 ft,15,14
97,1,0:27.0,Defensive rebound by T. Booker,,15,14
98,1,0:13.0,C. Johnson misses 3-pt jump shot from 22 ft,,15,14
99,1,0:12.0,,Defensive rebound by J. Randle,15,14
100,1,0:01.0,,J. Randle misses 2-pt jump shot from 4 ft,15,14
101,1,0:00.0,Defensive rebound by C. Johnson,,15,14
102,2,11:39.0,J. Withey makes 2-pt jump shot from 14 ft (assist by T. Booker),,17,14
103,2,11:16.0,,M. World Peace misses 3-pt jump shot from 22 ft,17,14
104,2,11:15.0,Defensive rebound by C. Johnson,,17,14
105,2,11:01.0,T. Burke misses 2-pt jump shot from 4 ft,,17,14
106,2,10:58.0,,Defensive rebound by J. Randle,17,14
107,2,10:55.0,,Turnover by M. Huertas (bad pass; steal by R. Hood),17,14
108,2,10:51.0,R. Hood makes 2-pt layup at rim,,19,14
109,2,10:51.0,Shooting foul by J. Randle (drawn by R. Hood),,19,14
110,2,10:51.0,R. Hood makes free throw 1 of 1,,20,14
