,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,PHOENIX_ACTION,SACRAMENTO_SCORE,PHOENIX_SCORE
0,1,11:43.0,,Turnover by P. Tucker (lost ball; steal by R. Gay),0,0
1,1,11:33.0,Turnover by J. Anderson (lost ball; steal by E. Bledsoe),,0,0
2,1,11:17.0,,T. Chandler makes 2-pt dunk at rim (assist by B. Knight),0,2
3,1,11:02.0,D. Collison makes 2-pt jump shot from 15 ft,,2,2
4,1,10:48.0,,E. Bledsoe misses 2-pt jump shot from 16 ft,2,2
5,1,10:46.0,Defensive rebound by R. Gay,,2,2
6,1,10:40.0,R. Rondo misses 2-pt layup from 1 ft,,2,2
7,1,10:35.0,,Defensive rebound by T. Chandler,2,2
8,1,10:16.0,,E. Bledsoe makes 3-pt jump shot from 24 ft (assist by B. Knight),2,5
9,1,9:57.0,R. Gay misses 2-pt jump shot from 21 ft,,2,5
10,1,9:53.0,,Defensive rebound by T. Chandler,2,5
11,1,9:51.0,,E. Bledsoe makes 2-pt jump shot from 19 ft,2,7
12,1,9:22.0,J. Anderson misses 2-pt jump shot from 19 ft,,2,7
13,1,9:22.0,,Defensive rebound by Team,2,7
14,1,9:22.0,Loose ball foul by R. Rondo (drawn by B. Knight),,2,7
15,1,9:06.0,,M. Morris makes 2-pt jump shot from 19 ft (assist by E. Bledsoe),2,9
16,1,8:55.0,Shooting foul by P. Tucker (drawn by R. Gay),,2,9
17,1,8:55.0,R. Gay makes free throw 1 of 2,,3,9
18,1,8:55.0,R. Gay misses free throw 2 of 2,,3,9
19,1,8:54.0,,Defensive rebound by T. Chandler,3,9
20,1,8:33.0,,M. Morris misses 2-pt jump shot from 6 ft (block by W. Cauley-Stein),3,9
21,1,8:30.0,Defensive rebound by R. Gay,,3,9
22,1,8:27.0,J. Anderson makes 2-pt layup from 2 ft,,5,9
23,1,8:27.0,Shooting block foul by P. Tucker (drawn by J. Anderson),,5,9
24,1,8:27.0,,T. Warren enters the game for P. Tucker,5,9
25,1,8:27.0,J. Anderson makes free throw 1 of 1,,6,9
26,1,8:13.0,,B. Knight misses 3-pt jump shot from 25 ft,6,9
27,1,8:11.0,Defensive rebound by W. Cauley-Stein,,6,9
28,1,8:04.0,R. Gay misses 2-pt jump shot from 6 ft,,6,9
29,1,8:02.0,Offensive rebound by R. Gay,,6,9
30,1,7:51.0,J. Anderson misses 2-pt jump shot from 8 ft,,6,9
31,1,7:47.0,,Defensive rebound by T. Chandler,6,9
32,1,7:40.0,,T. Warren makes 3-pt jump shot from 22 ft (assist by M. Morris),6,12
33,1,7:20.0,R. Gay makes 2-pt jump shot from 10 ft,,8,12
34,1,7:03.0,,M. Morris makes 2-pt dunk at rim (assist by E. Bledsoe),8,14
35,1,6:41.0,J. Anderson misses 3-pt jump shot from 23 ft,,8,14
36,1,6:39.0,,Defensive rebound by E. Bledsoe,8,14
37,1,6:33.0,,E. Bledsoe makes 3-pt jump shot from 24 ft,8,17
38,1,6:27.0,Sacramento full timeout,,8,17
39,1,6:11.0,D. Collison misses 2-pt layup from 2 ft (block by E. Bledsoe),,8,17
40,1,6:08.0,,Defensive rebound by M. Morris,8,17
41,1,6:02.0,,Shooting foul by W. Cauley-Stein (drawn by T. Chandler),8,17
42,1,6:02.0,,T. Chandler misses free throw 1 of 2,8,17
43,1,6:02.0,,Offensive rebound by Team,8,17
44,1,6:02.0,M. Belinelli enters the game for J. Anderson,,8,17
45,1,6:02.0,K. Koufos enters the game for W. Cauley-Stein,,8,17
46,1,6:02.0,,T. Chandler makes free throw 2 of 2,8,18
47,1,5:49.0,R. Rondo makes 2-pt jump shot from 18 ft (assist by M. Belinelli),,10,18
48,1,5:40.0,,T. Chandler misses 2-pt dunk at rim,10,18
49,1,5:37.0,Defensive rebound by K. Koufos,,10,18
50,1,5:34.0,K. Koufos makes 2-pt layup from 1 ft (assist by R. Gay),,12,18
51,1,5:24.0,,B. Knight misses 2-pt layup from 2 ft,12,18
52,1,5:22.0,,Offensive rebound by T. Chandler,12,18
53,1,5:04.0,,T. Warren makes 2-pt jump shot from 13 ft (assist by M. Morris),12,20
54,1,4:45.0,R. Rondo misses 3-pt jump shot from 24 ft,,12,20
55,1,4:43.0,,Defensive rebound by E. Bledsoe,12,20
56,1,4:36.0,,B. Knight misses 2-pt layup from 1 ft,12,20
57,1,4:33.0,Defensive rebound by R. Gay,,12,20
58,1,4:30.0,R. Gay misses 2-pt jump shot from 3 ft,,12,20
59,1,4:25.0,,Defensive rebound by T. Chandler,12,20
60,1,4:10.0,,E. Bledsoe misses 2-pt jump shot from 6 ft,12,20
61,1,4:09.0,Defensive rebound by R. Rondo,,12,20
62,1,4:03.0,R. Rondo misses 2-pt layup from 1 ft,,12,20
63,1,4:01.0,Offensive rebound by K. Koufos,,12,20
64,1,4:01.0,K. Koufos makes 2-pt layup at rim,,14,20
65,1,3:44.0,O. Casspi enters the game for D. Collison,,14,20
66,1,3:44.0,,S. Weems enters the game for B. Knight,14,20
67,1,3:44.0,,A. Len enters the game for T. Chandler,14,20
68,1,3:43.0,,Personal block foul by R. Gay (drawn by T. Warren),14,20
69,1,3:43.0,,Phoenix full timeout,14,20
70,1,3:30.0,,E. Bledsoe makes 2-pt jump shot from 19 ft,14,22
71,1,3:11.0,Turnover by K. Koufos (bad pass; steal by E. Bledsoe),,14,22
72,1,3:11.0,,Turnover by E. Bledsoe (lost ball),14,22
73,1,2:58.0,R. Gay misses 2-pt jump shot from 6 ft (block by M. Morris),,14,22
74,1,2:54.0,,Defensive rebound by M. Morris,14,22
75,1,2:49.0,,A. Len misses 2-pt dunk from 2 ft (block by K. Koufos),14,22
76,1,2:41.0,,Offensive rebound by Team,14,22
77,1,2:36.0,,T. Warren makes 2-pt jump shot from 18 ft (assist by M. Morris),14,24
78,1,2:20.0,Shooting block foul by S. Weems (drawn by R. Rondo),,14,24
79,1,2:20.0,R. Rondo misses free throw 1 of 2,,14,24
80,1,2:20.0,Offensive rebound by Team,,14,24
81,1,2:20.0,C. Butler enters the game for R. Gay,,14,24
82,1,2:20.0,,J. Leuer enters the game for M. Morris,14,24
83,1,2:20.0,R. Rondo misses free throw 2 of 2,,14,24
84,1,2:19.0,,Defensive rebound by T. Warren,14,24
85,1,1:55.0,,Turnover by Team (shot clock),14,24
86,1,1:47.0,M. Belinelli misses 3-pt jump shot from 24 ft,,14,24
87,1,1:47.0,,Defensive rebound by Team,14,24
88,1,1:32.0,,Turnover by A. Len (3 sec),14,24
89,1,1:26.0,Turnover by O. Casspi (bad pass; steal by E. Bledsoe),,14,24
90,1,1:19.0,,T. Warren misses 2-pt layup from 2 ft,14,24
91,1,1:16.0,,Offensive rebound by A. Len,14,24
92,1,1:16.0,,A. Len makes 2-pt dunk at rim,14,26
93,1,1:05.0,M. Belinelli makes 2-pt jump shot from 8 ft (assist by R. Rondo),,16,26
94,1,1:00.0,,S. Weems makes 2-pt layup from 1 ft (assist by E. Bledsoe),16,28
95,1,0:49.0,R. Rondo makes 2-pt jump shot from 20 ft,,18,28
96,1,0:38.0,,J. Leuer misses 2-pt jump shot from 15 ft,18,28
97,1,0:37.0,Defensive rebound by R. Rondo,,18,28
98,1,0:19.0,R. Rondo misses 2-pt jump shot from 19 ft,,18,28
99,1,0:17.0,,Defensive rebound by T. Warren,18,28
100,1,0:00.0,,E. Bledsoe misses 3-pt jump shot from 24 ft,18,28
101,1,0:00.0,,Offensive rebound by Team,18,28
102,2,11:41.0,Shooting foul by J. Leuer (drawn by O. Casspi),,18,28
103,2,11:41.0,O. Casspi misses free throw 1 of 2,,18,28
104,2,11:41.0,Offensive rebound by Team,,18,28
105,2,11:41.0,O. Casspi misses free throw 2 of 2,,18,28
106,2,11:40.0,,Defensive rebound by A. Len,18,28
107,2,11:17.0,,J. Leuer makes 2-pt hook shot from 11 ft,18,30
108,2,11:02.0,Shooting foul by J. Leuer (drawn by O. Casspi),,18,30
109,2,11:02.0,O. Casspi makes free throw 1 of 2,,19,30
110,2,11:02.0,O. Casspi makes free throw 2 of 2,,20,30
111,2,10:38.0,,T. Warren misses 3-pt jump shot from 30 ft,20,30
112,2,10:35.0,,Offensive rebound by S. Weems,20,30
113,2,10:28.0,,Offensive foul by A. Len (drawn by M. Belinelli),20,30
114,2,10:28.0,,Turnover by A. Len (offensive foul),20,30
115,2,10:13.0,D. Collison misses 2-pt jump shot from 4 ft,,20,30
116,2,10:11.0,,Defensive rebound by T. Warren,20,30
117,2,10:06.0,,Turnover by T. Warren (lost ball; steal by O. Casspi),20,30
118,2,10:02.0,M. Belinelli makes 2-pt layup at rim (assist by D. Collison),,22,30
119,2,10:02.0,Shooting foul by R. Price (drawn by M. Belinelli),,22,30
120,2,10:02.0,M. Belinelli makes free throw 1 of 1,,23,30
121,2,9:49.0,,Turnover by S. Weems (bad pass; steal by C. Butler),23,30
122,2,9:47.0,Turnover by D. Collison (lost ball; steal by R. Price),,23,30
123,2,9:42.0,,T. Warren makes 2-pt layup at rim (assist by S. Weems),23,32
124,2,9:30.0,K. Koufos misses 2-pt layup from 2 ft,,23,32
125,2,9:28.0,,Defensive rebound by S. Weems,23,32
126,2,9:21.0,,Shooting foul by K. Koufos (drawn by S. Weems),23,32
127,2,9:21.0,,S. Weems makes free throw 1 of 2,23,33
