,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,MINNESOTA_ACTION,LA LAKERS_SCORE,MINNESOTA_SCORE
0,1,11:48.0,,A. Wiggins misses 3-pt jump shot from 25 ft,0,0
1,1,11:46.0,Defensive rebound by R. Hibbert,,0,0
2,1,11:29.0,Turnover by K. Bryant (bad pass; steal by K. Garnett),,0,0
3,1,11:24.0,,K. Martin makes 2-pt layup at rim (assist by R. Rubio),0,2
4,1,11:12.0,L. Nance misses 2-pt jump shot from 17 ft,,0,2
5,1,11:11.0,,Defensive rebound by K. Martin,0,2
6,1,11:01.0,,K. Garnett makes 2-pt jump shot from 19 ft (assist by R. Rubio),0,4
7,1,10:39.0,L. Nance misses 2-pt jump shot from 4 ft (block by K. Towns),,0,4
8,1,10:37.0,,Defensive rebound by K. Towns,0,4
9,1,10:25.0,,K. Towns makes 2-pt jump shot from 18 ft (assist by K. Garnett),0,6
10,1,10:13.0,Personal foul by R. Rubio (drawn by J. Clarkson),,0,6
11,1,10:05.0,K. Bryant makes 2-pt jump shot from 18 ft,,2,6
12,1,9:53.0,,A. Wiggins misses 2-pt jump shot from 17 ft,2,6
13,1,9:51.0,Defensive rebound by J. Clarkson,,2,6
14,1,9:40.0,J. Clarkson makes 2-pt jump shot from 14 ft (assist by L. Nance),,4,6
15,1,9:27.0,,K. Towns misses 2-pt hook shot from 5 ft,4,6
16,1,9:25.0,Defensive rebound by J. Clarkson,,4,6
17,1,9:20.0,J. Clarkson makes 2-pt layup at rim,,6,6
18,1,9:00.0,,K. Martin makes 2-pt jump shot from 16 ft (assist by K. Garnett),6,8
19,1,8:48.0,Personal foul by K. Martin,,6,8
20,1,8:41.0,J. Clarkson misses 3-pt jump shot from 24 ft,,6,8
21,1,8:40.0,,Defensive rebound by K. Towns,6,8
22,1,8:30.0,,A. Wiggins misses 2-pt jump shot from 12 ft,6,8
23,1,8:28.0,Defensive rebound by J. Clarkson,,6,8
24,1,8:20.0,Turnover by K. Bryant (lost ball; steal by R. Rubio),,6,8
25,1,8:19.0,,Personal foul by K. Bryant (drawn by R. Rubio),6,8
26,1,8:07.0,,Shooting foul by J. Clarkson (drawn by R. Rubio),6,8
27,1,8:07.0,,R. Rubio makes free throw 1 of 2,6,9
28,1,8:07.0,,R. Rubio makes free throw 2 of 2,6,10
29,1,8:03.0,Turnover by J. Clarkson (bad pass; steal by K. Martin),,6,10
30,1,7:58.0,,K. Martin misses 2-pt jump shot from 13 ft,6,10
31,1,7:55.0,Defensive rebound by L. Williams,,6,10
32,1,7:52.0,K. Bryant makes 3-pt jump shot from 24 ft (assist by L. Williams),,9,10
33,1,7:36.0,,K. Towns misses 2-pt layup from 1 ft,9,10
34,1,7:34.0,,Offensive rebound by K. Garnett,9,10
35,1,7:31.0,,K. Martin makes 3-pt jump shot from 24 ft (assist by K. Garnett),9,13
36,1,7:16.0,L. Nance makes 2-pt jump shot from 18 ft (assist by L. Williams),,11,13
37,1,6:51.0,,K. Towns makes 2-pt jump shot from 5 ft,11,15
38,1,6:28.0,K. Bryant makes 2-pt jump shot from 15 ft,,13,15
39,1,6:13.0,,K. Towns makes 2-pt jump shot from 11 ft (assist by R. Rubio),13,17
40,1,5:59.0,L. Williams makes 2-pt jump shot from 10 ft,,15,17
41,1,5:52.0,,Minnesota full timeout,15,17
42,1,5:52.0,,N. Bjelica enters the game for K. Garnett,15,17
43,1,5:41.0,,A. Wiggins makes 2-pt jump shot from 10 ft,15,19
44,1,5:29.0,Shooting foul by K. Towns (drawn by L. Williams),,15,19
45,1,5:29.0,L. Williams misses free throw 1 of 2,,15,19
46,1,5:29.0,Offensive rebound by Team,,15,19
47,1,5:29.0,L. Williams makes free throw 2 of 2,,16,19
48,1,5:18.0,,A. Wiggins makes 2-pt jump shot from 18 ft (assist by K. Martin),16,21
49,1,4:54.0,J. Clarkson makes 2-pt layup from 1 ft,,18,21
50,1,4:38.0,,K. Towns makes 2-pt jump shot from 12 ft (assist by R. Rubio),18,23
51,1,4:24.0,J. Clarkson makes 2-pt layup at rim (assist by R. Hibbert),,20,23
52,1,4:12.0,,K. Towns misses 2-pt jump shot from 11 ft,20,23
53,1,4:08.0,,Offensive rebound by N. Bjelica,20,23
54,1,4:04.0,,A. Wiggins makes 2-pt jump shot from 18 ft,20,25
55,1,3:51.0,K. Bryant misses 3-pt jump shot from 25 ft,,20,25
56,1,3:50.0,,Defensive rebound by K. Towns,20,25
57,1,3:43.0,,Shooting foul by R. Hibbert (drawn by K. Towns),20,25
58,1,3:43.0,,K. Towns makes free throw 1 of 2,20,26
59,1,3:43.0,D. Russell enters the game for L. Williams,,20,26
60,1,3:43.0,N. Young enters the game for K. Bryant,,20,26
61,1,3:43.0,,Z. LaVine enters the game for R. Rubio,20,26
62,1,3:43.0,,K. Towns misses free throw 2 of 2,20,26
63,1,3:43.0,Defensive rebound by R. Hibbert,,20,26
64,1,3:27.0,J. Randle enters the game for R. Hibbert,,20,26
65,1,3:21.0,J. Randle misses 2-pt jump shot from 4 ft,,20,26
66,1,3:19.0,Offensive rebound by J. Randle,,20,26
67,1,3:19.0,J. Randle makes 2-pt layup from 1 ft,,22,26
68,1,3:06.0,,K. Towns misses 2-pt jump shot from 5 ft,22,26
69,1,3:05.0,,Offensive rebound by N. Bjelica,22,26
70,1,3:05.0,,N. Bjelica makes 2-pt layup at rim,22,28
71,1,2:46.0,J. Randle makes 2-pt jump shot from 12 ft,,24,28
72,1,2:27.0,,Turnover by K. Towns (traveling),24,28
73,1,2:27.0,LA Lakers full timeout,,24,28
74,1,2:27.0,M. Huertas enters the game for J. Clarkson,,24,28
75,1,2:27.0,,G. Dieng enters the game for K. Towns,24,28
76,1,2:25.0,Turnover by D. Russell (lost ball),,24,28
77,1,2:16.0,,Turnover by N. Bjelica (lost ball; steal by L. Nance),24,28
78,1,2:11.0,D. Russell makes 2-pt layup from 1 ft,,26,28
79,1,1:45.0,,K. Martin makes 2-pt jump shot from 18 ft,26,30
80,1,1:21.0,J. Randle misses 2-pt layup from 1 ft,,26,30
81,1,1:20.0,Offensive rebound by J. Randle,,26,30
82,1,1:20.0,J. Randle makes 2-pt layup from 1 ft,,28,30
83,1,1:20.0,Shooting foul by N. Bjelica (drawn by J. Randle),,28,30
84,1,1:20.0,R. Sacre enters the game for L. Nance,,28,30
85,1,1:20.0,,S. Muhammad enters the game for A. Wiggins,28,30
86,1,1:20.0,J. Randle makes free throw 1 of 1,,29,30
87,1,1:10.0,,K. Martin misses 3-pt jump shot from 24 ft,29,30
88,1,1:08.0,Defensive rebound by R. Sacre,,29,30
89,1,0:56.0,J. Randle makes 2-pt jump shot from 8 ft (assist by M. Huertas),,31,30
90,1,0:43.0,,S. Muhammad makes 3-pt jump shot from 24 ft (assist by N. Bjelica),31,33
91,1,0:26.0,Shooting foul by G. Dieng (drawn by R. Sacre),,31,33
92,1,0:26.0,R. Sacre misses free throw 1 of 2,,31,33
93,1,0:26.0,Offensive rebound by Team,,31,33
94,1,0:26.0,R. Sacre makes free throw 2 of 2,,32,33
95,1,0:06.0,,Shooting foul by M. Huertas (drawn by Z. LaVine),32,33
96,1,0:06.0,,Z. LaVine misses free throw 1 of 2,32,33
97,1,0:06.0,,Offensive rebound by Team,32,33
98,1,0:06.0,,Z. LaVine misses free throw 2 of 2,32,33
