,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,GOLDEN STATE_ACTION,MEMPHIS_SCORE,GOLDEN STATE_SCORE
0,1,11:39.0,C. Lee misses 3-pt jump shot from 24 ft,,0,0
1,1,11:38.0,,Defensive rebound by F. Ezeli,0,0
2,1,11:27.0,,H. Barnes misses 2-pt jump shot from 11 ft,0,0
3,1,11:26.0,Defensive rebound by M. Gasol,,0,0
4,1,11:13.0,Z. Randolph misses 2-pt hook shot from 8 ft,,0,0
5,1,11:12.0,,Defensive rebound by D. Green,0,0
6,1,11:02.0,,Turnover by S. Curry (bad pass),0,0
7,1,10:43.0,T. Allen misses 3-pt jump shot from 23 ft,,0,0
8,1,10:42.0,,Defensive rebound by D. Green,0,0
9,1,10:36.0,,S. Curry makes 3-pt jump shot from 28 ft (assist by D. Green),0,3
10,1,10:12.0,C. Lee makes 2-pt jump shot from 12 ft (assist by T. Allen),,2,3
11,1,10:05.0,,D. Green makes 3-pt jump shot from 26 ft (assist by H. Barnes),2,6
12,1,9:52.0,M. Conley misses 2-pt jump shot from 9 ft (block by K. Thompson),,2,6
13,1,9:50.0,Offensive rebound by Z. Randolph,,2,6
14,1,9:41.0,Z. Randolph makes 2-pt jump shot from 18 ft (assist by M. Conley),,4,6
15,1,9:34.0,,S. Curry makes 2-pt jump shot from 20 ft,4,8
16,1,9:34.0,,Shooting foul by Z. Randolph (drawn by S. Curry),4,8
17,1,9:34.0,,S. Curry makes free throw 1 of 1,4,9
18,1,9:13.0,M. Gasol misses 2-pt hook shot from 7 ft,,4,9
19,1,9:12.0,,Defensive rebound by D. Green,4,9
20,1,9:00.0,,Turnover by S. Curry (step out of bounds),4,9
21,1,8:47.0,Z. Randolph makes 2-pt layup from 1 ft (assist by M. Gasol),,6,9
22,1,8:35.0,,H. Barnes misses 2-pt jump shot from 3 ft,6,9
23,1,8:34.0,Defensive rebound by M. Gasol,,6,9
24,1,8:14.0,M. Conley makes 2-pt jump shot from 14 ft (assist by M. Gasol),,8,9
25,1,8:05.0,,S. Curry misses 3-pt jump shot from 24 ft,8,9
26,1,8:04.0,Defensive rebound by Z. Randolph,,8,9
27,1,7:45.0,M. Gasol misses 2-pt jump shot from 9 ft,,8,9
28,1,7:44.0,Offensive rebound by M. Gasol,,8,9
29,1,7:38.0,Shooting foul by S. Curry (drawn by C. Lee),,8,9
30,1,7:38.0,C. Lee makes free throw 1 of 2,,9,9
31,1,7:38.0,C. Lee makes free throw 2 of 2,,10,9
32,1,7:25.0,,K. Thompson makes 2-pt jump shot from 21 ft (assist by H. Barnes),10,11
33,1,7:01.0,M. Gasol makes 2-pt layup from 1 ft (assist by M. Conley),,12,11
34,1,7:01.0,Shooting foul by F. Ezeli (drawn by M. Gasol),,12,11
35,1,7:01.0,M. Gasol makes free throw 1 of 1,,13,11
36,1,6:47.0,,K. Thompson makes 2-pt jump shot from 16 ft (assist by H. Barnes),13,13
37,1,6:22.0,M. Conley misses 2-pt jump shot from 14 ft,,13,13
38,1,6:22.0,,Defensive rebound by D. Green,13,13
39,1,6:14.0,,S. Curry misses 3-pt jump shot from 27 ft,13,13
40,1,6:14.0,Defensive rebound by Z. Randolph,,13,13
41,1,6:00.0,T. Allen misses 2-pt layup from 1 ft,,13,13
42,1,5:57.0,Offensive rebound by M. Gasol,,13,13
43,1,5:57.0,M. Gasol misses 2-pt layup at rim,,13,13
44,1,5:56.0,,Defensive rebound by K. Thompson,13,13
45,1,5:53.0,,Personal foul by C. Lee (drawn by F. Ezeli),13,13
46,1,5:53.0,,Golden State full timeout,13,13
47,1,5:53.0,J. Green enters the game for T. Allen,,13,13
48,1,5:53.0,,A. Iguodala enters the game for H. Barnes,13,13
49,1,5:39.0,,D. Green misses 2-pt jump shot from 7 ft,13,13
50,1,5:37.0,,Offensive rebound by F. Ezeli,13,13
51,1,5:37.0,,F. Ezeli makes 2-pt dunk at rim,13,15
52,1,5:26.0,Turnover by J. Green (lost ball; steal by A. Iguodala),,13,15
53,1,5:23.0,,Turnover by F. Ezeli (bad pass; steal by M. Conley),13,15
54,1,5:16.0,C. Lee misses 3-pt jump shot from 23 ft,,13,15
55,1,5:15.0,,Defensive rebound by K. Thompson,13,15
56,1,5:07.0,,K. Thompson misses 3-pt jump shot from 26 ft,13,15
57,1,5:07.0,Defensive rebound by M. Conley,,13,15
58,1,4:56.0,M. Gasol misses 2-pt jump shot from 9 ft,,13,15
59,1,4:55.0,,Defensive rebound by F. Ezeli,13,15
60,1,4:44.0,,K. Thompson misses 2-pt jump shot from 18 ft,13,15
61,1,4:44.0,,Offensive rebound by F. Ezeli,13,15
62,1,4:44.0,,Shooting foul by M. Gasol (drawn by F. Ezeli),13,15
63,1,4:44.0,,F. Ezeli makes free throw 1 of 2,13,16
64,1,4:44.0,,F. Ezeli makes free throw 2 of 2,13,17
65,1,4:27.0,J. Green misses 2-pt jump shot from 16 ft,,13,17
66,1,4:27.0,,Defensive rebound by F. Ezeli,13,17
67,1,4:11.0,,A. Iguodala makes 2-pt layup from 2 ft (assist by D. Green),13,19
68,1,3:47.0,Z. Randolph misses 2-pt hook shot from 7 ft (block by F. Ezeli),,13,19
69,1,3:47.0,Offensive rebound by Team,,13,19
70,1,3:47.0,J. Green enters the game for Z. Randolph,,13,19
71,1,3:47.0,M. Barnes enters the game for C. Lee,,13,19
72,1,3:47.0,,M. Speights enters the game for F. Ezeli,13,19
73,1,3:43.0,M. Gasol makes 2-pt jump shot from 18 ft (assist by M. Conley),,15,19
74,1,3:31.0,,M. Speights misses 2-pt layup from 2 ft (block by M. Barnes),15,19
75,1,3:29.0,Defensive rebound by M. Barnes,,15,19
76,1,3:19.0,J. Green makes 2-pt layup from 2 ft (assist by M. Gasol),,17,19
77,1,2:58.0,,A. Iguodala misses 3-pt jump shot from 24 ft,17,19
78,1,2:58.0,Defensive rebound by M. Gasol,,17,19
79,1,2:45.0,J. Green misses 2-pt jump shot from 19 ft,,17,19
80,1,2:44.0,Offensive rebound by Team,,17,19
81,1,2:43.0,Memphis full timeout,,17,19
82,1,2:43.0,,S. Livingston enters the game for K. Thompson,17,19
83,1,2:43.0,B. Udrih enters the game for M. Conley,,17,19
84,1,2:41.0,Turnover by M. Barnes (bad pass; steal by A. Iguodala),,17,19
85,1,2:22.0,,A. Iguodala misses 2-pt hook shot from 7 ft,17,19
86,1,2:22.0,Defensive rebound by J. Green,,17,19
87,1,2:13.0,,Violation by A. Iguodala (kicked ball),17,19
88,1,2:13.0,,H. Barnes enters the game for D. Green,17,19
89,1,2:02.0,M. Gasol makes 2-pt hook shot from 10 ft (assist by J. Green),,19,19
90,1,1:42.0,,M. Speights misses 2-pt layup from 2 ft (block by M. Barnes),19,19
91,1,1:41.0,Defensive rebound by M. Barnes,,19,19
92,1,1:34.0,M. Barnes makes 3-pt jump shot from 23 ft (assist by B. Udrih),,22,19
93,1,1:31.0,,Turnover by H. Barnes (lost ball),22,19
94,1,1:21.0,Personal foul by M. Speights (drawn by M. Gasol),,22,19
95,1,1:09.0,J. Green misses 3-pt jump shot from 22 ft,,22,19
