,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,UTAH_ACTION,BROOKLYN_SCORE,UTAH_SCORE
0,1,11:42.0,,G. Hayward misses 2-pt jump shot from 7 ft,0,0
1,1,11:41.0,Defensive rebound by W. Ellington,,0,0
2,1,11:26.0,B. Lopez misses 2-pt jump shot from 19 ft,,0,0
3,1,11:25.0,,Defensive rebound by R. Gobert,0,0
4,1,11:12.0,,Shooting foul by B. Bogdanović (drawn by D. Favors),0,0
5,1,11:12.0,,D. Favors makes free throw 1 of 2,0,1
6,1,11:12.0,,D. Favors misses free throw 2 of 2,0,1
7,1,11:11.0,Defensive rebound by T. Young,,0,1
8,1,10:54.0,T. Young makes 2-pt jump shot from 4 ft,,2,1
9,1,10:37.0,,S. Mack misses 2-pt jump shot from 7 ft,2,1
10,1,10:37.0,,Offensive rebound by Team,2,1
11,1,10:37.0,Loose ball foul by T. Young (drawn by R. Gobert),,2,1
12,1,10:31.0,,R. Gobert makes 2-pt layup from 2 ft (assist by G. Hayward),2,3
13,1,10:17.0,Turnover by B. Lopez (traveling),,2,3
14,1,10:00.0,,R. Hood misses 3-pt jump shot from 24 ft,2,3
15,1,10:00.0,Defensive rebound by B. Lopez,,2,3
16,1,9:45.0,B. Bogdanović misses 2-pt jump shot from 11 ft,,2,3
17,1,9:44.0,,Defensive rebound by R. Gobert,2,3
18,1,9:32.0,,R. Hood makes 3-pt jump shot from 24 ft (assist by G. Hayward),2,6
19,1,9:18.0,B. Bogdanović misses 2-pt jump shot from 2 ft (block by R. Gobert),,2,6
20,1,9:17.0,,Defensive rebound by R. Hood,2,6
21,1,9:07.0,,G. Hayward makes 2-pt jump shot from 8 ft,2,8
22,1,9:07.0,Brooklyn full timeout,,2,8
23,1,8:53.0,Turnover by W. Ellington (bad pass; steal by G. Hayward),,2,8
24,1,8:48.0,,S. Mack makes 2-pt layup at rim (assist by G. Hayward),2,10
25,1,8:33.0,Turnover by B. Bogdanović (offensive foul),,2,10
26,1,8:33.0,,Offensive charge foul by B. Bogdanović (drawn by S. Mack),2,10
27,1,8:33.0,M. Brown enters the game for B. Bogdanović,,2,10
28,1,8:17.0,,D. Favors misses 2-pt jump shot from 15 ft,2,10
29,1,8:16.0,Defensive rebound by W. Ellington,,2,10
30,1,8:02.0,B. Lopez makes 2-pt layup from 2 ft (assist by W. Ellington),,4,10
31,1,7:48.0,,G. Hayward misses 2-pt layup from 3 ft,4,10
32,1,7:47.0,,Offensive rebound by R. Gobert,4,10
33,1,7:47.0,,R. Gobert misses 2-pt layup from 1 ft,4,10
34,1,7:44.0,Defensive rebound by B. Lopez,,4,10
35,1,7:35.0,D. Sloan makes 2-pt jump shot from 20 ft (assist by B. Lopez),,6,10
36,1,7:20.0,,D. Favors misses 2-pt jump shot from 3 ft,6,10
37,1,7:19.0,,Offensive rebound by R. Gobert,6,10
38,1,7:18.0,,Turnover by R. Gobert (bad pass; steal by D. Sloan),6,10
39,1,7:12.0,M. Brown misses 2-pt jump shot from 23 ft,,6,10
40,1,7:11.0,,Defensive rebound by R. Gobert,6,10
41,1,6:57.0,,Turnover by R. Gobert (3 sec),6,10
42,1,6:42.0,B. Lopez misses 2-pt jump shot from 2 ft (block by R. Gobert),,6,10
43,1,6:41.0,,Defensive rebound by D. Favors,6,10
44,1,6:28.0,,Turnover by S. Mack (bad pass; steal by B. Lopez),6,10
45,1,6:20.0,Turnover by D. Sloan (lost ball; steal by D. Favors),,6,10
46,1,6:16.0,,Shooting foul by W. Ellington (drawn by R. Gobert),6,10
47,1,6:16.0,,R. Gobert misses free throw 1 of 2,6,10
48,1,6:16.0,,Offensive rebound by Team,6,10
49,1,6:16.0,,T. Booker enters the game for D. Favors,6,10
50,1,6:16.0,,R. Gobert makes free throw 2 of 2,6,11
51,1,6:03.0,T. Young misses 2-pt jump shot from 18 ft,,6,11
52,1,6:02.0,,Defensive rebound by R. Gobert,6,11
53,1,5:55.0,,S. Mack misses 2-pt jump shot from 6 ft,6,11
54,1,5:54.0,,Offensive rebound by T. Booker,6,11
55,1,5:45.0,,Turnover by R. Hood (bad pass; steal by T. Young),6,11
56,1,5:40.0,T. Young makes 2-pt layup at rim,,8,11
57,1,5:14.0,,Turnover by S. Mack (bad pass; steal by W. Ellington),8,11
58,1,5:09.0,W. Ellington makes 2-pt layup from 1 ft (assist by M. Brown),,10,11
