,QUARTER,TIME_REMAINING,DENVER_ACTION,GOLDEN STATE_ACTION,DENVER_SCORE,GOLDEN STATE_SCORE
0,1,11:47.0,,A. Iguodala makes 2-pt dunk at rim (assist by S. Curry),0,2
1,1,11:30.0,D. Gallinari misses 2-pt jump shot from 19 ft,,0,2
2,1,11:29.0,,Defensive rebound by S. Curry,0,2
3,1,11:20.0,,D. Green makes 3-pt jump shot from 26 ft (assist by S. Curry),0,5
4,1,11:00.0,D. Gallinari makes 2-pt layup from 2 ft (assist by N. Jokić),,2,5
5,1,10:40.0,,D. Green makes 3-pt jump shot from 25 ft (assist by K. Thompson),2,8
6,1,10:27.0,G. Harris misses 2-pt jump shot from 21 ft,,2,8
7,1,10:26.0,,Defensive rebound by D. Green,2,8
8,1,10:17.0,,K. Thompson misses 3-pt jump shot from 26 ft,2,8
9,1,10:17.0,Defensive rebound by Team,,2,8
10,1,10:17.0,,Violation by A. Bogut (kicked ball),2,8
11,1,9:58.0,K. Faried misses 2-pt hook shot from 7 ft,,2,8
12,1,9:56.0,,Defensive rebound by A. Bogut,2,8
13,1,9:42.0,,D. Green makes 3-pt jump shot from 25 ft (assist by A. Iguodala),2,11
14,1,9:41.0,Denver full timeout,,2,11
15,1,9:30.0,Turnover by N. Jokić (lost ball; steal by D. Green),,2,11
16,1,9:25.0,,S. Curry makes 2-pt layup from 1 ft (assist by D. Green),2,13
17,1,9:06.0,D. Gallinari misses 3-pt jump shot from 26 ft,,2,13
18,1,9:05.0,Offensive rebound by K. Faried,,2,13
19,1,9:01.0,Turnover by K. Faried (traveling),,2,13
20,1,8:48.0,,D. Green makes 3-pt jump shot from 24 ft (assist by A. Iguodala),2,16
21,1,8:30.0,Personal foul by S. Curry (drawn by J. Nelson),,2,16
22,1,8:30.0,W. Barton enters the game for K. Faried,,2,16
23,1,8:24.0,J. Nelson misses 3-pt jump shot from 24 ft,,2,16
24,1,8:24.0,,Defensive rebound by K. Thompson,2,16
25,1,8:08.0,,A. Iguodala makes 3-pt jump shot from 22 ft (assist by D. Green),2,19
26,1,7:45.0,W. Barton misses 2-pt jump shot from 21 ft,,2,19
27,1,7:44.0,,Defensive rebound by A. Bogut,2,19
28,1,7:44.0,Loose ball foul by N. Jokić (drawn by A. Bogut),,2,19
