,QUARTER,TIME_REMAINING,ATLANTA_ACTION,MEMPHIS_ACTION,ATLANTA_SCORE,MEMPHIS_SCORE
0,1,11:44.0,,J. Green makes 2-pt layup from 2 ft,0,2
1,1,11:28.0,A. Horford misses 2-pt layup from 1 ft,,0,2
2,1,11:25.0,,Defensive rebound by J. Green,0,2
3,1,11:13.0,,Turnover by M. Conley (bad pass),0,2
4,1,10:59.0,K. Korver misses 3-pt jump shot from 23 ft,,0,2
5,1,10:58.0,,Defensive rebound by M. Gasol,0,2
6,1,10:47.0,,T. Allen makes 2-pt layup at rim,0,4
7,1,10:36.0,Shooting foul by M. Barnes (drawn by K. Korver),,0,4
8,1,10:36.0,K. Korver makes free throw 1 of 2,,1,4
9,1,10:36.0,K. Korver makes free throw 2 of 2,,2,4
10,1,10:12.0,,M. Gasol misses 2-pt jump shot from 13 ft,2,4
11,1,10:10.0,,Offensive rebound by T. Allen,2,4
12,1,10:02.0,,M. Conley misses 3-pt jump shot from 24 ft,2,4
13,1,10:02.0,Defensive rebound by K. Bazemore,,2,4
14,1,9:53.0,P. Millsap misses 3-pt jump shot from 24 ft,,2,4
15,1,9:52.0,,Defensive rebound by M. Gasol,2,4
16,1,9:47.0,,M. Conley misses 2-pt layup from 1 ft,2,4
17,1,9:45.0,Defensive rebound by J. Teague,,2,4
18,1,9:39.0,P. Millsap misses 2-pt layup at rim,,2,4
19,1,9:36.0,,Defensive rebound by M. Gasol,2,4
20,1,9:25.0,,M. Conley misses 2-pt layup at rim,2,4
21,1,9:22.0,Defensive rebound by A. Horford,,2,4
22,1,9:17.0,K. Korver misses 3-pt jump shot from 25 ft,,2,4
23,1,9:16.0,Offensive rebound by P. Millsap,,2,4
24,1,9:11.0,K. Bazemore misses 3-pt jump shot from 24 ft,,2,4
25,1,9:11.0,,Defensive rebound by J. Green,2,4
26,1,8:52.0,,M. Gasol makes 2-pt jump shot from 7 ft (assist by M. Conley),2,6
27,1,8:37.0,Shooting foul by M. Gasol (drawn by A. Horford),,2,6
28,1,8:37.0,A. Horford makes free throw 1 of 2,,3,6
29,1,8:37.0,A. Horford makes free throw 2 of 2,,4,6
30,1,8:21.0,,J. Green makes 3-pt jump shot from 23 ft (assist by T. Allen),4,9
31,1,8:11.0,Turnover by P. Millsap (traveling),,4,9
32,1,8:03.0,,Personal foul by K. Bazemore (drawn by M. Conley),4,9
33,1,7:55.0,,T. Allen makes 2-pt layup from 1 ft,4,11
34,1,7:37.0,K. Bazemore makes 3-pt jump shot from 26 ft (assist by A. Horford),,7,11
35,1,7:13.0,,M. Barnes makes 3-pt jump shot from 26 ft (assist by M. Conley),7,14
36,1,6:51.0,K. Bazemore makes 3-pt jump shot from 22 ft (assist by K. Korver),,10,14
37,1,6:39.0,,M. Barnes makes 3-pt jump shot from 22 ft (assist by T. Allen),10,17
38,1,6:20.0,P. Millsap makes 2-pt jump shot from 15 ft (assist by A. Horford),,12,17
39,1,5:59.0,,M. Barnes makes 2-pt layup from 2 ft (assist by J. Green),12,19
40,1,5:59.0,Atlanta full timeout,,12,19
41,1,5:59.0,L. Patterson enters the game for A. Horford,,12,19
42,1,5:59.0,M. Muscala enters the game for K. Bazemore,,12,19
43,1,5:46.0,L. Patterson makes 2-pt layup from 1 ft (assist by J. Teague),,14,19
44,1,5:29.0,,Turnover by M. Conley (bad pass),14,19
45,1,5:18.0,P. Millsap makes 2-pt layup at rim (assist by L. Patterson),,16,19
46,1,4:55.0,,J. Green makes 2-pt jump shot from 15 ft,16,21
47,1,4:46.0,Shooting foul by M. Barnes (drawn by J. Teague),,16,21
48,1,4:46.0,J. Teague makes free throw 1 of 2,,17,21
49,1,4:46.0,,J. Green enters the game for M. Barnes,17,21
50,1,4:46.0,J. Teague makes free throw 2 of 2,,18,21
51,1,4:30.0,,T. Allen misses 2-pt layup at rim,18,21
52,1,4:29.0,Defensive rebound by M. Muscala,,18,21
53,1,4:19.0,Personal foul by J. Green (drawn by P. Millsap),,18,21
54,1,4:19.0,D. Schröder enters the game for J. Teague,,18,21
55,1,4:06.0,D. Schröder misses 3-pt jump shot from 25 ft,,18,21
56,1,4:05.0,Offensive rebound by P. Millsap,,18,21
57,1,3:56.0,M. Muscala misses 2-pt jump shot from 17 ft,,18,21
58,1,3:56.0,,Defensive rebound by T. Allen,18,21
59,1,3:46.0,,Personal foul by M. Muscala (drawn by M. Gasol),18,21
60,1,3:46.0,,C. Lee enters the game for T. Allen,18,21
61,1,3:38.0,,Shooting foul by L. Patterson (drawn by J. Green),18,21
62,1,3:38.0,,J. Green makes free throw 1 of 2,18,22
63,1,3:38.0,,M. Chalmers enters the game for M. Conley,18,22
64,1,3:38.0,,J. Green makes free throw 2 of 2,18,23
65,1,3:19.0,M. Muscala makes 2-pt jump shot from 3 ft (assist by D. Schröder),,20,23
66,1,3:07.0,,M. Chalmers misses 3-pt jump shot from 25 ft,20,23
67,1,3:06.0,Defensive rebound by P. Millsap,,20,23
68,1,2:57.0,D. Schröder misses 2-pt layup from 2 ft,,20,23
69,1,2:57.0,,Defensive rebound by J. Green,20,23
70,1,2:48.0,,Turnover by M. Gasol (bad pass),20,23
71,1,2:48.0,,Memphis full timeout,20,23
72,1,2:29.0,Turnover by P. Millsap (lost ball),,20,23
73,1,2:16.0,,Turnover by M. Gasol (lost ball),20,23
74,1,2:06.0,M. Muscala makes 3-pt jump shot from 25 ft (assist by D. Schröder),,23,23
75,1,1:42.0,,M. Gasol makes 2-pt hook shot from 7 ft,23,25
76,1,1:32.0,K. Korver makes 3-pt jump shot from 24 ft (assist by D. Schröder),,26,25
77,1,1:17.0,,C. Lee makes 2-pt jump shot from 20 ft (assist by J. Green),26,27
78,1,1:06.0,Turnover by L. Patterson (lost ball),,26,27
79,1,1:06.0,,V. Carter enters the game for M. Gasol,26,27
80,1,1:06.0,T. Hardaway enters the game for K. Korver,,26,27
81,1,1:06.0,A. Horford enters the game for P. Millsap,,26,27
82,1,0:54.0,,C. Lee makes 2-pt jump shot from 5 ft,26,29
83,1,0:48.0,Shooting foul by J. Green (drawn by L. Patterson),,26,29
84,1,0:48.0,L. Patterson misses free throw 1 of 2,,26,29
85,1,0:48.0,Offensive rebound by Team,,26,29
86,1,0:48.0,L. Patterson makes free throw 2 of 2,,27,29
87,1,0:33.0,,C. Lee makes 2-pt jump shot from 16 ft,27,31
88,1,0:26.0,M. Muscala makes 2-pt layup from 1 ft (assist by D. Schröder),,29,31
89,1,0:09.0,,Shooting foul by A. Horford (drawn by M. Chalmers),29,31
90,1,0:09.0,,M. Chalmers makes free throw 1 of 2,29,32
91,1,0:09.0,,M. Chalmers makes free throw 2 of 2,29,33
92,1,0:04.0,D. Schröder misses 2-pt layup from 1 ft,,29,33
93,1,0:02.0,,Defensive rebound by V. Carter,29,33
94,1,0:02.0,,V. Carter makes 3-pt jump shot from 64 ft,29,36
95,2,11:42.0,D. Schröder misses 2-pt layup from 1 ft,,29,36
96,2,11:41.0,,Defensive rebound by J. Green,29,36
