,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,WASHINGTON_ACTION,OKLAHOMA CITY_SCORE,WASHINGTON_SCORE
0,1,11:42.0,A. Roberson makes 2-pt jump shot from 4 ft (assist by K. Durant),,2,0
1,1,11:24.0,,G. Neal misses 3-pt jump shot from 26 ft,2,0
2,1,11:23.0,,Offensive rebound by M. Gortat,2,0
3,1,11:16.0,,M. Gortat makes 2-pt jump shot from 13 ft (assist by J. Wall),2,2
4,1,10:53.0,S. Ibaka makes 2-pt hook shot from 6 ft (assist by K. Durant),,4,2
5,1,10:37.0,,J. Wall misses 3-pt jump shot from 26 ft,4,2
6,1,10:36.0,Defensive rebound by R. Westbrook,,4,2
7,1,10:20.0,S. Ibaka misses 2-pt jump shot from 20 ft,,4,2
8,1,10:19.0,,Defensive rebound by K. Humphries,4,2
9,1,10:06.0,,K. Humphries misses 2-pt jump shot from 6 ft (block by S. Adams),4,2
10,1,10:06.0,,Offensive rebound by Team,4,2
11,1,10:03.0,,G. Neal makes 2-pt jump shot from 3 ft (assist by K. Humphries),4,4
12,1,9:53.0,K. Durant makes 2-pt dunk at rim (assist by R. Westbrook),,6,4
13,1,9:39.0,,G. Neal misses 2-pt jump shot from 19 ft,6,4
14,1,9:38.0,Defensive rebound by K. Durant,,6,4
15,1,9:29.0,K. Durant misses 2-pt jump shot from 3 ft,,6,4
16,1,9:28.0,,Defensive rebound by K. Humphries,6,4
17,1,9:21.0,,J. Wall misses 2-pt jump shot from 17 ft,6,4
18,1,9:19.0,Defensive rebound by K. Durant,,6,4
19,1,9:03.0,R. Westbrook misses 2-pt jump shot from 12 ft,,6,4
20,1,9:02.0,,Defensive rebound by K. Humphries,6,4
21,1,8:50.0,,M. Gortat misses 2-pt jump shot from 12 ft,6,4
22,1,8:50.0,Defensive rebound by K. Durant,,6,4
23,1,8:42.0,Turnover by S. Ibaka (bad pass; steal by J. Wall),,6,4
24,1,8:32.0,,J. Wall misses 2-pt layup from 1 ft,6,4
25,1,8:31.0,Defensive rebound by S. Adams,,6,4
26,1,8:27.0,Turnover by K. Durant (bad pass; steal by O. Porter),,6,4
27,1,8:22.0,,O. Porter makes 2-pt jump shot from 18 ft,6,6
28,1,8:02.0,S. Ibaka makes 3-pt jump shot from 23 ft (assist by R. Westbrook),,9,6
29,1,7:44.0,,G. Neal makes 2-pt jump shot from 17 ft (assist by J. Wall),9,8
30,1,7:28.0,S. Adams makes 2-pt jump shot from 9 ft (assist by R. Westbrook),,11,8
31,1,7:13.0,,O. Porter misses 3-pt jump shot from 26 ft,11,8
32,1,7:12.0,,Offensive rebound by Team,11,8
33,1,7:00.0,,Shooting foul by S. Adams (drawn by M. Gortat),11,8
34,1,7:00.0,,M. Gortat makes free throw 1 of 2,11,9
35,1,7:00.0,,M. Gortat makes free throw 2 of 2,11,10
36,1,6:50.0,K. Durant misses 2-pt jump shot from 21 ft,,11,10
37,1,6:49.0,Offensive rebound by R. Westbrook,,11,10
38,1,6:43.0,R. Westbrook misses 2-pt layup from 1 ft (block by K. Humphries),,11,10
39,1,6:42.0,Offensive rebound by S. Ibaka,,11,10
40,1,6:38.0,S. Ibaka makes 2-pt layup from 1 ft,,13,10
41,1,6:25.0,,O. Porter makes 2-pt layup at rim,13,12
42,1,6:25.0,,Shooting foul by S. Adams (drawn by O. Porter),13,12
43,1,6:25.0,E. Freedom enters the game for S. Adams,,13,12
44,1,6:25.0,,O. Porter makes free throw 1 of 1,13,13
45,1,6:13.0,A. Roberson makes 3-pt jump shot from 23 ft (assist by S. Ibaka),,16,13
46,1,5:48.0,,J. Wall misses 2-pt jump shot from 20 ft,16,13
47,1,5:48.0,Defensive rebound by K. Durant,,16,13
48,1,5:42.0,S. Ibaka makes 2-pt dunk at rim (assist by R. Westbrook),,18,13
49,1,5:41.0,,Washington full timeout,18,13
50,1,5:41.0,,D. Gooden enters the game for K. Humphries,18,13
51,1,5:28.0,,J. Wall makes 2-pt jump shot from 5 ft,18,15
52,1,5:13.0,R. Westbrook makes 2-pt jump shot from 14 ft,,20,15
53,1,4:57.0,,O. Porter makes 2-pt jump shot from 21 ft,20,17
54,1,4:43.0,E. Freedom makes 2-pt jump shot from 13 ft (assist by R. Westbrook),,22,17
55,1,4:24.0,,M. Gortat misses 2-pt jump shot from 10 ft,22,17
56,1,4:23.0,,Offensive rebound by D. Gooden,22,17
57,1,4:22.0,,D. Gooden misses 2-pt layup from 1 ft,22,17
58,1,4:21.0,Defensive rebound by K. Durant,,22,17
59,1,4:17.0,Turnover by K. Durant (lost ball; steal by J. Wall),,22,17
60,1,4:14.0,,J. Wall makes 2-pt dunk at rim,22,19
61,1,4:01.0,K. Durant makes 2-pt dunk at rim (assist by R. Westbrook),,24,19
62,1,3:41.0,,D. Gooden misses 2-pt jump shot from 9 ft,24,19
63,1,3:40.0,Defensive rebound by R. Westbrook,,24,19
64,1,3:30.0,E. Freedom misses 2-pt layup at rim (block by M. Gortat),,24,19
65,1,3:28.0,,Defensive rebound by D. Gooden,24,19
66,1,3:21.0,,G. Neal misses 2-pt jump shot from 3 ft,24,19
67,1,3:20.0,,Offensive rebound by D. Gooden,24,19
68,1,3:17.0,,D. Gooden misses 2-pt jump shot from 13 ft,24,19
69,1,3:16.0,Defensive rebound by K. Durant,,24,19
70,1,3:06.0,K. Durant makes 3-pt jump shot from 25 ft,,27,19
71,1,2:48.0,,G. Neal makes 2-pt jump shot from 3 ft,27,21
72,1,2:34.0,E. Freedom misses 2-pt jump shot from 17 ft,,27,21
73,1,2:32.0,Offensive rebound by R. Westbrook,,27,21
74,1,2:30.0,R. Westbrook misses 2-pt layup from 1 ft,,27,21
75,1,2:29.0,,Defensive rebound by D. Gooden,27,21
76,1,2:17.0,,J. Wall misses 2-pt jump shot from 8 ft,27,21
77,1,2:16.0,Defensive rebound by K. Durant,,27,21
78,1,2:10.0,K. Durant makes 3-pt jump shot from 27 ft,,30,21
79,1,1:52.0,,Shooting foul by S. Ibaka (drawn by O. Porter),30,21
80,1,1:52.0,Oklahoma City full timeout,,30,21
81,1,1:52.0,,D. Blair enters the game for M. Gortat,30,21
82,1,1:52.0,,R. Sessions enters the game for G. Neal,30,21
83,1,1:52.0,,G. Temple enters the game for J. Wall,30,21
84,1,1:52.0,K. Singler enters the game for K. Durant,,30,21
85,1,1:52.0,M. McGary enters the game for S. Ibaka,,30,21
86,1,1:52.0,D. Waiters enters the game for A. Roberson,,30,21
87,1,1:52.0,,O. Porter makes free throw 1 of 2,30,22
88,1,1:52.0,,O. Porter makes free throw 2 of 2,30,23
89,1,1:40.0,Shooting foul by D. Blair (drawn by R. Westbrook),,30,23
90,1,1:40.0,R. Westbrook makes free throw 1 of 2,,31,23
91,1,1:40.0,,K. Oubre enters the game for O. Porter,31,23
92,1,1:40.0,R. Westbrook makes free throw 2 of 2,,32,23
93,1,1:23.0,,D. Blair misses 2-pt jump shot from 17 ft,32,23
94,1,1:22.0,Defensive rebound by K. Singler,,32,23
95,1,1:17.0,D. Augustin enters the game for R. Westbrook,,32,23
96,1,1:00.0,M. McGary misses 2-pt jump shot from 5 ft (block by D. Gooden),,32,23
97,1,0:59.0,Offensive rebound by M. McGary,,32,23
98,1,0:59.0,Turnover by Team (shot clock),,32,23
99,1,0:50.0,,D. Gooden misses 2-pt jump shot from 5 ft,32,23
100,1,0:48.0,Defensive rebound by E. Freedom,,32,23
101,1,0:35.0,M. McGary makes 2-pt jump shot from 3 ft (assist by D. Augustin),,34,23
102,1,0:25.0,,R. Sessions misses 2-pt jump shot from 4 ft,34,23
103,1,0:23.0,Defensive rebound by E. Freedom,,34,23
104,1,0:03.0,D. Waiters makes 2-pt layup from 1 ft,,36,23
105,1,0:03.0,Shooting foul by R. Sessions (drawn by D. Waiters),,36,23
106,1,0:03.0,,J. Wall enters the game for K. Oubre,36,23
107,1,0:03.0,D. Waiters makes free throw 1 of 1,,37,23
108,1,0:01.0,,J. Wall misses 3-pt jump shot from 29 ft,37,23
109,1,0:00.0,,Offensive rebound by Team,37,23
110,2,11:48.0,,K. Oubre makes 3-pt jump shot from 26 ft (assist by R. Sessions),37,26
111,2,11:33.0,Turnover by K. Singler (bad pass; steal by D. Blair),,37,26
112,2,11:27.0,,G. Temple misses 2-pt jump shot from 4 ft,37,26
113,2,11:25.0,Defensive rebound by K. Singler,,37,26
114,2,11:04.0,D. Waiters misses 2-pt jump shot from 20 ft,,37,26
115,2,11:03.0,,Defensive rebound by G. Temple,37,26
116,2,11:00.0,,Shooting foul by D. Augustin (drawn by R. Sessions),37,26
117,2,11:00.0,,R. Sessions misses free throw 1 of 2,37,26
118,2,11:00.0,,Offensive rebound by Team,37,26
119,2,11:00.0,,R. Sessions makes free throw 2 of 2,37,27
120,2,10:39.0,D. Augustin misses 2-pt jump shot from 21 ft,,37,27
121,2,10:38.0,Offensive rebound by E. Freedom,,37,27
122,2,10:38.0,Shooting foul by G. Temple (drawn by E. Freedom),,37,27
123,2,10:38.0,E. Freedom makes free throw 1 of 2,,38,27
124,2,10:38.0,E. Freedom misses free throw 2 of 2,,38,27
125,2,10:37.0,,Defensive rebound by D. Blair,38,27
126,2,10:23.0,,R. Sessions misses 3-pt jump shot from 26 ft,38,27
127,2,10:22.0,,Offensive rebound by Team,38,27
128,2,10:12.0,,J. Dudley misses 3-pt jump shot from 25 ft,38,27
129,2,10:10.0,,Offensive rebound by D. Blair,38,27
130,2,10:05.0,,K. Oubre makes 3-pt jump shot from 27 ft (assist by G. Temple),38,30
131,2,9:45.0,Personal block foul by D. Blair (drawn by M. McGary),,38,30
132,2,9:40.0,Turnover by D. Waiters (traveling),,38,30
133,2,9:34.0,,Shooting foul by D. Augustin (drawn by R. Sessions),38,30
134,2,9:34.0,,R. Sessions misses free throw 1 of 2,38,30
135,2,9:34.0,,Offensive rebound by Team,38,30
136,2,9:34.0,,R. Sessions makes free throw 2 of 2,38,31
137,2,9:12.0,E. Freedom makes 2-pt jump shot from 16 ft,,40,31
138,2,8:55.0,,D. Blair misses 2-pt jump shot from 5 ft,40,31
139,2,8:54.0,,Offensive rebound by G. Temple,40,31
140,2,8:51.0,,G. Temple misses 2-pt layup from 1 ft,40,31
141,2,8:50.0,Defensive rebound by E. Freedom,,40,31
142,2,8:44.0,E. Freedom misses 2-pt layup from 1 ft,,40,31
143,2,8:43.0,,Defensive rebound by Team,40,31
144,2,8:43.0,Loose ball foul by M. McGary (drawn by G. Temple),,40,31
145,2,8:43.0,Official timeout,,40,31
146,2,8:43.0,,M. Gortat enters the game for D. Blair,40,31
147,2,8:43.0,,J. Wall enters the game for R. Sessions,40,31
148,2,8:43.0,,G. Neal enters the game for G. Temple,40,31
149,2,8:33.0,,M. Gortat makes 2-pt layup from 1 ft (assist by J. Wall),40,33
150,2,8:14.0,E. Freedom makes 2-pt layup from 1 ft (assist by D. Augustin),,42,33
151,2,7:59.0,,J. Wall misses 2-pt jump shot from 8 ft,42,33
152,2,7:58.0,Defensive rebound by M. McGary,,42,33
153,2,7:56.0,Personal foul by K. Oubre (drawn by D. Augustin),,42,33
154,2,7:38.0,D. Waiters makes 3-pt jump shot from 26 ft (assist by E. Freedom),,45,33
155,2,7:25.0,,G. Neal makes 2-pt layup at rim,45,35
156,2,7:10.0,Shooting foul by K. Oubre (drawn by K. Singler),,45,35
157,2,7:10.0,K. Singler makes free throw 1 of 2,,46,35
158,2,7:10.0,,O. Porter enters the game for K. Oubre,46,35
159,2,7:10.0,K. Singler makes free throw 2 of 2,,47,35
160,2,6:50.0,,G. Neal misses 2-pt layup from 2 ft,47,35
161,2,6:49.0,,Offensive rebound by M. Gortat,47,35
162,2,6:47.0,,M. Gortat makes 2-pt layup from 1 ft,47,37
163,2,6:37.0,Def 3 sec tech foul by J. Dudley,,47,37
164,2,6:37.0,D. Augustin misses technical free throw,,47,37
165,2,6:37.0,Offensive rebound by Team,,47,37
166,2,6:37.0,K. Durant enters the game for K. Singler,,47,37
167,2,6:37.0,R. Westbrook enters the game for D. Augustin,,47,37
168,2,6:37.0,S. Adams enters the game for E. Freedom,,47,37
169,2,6:23.0,D. Waiters misses 2-pt jump shot from 21 ft,,47,37
170,2,6:22.0,,Defensive rebound by J. Wall,47,37
171,2,6:16.0,,O. Porter misses 3-pt jump shot from 24 ft,47,37
172,2,6:15.0,Defensive rebound by K. Durant,,47,37
173,2,6:03.0,R. Westbrook misses 2-pt jump shot from 5 ft,,47,37
174,2,6:02.0,,Defensive rebound by J. Dudley,47,37
175,2,5:52.0,,J. Dudley misses 3-pt jump shot from 24 ft,47,37
176,2,5:51.0,Defensive rebound by R. Westbrook,,47,37
177,2,5:45.0,Oklahoma City full timeout,,47,37
178,2,5:45.0,S. Ibaka enters the game for M. McGary,,47,37
179,2,5:44.0,R. Westbrook misses 2-pt layup from 1 ft,,47,37
180,2,5:42.0,,Defensive rebound by Team,47,37
181,2,5:42.0,Loose ball foul by S. Adams (drawn by M. Gortat),,47,37
182,2,5:42.0,E. Freedom enters the game for S. Adams,,47,37
183,2,5:30.0,,Turnover by G. Neal (lost ball),47,37
184,2,5:23.0,Turnover by R. Westbrook (bad pass; steal by J. Dudley),,47,37
185,2,5:02.0,,M. Gortat misses 2-pt jump shot from 11 ft,47,37
186,2,5:01.0,Defensive rebound by S. Ibaka,,47,37
187,2,4:53.0,E. Freedom misses 2-pt jump shot from 13 ft,,47,37
188,2,4:52.0,,Defensive rebound by O. Porter,47,37
189,2,4:43.0,,J. Wall makes 2-pt jump shot from 17 ft,47,39
190,2,4:25.0,D. Waiters makes 3-pt jump shot from 26 ft (assist by K. Durant),,50,39
191,2,4:07.0,,G. Neal makes 2-pt jump shot from 17 ft (assist by M. Gortat),50,41
192,2,3:49.0,Personal foul by J. Wall (drawn by R. Westbrook),,50,41
193,2,3:49.0,R. Westbrook makes free throw 1 of 2,,51,41
194,2,3:49.0,,K. Humphries enters the game for J. Dudley,51,41
195,2,3:49.0,R. Westbrook makes free throw 2 of 2,,52,41
196,2,3:40.0,,M. Gortat misses 2-pt layup from 1 ft,52,41
197,2,3:39.0,Defensive rebound by K. Durant,,52,41
198,2,3:32.0,K. Durant misses 2-pt jump shot from 17 ft,,52,41
199,2,3:31.0,Offensive rebound by S. Ibaka,,52,41
200,2,3:30.0,S. Ibaka makes 2-pt layup at rim,,54,41
201,2,3:30.0,Shooting foul by O. Porter (drawn by S. Ibaka),,54,41
202,2,3:30.0,S. Ibaka makes free throw 1 of 1,,55,41
203,2,3:20.0,,K. Humphries makes 3-pt jump shot from 27 ft (assist by J. Wall),55,44
204,2,3:05.0,S. Ibaka makes 3-pt jump shot from 23 ft (assist by K. Durant),,58,44
205,2,2:46.0,,J. Wall makes 2-pt jump shot from 21 ft (assist by G. Neal),58,46
206,2,2:46.0,,Shooting foul by S. Ibaka (drawn by J. Wall),58,46
207,2,2:46.0,,Washington full timeout,58,46
208,2,2:46.0,A. Roberson enters the game for D. Waiters,,58,46
209,2,2:46.0,,J. Wall makes free throw 1 of 1,58,47
210,2,2:27.0,K. Durant misses 2-pt jump shot from 17 ft,,58,47
211,2,2:26.0,,Defensive rebound by M. Gortat,58,47
212,2,2:21.0,,K. Humphries misses 2-pt layup from 1 ft (block by A. Roberson),58,47
213,2,2:19.0,Defensive rebound by R. Westbrook,,58,47
214,2,2:11.0,R. Westbrook misses 2-pt layup from 1 ft,,58,47
215,2,2:10.0,,Defensive rebound by O. Porter,58,47
216,2,2:05.0,,G. Neal misses 3-pt jump shot from 26 ft,58,47
217,2,2:03.0,,Offensive rebound by O. Porter,58,47
218,2,2:03.0,,O. Porter makes 2-pt dunk at rim,58,49
219,2,1:46.0,Personal foul by J. Wall (drawn by K. Durant),,58,49
220,2,1:46.0,K. Durant makes free throw 1 of 2,,59,49
221,2,1:46.0,,K. Oubre enters the game for G. Neal,59,49
222,2,1:46.0,K. Durant makes free throw 2 of 2,,60,49
