,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,ATLANTA_ACTION,MILWAUKEE_SCORE,ATLANTA_SCORE
0,1,11:41.0,G. Monroe misses 2-pt jump shot from 18 ft,,0,0
1,1,11:40.0,,Defensive rebound by P. Millsap,0,0
2,1,11:24.0,,P. Millsap makes 2-pt jump shot from 16 ft,0,2
3,1,11:09.0,J. Parker makes 2-pt jump shot from 20 ft,,2,2
4,1,10:57.0,,P. Millsap makes 2-pt jump shot from 13 ft,2,4
5,1,10:42.0,G. Monroe makes 2-pt dunk at rim (assist by G. Antetokounmpo),,4,4
6,1,10:27.0,,J. Teague misses 3-pt jump shot from 23 ft,4,4
7,1,10:25.0,,Offensive rebound by P. Millsap,4,4
8,1,10:18.0,,P. Millsap misses 2-pt layup at rim,4,4
9,1,10:17.0,Defensive rebound by G. Monroe,,4,4
10,1,10:10.0,J. Parker makes 2-pt jump shot from 9 ft (assist by G. Antetokounmpo),,6,4
11,1,9:54.0,,P. Millsap makes 2-pt layup from 1 ft (assist by K. Bazemore),6,6
12,1,9:40.0,J. Parker makes 2-pt jump shot from 19 ft (assist by J. Bayless),,8,6
13,1,9:27.0,,K. Korver makes 2-pt jump shot from 21 ft (assist by J. Teague),8,8
14,1,9:14.0,Turnover by G. Antetokounmpo (lost ball; steal by A. Horford),,8,8
15,1,9:08.0,,P. Millsap makes 2-pt layup from 1 ft (assist by K. Korver),8,10
16,1,8:44.0,G. Antetokounmpo misses 2-pt layup from 3 ft,,8,10
17,1,8:43.0,,Defensive rebound by K. Bazemore,8,10
18,1,8:38.0,,A. Horford makes 2-pt layup from 1 ft (assist by J. Teague),8,12
19,1,8:21.0,J. Parker misses 2-pt jump shot from 20 ft,,8,12
20,1,8:20.0,,Defensive rebound by J. Teague,8,12
21,1,8:11.0,,P. Millsap misses 2-pt jump shot from 12 ft,8,12
22,1,8:08.0,Defensive rebound by G. Monroe,,8,12
23,1,7:57.0,K. Middleton misses 2-pt jump shot from 20 ft,,8,12
24,1,7:55.0,Offensive rebound by J. Parker,,8,12
25,1,7:55.0,J. Parker makes 2-pt layup at rim,,10,12
26,1,7:43.0,,J. Teague misses 2-pt jump shot from 17 ft (block by J. Bayless),10,12
27,1,7:40.0,Defensive rebound by J. Bayless,,10,12
28,1,7:31.0,K. Middleton misses 2-pt jump shot from 8 ft,,10,12
29,1,7:31.0,,Defensive rebound by Team,10,12
30,1,7:15.0,,J. Teague misses 2-pt jump shot from 18 ft,10,12
31,1,7:13.0,,Offensive rebound by P. Millsap,10,12
32,1,7:11.0,,P. Millsap misses 2-pt layup at rim,10,12
33,1,7:10.0,,Offensive rebound by P. Millsap,10,12
34,1,7:07.0,,Turnover by P. Millsap (bad pass; steal by J. Bayless),10,12
35,1,6:54.0,J. Bayless misses 3-pt jump shot from 24 ft,,10,12
36,1,6:53.0,,Defensive rebound by P. Millsap,10,12
37,1,6:43.0,,J. Teague misses 3-pt jump shot from 24 ft,10,12
38,1,6:40.0,Defensive rebound by J. Parker,,10,12
39,1,6:36.0,,Offensive charge foul by J. Parker (drawn by K. Bazemore),10,12
40,1,6:36.0,Turnover by J. Parker (offensive foul),,10,12
41,1,6:36.0,,K. Humphries enters the game for A. Horford,10,12
42,1,6:28.0,,Turnover by K. Bazemore (bad pass; steal by J. Bayless),10,12
43,1,6:22.0,J. Parker makes 2-pt layup at rim (assist by J. Bayless),,12,12
44,1,6:14.0,,Atlanta full timeout,12,12
45,1,6:14.0,,T. Sefolosha enters the game for K. Bazemore,12,12
46,1,6:07.0,,Turnover by P. Millsap (lost ball),12,12
47,1,5:44.0,G. Antetokounmpo misses 2-pt jump shot from 19 ft,,12,12
48,1,5:42.0,,Defensive rebound by K. Korver,12,12
49,1,5:25.0,,T. Sefolosha makes 3-pt jump shot from 23 ft (assist by K. Humphries),12,15
50,1,4:59.0,G. Monroe makes 2-pt layup from 1 ft (assist by K. Middleton),,14,15
51,1,4:39.0,,K. Humphries makes 3-pt jump shot from 24 ft (assist by J. Teague),14,18
52,1,4:26.0,K. Middleton misses 2-pt jump shot from 16 ft,,14,18
53,1,4:24.0,,Defensive rebound by K. Humphries,14,18
54,1,4:11.0,,Turnover by K. Humphries (bad pass),14,18
55,1,4:11.0,,T. Hardaway enters the game for K. Korver,14,18
56,1,4:11.0,,D. Schröder enters the game for J. Teague,14,18
57,1,3:57.0,J. Parker misses 2-pt jump shot from 16 ft,,14,18
58,1,3:55.0,,Defensive rebound by T. Sefolosha,14,18
59,1,3:37.0,,K. Humphries misses 2-pt layup from 2 ft (block by G. Antetokounmpo),14,18
60,1,3:35.0,Defensive rebound by J. Parker,,14,18
61,1,3:32.0,Personal foul by T. Sefolosha,,14,18
62,1,3:32.0,T. Ennis enters the game for J. Bayless,,14,18
63,1,3:25.0,Shooting foul by K. Humphries (drawn by G. Monroe),,14,18
64,1,3:25.0,G. Monroe misses free throw 1 of 2,,14,18
65,1,3:25.0,Offensive rebound by Team,,14,18
66,1,3:25.0,J. Cunningham enters the game for K. Middleton,,14,18
67,1,3:25.0,G. Monroe makes free throw 2 of 2,,15,18
68,1,3:17.0,,K. Humphries misses 3-pt jump shot from 24 ft,15,18
69,1,3:15.0,,Offensive rebound by P. Millsap,15,18
70,1,3:10.0,,D. Schröder misses 2-pt jump shot from 21 ft,15,18
71,1,3:08.0,,Offensive rebound by Team,15,18
72,1,3:01.0,,D. Schröder makes 2-pt layup from 1 ft (assist by P. Millsap),15,20
73,1,3:01.0,,Shooting foul by T. Ennis (drawn by D. Schröder),15,20
74,1,3:01.0,,D. Schröder makes free throw 1 of 1,15,21
75,1,2:45.0,G. Antetokounmpo makes 2-pt dunk at rim,,17,21
76,1,2:26.0,,T. Hardaway misses 3-pt jump shot from 24 ft,17,21
77,1,2:25.0,Defensive rebound by G. Antetokounmpo,,17,21
78,1,2:21.0,Milwaukee full timeout,,17,21
79,1,2:21.0,,M. Scott enters the game for P. Millsap,17,21
80,1,2:21.0,M. Plumlee enters the game for G. Monroe,,17,21
81,1,2:21.0,J. Henson enters the game for G. Antetokounmpo,,17,21
82,1,2:11.0,J. Parker misses 2-pt jump shot from 15 ft,,17,21
83,1,2:10.0,Offensive rebound by M. Plumlee,,17,21
84,1,2:06.0,Turnover by M. Plumlee (bad pass; steal by D. Schröder),,17,21
85,1,2:01.0,,D. Schröder makes 2-pt layup from 1 ft,17,23
86,1,1:47.0,T. Ennis misses 2-pt jump shot from 10 ft,,17,23
87,1,1:45.0,Offensive rebound by T. Ennis,,17,23
88,1,1:44.0,T. Ennis makes 2-pt layup at rim,,19,23
89,1,1:30.0,,T. Hardaway makes 3-pt jump shot from 25 ft (assist by M. Scott),19,26
90,1,1:30.0,,Shooting foul by J. Cunningham (drawn by T. Hardaway),19,26
91,1,1:30.0,,A. Horford enters the game for K. Humphries,19,26
92,1,1:30.0,,T. Hardaway makes free throw 1 of 1,19,27
93,1,1:19.0,J. Cunningham misses 2-pt jump shot from 7 ft (block by A. Horford),,19,27
94,1,1:15.0,,Defensive rebound by M. Scott,19,27
95,1,1:09.0,,A. Horford makes 2-pt dunk at rim (assist by T. Sefolosha),19,29
96,1,0:51.0,J. Cunningham misses 2-pt layup from 1 ft (block by M. Scott),,19,29
97,1,0:50.0,,Defensive rebound by A. Horford,19,29
98,1,0:45.0,,T. Sefolosha misses 2-pt layup from 2 ft,19,29
99,1,0:45.0,,Offensive rebound by M. Scott,19,29
100,1,0:44.0,,M. Scott misses 2-pt dunk from 1 ft,19,29
101,1,0:43.0,Defensive rebound by J. Cunningham,,19,29
102,1,0:29.0,T. Ennis makes 2-pt jump shot from 13 ft,,21,29
103,1,0:08.0,,M. Scott misses 3-pt jump shot from 27 ft,21,29
104,1,0:06.0,Defensive rebound by J. Cunningham,,21,29
105,1,0:01.0,Turnover by T. Ennis (bad pass),,21,29
106,2,11:51.0,,Shooting foul by J. Bayless (drawn by D. Schröder),21,29
107,2,11:51.0,,D. Schröder makes free throw 1 of 2,21,30
108,2,11:51.0,,T. Sefolosha enters the game for K. Korver,21,30
109,2,11:51.0,,D. Schröder makes free throw 2 of 2,21,31
110,2,11:40.0,J. Henson misses 2-pt hook shot from 7 ft,,21,31
111,2,11:38.0,,Defensive rebound by T. Sefolosha,21,31
112,2,11:31.0,,D. Schröder misses 3-pt jump shot from 24 ft,21,31
113,2,11:29.0,Defensive rebound by M. Plumlee,,21,31
114,2,11:13.0,K. Middleton makes 2-pt jump shot from 17 ft,,23,31
115,2,10:52.0,,A. Horford makes 2-pt dunk at rim (assist by T. Sefolosha),23,33
116,2,10:40.0,Shooting foul by D. Schröder (drawn by J. Bayless),,23,33
117,2,10:40.0,J. Bayless makes free throw 1 of 2,,24,33
