,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,MINNESOTA_ACTION,SACRAMENTO_SCORE,MINNESOTA_SCORE
0,1,11:38.0,,R. Rubio misses 3-pt jump shot from 25 ft,0,0
1,1,11:37.0,Defensive rebound by O. Casspi,,0,0
2,1,11:19.0,Turnover by O. Casspi (lost ball),,0,0
3,1,11:08.0,,K. Towns makes 2-pt jump shot from 18 ft (assist by K. Garnett),0,2
4,1,11:01.0,Turnover by D. Cousins (lost ball; steal by R. Rubio),,0,2
5,1,10:56.0,,T. Prince makes 2-pt layup at rim (assist by A. Wiggins),0,4
6,1,10:39.0,D. Cousins misses 2-pt hook shot from 4 ft,,0,4
7,1,10:38.0,,Defensive rebound by K. Towns,0,4
8,1,10:30.0,,A. Wiggins misses 3-pt jump shot from 22 ft,0,4
9,1,10:29.0,,Offensive rebound by K. Towns,0,4
10,1,10:27.0,,K. Towns makes 2-pt layup from 1 ft,0,6
11,1,10:12.0,R. Rondo makes 2-pt layup from 1 ft,,2,6
12,1,9:51.0,,A. Wiggins makes 2-pt jump shot from 7 ft (assist by K. Garnett),2,8
13,1,9:38.0,R. Gay makes 3-pt jump shot from 25 ft,,5,8
14,1,9:16.0,,T. Prince misses 2-pt jump shot from 22 ft,5,8
15,1,9:15.0,,Offensive rebound by A. Wiggins,5,8
16,1,9:12.0,,A. Wiggins makes 2-pt jump shot from 12 ft,5,10
17,1,9:08.0,Personal foul by K. Towns (drawn by D. Cousins),,5,10
18,1,9:03.0,R. Gay misses 3-pt jump shot from 25 ft,,5,10
19,1,9:02.0,,Defensive rebound by A. Wiggins,5,10
20,1,8:54.0,,K. Towns makes 2-pt jump shot from 8 ft (assist by R. Rubio),5,12
21,1,8:46.0,Personal block foul by R. Rubio (drawn by R. Rondo),,5,12
22,1,8:31.0,O. Casspi misses 3-pt jump shot from 24 ft,,5,12
23,1,8:29.0,Offensive rebound by R. Gay,,5,12
24,1,8:26.0,O. Casspi misses 2-pt jump shot from 5 ft (block by K. Garnett),,5,12
25,1,8:25.0,,Defensive rebound by R. Rubio,5,12
26,1,8:22.0,,A. Wiggins makes 2-pt layup from 1 ft (assist by R. Rubio),5,14
27,1,8:22.0,,Shooting foul by R. Gay (drawn by A. Wiggins),5,14
28,1,8:22.0,Sacramento full timeout,,5,14
29,1,8:22.0,,A. Wiggins misses free throw 1 of 1,5,14
30,1,8:22.0,Defensive rebound by D. Cousins,,5,14
31,1,8:03.0,D. Cousins misses 2-pt jump shot from 3 ft (block by K. Towns),,5,14
32,1,8:01.0,,Defensive rebound by R. Rubio,5,14
33,1,7:55.0,,Turnover by R. Rubio (bad pass; steal by B. McLemore),5,14
34,1,7:50.0,B. McLemore makes 2-pt layup at rim (assist by D. Cousins),,7,14
35,1,7:34.0,,K. Garnett misses 2-pt jump shot from 5 ft,7,14
36,1,7:33.0,Defensive rebound by R. Gay,,7,14
