,QUARTER,TIME_REMAINING,PHOENIX_ACTION,INDIANA_ACTION,PHOENIX_SCORE,INDIANA_SCORE
0,1,11:45.0,,Turnover by P. George (traveling),0,0
1,1,11:24.0,T. Chandler misses 2-pt jump shot from 7 ft,,0,0
2,1,11:24.0,,Defensive rebound by P. George,0,0
3,1,11:08.0,,G. Hill makes 3-pt jump shot from 25 ft (assist by M. Ellis),0,3
4,1,10:48.0,D. Booker misses 2-pt jump shot from 16 ft,,0,3
5,1,10:48.0,,Defensive rebound by I. Mahinmi,0,3
6,1,10:31.0,,M. Ellis misses 3-pt jump shot from 24 ft,0,3
7,1,10:31.0,Defensive rebound by J. Leuer,,0,3
8,1,10:17.0,T. Chandler misses 2-pt layup from 1 ft,,0,3
9,1,10:15.0,Offensive rebound by D. Booker,,0,3
10,1,10:10.0,Turnover by D. Booker (bad pass; steal by I. Mahinmi),,0,3
11,1,10:07.0,,Shooting foul by A. Goodwin (drawn by P. George),0,3
12,1,10:07.0,,P. George makes free throw 1 of 2,0,4
13,1,10:07.0,,P. George makes free throw 2 of 2,0,5
14,1,9:47.0,J. Leuer misses 2-pt jump shot from 20 ft,,0,5
15,1,9:46.0,,Defensive rebound by P. George,0,5
16,1,9:33.0,,P. George makes 2-pt layup from 1 ft (assist by L. Allen),0,7
17,1,9:19.0,P. Tucker misses 2-pt jump shot from 15 ft,,0,7
18,1,9:18.0,,Defensive rebound by I. Mahinmi,0,7
19,1,9:13.0,Offensive charge foul by P. George (drawn by P. Tucker),,0,7
20,1,9:13.0,,Turnover by P. George (offensive foul),0,7
21,1,8:57.0,Turnover by A. Goodwin (bad pass; steal by L. Allen),,0,7
22,1,8:51.0,,G. Hill makes 2-pt jump shot from 13 ft,0,9
23,1,8:50.0,Phoenix full timeout,,0,9
24,1,8:34.0,D. Booker misses 2-pt jump shot from 19 ft,,0,9
25,1,8:33.0,Offensive rebound by T. Chandler,,0,9
26,1,8:27.0,T. Chandler misses 2-pt jump shot from 18 ft,,0,9
27,1,8:26.0,,Defensive rebound by L. Allen,0,9
28,1,8:07.0,,Shooting foul by D. Booker (drawn by I. Mahinmi),0,9
29,1,8:07.0,,I. Mahinmi misses free throw 1 of 2,0,9
30,1,8:07.0,,Offensive rebound by Team,0,9
31,1,8:07.0,,I. Mahinmi misses free throw 2 of 2,0,9
32,1,8:07.0,Defensive rebound by P. Tucker,,0,9
33,1,7:53.0,Turnover by J. Leuer (bad pass; steal by M. Ellis),,0,9
34,1,7:50.0,,M. Ellis misses 2-pt layup from 1 ft (block by A. Goodwin),0,9
35,1,7:50.0,Defensive rebound by Team,,0,9
36,1,7:34.0,J. Leuer misses 3-pt jump shot from 24 ft,,0,9
37,1,7:33.0,Offensive rebound by T. Chandler,,0,9
38,1,7:19.0,D. Booker misses 2-pt jump shot from 22 ft,,0,9
39,1,7:19.0,,Defensive rebound by L. Allen,0,9
40,1,7:08.0,,G. Hill makes 3-pt jump shot from 23 ft (assist by I. Mahinmi),0,12
41,1,6:52.0,Turnover by J. Leuer (bad pass; steal by P. George),,0,12
42,1,6:44.0,,Turnover by M. Ellis (bad pass; steal by P. Tucker),0,12
43,1,6:40.0,Shooting block foul by M. Ellis (drawn by D. Booker),,0,12
44,1,6:40.0,D. Booker makes 2-pt layup at rim (assist by P. Tucker),,2,12
45,1,6:40.0,M. Morris enters the game for T. Chandler,,2,12
46,1,6:40.0,D. Booker makes free throw 1 of 1,,3,12
47,1,6:28.0,,P. George misses 3-pt jump shot from 28 ft,3,12
48,1,6:28.0,Defensive rebound by M. Morris,,3,12
49,1,6:21.0,P. Tucker misses 3-pt jump shot from 23 ft,,3,12
50,1,6:20.0,,Defensive rebound by L. Allen,3,12
51,1,6:03.0,,M. Ellis misses 2-pt jump shot from 20 ft,3,12
52,1,6:02.0,,Offensive rebound by L. Allen,3,12
53,1,5:59.0,,L. Allen makes 2-pt hook shot from 1 ft,3,14
54,1,5:41.0,M. Morris makes 2-pt jump shot from 14 ft,,5,14
55,1,5:34.0,,M. Ellis misses 2-pt layup from 1 ft (block by D. Booker),5,14
56,1,5:34.0,Defensive rebound by Team,,5,14
57,1,5:34.0,T. Warren enters the game for D. Booker,,5,14
58,1,5:18.0,A. Goodwin misses 2-pt layup at rim,,5,14
59,1,5:18.0,Offensive rebound by J. Leuer,,5,14
60,1,5:16.0,J. Leuer misses 2-pt layup at rim (block by P. George),,5,14
61,1,5:16.0,Offensive rebound by Team,,5,14
62,1,5:13.0,T. Warren makes 2-pt jump shot from 14 ft (assist by P. Tucker),,7,14
63,1,5:00.0,,I. Mahinmi makes 2-pt hook shot from 5 ft,7,16
64,1,5:00.0,,Shooting foul by M. Morris (drawn by I. Mahinmi),7,16
65,1,5:00.0,,R. Stuckey enters the game for G. Hill,7,16
66,1,5:00.0,,I. Mahinmi makes free throw 1 of 1,7,17
67,1,4:41.0,M. Morris makes 2-pt jump shot from 13 ft (assist by T. Warren),,9,17
68,1,4:18.0,,Turnover by I. Mahinmi (step out of bounds),9,17
69,1,4:18.0,,J. Hill enters the game for I. Mahinmi,9,17
