,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,OKLAHOMA CITY_ACTION,PHILADELPHIA_SCORE,OKLAHOMA CITY_SCORE
0,1,11:40.0,,R. Westbrook makes 2-pt layup at rim,0,2
1,1,11:22.0,N. Noel makes 2-pt jump shot from 14 ft (assist by N. Stauskas),,2,2
2,1,11:01.0,,S. Adams misses 2-pt layup from 2 ft (block by J. Okafor),2,2
3,1,11:00.0,Defensive rebound by N. Noel,,2,2
4,1,10:42.0,J. Grant misses 2-pt jump shot from 3 ft,,2,2
5,1,10:42.0,,Defensive rebound by R. Westbrook,2,2
6,1,10:37.0,,A. Roberson misses 2-pt layup at rim,2,2
7,1,10:37.0,Defensive rebound by Team,,2,2
8,1,10:25.0,N. Stauskas makes 2-pt jump shot from 17 ft,,4,2
9,1,10:08.0,,A. Morrow misses 3-pt jump shot from 24 ft,4,2
10,1,10:08.0,Defensive rebound by J. Grant,,4,2
11,1,9:50.0,N. Noel misses 2-pt jump shot from 18 ft,,4,2
12,1,9:50.0,,Defensive rebound by R. Westbrook,4,2
13,1,9:41.0,,R. Westbrook misses 2-pt jump shot from 13 ft,4,2
14,1,9:41.0,Defensive rebound by J. Okafor,,4,2
15,1,9:30.0,Turnover by J. Okafor (lost ball; steal by S. Ibaka),,4,2
16,1,9:25.0,,A. Roberson misses 2-pt layup from 1 ft,4,2
17,1,9:23.0,,Offensive rebound by R. Westbrook,4,2
18,1,9:23.0,,R. Westbrook misses 2-pt dunk from 1 ft,4,2
19,1,9:23.0,Defensive rebound by Team,,4,2
20,1,9:02.0,N. Noel makes 2-pt dunk at rim (assist by T. McConnell),,6,2
21,1,8:50.0,,Personal foul by J. Okafor (drawn by S. Adams),6,2
22,1,8:42.0,,S. Ibaka misses 2-pt jump shot from 17 ft,6,2
23,1,8:42.0,Defensive rebound by N. Stauskas,,6,2
24,1,8:31.0,N. Noel makes 2-pt jump shot from 9 ft (assist by N. Stauskas),,8,2
25,1,8:15.0,,A. Morrow makes 3-pt jump shot from 24 ft (assist by S. Ibaka),8,5
26,1,8:01.0,N. Stauskas misses 2-pt layup from 1 ft (block by S. Adams),,8,5
27,1,8:01.0,Offensive rebound by Team,,8,5
28,1,7:57.0,J. Grant misses 2-pt jump shot from 4 ft,,8,5
29,1,7:56.0,,Defensive rebound by S. Ibaka,8,5
30,1,7:51.0,,Turnover by R. Westbrook (bad pass; steal by N. Stauskas),8,5
31,1,7:36.0,Turnover by J. Okafor (lost ball),,8,5
32,1,7:21.0,,S. Adams makes 2-pt dunk at rim (assist by R. Westbrook),8,7
33,1,7:12.0,Turnover by N. Noel (bad pass),,8,7
34,1,6:58.0,,A. Morrow makes 3-pt jump shot from 24 ft (assist by R. Westbrook),8,10
35,1,6:57.0,Philadelphia full timeout,,8,10
36,1,6:35.0,T. McConnell makes 2-pt jump shot from 5 ft (assist by N. Noel),,10,10
37,1,6:11.0,,S. Adams makes 2-pt hook shot from 3 ft,10,12
38,1,5:53.0,Turnover by N. Noel (lost ball),,10,12
39,1,5:43.0,,R. Westbrook misses 3-pt jump shot from 23 ft,10,12
40,1,5:42.0,Defensive rebound by J. Grant,,10,12
41,1,5:31.0,J. Okafor misses 2-pt hook shot from 2 ft,,10,12
42,1,5:30.0,,Defensive rebound by R. Westbrook,10,12
43,1,5:24.0,,S. Ibaka makes 2-pt jump shot from 17 ft (assist by R. Westbrook),10,14
