,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,TORONTO_ACTION,PHILADELPHIA_SCORE,TORONTO_SCORE
0,1,11:37.0,,K. Lowry makes 2-pt jump shot from 16 ft,0,2
1,1,11:15.0,N. Noel misses 2-pt hook shot from 2 ft,,0,2
2,1,11:14.0,,Defensive rebound by L. Scola,0,2
3,1,11:13.0,,Turnover by K. Lowry (dbl dribble),0,2
4,1,10:56.0,I. Canaan makes 3-pt jump shot from 23 ft (assist by T. McConnell),,3,2
5,1,10:37.0,,L. Scola makes 3-pt jump shot from 23 ft (assist by D. DeRozan),3,5
6,1,10:15.0,J. Okafor makes 2-pt jump shot from 17 ft,,5,5
7,1,9:50.0,,D. DeRozan misses 3-pt jump shot from 23 ft,5,5
8,1,9:49.0,,Offensive rebound by B. Biyombo,5,5
9,1,9:48.0,,Turnover by Team (shot clock),5,5
10,1,9:37.0,Turnover by I. Canaan (illegal screen),,5,5
11,1,9:22.0,,D. DeRozan misses 2-pt layup from 1 ft (block by R. Covington),5,5
12,1,9:20.0,Defensive rebound by N. Noel,,5,5
13,1,9:15.0,Personal foul by K. Lowry (drawn by T. McConnell),,5,5
14,1,8:58.0,J. Okafor misses 2-pt jump shot from 10 ft,,5,5
15,1,8:57.0,Offensive rebound by J. Okafor,,5,5
16,1,8:53.0,T. McConnell makes 2-pt layup from 1 ft (assist by J. Okafor),,7,5
17,1,8:33.0,,B. Biyombo misses 2-pt layup from 1 ft,7,5
18,1,8:33.0,Defensive rebound by T. McConnell,,7,5
19,1,8:26.0,J. Okafor makes 2-pt layup from 1 ft (assist by N. Noel),,9,5
20,1,8:09.0,,L. Scola makes 2-pt hook shot from 5 ft,9,7
21,1,7:49.0,R. Covington makes 3-pt jump shot from 24 ft (assist by N. Noel),,12,7
22,1,7:31.0,,Shooting foul by N. Noel (drawn by D. DeRozan),12,7
23,1,7:31.0,,D. DeRozan misses free throw 1 of 2,12,7
24,1,7:31.0,,Offensive rebound by Team,12,7
25,1,7:31.0,K. Marshall enters the game for T. McConnell,,12,7
