,QUARTER,TIME_REMAINING,UTAH_ACTION,PORTLAND_ACTION,UTAH_SCORE,PORTLAND_SCORE
0,1,11:47.0,Offensive foul by R. Gobert (drawn by A. Aminu),,0,0
1,1,11:47.0,Turnover by R. Gobert (offensive foul),,0,0
2,1,11:27.0,,C. McCollum makes 3-pt jump shot from 23 ft (assist by D. Lillard),0,3
3,1,11:02.0,R. Gobert misses 2-pt jump shot from 21 ft,,0,3
4,1,11:01.0,,Defensive rebound by N. Vonleh,0,3
5,1,10:51.0,,N. Vonleh makes 3-pt jump shot from 24 ft (assist by M. Plumlee),0,6
6,1,10:51.0,Utah full timeout,,0,6
7,1,10:38.0,R. Gobert misses 2-pt jump shot from 3 ft,,0,6
8,1,10:37.0,,Defensive rebound by A. Aminu,0,6
9,1,10:12.0,,M. Plumlee misses 2-pt jump shot from 3 ft (block by R. Gobert),0,6
10,1,10:11.0,Defensive rebound by R. Hood,,0,6
11,1,10:00.0,R. Hood misses 2-pt jump shot from 14 ft (block by C. McCollum),,0,6
12,1,10:00.0,,Defensive rebound by Team,0,6
13,1,9:37.0,,N. Vonleh misses 2-pt jump shot from 21 ft,0,6
14,1,9:36.0,Defensive rebound by G. Hayward,,0,6
15,1,9:33.0,D. Favors misses 2-pt layup from 3 ft (block by C. McCollum),,0,6
16,1,9:33.0,,Defensive rebound by Team,0,6
17,1,9:16.0,,C. McCollum makes 2-pt jump shot from 13 ft,0,8
18,1,9:06.0,Turnover by R. Gobert (bad pass),,0,8
19,1,8:53.0,,Offensive foul by N. Vonleh (drawn by G. Hayward),0,8
20,1,8:53.0,,Turnover by N. Vonleh (offensive foul),0,8
21,1,8:40.0,R. Neto misses 2-pt jump shot from 6 ft,,0,8
22,1,8:39.0,Offensive rebound by R. Gobert,,0,8
23,1,8:39.0,R. Gobert misses 2-pt layup from 1 ft,,0,8
24,1,8:37.0,,Defensive rebound by D. Lillard,0,8
25,1,8:27.0,,Turnover by N. Vonleh (bad pass),0,8
26,1,8:07.0,G. Hayward makes 2-pt jump shot from 9 ft,,2,8
27,1,7:57.0,,Shooting foul by R. Hood (drawn by D. Lillard),2,8
28,1,7:57.0,,D. Lillard makes free throw 1 of 2,2,9
29,1,7:57.0,,D. Lillard misses free throw 2 of 2,2,9
30,1,7:56.0,,Offensive rebound by N. Vonleh,2,9
31,1,7:53.0,,D. Lillard misses 3-pt jump shot from 24 ft,2,9
32,1,7:52.0,Defensive rebound by D. Favors,,2,9
33,1,7:36.0,G. Hayward misses 3-pt jump shot from 24 ft,,2,9
34,1,7:35.0,Offensive rebound by D. Favors,,2,9
35,1,7:31.0,D. Favors misses 2-pt layup from 2 ft (block by M. Plumlee),,2,9
36,1,7:31.0,,Defensive rebound by Team,2,9
37,1,7:21.0,,C. McCollum makes 2-pt jump shot from 10 ft,2,11
38,1,7:10.0,Personal foul by A. Aminu (drawn by G. Hayward),,2,11
39,1,7:10.0,S. Mack enters the game for R. Neto,,2,11
40,1,6:56.0,R. Hood makes 2-pt jump shot from 9 ft,,4,11
41,1,6:47.0,,D. Lillard misses 2-pt jump shot from 12 ft,4,11
42,1,6:46.0,,Offensive rebound by N. Vonleh,4,11
43,1,6:37.0,,C. McCollum misses 2-pt jump shot from 12 ft,4,11
