,QUARTER,TIME_REMAINING,MIAMI_ACTION,DENVER_ACTION,MIAMI_SCORE,DENVER_SCORE
0,1,11:43.0,L. Deng misses 2-pt jump shot from 18 ft,,0,0
1,1,11:42.0,,Defensive rebound by J. Nelson,0,0
2,1,11:27.0,,D. Arthur misses 2-pt jump shot from 18 ft,0,0
3,1,11:26.0,Defensive rebound by H. Whiteside,,0,0
4,1,11:09.0,B. Udrih makes 2-pt layup from 2 ft (assist by C. Bosh),,2,0
5,1,10:51.0,,D. Gallinari misses 2-pt layup from 2 ft,2,0
6,1,10:50.0,Defensive rebound by H. Whiteside,,2,0
7,1,10:42.0,G. Green misses 3-pt jump shot from 22 ft,,2,0
8,1,10:41.0,,Defensive rebound by D. Arthur,2,0
9,1,10:32.0,,Turnover by K. Faried (lost ball; steal by B. Udrih),2,0
10,1,10:23.0,H. Whiteside misses 2-pt hook shot from 4 ft,,2,0
11,1,10:22.0,,Defensive rebound by D. Gallinari,2,0
12,1,10:07.0,,G. Harris makes 2-pt jump shot from 15 ft,2,2
13,1,9:48.0,H. Whiteside makes 2-pt layup from 2 ft (assist by G. Green),,4,2
14,1,9:32.0,,Turnover by K. Faried (offensive goaltending),4,2
15,1,9:15.0,B. Udrih misses 2-pt jump shot from 18 ft,,4,2
16,1,9:14.0,,Defensive rebound by K. Faried,4,2
17,1,9:07.0,,Def 3 sec tech foul by C. Bosh,4,2
18,1,9:07.0,,D. Gallinari makes technical free throw,4,3
19,1,8:57.0,,G. Harris misses 2-pt jump shot from 17 ft,4,3
20,1,8:55.0,Defensive rebound by B. Udrih,,4,3
21,1,8:42.0,Turnover by C. Bosh (lost ball; steal by J. Nelson),,4,3
22,1,8:36.0,,D. Gallinari misses 2-pt layup at rim,4,3
23,1,8:35.0,Defensive rebound by L. Deng,,4,3
24,1,8:24.0,L. Deng misses 2-pt jump shot from 6 ft,,4,3
25,1,8:24.0,,Defensive rebound by D. Arthur,4,3
26,1,8:12.0,,D. Arthur makes 2-pt jump shot from 21 ft (assist by D. Gallinari),4,5
27,1,7:51.0,G. Green makes 2-pt jump shot from 16 ft (assist by C. Bosh),,6,5
28,1,7:32.0,,D. Gallinari makes 3-pt jump shot from 23 ft (assist by G. Harris),6,8
29,1,7:07.0,C. Bosh makes 2-pt layup from 1 ft (assist by B. Udrih),,8,8
30,1,6:48.0,,D. Arthur makes 2-pt jump shot from 21 ft (assist by J. Nelson),8,10
31,1,6:34.0,L. Deng misses 2-pt layup at rim,,8,10
32,1,6:33.0,Offensive rebound by Team,,8,10
33,1,6:33.0,J. Winslow enters the game for C. Bosh,,8,10
34,1,6:29.0,G. Green misses 2-pt jump shot from 18 ft,,8,10
35,1,6:29.0,,Defensive rebound by K. Faried,8,10
36,1,6:23.0,,Shooting foul by G. Green (drawn by G. Harris),8,10
37,1,6:23.0,,G. Harris makes free throw 1 of 2,8,11
38,1,6:23.0,,W. Barton enters the game for K. Faried,8,11
39,1,6:23.0,,G. Harris makes free throw 2 of 2,8,12
40,1,6:16.0,L. Deng makes 2-pt layup from 1 ft (assist by B. Udrih),,10,12
41,1,5:59.0,,J. Nelson makes 2-pt jump shot from 19 ft,10,14
