,QUARTER,TIME_REMAINING,DETROIT_ACTION,OKLAHOMA CITY_ACTION,DETROIT_SCORE,OKLAHOMA CITY_SCORE
0,1,11:46.0,,Shooting foul by M. Morris (drawn by K. Durant),0,0
1,1,11:46.0,,K. Durant makes free throw 1 of 2,0,1
2,1,11:46.0,,K. Durant makes free throw 2 of 2,0,2
3,1,11:34.0,M. Morris misses 2-pt jump shot from 18 ft,,0,2
4,1,11:33.0,,Defensive rebound by S. Ibaka,0,2
5,1,11:18.0,,A. Roberson makes 2-pt layup at rim,0,4
6,1,11:05.0,A. Drummond misses 2-pt hook shot from 3 ft,,0,4
7,1,11:05.0,,Defensive rebound by K. Durant,0,4
8,1,10:55.0,,Turnover by R. Westbrook (lost ball),0,4
9,1,10:41.0,A. Drummond misses 2-pt jump shot from 4 ft (block by S. Adams),,0,4
10,1,10:40.0,Offensive rebound by A. Drummond,,0,4
11,1,10:39.0,A. Drummond misses 2-pt hook shot from 3 ft,,0,4
12,1,10:38.0,,Defensive rebound by S. Adams,0,4
13,1,10:29.0,,K. Durant misses 2-pt jump shot from 11 ft,0,4
14,1,10:29.0,,Offensive rebound by S. Ibaka,0,4
15,1,10:27.0,,S. Ibaka makes 2-pt layup at rim,0,6
16,1,10:06.0,E. İlyasova misses 3-pt jump shot from 25 ft,,0,6
17,1,10:06.0,,Defensive rebound by A. Roberson,0,6
18,1,9:44.0,,K. Durant makes 2-pt layup at rim,0,8
19,1,9:39.0,Detroit full timeout,,0,8
20,1,9:31.0,A. Drummond makes 2-pt layup at rim (assist by R. Jackson),,2,8
21,1,9:14.0,,K. Durant makes 2-pt jump shot from 15 ft,2,10
22,1,8:55.0,E. İlyasova makes 2-pt jump shot from 23 ft (assist by K. Caldwell-Pope),,4,10
23,1,8:28.0,,Shooting foul by A. Drummond (drawn by R. Westbrook),4,10
24,1,8:28.0,,R. Westbrook misses free throw 1 of 2,4,10
25,1,8:28.0,,Offensive rebound by Team,4,10
26,1,8:28.0,,R. Westbrook makes free throw 2 of 2,4,11
27,1,8:11.0,A. Drummond misses 2-pt hook shot from 8 ft,,4,11
28,1,8:10.0,,Defensive rebound by K. Durant,4,11
