,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,ATLANTA_ACTION,PHILADELPHIA_SCORE,ATLANTA_SCORE
0,1,11:45.0,,K. Bazemore makes 2-pt layup from 1 ft (assist by P. Millsap),0,2
1,1,11:18.0,J. Okafor misses 2-pt jump shot from 3 ft,,0,2
2,1,11:17.0,,Defensive rebound by A. Horford,0,2
3,1,11:12.0,,Turnover by K. Korver (lost ball),0,2
4,1,10:58.0,J. Okafor misses 2-pt jump shot from 11 ft,,0,2
5,1,10:57.0,,Defensive rebound by J. Teague,0,2
6,1,10:52.0,,Turnover by J. Teague (bad pass),0,2
7,1,10:34.0,Turnover by K. Marshall (bad pass),,0,2
8,1,10:23.0,,J. Teague makes 3-pt jump shot from 23 ft,0,5
9,1,10:11.0,K. Marshall misses 2-pt layup from 1 ft,,0,5
10,1,10:08.0,,Defensive rebound by J. Teague,0,5
11,1,10:05.0,,J. Teague misses 3-pt jump shot from 25 ft,0,5
12,1,10:04.0,Defensive rebound by I. Canaan,,0,5
13,1,9:58.0,Offensive foul by J. Grant (drawn by P. Millsap),,0,5
14,1,9:58.0,Turnover by J. Grant (offensive foul),,0,5
15,1,9:48.0,,K. Korver misses 2-pt jump shot from 18 ft,0,5
16,1,9:46.0,Defensive rebound by R. Covington,,0,5
17,1,9:40.0,J. Grant misses 2-pt dunk at rim,,0,5
18,1,9:37.0,Offensive rebound by J. Okafor,,0,5
19,1,9:37.0,J. Okafor makes 2-pt layup at rim,,2,5
20,1,9:21.0,,J. Teague makes 2-pt layup from 1 ft,2,7
21,1,9:04.0,Turnover by K. Marshall (bad pass; steal by A. Horford),,2,7
22,1,8:59.0,,A. Horford makes 2-pt dunk at rim (assist by K. Korver),2,9
23,1,8:45.0,R. Covington misses 3-pt jump shot from 24 ft,,2,9
24,1,8:44.0,,Defensive rebound by K. Bazemore,2,9
25,1,8:30.0,,P. Millsap makes 2-pt layup from 1 ft (assist by K. Korver),2,11
26,1,8:30.0,Philadelphia full timeout,,2,11
27,1,8:15.0,J. Grant makes 2-pt dunk at rim (assist by K. Marshall),,4,11
28,1,7:53.0,,P. Millsap misses 2-pt jump shot from 2 ft,4,11
29,1,7:52.0,Defensive rebound by Team,,4,11
30,1,7:34.0,J. Okafor makes 2-pt hook shot from 5 ft (assist by R. Covington),,6,11
31,1,7:22.0,,A. Horford makes 2-pt jump shot from 16 ft,6,13
32,1,7:08.0,Turnover by J. Grant (lost ball),,6,13
33,1,7:08.0,R. Holmes enters the game for K. Marshall,,6,13
34,1,7:08.0,T. Wroten enters the game for J. Okafor,,6,13
35,1,7:01.0,,Turnover by A. Horford (bad pass; steal by R. Covington),6,13
36,1,6:57.0,R. Covington makes 2-pt dunk at rim,,8,13
37,1,6:49.0,,J. Teague misses 2-pt layup at rim,8,13
38,1,6:47.0,Defensive rebound by R. Covington,,8,13
39,1,6:44.0,I. Canaan misses 3-pt jump shot from 24 ft,,8,13
40,1,6:43.0,Offensive rebound by R. Holmes,,8,13
41,1,6:34.0,J. Grant misses 3-pt jump shot from 23 ft,,8,13
42,1,6:33.0,,Defensive rebound by K. Bazemore,8,13
43,1,6:18.0,,J. Teague makes 3-pt jump shot from 25 ft (assist by P. Millsap),8,16
44,1,6:05.0,R. Covington misses 2-pt jump shot from 5 ft,,8,16
45,1,6:03.0,,Defensive rebound by K. Bazemore,8,16
46,1,5:52.0,,A. Horford makes 2-pt jump shot from 17 ft,8,18
47,1,5:33.0,T. Wroten misses 3-pt jump shot from 24 ft,,8,18
48,1,5:32.0,,Defensive rebound by K. Bazemore,8,18
49,1,5:20.0,,A. Horford misses 2-pt jump shot from 18 ft,8,18
50,1,5:19.0,Defensive rebound by J. Grant,,8,18
51,1,5:14.0,Shooting foul by K. Korver (drawn by T. Wroten),,8,18
52,1,5:14.0,T. Wroten misses free throw 1 of 2,,8,18
53,1,5:14.0,Offensive rebound by Team,,8,18
54,1,5:14.0,,T. Sefolosha enters the game for K. Korver,8,18
55,1,5:14.0,,T. Splitter enters the game for A. Horford,8,18
56,1,5:14.0,H. Thompson enters the game for R. Covington,,8,18
57,1,5:14.0,J. Okafor enters the game for J. Grant,,8,18
58,1,5:14.0,T. Wroten makes free throw 2 of 2,,9,18
59,1,4:58.0,,J. Teague misses 2-pt jump shot from 19 ft,9,18
60,1,4:55.0,Defensive rebound by H. Thompson,,9,18
61,1,4:48.0,I. Canaan misses 2-pt layup at rim (block by P. Millsap),,9,18
62,1,4:48.0,Offensive rebound by R. Holmes,,9,18
63,1,4:48.0,R. Holmes makes 2-pt layup at rim,,11,18
64,1,4:48.0,Shooting foul by T. Splitter (drawn by R. Holmes),,11,18
65,1,4:48.0,N. Stauskas enters the game for I. Canaan,,11,18
66,1,4:48.0,,D. Schröder enters the game for J. Teague,11,18
67,1,4:48.0,R. Holmes makes free throw 1 of 1,,12,18
68,1,4:36.0,,P. Millsap makes 2-pt dunk at rim (assist by D. Schröder),12,20
69,1,4:25.0,Shooting foul by P. Millsap (drawn by J. Okafor),,12,20
70,1,4:25.0,J. Okafor makes free throw 1 of 2,,13,20
71,1,4:25.0,J. Okafor makes free throw 2 of 2,,14,20
72,1,4:16.0,,Shooting foul by J. Okafor (drawn by K. Bazemore),14,20
73,1,4:16.0,,K. Bazemore makes free throw 1 of 2,14,21
74,1,4:16.0,,K. Bazemore makes free throw 2 of 2,14,22
75,1,4:04.0,H. Thompson misses 3-pt jump shot from 23 ft,,14,22
76,1,4:03.0,Offensive rebound by R. Holmes,,14,22
77,1,4:01.0,R. Holmes misses 2-pt layup at rim,,14,22
