,QUARTER,TIME_REMAINING,PHOENIX_ACTION,SACRAMENTO_ACTION,PHOENIX_SCORE,SACRAMENTO_SCORE
0,1,11:37.0,P. Tucker misses 2-pt hook shot from 7 ft,,0,0
1,1,11:37.0,,Defensive rebound by D. Cousins,0,0
2,1,11:26.0,,R. Rondo misses 2-pt jump shot from 6 ft,0,0
3,1,11:25.0,Defensive rebound by T. Warren,,0,0
4,1,11:17.0,P. Tucker makes 3-pt jump shot from 23 ft (assist by B. Knight),,3,0
5,1,10:56.0,,O. Casspi makes 3-pt jump shot from 26 ft (assist by B. McLemore),3,3
6,1,10:39.0,B. Knight makes 2-pt jump shot from 22 ft,,5,3
7,1,10:31.0,,Personal foul by T. Chandler (drawn by D. Cousins),5,3
8,1,10:18.0,,Turnover by R. Rondo (lost ball),5,3
9,1,9:56.0,D. Booker misses 2-pt jump shot from 18 ft,,5,3
10,1,9:56.0,,Defensive rebound by R. Rondo,5,3
11,1,9:51.0,,O. Casspi misses 2-pt jump shot from 1 ft,5,3
12,1,9:50.0,,Offensive rebound by O. Casspi,5,3
13,1,9:50.0,,O. Casspi makes 2-pt layup from 1 ft,5,5
14,1,9:31.0,Turnover by T. Chandler (bad pass; steal by R. Gay),,5,5
15,1,9:17.0,,D. Cousins misses 2-pt jump shot from 22 ft,5,5
16,1,9:17.0,Defensive rebound by B. Knight,,5,5
17,1,9:07.0,T. Warren misses 3-pt jump shot from 22 ft,,5,5
18,1,9:07.0,,Defensive rebound by Team,5,5
19,1,8:50.0,,R. Gay misses 2-pt jump shot from 11 ft,5,5
20,1,8:50.0,Defensive rebound by P. Tucker,,5,5
21,1,8:37.0,B. Knight misses 3-pt jump shot from 25 ft,,5,5
22,1,8:36.0,Offensive rebound by P. Tucker,,5,5
23,1,8:23.0,Shooting foul by R. Gay (drawn by T. Chandler),,5,5
24,1,8:23.0,T. Chandler makes free throw 1 of 2,,6,5
25,1,8:23.0,T. Chandler misses free throw 2 of 2,,6,5
26,1,8:21.0,Offensive rebound by P. Tucker,,6,5
27,1,8:13.0,D. Booker makes 3-pt jump shot from 24 ft,,9,5
28,1,7:54.0,,D. Cousins misses 2-pt layup from 2 ft,9,5
29,1,7:53.0,,Offensive rebound by D. Cousins,9,5
30,1,7:53.0,,D. Cousins makes 2-pt layup from 2 ft,9,7
31,1,7:37.0,Turnover by T. Chandler (lost ball; steal by D. Cousins),,9,7
32,1,7:33.0,,Shooting foul by T. Chandler (drawn by B. McLemore),9,7
33,1,7:33.0,,B. McLemore misses free throw 1 of 2,9,7
34,1,7:33.0,,Offensive rebound by Team,9,7
35,1,7:33.0,A. Len enters the game for T. Chandler,,9,7
36,1,7:33.0,,B. McLemore makes free throw 2 of 2,9,8
37,1,7:13.0,D. Booker makes 3-pt jump shot from 24 ft (assist by T. Warren),,12,8
38,1,7:04.0,,R. Rondo misses 3-pt jump shot from 24 ft,12,8
39,1,7:03.0,Defensive rebound by A. Len,,12,8
40,1,6:49.0,T. Warren misses 3-pt jump shot from 23 ft,,12,8
41,1,6:49.0,,Defensive rebound by R. Gay,12,8
42,1,6:41.0,,R. Gay makes 2-pt jump shot from 19 ft (assist by R. Rondo),12,10
43,1,6:27.0,Turnover by A. Len (lost ball),,12,10
44,1,6:16.0,,R. Rondo makes 2-pt layup from 2 ft (assist by D. Cousins),12,12
45,1,5:57.0,P. Tucker misses 2-pt jump shot from 22 ft,,12,12
46,1,5:57.0,,Defensive rebound by O. Casspi,12,12
47,1,5:49.0,,D. Cousins misses 3-pt jump shot from 24 ft,12,12
48,1,5:48.0,Defensive rebound by D. Booker,,12,12
49,1,5:37.0,T. Warren misses 3-pt jump shot from 23 ft,,12,12
50,1,5:36.0,,Defensive rebound by D. Cousins,12,12
51,1,5:29.0,,Shooting foul by A. Len (drawn by O. Casspi),12,12
52,1,5:29.0,,Sacramento full timeout,12,12
53,1,5:29.0,M. Teletović enters the game for T. Warren,,12,12
54,1,5:29.0,,O. Casspi makes free throw 1 of 2,12,13
55,1,5:29.0,,O. Casspi makes free throw 2 of 2,12,14
56,1,5:15.0,B. Knight misses 3-pt jump shot from 23 ft,,12,14
57,1,5:15.0,,Defensive rebound by D. Cousins,12,14
