,QUARTER,TIME_REMAINING,ATLANTA_ACTION,WASHINGTON_ACTION,ATLANTA_SCORE,WASHINGTON_SCORE
0,1,11:47.0,Turnover by P. Millsap (bad pass; steal by M. Gortat),,0,0
1,1,11:41.0,,O. Porter misses 3-pt jump shot from 25 ft,0,0
2,1,11:39.0,Defensive rebound by P. Millsap,,0,0
3,1,11:29.0,P. Millsap makes 2-pt dunk at rim (assist by K. Bazemore),,2,0
4,1,11:10.0,,M. Morris makes 2-pt jump shot from 15 ft (assist by J. Wall),2,2
5,1,10:58.0,J. Teague misses 3-pt jump shot from 26 ft,,2,2
6,1,10:57.0,,Defensive rebound by J. Wall,2,2
7,1,10:48.0,,M. Gortat misses 2-pt jump shot from 17 ft,2,2
8,1,10:47.0,Defensive rebound by J. Teague,,2,2
9,1,10:37.0,Personal block foul by M. Morris,,2,2
10,1,10:28.0,J. Teague misses 2-pt jump shot from 10 ft,,2,2
11,1,10:27.0,,Defensive rebound by O. Porter,2,2
12,1,10:20.0,,Turnover by M. Morris (step out of bounds),2,2
13,1,10:09.0,P. Millsap makes 2-pt jump shot from 18 ft (assist by J. Teague),,4,2
14,1,9:52.0,,B. Beal misses 2-pt jump shot from 18 ft,4,2
15,1,9:51.0,Defensive rebound by K. Korver,,4,2
16,1,9:37.0,A. Horford makes 3-pt jump shot from 25 ft (assist by J. Teague),,7,2
17,1,9:22.0,,J. Wall makes 3-pt jump shot from 26 ft (assist by B. Beal),7,5
18,1,9:02.0,Turnover by P. Millsap (lost ball; steal by M. Morris),,7,5
19,1,8:59.0,,Turnover by M. Morris (lost ball; steal by K. Korver),7,5
20,1,8:53.0,K. Korver misses 3-pt jump shot from 26 ft,,7,5
21,1,8:52.0,,Defensive rebound by M. Gortat,7,5
22,1,8:50.0,,M. Morris makes 3-pt jump shot from 25 ft (assist by J. Wall),7,8
23,1,8:31.0,J. Teague misses 2-pt jump shot from 18 ft,,7,8
24,1,8:30.0,,Defensive rebound by M. Morris,7,8
25,1,8:23.0,,J. Wall misses 2-pt jump shot from 5 ft,7,8
26,1,8:22.0,,Offensive rebound by M. Gortat,7,8
27,1,8:21.0,,M. Gortat misses 2-pt layup at rim,7,8
28,1,8:21.0,,Offensive rebound by Team,7,8
29,1,8:07.0,,M. Morris misses 3-pt jump shot from 26 ft,7,8
30,1,8:06.0,,Offensive rebound by M. Gortat,7,8
31,1,8:03.0,,M. Gortat makes 2-pt layup at rim,7,10
32,1,7:55.0,A. Horford misses 3-pt jump shot from 25 ft,,7,10
33,1,7:54.0,Offensive rebound by J. Teague,,7,10
34,1,7:36.0,Turnover by J. Teague (lost ball; steal by J. Wall),,7,10
35,1,7:30.0,,O. Porter makes 2-pt dunk at rim (assist by J. Wall),7,12
36,1,7:07.0,J. Teague misses 2-pt jump shot from 9 ft,,7,12
37,1,7:06.0,,Defensive rebound by M. Morris,7,12
38,1,7:04.0,,Turnover by M. Morris (bad pass; steal by P. Millsap),7,12
39,1,6:56.0,P. Millsap misses 2-pt jump shot from 3 ft,,7,12
40,1,6:55.0,,Defensive rebound by M. Gortat,7,12
41,1,6:47.0,,Shooting foul by K. Bazemore (drawn by M. Gortat),7,12
42,1,6:47.0,,M. Gortat makes free throw 1 of 2,7,13
43,1,6:47.0,Atlanta full timeout,,7,13
44,1,6:47.0,,M. Gortat makes free throw 2 of 2,7,14
45,1,6:33.0,K. Bazemore misses 2-pt jump shot from 18 ft,,7,14
46,1,6:33.0,,Defensive rebound by Team,7,14
47,1,6:33.0,Loose ball foul by P. Millsap,,7,14
48,1,6:17.0,,J. Wall misses 2-pt jump shot from 18 ft,7,14
49,1,6:16.0,Defensive rebound by P. Millsap,,7,14
50,1,6:03.0,Personal foul by M. Morris,,7,14
51,1,6:03.0,K. Humphries enters the game for A. Horford,,7,14
52,1,6:03.0,T. Sefolosha enters the game for K. Bazemore,,7,14
53,1,6:03.0,,J. Dudley enters the game for M. Morris,7,14
54,1,5:53.0,K. Humphries makes 2-pt jump shot from 5 ft (assist by J. Teague),,9,14
55,1,5:42.0,,O. Porter makes 2-pt jump shot from 18 ft,9,16
56,1,5:32.0,J. Teague misses 2-pt layup at rim (block by J. Wall),,9,16
57,1,5:30.0,,Defensive rebound by J. Wall,9,16
58,1,5:23.0,,O. Porter makes 3-pt jump shot from 23 ft (assist by J. Wall),9,19
59,1,5:13.0,Personal foul by O. Porter,,9,19
60,1,5:13.0,,Violation by O. Porter (kicked ball),9,19
61,1,5:02.0,P. Millsap misses 2-pt jump shot from 15 ft,,9,19
62,1,5:02.0,Offensive rebound by K. Humphries,,9,19
63,1,4:56.0,K. Korver makes 3-pt jump shot from 23 ft (assist by P. Millsap),,12,19
64,1,4:33.0,,J. Dudley makes 2-pt jump shot from 21 ft (assist by J. Wall),12,21
65,1,4:21.0,K. Korver makes 3-pt jump shot from 27 ft (assist by P. Millsap),,15,21
66,1,4:00.0,,M. Gortat makes 2-pt hook shot from 8 ft,15,23
67,1,3:48.0,P. Millsap misses 3-pt jump shot from 25 ft,,15,23
68,1,3:47.0,,Defensive rebound by O. Porter,15,23
69,1,3:37.0,,J. Wall makes 2-pt layup from 1 ft,15,25
70,1,3:16.0,Turnover by K. Humphries (bad pass),,15,25
71,1,3:16.0,,G. Temple enters the game for B. Beal,15,25
72,1,3:16.0,D. Schröder enters the game for J. Teague,,15,25
73,1,3:03.0,,G. Temple misses 3-pt jump shot from 26 ft,15,25
74,1,3:02.0,Defensive rebound by K. Humphries,,15,25
75,1,2:52.0,T. Sefolosha makes 2-pt jump shot from 20 ft (assist by K. Humphries),,17,25
76,1,2:35.0,,M. Gortat misses 2-pt layup at rim (block by K. Humphries),17,25
77,1,2:35.0,,Offensive rebound by Team,17,25
78,1,2:35.0,,Washington full timeout,17,25
79,1,2:35.0,T. Hardaway enters the game for K. Korver,,17,25
80,1,2:25.0,,M. Gortat misses 2-pt jump shot from 7 ft,17,25
81,1,2:24.0,Defensive rebound by T. Sefolosha,,17,25
82,1,2:12.0,D. Schröder makes 2-pt layup from 1 ft,,19,25
83,1,2:01.0,,N. Hilário enters the game for M. Gortat,19,25
84,1,1:54.0,,J. Wall misses 2-pt jump shot from 17 ft,19,25
85,1,1:53.0,Defensive rebound by P. Millsap,,19,25
86,1,1:29.0,K. Humphries misses 3-pt jump shot from 29 ft,,19,25
87,1,1:28.0,,Defensive rebound by N. Hilário,19,25
88,1,1:19.0,,Turnover by J. Wall (bad pass; steal by D. Schröder),19,25
89,1,1:16.0,Shooting foul by G. Temple (drawn by D. Schröder),,19,25
90,1,1:16.0,D. Schröder makes free throw 1 of 2,,20,25
91,1,1:16.0,,R. Sessions enters the game for J. Wall,20,25
92,1,1:16.0,A. Horford enters the game for P. Millsap,,20,25
93,1,1:16.0,D. Schröder makes free throw 2 of 2,,21,25
94,1,1:03.0,,G. Temple misses 2-pt jump shot from 14 ft,21,25
95,1,1:02.0,Defensive rebound by A. Horford,,21,25
96,1,0:50.0,Personal foul by G. Temple,,21,25
97,1,0:50.0,T. Hardaway makes free throw 1 of 2,,22,25
98,1,0:50.0,,M. Thornton enters the game for G. Temple,22,25
99,1,0:50.0,T. Hardaway misses free throw 2 of 2,,22,25
100,1,0:50.0,,Defensive rebound by R. Sessions,22,25
101,1,0:32.0,,R. Sessions misses 2-pt jump shot from 9 ft,22,25
102,1,0:31.0,Defensive rebound by A. Horford,,22,25
103,1,0:12.0,K. Humphries misses 3-pt jump shot from 25 ft,,22,25
104,1,0:10.0,Offensive rebound by T. Sefolosha,,22,25
105,1,0:06.0,D. Schröder misses 3-pt jump shot from 25 ft,,22,25
106,1,0:05.0,,Defensive rebound by N. Hilário,22,25
107,2,11:35.0,,M. Thornton misses 2-pt jump shot from 18 ft,22,25
108,2,11:34.0,Defensive rebound by T. Sefolosha,,22,25
109,2,11:14.0,Turnover by M. Scott (traveling),,22,25
110,2,10:58.0,,B. Beal misses 2-pt jump shot from 7 ft,22,25
111,2,10:57.0,Defensive rebound by D. Schröder,,22,25
112,2,10:47.0,D. Schröder makes 2-pt jump shot from 9 ft,,24,25
113,2,10:47.0,Shooting foul by N. Hilário (drawn by D. Schröder),,24,25
114,2,10:47.0,K. Korver enters the game for T. Sefolosha,,24,25
115,2,10:47.0,D. Schröder makes free throw 1 of 1,,25,25
