,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,PORTLAND_ACTION,GOLDEN STATE_SCORE,PORTLAND_SCORE
0,1,11:45.0,A. Bogut makes 2-pt dunk at rim (assist by D. Green),,2,0
1,1,11:25.0,,M. Plumlee makes 2-pt layup from 2 ft (assist by C. McCollum),2,2
2,1,11:06.0,K. Thompson misses 2-pt jump shot from 19 ft,,2,2
3,1,11:05.0,,Defensive rebound by A. Aminu,2,2
4,1,10:58.0,,D. Lillard misses 2-pt jump shot from 19 ft,2,2
5,1,10:55.0,Defensive rebound by D. Green,,2,2
6,1,10:50.0,S. Curry makes 2-pt layup from 1 ft (assist by D. Green),,4,2
7,1,10:36.0,,C. McCollum makes 3-pt jump shot from 26 ft (assist by D. Lillard),4,5
8,1,10:24.0,H. Barnes misses 2-pt hook shot from 6 ft,,4,5
9,1,10:23.0,,Defensive rebound by M. Plumlee,4,5
10,1,10:14.0,,Turnover by A. Aminu (traveling),4,5
11,1,10:09.0,H. Barnes makes 2-pt jump shot from 20 ft (assist by S. Curry),,6,5
12,1,9:50.0,,A. Aminu makes 2-pt jump shot from 21 ft (assist by D. Lillard),6,7
13,1,9:41.0,S. Curry makes 3-pt jump shot from 24 ft,,9,7
14,1,9:26.0,,C. McCollum makes 2-pt jump shot from 14 ft (assist by M. Plumlee),9,9
15,1,9:17.0,K. Thompson misses 2-pt jump shot from 11 ft,,9,9
16,1,9:17.0,,Defensive rebound by A. Aminu,9,9
17,1,9:02.0,,Turnover by C. McCollum (lost ball; steal by S. Curry),9,9
18,1,8:56.0,S. Curry misses 3-pt jump shot from 25 ft,,9,9
19,1,8:55.0,,Defensive rebound by N. Vonleh,9,9
20,1,8:45.0,,N. Vonleh makes 3-pt jump shot from 25 ft (assist by D. Lillard),9,12
21,1,8:30.0,K. Thompson makes 2-pt layup from 1 ft (assist by D. Green),,11,12
22,1,8:20.0,,Shooting foul by S. Curry (drawn by D. Lillard),11,12
23,1,8:20.0,,D. Lillard makes 2-pt jump shot from 14 ft,11,14
24,1,8:20.0,,D. Lillard makes free throw 1 of 1,11,15
25,1,8:05.0,S. Curry makes 3-pt jump shot from 24 ft (assist by D. Green),,14,15
26,1,7:48.0,,Personal foul by A. Bogut,14,15
27,1,7:41.0,,D. Lillard makes 2-pt jump shot from 20 ft,14,17
28,1,7:32.0,Turnover by D. Green (bad pass),,14,17
29,1,7:19.0,,M. Plumlee makes 2-pt layup at rim (assist by D. Lillard),14,19
30,1,7:06.0,S. Curry misses 3-pt jump shot from 23 ft,,14,19
31,1,7:06.0,,Defensive rebound by M. Plumlee,14,19
32,1,6:57.0,,D. Lillard misses 2-pt jump shot from 15 ft,14,19
33,1,6:56.0,Defensive rebound by A. Bogut,,14,19
34,1,6:48.0,S. Curry makes 3-pt jump shot from 22 ft (assist by K. Thompson),,17,19
35,1,6:29.0,,M. Plumlee makes 2-pt dunk at rim (assist by D. Lillard),17,21
36,1,6:28.0,Golden State full timeout,,17,21
37,1,6:14.0,A. Bogut misses 2-pt hook shot from 5 ft,,17,21
38,1,6:13.0,Offensive rebound by S. Curry,,17,21
39,1,6:09.0,K. Thompson makes 2-pt layup from 2 ft (assist by S. Curry),,19,21
40,1,5:49.0,,C. McCollum misses 2-pt jump shot from 19 ft,19,21
41,1,5:49.0,Defensive rebound by K. Thompson,,19,21
42,1,5:44.0,Shooting foul by C. McCollum (drawn by K. Thompson),,19,21
43,1,5:44.0,K. Thompson makes free throw 1 of 2,,20,21
44,1,5:44.0,A. Iguodala enters the game for H. Barnes,,20,21
45,1,5:44.0,K. Thompson makes free throw 2 of 2,,21,21
46,1,5:29.0,,D. Lillard makes 2-pt layup at rim,21,23
47,1,5:17.0,S. Curry makes 2-pt layup from 2 ft (assist by D. Green),,23,23
48,1,4:58.0,,C. McCollum misses 2-pt jump shot from 3 ft (block by A. Bogut),23,23
49,1,4:58.0,,Offensive rebound by Team,23,23
50,1,4:58.0,,A. Crabbe enters the game for C. McCollum,23,23
51,1,4:58.0,,M. Harkless enters the game for N. Vonleh,23,23
52,1,4:58.0,L. Barbosa enters the game for K. Thompson,,23,23
53,1,4:50.0,,M. Harkless misses 2-pt layup from 2 ft (block by A. Bogut),23,23
54,1,4:49.0,,Offensive rebound by M. Plumlee,23,23
55,1,4:42.0,,A. Crabbe makes 2-pt jump shot from 17 ft,23,25
56,1,4:33.0,S. Curry misses 3-pt jump shot from 24 ft,,23,25
57,1,4:33.0,,Defensive rebound by M. Plumlee,23,25
58,1,4:23.0,,M. Plumlee misses 2-pt hook shot from 5 ft,23,25
59,1,4:23.0,Defensive rebound by A. Iguodala,,23,25
60,1,4:23.0,Personal foul by A. Aminu,,23,25
61,1,4:23.0,,G. Henderson enters the game for A. Aminu,23,25
62,1,4:15.0,Turnover by D. Green (bad pass),,23,25
63,1,4:01.0,,M. Plumlee misses 2-pt layup from 1 ft (block by A. Bogut),23,25
64,1,4:01.0,,Offensive rebound by Team,23,25
65,1,3:51.0,,Shooting foul by A. Bogut (drawn by M. Plumlee),23,25
66,1,3:51.0,,M. Plumlee misses free throw 1 of 2,23,25
67,1,3:51.0,,Offensive rebound by Team,23,25
68,1,3:51.0,M. Speights enters the game for A. Bogut,,23,25
69,1,3:51.0,,M. Plumlee makes free throw 2 of 2,23,26
70,1,3:39.0,S. Curry misses 2-pt layup from 2 ft,,23,26
71,1,3:38.0,,Defensive rebound by G. Henderson,23,26
72,1,3:32.0,,M. Harkless makes 2-pt dunk at rim (assist by G. Henderson),23,28
73,1,3:13.0,D. Green misses 2-pt layup from 2 ft (block by M. Harkless),,23,28
74,1,3:12.0,Offensive rebound by M. Speights,,23,28
75,1,3:11.0,M. Speights misses 2-pt layup at rim,,23,28
76,1,3:11.0,,Defensive rebound by Team,23,28
77,1,3:11.0,,E. Davis enters the game for M. Plumlee,23,28
78,1,2:58.0,,D. Lillard misses 2-pt jump shot from 19 ft,23,28
79,1,2:57.0,Defensive rebound by D. Green,,23,28
80,1,2:47.0,A. Iguodala misses 2-pt jump shot from 17 ft,,23,28
81,1,2:46.0,,Defensive rebound by G. Henderson,23,28
82,1,2:38.0,,G. Henderson makes 2-pt jump shot from 14 ft,23,30
83,1,2:29.0,S. Curry misses 2-pt jump shot from 4 ft,,23,30
84,1,2:29.0,Offensive rebound by S. Curry,,23,30
85,1,2:22.0,D. Green makes 3-pt jump shot from 25 ft (assist by S. Curry),,26,30
86,1,2:22.0,,Portland full timeout,26,30
