,QUARTER,TIME_REMAINING,ATLANTA_ACTION,MINNESOTA_ACTION,ATLANTA_SCORE,MINNESOTA_SCORE
0,1,11:45.0,K. Korver misses 2-pt jump shot from 23 ft,,0,0
1,1,11:44.0,,Defensive rebound by A. Wiggins,0,0
2,1,11:31.0,,A. Wiggins makes 2-pt layup from 1 ft (assist by K. Garnett),0,2
3,1,11:31.0,,Shooting foul by T. Sefolosha (drawn by A. Wiggins),0,2
4,1,11:31.0,,A. Wiggins misses free throw 1 of 1,0,2
5,1,11:31.0,Defensive rebound by T. Sefolosha,,0,2
6,1,11:19.0,T. Sefolosha makes 2-pt layup at rim,,2,2
7,1,11:03.0,,R. Rubio makes 2-pt jump shot from 16 ft (assist by K. Garnett),2,4
8,1,10:37.0,Turnover by T. Sefolosha (lost ball),,2,4
9,1,10:24.0,,A. Wiggins misses 2-pt jump shot from 17 ft,2,4
10,1,10:23.0,Defensive rebound by K. Korver,,2,4
11,1,10:17.0,Personal foul by R. Rubio (drawn by J. Teague),,2,4
12,1,10:11.0,A. Horford misses 2-pt jump shot from 22 ft,,2,4
13,1,10:09.0,,Defensive rebound by K. Martin,2,4
14,1,9:59.0,,K. Towns makes 2-pt jump shot from 12 ft,2,6
15,1,9:44.0,Turnover by J. Teague (bad pass; steal by K. Garnett),,2,6
16,1,9:31.0,,K. Garnett makes 2-pt jump shot from 13 ft (assist by R. Rubio),2,8
17,1,9:17.0,J. Teague makes 3-pt jump shot from 24 ft,,5,8
18,1,9:04.0,,Shooting foul by P. Millsap (drawn by K. Martin),5,8
19,1,9:04.0,,K. Martin makes free throw 1 of 2,5,9
20,1,9:04.0,,K. Martin misses free throw 2 of 2,5,9
21,1,9:04.0,Defensive rebound by P. Millsap,,5,9
22,1,8:45.0,J. Teague misses 3-pt jump shot from 24 ft,,5,9
23,1,8:44.0,Offensive rebound by A. Horford,,5,9
24,1,8:41.0,K. Korver makes 3-pt jump shot from 25 ft (assist by A. Horford),,8,9
