,QUARTER,TIME_REMAINING,DETROIT_ACTION,WASHINGTON_ACTION,DETROIT_SCORE,WASHINGTON_SCORE
0,1,11:52.0,Offensive foul by R. Jackson (drawn by B. Beal),,0,0
1,1,11:52.0,Turnover by R. Jackson (offensive foul),,0,0
2,1,11:39.0,,M. Gortat makes 2-pt jump shot from 9 ft (assist by J. Wall),0,2
3,1,11:20.0,M. Morris misses 3-pt jump shot from 25 ft,,0,2
4,1,11:19.0,Offensive rebound by A. Drummond,,0,2
5,1,11:16.0,A. Drummond misses 2-pt jump shot from 4 ft,,0,2
6,1,11:15.0,,Defensive rebound by J. Wall,0,2
7,1,11:09.0,,M. Gortat makes 2-pt layup at rim (assist by J. Wall),0,4
8,1,10:51.0,Shooting foul by M. Morris (drawn by T. Harris),,0,4
9,1,10:51.0,T. Harris makes free throw 1 of 2,,1,4
10,1,10:51.0,T. Harris makes free throw 2 of 2,,2,4
11,1,10:37.0,,M. Gortat misses 2-pt jump shot from 11 ft,2,4
12,1,10:36.0,Defensive rebound by T. Harris,,2,4
13,1,10:29.0,R. Jackson makes 2-pt layup from 1 ft,,4,4
14,1,10:15.0,,B. Beal makes 2-pt jump shot from 6 ft (assist by J. Wall),4,6
15,1,10:03.0,R. Jackson misses 2-pt layup from 1 ft,,4,6
16,1,10:02.0,,Defensive rebound by M. Gortat,4,6
17,1,9:53.0,,J. Wall misses 2-pt jump shot from 14 ft,4,6
18,1,9:52.0,Defensive rebound by Team,,4,6
19,1,9:35.0,T. Harris misses 3-pt jump shot from 25 ft,,4,6
20,1,9:34.0,,Defensive rebound by M. Gortat,4,6
21,1,9:28.0,,M. Morris misses 2-pt jump shot from 18 ft,4,6
22,1,9:26.0,Defensive rebound by M. Morris,,4,6
23,1,9:21.0,A. Drummond misses 2-pt layup from 1 ft,,4,6
24,1,9:20.0,,Defensive rebound by B. Beal,4,6
25,1,9:12.0,,B. Beal makes 3-pt jump shot from 26 ft (assist by M. Gortat),4,9
26,1,8:55.0,R. Jackson misses 3-pt jump shot from 23 ft,,4,9
27,1,8:55.0,,Defensive rebound by M. Gortat,4,9
28,1,8:40.0,,J. Wall makes 2-pt dunk at rim,4,11
29,1,8:33.0,Detroit full timeout,,4,11
30,1,8:22.0,M. Morris misses 2-pt jump shot from 16 ft,,4,11
31,1,8:19.0,,Defensive rebound by J. Wall,4,11
32,1,8:08.0,,B. Beal misses 2-pt jump shot from 9 ft,4,11
33,1,8:07.0,,Offensive rebound by M. Gortat,4,11
34,1,8:05.0,,M. Gortat misses 2-pt layup at rim,4,11
35,1,8:05.0,Defensive rebound by M. Morris,,4,11
36,1,7:50.0,Turnover by A. Drummond (bad pass; steal by J. Wall),,4,11
37,1,7:47.0,,J. Wall makes 2-pt dunk at rim,4,13
38,1,7:39.0,Detroit full timeout,,4,13
39,1,7:31.0,T. Harris misses 2-pt jump shot from 19 ft,,4,13
40,1,7:30.0,Offensive rebound by A. Drummond,,4,13
41,1,7:27.0,A. Drummond misses 2-pt layup from 1 ft,,4,13
42,1,7:27.0,Offensive rebound by A. Drummond,,4,13
43,1,7:24.0,A. Drummond makes 2-pt layup from 1 ft,,6,13
44,1,7:14.0,,M. Morris makes 3-pt jump shot from 26 ft (assist by B. Beal),6,16
45,1,6:51.0,R. Jackson misses 3-pt jump shot from 27 ft,,6,16
46,1,6:49.0,,Defensive rebound by O. Porter,6,16
47,1,6:35.0,,J. Wall misses 2-pt jump shot from 3 ft,6,16
48,1,6:34.0,Defensive rebound by A. Drummond,,6,16
49,1,6:18.0,Turnover by M. Morris (traveling),,6,16
50,1,5:59.0,,M. Gortat makes 2-pt dunk at rim (assist by J. Wall),6,18
51,1,5:46.0,Turnover by R. Jackson (traveling),,6,18
52,1,5:46.0,S. Johnson enters the game for M. Morris,,6,18
53,1,5:28.0,,M. Morris makes 2-pt jump shot from 13 ft,6,20
54,1,5:12.0,K. Caldwell-Pope misses 2-pt jump shot from 21 ft,,6,20
55,1,5:11.0,,Defensive rebound by J. Wall,6,20
56,1,5:03.0,,O. Porter makes 3-pt jump shot from 23 ft (assist by M. Morris),6,23
57,1,4:43.0,T. Harris misses 3-pt jump shot from 24 ft,,6,23
58,1,4:42.0,,Defensive rebound by B. Beal,6,23
59,1,4:39.0,,Personal foul by R. Jackson,6,23
60,1,4:39.0,S. Blake enters the game for R. Jackson,,6,23
61,1,4:39.0,,G. Temple enters the game for B. Beal,6,23
62,1,4:36.0,,O. Porter misses 2-pt jump shot from 5 ft,6,23
63,1,4:35.0,Defensive rebound by A. Drummond,,6,23
64,1,4:15.0,Turnover by S. Blake (traveling),,6,23
65,1,4:06.0,,Shooting foul by A. Drummond (drawn by J. Wall),6,23
66,1,4:06.0,,J. Wall makes free throw 1 of 2,6,24
67,1,4:06.0,A. Baynes enters the game for A. Drummond,,6,24
68,1,4:06.0,A. Tolliver enters the game for T. Harris,,6,24
69,1,4:06.0,,J. Wall makes free throw 2 of 2,6,25
70,1,3:52.0,Shooting foul by M. Gortat (drawn by K. Caldwell-Pope),,6,25
71,1,3:52.0,K. Caldwell-Pope misses free throw 1 of 2,,6,25
72,1,3:52.0,Offensive rebound by Team,,6,25
73,1,3:52.0,K. Caldwell-Pope makes free throw 2 of 2,,7,25
74,1,3:39.0,,J. Wall misses 2-pt jump shot from 3 ft,7,25
75,1,3:38.0,Defensive rebound by Team,,7,25
76,1,3:32.0,Offensive foul by A. Baynes (drawn by M. Gortat),,7,25
77,1,3:32.0,Turnover by A. Baynes (offensive foul),,7,25
78,1,3:22.0,,G. Temple makes 3-pt jump shot from 24 ft (assist by J. Wall),7,28
79,1,3:01.0,S. Johnson misses 2-pt jump shot from 19 ft,,7,28
80,1,2:59.0,,Defensive rebound by M. Morris,7,28
81,1,2:51.0,,M. Gortat makes 2-pt layup at rim (assist by J. Wall),7,30
82,1,2:34.0,K. Caldwell-Pope makes 2-pt jump shot from 14 ft,,9,30
83,1,2:26.0,,M. Morris misses 3-pt jump shot from 26 ft,9,30
84,1,2:25.0,Defensive rebound by K. Caldwell-Pope,,9,30
85,1,2:17.0,A. Baynes makes 2-pt jump shot from 17 ft,,11,30
86,1,2:08.0,,Washington full timeout,11,30
87,1,2:08.0,,N. Hilário enters the game for M. Gortat,11,30
88,1,1:51.0,,G. Temple misses 3-pt jump shot from 27 ft,11,30
89,1,1:50.0,Defensive rebound by K. Caldwell-Pope,,11,30
90,1,1:46.0,Turnover by S. Blake (bad pass; steal by O. Porter),,11,30
91,1,1:40.0,,J. Wall makes 2-pt layup from 1 ft (assist by O. Porter),11,32
92,1,1:24.0,S. Johnson misses 2-pt jump shot from 14 ft,,11,32
93,1,1:23.0,,Defensive rebound by J. Wall,11,32
94,1,1:13.0,,N. Hilário misses 2-pt layup from 1 ft,11,32
95,1,1:13.0,,Offensive rebound by Team,11,32
96,1,1:13.0,,J. Dudley enters the game for M. Morris,11,32
97,1,1:13.0,,R. Sessions enters the game for J. Wall,11,32
98,1,1:13.0,,A. Anderson enters the game for O. Porter,11,32
99,1,1:00.0,,N. Hilário makes 2-pt jump shot from 19 ft (assist by R. Sessions),11,34
100,1,0:47.0,K. Caldwell-Pope makes 2-pt jump shot from 18 ft,,13,34
101,1,0:33.0,,G. Temple misses 2-pt jump shot from 17 ft,13,34
102,1,0:32.0,Defensive rebound by S. Johnson,,13,34
103,1,0:14.0,K. Caldwell-Pope makes 2-pt layup at rim (assist by S. Johnson),,15,34
104,1,0:14.0,Shooting foul by G. Temple (drawn by K. Caldwell-Pope),,15,34
105,1,0:14.0,,J. Wall enters the game for G. Temple,15,34
106,1,0:14.0,K. Caldwell-Pope misses free throw 1 of 1,,15,34
107,1,0:13.0,,Defensive rebound by J. Wall,15,34
108,1,0:02.0,,Turnover by J. Wall (bad pass; steal by S. Johnson),15,34
109,2,11:44.0,,B. Beal misses 2-pt jump shot from 17 ft,15,34
110,2,11:43.0,,Offensive rebound by B. Beal,15,34
111,2,11:40.0,,Shooting foul by S. Johnson (drawn by A. Anderson),15,34
112,2,11:40.0,,A. Anderson makes 3-pt jump shot from 26 ft (assist by B. Beal),15,37
113,2,11:40.0,,A. Anderson misses free throw 1 of 1,15,37
114,2,11:39.0,Defensive rebound by A. Tolliver,,15,37
115,2,11:25.0,S. Johnson misses 2-pt layup from 2 ft,,15,37
116,2,11:24.0,Offensive rebound by A. Baynes,,15,37
117,2,11:23.0,A. Baynes misses 2-pt layup from 1 ft,,15,37
118,2,11:23.0,Offensive rebound by A. Baynes,,15,37
119,2,11:23.0,Personal take foul by J. Dudley,,15,37
120,2,11:23.0,A. Baynes misses free throw 1 of 2,,15,37
121,2,11:23.0,Offensive rebound by Team,,15,37
122,2,11:23.0,A. Baynes misses free throw 2 of 2,,15,37
123,2,11:21.0,,Defensive rebound by N. Hilário,15,37
124,2,11:07.0,,B. Beal misses 2-pt layup at rim (block by A. Baynes),15,37
125,2,11:06.0,Defensive rebound by A. Tolliver,,15,37
126,2,10:45.0,A. Tolliver misses 3-pt jump shot from 24 ft,,15,37
127,2,10:45.0,,Defensive rebound by A. Anderson,15,37
128,2,10:24.0,,Turnover by A. Anderson (bad pass; steal by R. Bullock),15,37
129,2,10:14.0,R. Bullock misses 3-pt jump shot from 25 ft,,15,37
130,2,10:12.0,Offensive rebound by S. Blake,,15,37
131,2,10:02.0,S. Blake misses 2-pt jump shot from 21 ft,,15,37
132,2,10:00.0,,Defensive rebound by A. Anderson,15,37
133,2,9:48.0,,N. Hilário makes 2-pt dunk at rim,15,39
134,2,9:42.0,Personal foul by N. Hilário,,15,39
135,2,9:42.0,,O. Porter enters the game for A. Anderson,15,39
136,2,9:35.0,Personal foul by B. Beal,,15,39
137,2,9:32.0,S. Blake makes 3-pt jump shot from 26 ft (assist by S. Johnson),,18,39
138,2,9:12.0,,N. Hilário makes 2-pt hook shot from 7 ft,18,41
139,2,9:01.0,Personal foul by N. Hilário,,18,41
140,2,8:51.0,A. Tolliver makes 2-pt layup from 1 ft (assist by S. Blake),,20,41
141,2,8:41.0,,R. Sessions misses 2-pt layup at rim,20,41
142,2,8:40.0,Defensive rebound by A. Tolliver,,20,41
143,2,8:30.0,S. Johnson misses 3-pt jump shot from 28 ft,,20,41
144,2,8:29.0,Offensive rebound by A. Baynes,,20,41
145,2,8:25.0,Turnover by A. Baynes (bad pass; steal by B. Beal),,20,41
146,2,8:20.0,,O. Porter misses 2-pt jump shot from 19 ft,20,41
147,2,8:19.0,Defensive rebound by S. Johnson,,20,41
148,2,8:15.0,S. Blake misses 2-pt jump shot from 20 ft,,20,41
149,2,8:13.0,,Defensive rebound by R. Sessions,20,41
150,2,8:09.0,,Washington full timeout,20,41
