,QUARTER,TIME_REMAINING,DALLAS_ACTION,NEW ORLEANS_ACTION,DALLAS_SCORE,NEW ORLEANS_SCORE
0,1,11:41.0,,E. Gordon makes 3-pt jump shot from 25 ft (assist by A. Davis),0,3
1,1,11:25.0,Turnover by W. Matthews (bad pass; steal by E. Gordon),,0,3
2,1,11:20.0,,Shooting foul by C. Parsons (drawn by E. Gordon),0,3
3,1,11:20.0,,E. Gordon makes free throw 1 of 2,0,4
4,1,11:20.0,,E. Gordon makes free throw 2 of 2,0,5
5,1,11:09.0,Turnover by W. Matthews (bad pass; steal by A. Davis),,0,5
6,1,11:04.0,,A. Davis makes 2-pt dunk at rim,0,7
7,1,10:46.0,Turnover by C. Parsons (lost ball; steal by J. Holiday),,0,7
8,1,10:40.0,,J. Holiday makes 3-pt jump shot from 26 ft,0,10
9,1,10:38.0,Dallas full timeout,,0,10
10,1,10:25.0,D. Nowitzki misses 3-pt jump shot from 24 ft,,0,10
11,1,10:24.0,,Defensive rebound by Ö. Aşık,0,10
12,1,10:13.0,,A. Davis misses 3-pt jump shot from 25 ft,0,10
13,1,10:12.0,Defensive rebound by C. Parsons,,0,10
14,1,10:00.0,W. Matthews misses 3-pt jump shot from 24 ft,,0,10
15,1,9:59.0,,Defensive rebound by A. Davis,0,10
16,1,9:50.0,,A. Davis makes 2-pt layup from 1 ft (assist by J. Holiday),0,12
17,1,9:39.0,D. Williams misses 2-pt jump shot from 13 ft,,0,12
18,1,9:37.0,,Defensive rebound by Ö. Aşık,0,12
19,1,9:22.0,,A. Davis misses 2-pt layup from 2 ft,0,12
20,1,9:21.0,Defensive rebound by D. Nowitzki,,0,12
21,1,9:08.0,Z. Pachulia makes 2-pt layup from 1 ft,,2,12
22,1,8:48.0,,J. Holiday makes 2-pt jump shot from 15 ft,2,14
23,1,8:37.0,D. Nowitzki misses 3-pt jump shot from 24 ft,,2,14
24,1,8:37.0,,Defensive rebound by L. Babbitt,2,14
25,1,8:28.0,,A. Davis misses 2-pt jump shot from 14 ft,2,14
26,1,8:26.0,Defensive rebound by C. Parsons,,2,14
27,1,8:17.0,D. Nowitzki misses 3-pt jump shot from 25 ft,,2,14
28,1,8:16.0,,Defensive rebound by Ö. Aşık,2,14
29,1,8:10.0,,Personal foul by D. Williams (drawn by J. Holiday),2,14
30,1,8:10.0,C. Villanueva enters the game for D. Nowitzki,,2,14
31,1,8:10.0,R. Felton enters the game for W. Matthews,,2,14
32,1,7:58.0,,Turnover by A. Davis (lost ball; steal by D. Williams),2,14
33,1,7:46.0,D. Williams makes 2-pt layup from 1 ft (assist by C. Parsons),,4,14
34,1,7:31.0,,A. Davis misses 2-pt jump shot from 10 ft,4,14
35,1,7:31.0,Defensive rebound by R. Felton,,4,14
36,1,7:24.0,Shooting foul by A. Davis (drawn by Z. Pachulia),,4,14
37,1,7:24.0,Z. Pachulia makes free throw 1 of 2,,5,14
38,1,7:24.0,,R. Anderson enters the game for Ö. Aşık,5,14
39,1,7:24.0,Z. Pachulia makes free throw 2 of 2,,6,14
40,1,7:13.0,,Personal foul by C. Villanueva (drawn by R. Anderson),6,14
41,1,7:01.0,,J. Holiday makes 2-pt layup from 1 ft (assist by R. Anderson),6,16
42,1,6:45.0,C. Parsons misses 3-pt jump shot from 24 ft,,6,16
43,1,6:45.0,,Defensive rebound by A. Davis,6,16
44,1,6:32.0,,L. Babbitt misses 3-pt jump shot from 23 ft,6,16
45,1,6:32.0,,Offensive rebound by Team,6,16
46,1,6:23.0,,E. Gordon makes 3-pt jump shot from 24 ft (assist by J. Holiday),6,19
