,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,MINNESOTA_ACTION,PHILADELPHIA_SCORE,MINNESOTA_SCORE
0,1,11:41.0,Turnover by J. Okafor (lost ball),,0,0
1,1,11:26.0,,K. Garnett misses 2-pt jump shot from 18 ft,0,0
2,1,11:24.0,Defensive rebound by Team,,0,0
3,1,11:09.0,N. Noel misses 2-pt jump shot from 13 ft,,0,0
4,1,11:07.0,Offensive rebound by J. Okafor,,0,0
5,1,11:06.0,Shooting foul by R. Rubio (drawn by J. Okafor),,0,0
6,1,11:06.0,J. Okafor makes free throw 1 of 2,,1,0
7,1,11:06.0,J. Okafor makes free throw 2 of 2,,2,0
8,1,10:52.0,,K. Martin misses 2-pt jump shot from 19 ft,2,0
9,1,10:50.0,,Offensive rebound by R. Rubio,2,0
10,1,10:35.0,,K. Martin misses 3-pt jump shot from 24 ft,2,0
11,1,10:34.0,Defensive rebound by J. Okafor,,2,0
12,1,10:24.0,J. Grant misses 3-pt jump shot from 25 ft,,2,0
13,1,10:22.0,,Defensive rebound by K. Towns,2,0
14,1,10:14.0,,R. Rubio makes 2-pt jump shot from 18 ft,2,2
15,1,9:57.0,Shooting foul by K. Towns (drawn by N. Stauskas),,2,2
16,1,9:57.0,N. Stauskas makes free throw 1 of 2,,3,2
17,1,9:57.0,N. Stauskas makes free throw 2 of 2,,4,2
18,1,9:45.0,,A. Wiggins makes 3-pt jump shot from 24 ft (assist by K. Garnett),4,5
19,1,9:25.0,J. Grant misses 2-pt jump shot from 9 ft (block by K. Towns),,4,5
20,1,9:24.0,,Defensive rebound by K. Garnett,4,5
21,1,9:18.0,,Turnover by R. Rubio (lost ball; steal by T. McConnell),4,5
22,1,9:12.0,J. Okafor makes 2-pt layup from 1 ft (assist by T. McConnell),,6,5
23,1,8:58.0,,K. Towns misses 2-pt layup from 2 ft (block by J. Okafor),6,5
24,1,8:57.0,Defensive rebound by J. Okafor,,6,5
25,1,8:44.0,J. Okafor misses 2-pt hook shot from 10 ft,,6,5
26,1,8:43.0,,Defensive rebound by K. Garnett,6,5
27,1,8:34.0,,K. Towns misses 2-pt jump shot from 12 ft,6,5
28,1,8:34.0,Defensive rebound by N. Noel,,6,5
29,1,8:19.0,Turnover by N. Noel (lost ball; steal by K. Garnett),,6,5
30,1,8:16.0,,Shooting foul by T. McConnell (drawn by R. Rubio),6,5
31,1,8:16.0,,R. Rubio makes free throw 1 of 2,6,6
32,1,8:16.0,,R. Rubio makes free throw 2 of 2,6,7
33,1,8:01.0,Turnover by J. Grant (bad pass; steal by K. Garnett),,6,7
34,1,7:56.0,,R. Rubio misses 2-pt layup from 1 ft,6,7
35,1,7:54.0,,Offensive rebound by K. Towns,6,7
36,1,7:51.0,,A. Wiggins misses 2-pt jump shot from 7 ft,6,7
37,1,7:50.0,Defensive rebound by J. Grant,,6,7
38,1,7:40.0,Turnover by T. McConnell (bad pass),,6,7
39,1,7:23.0,,K. Towns makes 2-pt hook shot from 8 ft (assist by A. Wiggins),6,9
40,1,7:06.0,J. Okafor makes 2-pt jump shot from 5 ft,,8,9
41,1,7:06.0,Shooting foul by K. Towns (drawn by J. Okafor),,8,9
42,1,7:06.0,,G. Dieng enters the game for K. Towns,8,9
43,1,7:06.0,J. Okafor misses free throw 1 of 1,,8,9
44,1,7:05.0,,Defensive rebound by K. Garnett,8,9
45,1,6:53.0,,A. Wiggins misses 2-pt layup from 2 ft (block by J. Grant),8,9
46,1,6:51.0,Defensive rebound by T. McConnell,,8,9
47,1,6:46.0,J. Grant makes 2-pt dunk at rim (assist by T. McConnell),,10,9
48,1,6:32.0,,K. Martin makes 2-pt jump shot from 15 ft (assist by R. Rubio),10,11
49,1,6:03.0,T. McConnell makes 2-pt jump shot from 13 ft,,12,11
