,QUARTER,TIME_REMAINING,ORLANDO_ACTION,CHICAGO_ACTION,ORLANDO_SCORE,CHICAGO_SCORE
0,1,11:38.0,,N. Mirotić misses 3-pt jump shot from 24 ft,0,0
1,1,11:37.0,Defensive rebound by N. Vučević,,0,0
2,1,11:27.0,T. Harris misses 2-pt jump shot from 6 ft (block by N. Mirotić),,0,0
3,1,11:25.0,,Defensive rebound by P. Gasol,0,0
4,1,11:18.0,,D. Rose makes 2-pt jump shot from 4 ft,0,2
5,1,11:06.0,N. Vučević makes 2-pt jump shot from 15 ft (assist by E. Payton),,2,2
6,1,10:44.0,,Turnover by P. Gasol (bad pass; steal by N. Vučević),2,2
7,1,10:36.0,T. Harris misses 3-pt jump shot from 23 ft,,2,2
8,1,10:35.0,,Defensive rebound by N. Mirotić,2,2
9,1,10:26.0,,P. Gasol misses 3-pt jump shot from 23 ft,2,2
10,1,10:24.0,Defensive rebound by E. Fournier,,2,2
11,1,10:18.0,E. Fournier makes 2-pt layup from 2 ft,,4,2
12,1,10:02.0,,J. Butler misses 2-pt jump shot from 19 ft,4,2
13,1,10:01.0,Defensive rebound by N. Vučević,,4,2
14,1,9:40.0,E. Fournier misses 2-pt jump shot from 14 ft (block by T. Snell),,4,2
15,1,9:40.0,Offensive rebound by Team,,4,2
16,1,9:38.0,E. Payton misses 2-pt jump shot from 22 ft (block by P. Gasol),,4,2
17,1,9:38.0,Offensive rebound by Team,,4,2
18,1,9:38.0,Turnover by Team (shot clock),,4,2
19,1,9:25.0,,J. Butler makes 2-pt jump shot from 20 ft,4,4
20,1,9:09.0,T. Harris misses 3-pt jump shot from 23 ft,,4,4
21,1,9:08.0,,Defensive rebound by J. Butler,4,4
22,1,8:58.0,,P. Gasol makes 2-pt jump shot from 17 ft (assist by J. Butler),4,6
23,1,8:36.0,N. Vučević makes 2-pt hook shot from 11 ft,,6,6
24,1,8:23.0,,T. Snell misses 2-pt jump shot from 4 ft,6,6
25,1,8:22.0,,Offensive rebound by P. Gasol,6,6
26,1,8:21.0,,P. Gasol makes 2-pt layup from 1 ft,6,8
27,1,8:09.0,N. Vučević makes 2-pt jump shot from 8 ft (assist by E. Payton),,8,8
28,1,8:09.0,Shooting foul by P. Gasol (drawn by N. Vučević),,8,8
29,1,8:09.0,N. Vučević makes free throw 1 of 1,,9,8
30,1,7:47.0,,P. Gasol misses 2-pt jump shot from 5 ft,9,8
31,1,7:45.0,Defensive rebound by T. Harris,,9,8
32,1,7:40.0,T. Harris makes 2-pt layup from 1 ft,,11,8
33,1,7:23.0,,N. Mirotić makes 2-pt layup from 2 ft,11,10
34,1,7:04.0,T. Harris misses 2-pt jump shot from 5 ft,,11,10
35,1,7:02.0,,Defensive rebound by T. Snell,11,10
36,1,6:57.0,,D. Rose misses 2-pt jump shot from 13 ft,11,10
37,1,6:56.0,Defensive rebound by N. Vučević,,11,10
38,1,6:45.0,T. Harris makes 2-pt layup from 2 ft (assist by N. Vučević),,13,10
