,QUARTER,TIME_REMAINING,NEW YORK_ACTION,MILWAUKEE_ACTION,NEW YORK_SCORE,MILWAUKEE_SCORE
0,1,11:46.0,R. Lopez makes 2-pt dunk at rim (assist by C. Anthony),,2,0
1,1,11:29.0,,M. Carter-Williams misses 2-pt jump shot from 7 ft,2,0
2,1,11:27.0,,Offensive rebound by G. Monroe,2,0
3,1,11:24.0,,C. Copeland makes 3-pt jump shot from 24 ft (assist by G. Monroe),2,3
4,1,11:07.0,Shooting foul by G. Monroe (drawn by R. Lopez),,2,3
5,1,11:07.0,R. Lopez makes free throw 1 of 2,,3,3
6,1,11:07.0,R. Lopez makes free throw 2 of 2,,4,3
7,1,10:47.0,,M. Carter-Williams misses 2-pt layup from 2 ft,4,3
8,1,10:45.0,,Offensive rebound by G. Monroe,4,3
9,1,10:45.0,,G. Monroe makes 2-pt layup from 1 ft,4,5
10,1,10:22.0,C. Anthony misses 2-pt jump shot from 14 ft,,4,5
11,1,10:20.0,,Defensive rebound by K. Middleton,4,5
12,1,10:12.0,,M. Carter-Williams misses 2-pt layup from 1 ft,4,5
13,1,10:11.0,,Offensive rebound by Team,4,5
14,1,10:04.0,,C. Copeland misses 2-pt hook shot from 18 ft,4,5
15,1,10:02.0,Defensive rebound by S. Vujačić,,4,5
16,1,9:50.0,J. Calderón misses 2-pt layup at rim,,4,5
17,1,9:48.0,,Defensive rebound by J. Bayless,4,5
18,1,9:38.0,,K. Middleton misses 2-pt jump shot from 19 ft,4,5
19,1,9:36.0,,Offensive rebound by G. Monroe,4,5
20,1,9:34.0,,G. Monroe makes 2-pt hook shot from 5 ft,4,7
21,1,9:25.0,Turnover by J. Calderón (lost ball; steal by G. Monroe),,4,7
22,1,9:25.0,,Personal foul by K. Porziņģis (drawn by M. Carter-Williams),4,7
23,1,9:17.0,,M. Carter-Williams makes 2-pt layup from 1 ft,4,9
24,1,9:04.0,S. Vujačić misses 3-pt jump shot from 23 ft,,4,9
25,1,9:02.0,,Defensive rebound by G. Monroe,4,9
26,1,9:00.0,,Personal foul by J. Calderón (drawn by M. Carter-Williams),4,9
27,1,8:56.0,,M. Carter-Williams makes 2-pt dunk at rim (assist by G. Monroe),4,11
28,1,8:56.0,New York full timeout,,4,11
29,1,8:33.0,K. Porziņģis misses 2-pt layup from 2 ft,,4,11
30,1,8:32.0,,Defensive rebound by G. Monroe,4,11
31,1,8:21.0,,G. Monroe misses 2-pt hook shot from 9 ft,4,11
32,1,8:18.0,Defensive rebound by C. Anthony,,4,11
33,1,8:13.0,C. Anthony makes 2-pt layup from 1 ft,,6,11
34,1,8:07.0,,K. Middleton misses 2-pt jump shot from 3 ft (block by R. Lopez),6,11
35,1,8:07.0,,Offensive rebound by Team,6,11
36,1,8:04.0,,K. Middleton misses 2-pt jump shot from 12 ft,6,11
37,1,8:03.0,Defensive rebound by J. Calderón,,6,11
38,1,7:52.0,K. Porziņģis misses 2-pt jump shot from 12 ft,,6,11
39,1,7:50.0,,Defensive rebound by J. Bayless,6,11
40,1,7:43.0,,M. Carter-Williams misses 2-pt jump shot from 14 ft,6,11
41,1,7:41.0,Defensive rebound by C. Anthony,,6,11
42,1,7:30.0,K. Porziņģis misses 2-pt jump shot from 12 ft,,6,11
43,1,7:29.0,,Defensive rebound by J. Bayless,6,11
44,1,7:24.0,,J. Bayless misses 2-pt layup from 2 ft,6,11
45,1,7:22.0,,Offensive rebound by M. Carter-Williams,6,11
46,1,7:22.0,,M. Carter-Williams misses 2-pt layup at rim,6,11
47,1,7:20.0,,Offensive rebound by G. Monroe,6,11
48,1,7:18.0,,G. Monroe misses 2-pt layup from 1 ft (block by R. Lopez),6,11
49,1,7:15.0,Defensive rebound by S. Vujačić,,6,11
50,1,7:03.0,Personal foul by C. Copeland (drawn by J. Calderón),,6,11
51,1,7:03.0,D. Williams enters the game for K. Porziņģis,,6,11
