,QUARTER,TIME_REMAINING,MIAMI_ACTION,SAN ANTONIO_ACTION,MIAMI_SCORE,SAN ANTONIO_SCORE
0,1,11:37.0,,T. Parker misses 2-pt layup from 2 ft,0,0
1,1,11:35.0,Defensive rebound by J. Johnson,,0,0
2,1,11:18.0,D. Wade misses 2-pt jump shot from 16 ft,,0,0
3,1,11:17.0,,Defensive rebound by T. Duncan,0,0
4,1,11:04.0,,L. Aldridge misses 2-pt jump shot from 18 ft,0,0
5,1,11:03.0,Defensive rebound by G. Dragić,,0,0
6,1,10:58.0,G. Dragić misses 2-pt jump shot from 8 ft,,0,0
7,1,10:56.0,,Defensive rebound by T. Parker,0,0
8,1,10:42.0,,T. Parker makes 2-pt jump shot from 17 ft,0,2
9,1,10:11.0,A. Stoudemire misses 2-pt jump shot from 10 ft,,0,2
10,1,10:10.0,,Defensive rebound by K. Leonard,0,2
11,1,9:59.0,,Turnover by K. Leonard (bad pass; steal by G. Dragić),0,2
12,1,9:53.0,G. Dragić misses 2-pt layup at rim,,0,2
13,1,9:52.0,,Defensive rebound by T. Duncan,0,2
14,1,9:43.0,,K. Leonard makes 2-pt jump shot from 18 ft,0,4
15,1,9:24.0,D. Wade makes 2-pt jump shot from 17 ft,,2,4
16,1,9:08.0,,K. Leonard makes 3-pt jump shot from 23 ft (assist by D. Green),2,7
17,1,8:58.0,A. Stoudemire misses 2-pt jump shot from 19 ft,,2,7
18,1,8:57.0,,Defensive rebound by T. Parker,2,7
19,1,8:49.0,,Shooting foul by J. McRoberts (drawn by T. Duncan),2,7
20,1,8:49.0,,T. Duncan makes free throw 1 of 2,2,8
21,1,8:49.0,,T. Duncan makes free throw 2 of 2,2,9
22,1,8:31.0,D. Wade makes 2-pt layup from 1 ft (assist by G. Dragić),,4,9
23,1,8:12.0,,T. Duncan misses 2-pt jump shot from 18 ft,4,9
24,1,8:11.0,Defensive rebound by D. Wade,,4,9
25,1,8:08.0,Turnover by D. Wade (bad pass),,4,9
26,1,7:50.0,,T. Parker misses 2-pt jump shot from 17 ft,4,9
27,1,7:49.0,Defensive rebound by A. Stoudemire,,4,9
28,1,7:36.0,A. Stoudemire misses 2-pt layup from 1 ft (block by L. Aldridge),,4,9
29,1,7:34.0,,Defensive rebound by L. Aldridge,4,9
30,1,7:27.0,,K. Leonard makes 3-pt jump shot from 24 ft,4,12
