,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,MINNESOTA_ACTION,SACRAMENTO_SCORE,MINNESOTA_SCORE
0,1,11:43.0,Turnover by R. Rondo (lost ball),,0,0
1,1,11:29.0,,A. Wiggins makes 2-pt layup from 1 ft (assist by R. Rubio),0,2
2,1,11:11.0,K. Koufos misses 2-pt jump shot from 10 ft,,0,2
3,1,11:10.0,Offensive rebound by R. Gay,,0,2
4,1,11:03.0,Q. Acy makes 3-pt jump shot from 23 ft (assist by R. Gay),,3,2
5,1,10:46.0,,G. Dieng makes 2-pt jump shot from 18 ft (assist by R. Rubio),3,4
6,1,10:42.0,Turnover by R. Gay (bad pass; steal by R. Rubio),,3,4
7,1,10:36.0,,Turnover by Z. LaVine (lost ball; steal by R. Rondo),3,4
8,1,10:28.0,Q. Acy makes 2-pt layup at rim (assist by R. Gay),,5,4
9,1,10:14.0,,G. Dieng misses 2-pt jump shot from 13 ft,5,4
10,1,10:12.0,Defensive rebound by R. Rondo,,5,4
11,1,10:02.0,Shooting foul by K. Towns (drawn by R. Rondo),,5,4
12,1,10:02.0,R. Rondo makes free throw 1 of 2,,6,4
13,1,10:02.0,R. Rondo makes free throw 2 of 2,,7,4
14,1,9:50.0,,R. Rubio makes 3-pt jump shot from 23 ft (assist by A. Wiggins),7,7
15,1,9:35.0,R. Rondo makes 2-pt layup from 2 ft,,9,7
16,1,9:28.0,,K. Towns makes 2-pt layup from 2 ft (assist by R. Rubio),9,9
17,1,9:28.0,,Shooting foul by K. Koufos (drawn by K. Towns),9,9
18,1,9:28.0,,K. Towns makes free throw 1 of 1,9,10
19,1,9:19.0,R. Rondo makes 2-pt jump shot from 20 ft,,11,10
20,1,9:05.0,,R. Rubio makes 2-pt jump shot from 19 ft,11,12
21,1,8:55.0,R. Rondo misses 2-pt jump shot from 18 ft (block by K. Towns),,11,12
22,1,8:54.0,,Defensive rebound by R. Rubio,11,12
23,1,8:45.0,,Turnover by R. Rubio (bad pass; steal by R. Gay),11,12
24,1,8:38.0,J. Anderson misses 2-pt layup from 1 ft,,11,12
25,1,8:36.0,,Defensive rebound by G. Dieng,11,12
26,1,8:22.0,,A. Wiggins misses 2-pt layup from 1 ft,11,12
27,1,8:21.0,Defensive rebound by K. Koufos,,11,12
28,1,8:16.0,Turnover by R. Gay (lost ball; steal by R. Rubio),,11,12
29,1,8:12.0,,A. Wiggins makes 2-pt dunk at rim (assist by R. Rubio),11,14
30,1,8:12.0,,Shooting foul by Q. Acy (drawn by A. Wiggins),11,14
