,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,CHICAGO_ACTION,CLEVELAND_SCORE,CHICAGO_SCORE
0,1,11:41.0,K. Love misses 3-pt jump shot from 23 ft,,0,0
1,1,11:40.0,,Defensive rebound by M. Dunleavy,0,0
2,1,11:22.0,,N. Mirotić misses 2-pt layup from 1 ft,0,0
3,1,11:21.0,Defensive rebound by K. Love,,0,0
4,1,11:14.0,Turnover by K. Irving (lost ball; steal by N. Mirotić),,0,0
5,1,11:10.0,,D. Rose misses 2-pt layup from 1 ft,0,0
6,1,11:09.0,Defensive rebound by J. Smith,,0,0
7,1,10:55.0,L. James makes 2-pt jump shot from 17 ft,,2,0
8,1,10:38.0,,N. Mirotić misses 3-pt jump shot from 24 ft,2,0
9,1,10:37.0,Defensive rebound by K. Love,,2,0
10,1,10:23.0,L. James makes 2-pt jump shot from 10 ft,,4,0
11,1,10:02.0,,P. Gasol makes 2-pt jump shot from 17 ft (assist by J. Butler),4,2
12,1,9:43.0,L. James misses 2-pt jump shot from 20 ft,,4,2
13,1,9:42.0,Offensive rebound by K. Irving,,4,2
14,1,9:37.0,J. Smith makes 3-pt jump shot from 25 ft (assist by K. Love),,7,2
15,1,9:14.0,,P. Gasol misses 2-pt hook shot from 2 ft,7,2
16,1,9:13.0,Defensive rebound by T. Thompson,,7,2
17,1,9:05.0,K. Irving misses 2-pt layup from 3 ft,,7,2
18,1,9:04.0,,Defensive rebound by P. Gasol,7,2
19,1,8:55.0,,Offensive foul by N. Mirotić (drawn by J. Smith),7,2
20,1,8:55.0,,Turnover by N. Mirotić (offensive foul),7,2
21,1,8:41.0,Personal foul by N. Mirotić,,7,2
22,1,8:41.0,,B. Portis enters the game for N. Mirotić,7,2
23,1,8:38.0,Turnover by K. Love (bad pass),,7,2
24,1,8:21.0,,D. Rose makes 2-pt jump shot from 4 ft,7,4
25,1,8:11.0,K. Love makes 2-pt jump shot from 17 ft (assist by K. Irving),,9,4
26,1,7:56.0,,M. Dunleavy misses 2-pt layup from 2 ft (block by T. Thompson),9,4
27,1,7:54.0,Defensive rebound by K. Irving,,9,4
28,1,7:43.0,K. Love makes 3-pt jump shot from 24 ft (assist by T. Thompson),,12,4
29,1,7:43.0,,Chicago full timeout,12,4
30,1,7:25.0,,P. Gasol misses 2-pt jump shot from 12 ft (block by T. Thompson),12,4
31,1,7:25.0,,Offensive rebound by B. Portis,12,4
32,1,7:25.0,,B. Portis makes 2-pt layup from 1 ft,12,6
33,1,7:25.0,,Shooting foul by K. Love (drawn by B. Portis),12,6
34,1,7:25.0,,B. Portis misses free throw 1 of 1,12,6
35,1,7:25.0,Defensive rebound by L. James,,12,6
36,1,7:09.0,J. Smith misses 3-pt jump shot from 25 ft,,12,6
37,1,7:08.0,,Defensive rebound by J. Butler,12,6
38,1,6:53.0,,D. Rose misses 2-pt jump shot from 11 ft,12,6
39,1,6:51.0,Defensive rebound by K. Love,,12,6
40,1,6:46.0,Shooting foul by B. Portis (drawn by K. Love),,12,6
41,1,6:46.0,K. Love makes free throw 1 of 2,,13,6
42,1,6:46.0,K. Love makes free throw 2 of 2,,14,6
43,1,6:25.0,,M. Dunleavy misses 3-pt jump shot from 24 ft,14,6
44,1,6:24.0,Defensive rebound by K. Irving,,14,6
45,1,6:20.0,K. Love makes 3-pt jump shot from 24 ft (assist by K. Irving),,17,6
46,1,6:04.0,,M. Dunleavy makes 2-pt layup from 1 ft (assist by D. Rose),17,8
47,1,6:04.0,,Shooting foul by K. Irving (drawn by M. Dunleavy),17,8
48,1,6:04.0,,M. Dunleavy makes free throw 1 of 1,17,9
49,1,5:50.0,T. Thompson makes 2-pt dunk at rim (assist by K. Irving),,19,9
50,1,5:33.0,,J. Butler makes 2-pt jump shot from 20 ft,19,11
51,1,5:16.0,K. Love misses 3-pt jump shot from 25 ft,,19,11
52,1,5:15.0,Offensive rebound by K. Irving,,19,11
53,1,5:14.0,Turnover by L. James (bad pass),,19,11
54,1,5:01.0,,J. Butler misses 2-pt layup from 2 ft (block by T. Thompson),19,11
55,1,4:59.0,,Offensive rebound by J. Butler,19,11
56,1,4:57.0,,M. Dunleavy misses 3-pt jump shot from 25 ft,19,11
57,1,4:57.0,,Offensive rebound by Team,19,11
58,1,4:49.0,,M. Dunleavy makes 3-pt jump shot from 23 ft (assist by D. Rose),19,14
59,1,4:34.0,K. Irving makes 2-pt jump shot from 20 ft,,21,14
60,1,4:22.0,,D. Rose makes 2-pt jump shot from 11 ft,21,16
61,1,4:10.0,K. Irving misses 2-pt layup from 1 ft,,21,16
62,1,4:09.0,Offensive rebound by K. Love,,21,16
63,1,4:09.0,K. Love misses 2-pt layup from 1 ft,,21,16
64,1,4:07.0,Offensive rebound by T. Thompson,,21,16
65,1,3:59.0,L. James makes 2-pt dunk at rim (assist by J. Smith),,23,16
66,1,3:43.0,,B. Portis misses 2-pt jump shot from 17 ft,23,16
67,1,3:42.0,,Offensive rebound by P. Gasol,23,16
68,1,3:36.0,,D. Rose misses 3-pt jump shot from 23 ft,23,16
69,1,3:35.0,,Offensive rebound by B. Portis,23,16
70,1,3:35.0,,B. Portis misses 2-pt layup from 2 ft,23,16
71,1,3:34.0,Defensive rebound by T. Thompson,,23,16
72,1,3:28.0,,C. Felício enters the game for P. Gasol,23,16
73,1,3:24.0,K. Irving misses 2-pt jump shot from 20 ft,,23,16
74,1,3:22.0,Offensive rebound by L. James,,23,16
75,1,3:19.0,J. Smith makes 3-pt jump shot from 24 ft (assist by L. James),,26,16
76,1,3:04.0,,B. Portis makes 2-pt jump shot from 18 ft (assist by J. Butler),26,18
77,1,2:54.0,Turnover by K. Love (traveling),,26,18
78,1,2:54.0,Cleveland full timeout,,26,18
79,1,2:54.0,M. Dellavedova enters the game for K. Irving,,26,18
80,1,2:54.0,C. Frye enters the game for T. Thompson,,26,18
81,1,2:41.0,,C. Felício makes 2-pt layup from 1 ft (assist by D. Rose),26,20
82,1,2:29.0,L. James makes 2-pt dunk at rim (assist by K. Love),,28,20
83,1,2:13.0,,J. Butler misses 3-pt jump shot from 24 ft,28,20
84,1,2:12.0,Defensive rebound by K. Love,,28,20
85,1,2:05.0,C. Frye misses 3-pt jump shot from 24 ft,,28,20
86,1,2:04.0,,Defensive rebound by B. Portis,28,20
87,1,1:55.0,,J. Butler makes 2-pt jump shot from 18 ft,28,22
88,1,1:36.0,K. Love makes 3-pt jump shot from 23 ft (assist by L. James),,31,22
89,1,1:19.0,,D. Rose misses 2-pt jump shot from 13 ft,31,22
90,1,1:19.0,Defensive rebound by Team,,31,22
91,1,1:19.0,,Loose ball foul by B. Portis,31,22
92,1,1:19.0,,A. Brooks enters the game for D. Rose,31,22
93,1,1:19.0,,J. Holiday enters the game for M. Dunleavy,31,22
94,1,1:11.0,Turnover by J. Smith (lost ball),,31,22
95,1,0:52.0,,B. Portis makes 2-pt hook shot from 6 ft (assist by J. Holiday),31,24
96,1,0:41.0,Turnover by L. James (lost ball; steal by J. Butler),,31,24
97,1,0:31.0,,B. Portis misses 3-pt jump shot from 24 ft,31,24
98,1,0:29.0,Defensive rebound by M. Dellavedova,,31,24
99,1,0:05.0,J. Smith misses 3-pt jump shot from 23 ft,,31,24
100,1,0:04.0,,Defensive rebound by C. Felício,31,24
101,1,0:00.0,,J. Holiday makes 2-pt layup from 1 ft (assist by C. Felício),31,26
102,1,0:00.0,,Shooting foul by J. Smith (drawn by J. Holiday),31,26
103,1,0:00.0,,D. McDermott enters the game for J. Butler,31,26
104,1,0:00.0,,J. Holiday makes free throw 1 of 1,31,27
105,2,11:34.0,,B. Portis misses 2-pt jump shot from 13 ft,31,27
106,2,11:32.0,,Offensive rebound by A. Brooks,31,27
107,2,11:27.0,,D. McDermott makes 2-pt jump shot from 7 ft (assist by J. Holiday),31,29
108,2,11:07.0,Turnover by T. Mozgov (3 sec),,31,29
109,2,10:53.0,,D. McDermott misses 2-pt jump shot from 8 ft,31,29
110,2,10:51.0,,Offensive rebound by Team,31,29
111,2,10:45.0,,C. Felício makes 2-pt layup from 2 ft (assist by A. Brooks),31,31
112,2,10:31.0,K. Irving makes 2-pt layup from 2 ft,,33,31
113,2,10:09.0,,B. Portis misses 2-pt jump shot from 20 ft,33,31
114,2,10:09.0,,Offensive rebound by Team,33,31
115,2,10:04.0,,D. McDermott misses 2-pt jump shot from 15 ft,33,31
116,2,10:03.0,,Offensive rebound by C. Felício,33,31
117,2,9:55.0,,J. Holiday misses 2-pt jump shot from 19 ft,33,31
118,2,9:54.0,,Offensive rebound by Team,33,31
119,2,9:54.0,,N. Mirotić enters the game for B. Portis,33,31
120,2,9:47.0,,Turnover by D. McDermott (lost ball; steal by R. Jefferson),33,31
121,2,9:42.0,Turnover by R. Jefferson (bad pass),,33,31
122,2,9:28.0,,Shooting foul by T. Mozgov (drawn by C. Felício),33,31
123,2,9:28.0,,C. Felício makes free throw 1 of 2,33,32
124,2,9:28.0,,C. Felício makes free throw 2 of 2,33,33
125,2,9:16.0,Personal foul by D. McDermott,,33,33
126,2,9:07.0,M. Dellavedova misses 3-pt jump shot from 25 ft,,33,33
127,2,9:06.0,,Defensive rebound by N. Mirotić,33,33
128,2,8:55.0,,C. Felício makes 2-pt dunk at rim (assist by A. Brooks),33,35
129,2,8:46.0,Personal foul by J. Holiday,,33,35
130,2,8:46.0,Cleveland full timeout,,33,35
131,2,8:38.0,K. Irving misses 2-pt jump shot from 7 ft (block by C. Felício),,33,35
132,2,8:36.0,,Defensive rebound by C. Felício,33,35
133,2,8:34.0,,Turnover by C. Felício (lost ball; steal by K. Irving),33,35
134,2,8:29.0,K. Irving misses 2-pt jump shot from 20 ft,,33,35
135,2,8:28.0,,Defensive rebound by N. Mirotić,33,35
136,2,8:17.0,,A. Brooks misses 2-pt jump shot from 11 ft,33,35
137,2,8:16.0,Defensive rebound by C. Frye,,33,35
138,2,8:10.0,Personal foul by A. Brooks,,33,35
139,2,8:10.0,T. Thompson enters the game for T. Mozgov,,33,35
140,2,8:01.0,C. Frye makes 3-pt jump shot from 24 ft (assist by M. Dellavedova),,36,35
141,2,7:39.0,,N. Mirotić misses 3-pt jump shot from 24 ft,36,35
142,2,7:38.0,Defensive rebound by R. Jefferson,,36,35
143,2,7:28.0,K. Irving makes 2-pt layup from 1 ft (assist by M. Dellavedova),,38,35
144,2,7:11.0,,A. Brooks makes 2-pt jump shot from 8 ft,38,37
145,2,6:56.0,C. Frye makes 3-pt jump shot from 24 ft (assist by K. Irving),,41,37
146,2,6:43.0,,Turnover by C. Felício (bad pass),41,37
147,2,6:43.0,L. James enters the game for R. Jefferson,,41,37
148,2,6:43.0,,D. Rose enters the game for C. Felício,41,37
149,2,6:43.0,,P. Gasol enters the game for A. Brooks,41,37
150,2,6:43.0,,J. Butler enters the game for J. Holiday,41,37
151,2,6:28.0,C. Frye misses 2-pt jump shot from 12 ft (block by N. Mirotić),,41,37
152,2,6:26.0,,Defensive rebound by P. Gasol,41,37
153,2,6:15.0,,N. Mirotić makes 2-pt jump shot from 20 ft (assist by J. Butler),41,39
154,2,6:04.0,K. Irving makes 2-pt layup from 1 ft,,43,39
155,2,5:46.0,,Turnover by D. Rose (lost ball; steal by K. Irving),43,39
156,2,5:43.0,L. James makes 2-pt dunk at rim (assist by T. Thompson),,45,39
157,2,5:42.0,,Chicago full timeout,45,39
158,2,5:42.0,,M. Dunleavy enters the game for D. McDermott,45,39
159,2,5:42.0,K. Love enters the game for C. Frye,,45,39
160,2,5:22.0,,N. Mirotić makes 3-pt jump shot from 23 ft (assist by M. Dunleavy),45,42
161,2,5:06.0,M. Dellavedova misses 3-pt jump shot from 23 ft,,45,42
162,2,5:06.0,Offensive rebound by Team,,45,42
163,2,5:06.0,J. Smith enters the game for M. Dellavedova,,45,42
164,2,4:57.0,K. Love misses 3-pt jump shot from 24 ft,,45,42
165,2,4:56.0,,Defensive rebound by P. Gasol,45,42
166,2,4:43.0,,J. Butler misses 2-pt jump shot from 21 ft,45,42
167,2,4:42.0,Defensive rebound by J. Smith,,45,42
168,2,4:29.0,K. Irving misses 2-pt jump shot from 18 ft (block by P. Gasol),,45,42
169,2,4:28.0,,Defensive rebound by N. Mirotić,45,42
170,2,4:28.0,,Personal foul by K. Irving,45,42
171,2,4:16.0,,N. Mirotić makes 3-pt jump shot from 23 ft (assist by J. Butler),45,45
172,2,3:56.0,T. Thompson misses 2-pt layup from 3 ft (block by M. Dunleavy),,45,45
173,2,3:54.0,,Defensive rebound by N. Mirotić,45,45
174,2,3:45.0,,N. Mirotić misses 3-pt jump shot from 25 ft,45,45
175,2,3:44.0,Defensive rebound by K. Love,,45,45
176,2,3:37.0,K. Irving makes 3-pt jump shot from 25 ft,,48,45
177,2,3:20.0,,M. Dunleavy misses 3-pt jump shot from 25 ft,48,45
178,2,3:19.0,Defensive rebound by K. Love,,48,45
179,2,3:06.0,K. Love misses 3-pt jump shot from 25 ft,,48,45
180,2,3:06.0,Offensive rebound by Team,,48,45
181,2,3:06.0,,Loose ball foul by M. Dunleavy,48,45
182,2,3:01.0,Turnover by K. Love (bad pass; steal by P. Gasol),,48,45
183,2,2:45.0,,P. Gasol misses 2-pt layup from 3 ft,48,45
184,2,2:43.0,,Offensive rebound by P. Gasol,48,45
185,2,2:43.0,,P. Gasol makes 2-pt layup from 1 ft,48,47
186,2,2:42.0,Cleveland full timeout,,48,47
187,2,2:42.0,M. Dellavedova enters the game for K. Irving,,48,47
188,2,2:18.0,L. James misses 2-pt jump shot from 18 ft,,48,47
189,2,2:16.0,Offensive rebound by K. Love,,48,47
190,2,2:13.0,J. Smith misses 3-pt jump shot from 26 ft,,48,47
191,2,2:12.0,,Defensive rebound by P. Gasol,48,47
192,2,1:53.0,,N. Mirotić misses 2-pt layup from 2 ft,48,47
193,2,1:52.0,Defensive rebound by L. James,,48,47
194,2,1:45.0,L. James makes 2-pt layup from 2 ft,,50,47
195,2,1:21.0,,D. Rose misses 2-pt jump shot from 6 ft,50,47
196,2,1:20.0,Defensive rebound by K. Love,,50,47
197,2,1:13.0,J. Smith makes 2-pt jump shot from 9 ft,,52,47
198,2,1:13.0,Shooting foul by M. Dunleavy (drawn by J. Smith),,52,47
199,2,1:13.0,J. Smith misses free throw 1 of 1,,52,47
