,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,DETROIT_ACTION,MEMPHIS_SCORE,DETROIT_SCORE
0,1,11:42.0,,A. Drummond misses 2-pt hook shot from 2 ft,0,0
1,1,11:41.0,Defensive rebound by T. Allen,,0,0
2,1,11:17.0,M. Gasol makes 2-pt jump shot from 13 ft,,2,0
3,1,10:54.0,,M. Morris makes 2-pt jump shot from 15 ft,2,2
4,1,10:31.0,Z. Randolph misses 2-pt jump shot from 18 ft,,2,2
5,1,10:31.0,,Defensive rebound by E. İlyasova,2,2
6,1,10:30.0,,Personal foul by Z. Randolph (drawn by E. İlyasova),2,2
7,1,10:18.0,,Turnover by A. Drummond (lost ball; steal by T. Allen),2,2
8,1,10:03.0,M. Conley misses 2-pt jump shot from 14 ft,,2,2
9,1,10:02.0,,Defensive rebound by E. İlyasova,2,2
10,1,9:43.0,,M. Morris misses 2-pt layup from 1 ft,2,2
11,1,9:43.0,Defensive rebound by M. Gasol,,2,2
12,1,9:22.0,M. Gasol makes 2-pt jump shot from 14 ft (assist by M. Conley),,4,2
13,1,9:01.0,,Personal foul by Z. Randolph (drawn by R. Jackson),4,2
14,1,8:50.0,,R. Jackson misses 2-pt jump shot from 21 ft,4,2
15,1,8:50.0,Defensive rebound by Z. Randolph,,4,2
16,1,8:46.0,Personal foul by E. İlyasova (drawn by Z. Randolph),,4,2
17,1,8:28.0,M. Gasol makes 2-pt layup at rim (assist by M. Conley),,6,2
18,1,8:10.0,,K. Caldwell-Pope makes 2-pt layup at rim (assist by E. İlyasova),6,4
19,1,7:47.0,M. Gasol misses 2-pt jump shot from 15 ft,,6,4
20,1,7:47.0,Offensive rebound by Z. Randolph,,6,4
21,1,7:43.0,Z. Randolph makes 2-pt layup at rim,,8,4
22,1,7:34.0,,E. İlyasova misses 3-pt jump shot from 26 ft,8,4
23,1,7:33.0,Defensive rebound by M. Gasol,,8,4
24,1,7:22.0,M. Gasol misses 2-pt hook shot from 4 ft,,8,4
25,1,7:22.0,,Defensive rebound by A. Drummond,8,4
26,1,7:13.0,,E. İlyasova makes 2-pt jump shot from 21 ft (assist by R. Jackson),8,6
27,1,6:48.0,M. Gasol misses 2-pt jump shot from 16 ft,,8,6
28,1,6:46.0,,Defensive rebound by E. İlyasova,8,6
29,1,6:39.0,,Turnover by A. Drummond (lost ball; steal by M. Gasol),8,6
30,1,6:35.0,J. Green makes 2-pt dunk at rim (assist by M. Conley),,10,6
31,1,6:18.0,,R. Jackson misses 3-pt jump shot from 24 ft,10,6
32,1,6:17.0,Defensive rebound by J. Green,,10,6
33,1,6:12.0,Turnover by J. Green (bad pass; steal by R. Jackson),,10,6
34,1,6:06.0,,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,10,6
35,1,6:05.0,Defensive rebound by Z. Randolph,,10,6
36,1,5:50.0,T. Allen misses 3-pt jump shot from 24 ft,,10,6
37,1,5:49.0,,Defensive rebound by A. Drummond,10,6
38,1,5:40.0,,M. Morris makes 3-pt jump shot from 25 ft (assist by R. Jackson),10,9
39,1,5:18.0,J. Green makes 2-pt jump shot from 14 ft (assist by T. Allen),,12,9
40,1,5:01.0,,K. Caldwell-Pope misses 2-pt jump shot from 18 ft,12,9
41,1,5:01.0,Defensive rebound by M. Gasol,,12,9
42,1,4:44.0,Z. Randolph misses 2-pt hook shot from 4 ft,,12,9
43,1,4:43.0,,Defensive rebound by A. Drummond,12,9
44,1,4:30.0,,Turnover by A. Drummond (traveling),12,9
45,1,4:30.0,,Detroit full timeout,12,9
46,1,4:30.0,J. Green enters the game for M. Gasol,,12,9
47,1,4:30.0,M. Chalmers enters the game for M. Conley,,12,9
48,1,4:13.0,J. Green makes 2-pt jump shot from 13 ft,,14,9
49,1,3:59.0,,M. Morris misses 2-pt jump shot from 7 ft,14,9
50,1,3:59.0,,Offensive rebound by M. Morris,14,9
51,1,3:59.0,,Detroit full timeout,14,9
52,1,3:47.0,,R. Jackson makes 2-pt jump shot from 5 ft,14,11
53,1,3:22.0,J. Green makes 2-pt jump shot from 3 ft,,16,11
54,1,3:08.0,,R. Jackson misses 3-pt jump shot from 26 ft,16,11
55,1,3:08.0,,Offensive rebound by A. Drummond,16,11
56,1,3:06.0,,A. Drummond makes 2-pt layup at rim,16,13
57,1,2:53.0,M. Chalmers misses 3-pt jump shot from 26 ft,,16,13
58,1,2:52.0,,Defensive rebound by A. Drummond,16,13
59,1,2:37.0,,K. Caldwell-Pope misses 3-pt jump shot from 22 ft,16,13
60,1,2:37.0,Defensive rebound by J. Green,,16,13
61,1,2:22.0,Z. Randolph makes 2-pt jump shot from 16 ft (assist by J. Green),,18,13
62,1,2:08.0,,A. Drummond misses 2-pt jump shot from 4 ft,18,13
63,1,2:07.0,Defensive rebound by J. Green,,18,13
64,1,1:55.0,T. Allen makes 2-pt layup at rim,,20,13
65,1,1:38.0,,R. Jackson misses 2-pt jump shot from 21 ft,20,13
66,1,1:37.0,Defensive rebound by T. Allen,,20,13
67,1,1:25.0,T. Allen makes 2-pt layup at rim (assist by J. Green),,22,13
68,1,1:09.0,,E. İlyasova misses 3-pt jump shot from 26 ft,22,13
69,1,1:08.0,Defensive rebound by T. Allen,,22,13
70,1,0:54.0,Turnover by M. Chalmers (step out of bounds),,22,13
71,1,0:54.0,Memphis full timeout,,22,13
72,1,0:54.0,M. Gasol enters the game for Z. Randolph,,22,13
73,1,0:54.0,C. Lee enters the game for T. Allen,,22,13
74,1,0:54.0,,A. Tolliver enters the game for E. İlyasova,22,13
75,1,0:54.0,,S. Blake enters the game for K. Caldwell-Pope,22,13
76,1,0:54.0,,S. Johnson enters the game for R. Jackson,22,13
77,1,0:41.0,,M. Morris makes 2-pt jump shot from 16 ft (assist by S. Blake),22,15
78,1,0:23.0,C. Lee makes 2-pt jump shot from 15 ft (assist by M. Gasol),,24,15
79,1,0:08.0,,S. Johnson makes 2-pt jump shot from 17 ft (assist by A. Drummond),24,17
80,1,0:01.0,M. Chalmers misses 2-pt jump shot from 6 ft,,24,17
81,1,0:00.0,Offensive rebound by Team,,24,17
82,2,11:41.0,M. Chalmers makes 2-pt jump shot from 16 ft (assist by M. Gasol),,26,17
83,2,11:25.0,,S. Johnson makes 2-pt layup at rim (assist by A. Baynes),26,19
84,2,11:04.0,J. Green misses 2-pt jump shot from 17 ft,,26,19
85,2,11:04.0,,Defensive rebound by A. Baynes,26,19
86,2,10:53.0,,S. Johnson misses 3-pt jump shot from 26 ft,26,19
