,QUARTER,TIME_REMAINING,ATLANTA_ACTION,BOSTON_ACTION,ATLANTA_SCORE,BOSTON_SCORE
0,1,11:39.0,A. Horford misses 2-pt layup from 2 ft (block by A. Johnson),,0,0
1,1,11:38.0,,Defensive rebound by M. Smart,0,0
2,1,11:24.0,,J. Crowder misses 3-pt jump shot from 25 ft,0,0
3,1,11:23.0,Defensive rebound by P. Millsap,,0,0
4,1,11:11.0,K. Bazemore misses 3-pt jump shot from 25 ft,,0,0
5,1,11:10.0,,Defensive rebound by J. Sullinger,0,0
6,1,10:58.0,,A. Johnson makes 3-pt jump shot from 25 ft (assist by I. Thomas),0,3
7,1,10:45.0,A. Horford misses 2-pt jump shot from 20 ft,,0,3
8,1,10:44.0,,Defensive rebound by A. Johnson,0,3
9,1,10:37.0,,M. Smart misses 2-pt jump shot from 16 ft,0,3
10,1,10:36.0,Defensive rebound by A. Horford,,0,3
11,1,10:30.0,K. Bazemore makes 2-pt layup from 2 ft (assist by A. Horford),,2,3
12,1,10:17.0,,Shooting foul by P. Millsap (drawn by A. Johnson),2,3
13,1,10:17.0,,A. Johnson makes free throw 1 of 2,2,4
14,1,10:17.0,,A. Johnson makes free throw 2 of 2,2,5
15,1,10:05.0,K. Bazemore misses 3-pt jump shot from 22 ft,,2,5
16,1,10:03.0,,Defensive rebound by J. Sullinger,2,5
17,1,9:57.0,,I. Thomas misses 3-pt jump shot from 26 ft,2,5
18,1,9:56.0,,Offensive rebound by A. Johnson,2,5
19,1,9:53.0,,A. Johnson misses 2-pt hook shot from 2 ft,2,5
20,1,9:52.0,Defensive rebound by K. Bazemore,,2,5
21,1,9:39.0,P. Millsap makes 2-pt layup from 1 ft,,4,5
22,1,9:22.0,,M. Smart misses 2-pt jump shot from 22 ft,4,5
23,1,9:20.0,Defensive rebound by A. Horford,,4,5
24,1,9:02.0,P. Millsap makes 2-pt layup from 1 ft (assist by J. Teague),,6,5
25,1,8:53.0,,Turnover by I. Thomas (lost ball),6,5
26,1,8:37.0,K. Bazemore makes 2-pt jump shot from 1 ft (assist by A. Horford),,8,5
27,1,8:23.0,,M. Smart makes 2-pt layup from 1 ft,8,7
28,1,8:06.0,P. Millsap misses 3-pt jump shot from 26 ft,,8,7
29,1,8:05.0,,Defensive rebound by J. Sullinger,8,7
30,1,7:59.0,Violation by K. Bazemore (kicked ball),,8,7
31,1,7:40.0,,J. Sullinger makes 2-pt jump shot from 15 ft (assist by I. Thomas),8,9
32,1,7:29.0,Shooting foul by A. Johnson (drawn by P. Millsap),,8,9
33,1,7:29.0,P. Millsap makes free throw 1 of 2,,9,9
34,1,7:29.0,P. Millsap misses free throw 2 of 2,,9,9
35,1,7:27.0,,Defensive rebound by A. Johnson,9,9
36,1,7:07.0,,A. Johnson misses 2-pt jump shot from 3 ft,9,9
37,1,7:06.0,,Offensive rebound by J. Sullinger,9,9
38,1,7:06.0,,J. Sullinger makes 2-pt jump shot from 1 ft,9,11
39,1,6:43.0,J. Teague misses 2-pt jump shot from 16 ft,,9,11
40,1,6:42.0,,Defensive rebound by I. Thomas,9,11
41,1,6:36.0,,M. Smart misses 3-pt jump shot from 24 ft,9,11
42,1,6:35.0,Defensive rebound by P. Millsap,,9,11
43,1,6:23.0,A. Horford makes 2-pt dunk at rim (assist by K. Bazemore),,11,11
44,1,6:02.0,,A. Johnson misses 3-pt jump shot from 25 ft,11,11
45,1,6:01.0,,Offensive rebound by Team,11,11
46,1,6:01.0,,Boston full timeout,11,11
47,1,6:01.0,T. Splitter enters the game for A. Horford,,11,11
48,1,5:52.0,,J. Sullinger makes 2-pt jump shot from 13 ft,11,13
49,1,5:40.0,Turnover by J. Teague (bad pass; steal by J. Sullinger),,11,13
50,1,5:34.0,,A. Johnson makes 2-pt layup from 1 ft (assist by I. Thomas),11,15
51,1,5:14.0,P. Millsap makes 2-pt layup at rim (assist by K. Bazemore),,13,15
52,1,5:02.0,,J. Sullinger misses 3-pt jump shot from 26 ft,13,15
53,1,5:01.0,,Offensive rebound by J. Crowder,13,15
54,1,4:57.0,,I. Thomas misses 2-pt jump shot from 17 ft,13,15
55,1,4:56.0,,Offensive rebound by J. Crowder,13,15
56,1,4:52.0,,J. Crowder misses 3-pt jump shot from 24 ft,13,15
57,1,4:51.0,Defensive rebound by K. Korver,,13,15
58,1,4:39.0,K. Bazemore makes 2-pt layup at rim,,15,15
59,1,4:21.0,,Shooting foul by K. Bazemore (drawn by I. Thomas),15,15
60,1,4:21.0,,I. Thomas misses free throw 1 of 2,15,15
61,1,4:21.0,,Offensive rebound by Team,15,15
62,1,4:21.0,,E. Turner enters the game for M. Smart,15,15
63,1,4:21.0,,K. Olynyk enters the game for J. Sullinger,15,15
64,1,4:21.0,D. Schröder enters the game for J. Teague,,15,15
65,1,4:21.0,T. Sefolosha enters the game for K. Bazemore,,15,15
66,1,4:21.0,,I. Thomas makes free throw 2 of 2,15,16
67,1,3:59.0,T. Sefolosha misses 2-pt layup from 2 ft,,15,16
68,1,3:57.0,,Defensive rebound by I. Thomas,15,16
69,1,3:52.0,,I. Thomas misses 2-pt layup from 1 ft,15,16
70,1,3:51.0,Defensive rebound by T. Sefolosha,,15,16
71,1,3:35.0,Turnover by P. Millsap (lost ball; steal by A. Johnson),,15,16
72,1,3:22.0,,Turnover by E. Turner (discontinued dribble),15,16
73,1,3:22.0,,J. Jerebko enters the game for I. Thomas,15,16
74,1,3:22.0,J. Holiday enters the game for K. Korver,,15,16
75,1,3:10.0,Shooting foul by E. Turner (drawn by D. Schröder),,15,16
76,1,3:10.0,D. Schröder misses free throw 1 of 2,,15,16
77,1,3:10.0,Offensive rebound by Team,,15,16
78,1,3:10.0,D. Schröder makes free throw 2 of 2,,16,16
79,1,2:55.0,,E. Turner misses 2-pt jump shot from 12 ft,16,16
80,1,2:54.0,,Offensive rebound by K. Olynyk,16,16
81,1,2:54.0,,K. Olynyk misses 2-pt jump shot from 2 ft,16,16
82,1,2:53.0,,Offensive rebound by J. Jerebko,16,16
83,1,2:52.0,,J. Jerebko misses 2-pt layup from 2 ft,16,16
84,1,2:51.0,Defensive rebound by T. Splitter,,16,16
85,1,2:32.0,P. Millsap makes 3-pt jump shot from 27 ft (assist by D. Schröder),,19,16
86,1,2:20.0,,J. Crowder makes 2-pt jump shot from 1 ft (assist by A. Johnson),19,18
87,1,2:06.0,D. Schröder misses 2-pt layup from 2 ft,,19,18
88,1,2:05.0,,Defensive rebound by E. Turner,19,18
89,1,1:58.0,,K. Olynyk misses 2-pt jump shot from 2 ft,19,18
90,1,1:58.0,Defensive rebound by Team,,19,18
91,1,1:58.0,Atlanta full timeout,,19,18
92,1,1:58.0,A. Horford enters the game for P. Millsap,,19,18
93,1,1:58.0,M. Scott enters the game for T. Splitter,,19,18
94,1,1:58.0,,R. Hunter enters the game for J. Crowder,19,18
95,1,1:58.0,,D. Lee enters the game for A. Johnson,19,18
96,1,1:45.0,J. Holiday misses 3-pt jump shot from 24 ft,,19,18
97,1,1:44.0,,Defensive rebound by K. Olynyk,19,18
98,1,1:33.0,,K. Olynyk makes 3-pt jump shot from 23 ft (assist by E. Turner),19,21
99,1,1:17.0,A. Horford makes 3-pt jump shot from 25 ft (assist by D. Schröder),,22,21
100,1,1:07.0,,Personal foul by D. Schröder (drawn by E. Turner),22,21
101,1,0:57.0,,D. Lee misses 2-pt layup from 2 ft (block by A. Horford),22,21
102,1,0:56.0,Defensive rebound by M. Scott,,22,21
103,1,0:48.0,Personal foul by E. Turner (drawn by A. Horford),,22,21
104,1,0:37.0,T. Sefolosha makes 2-pt jump shot from 19 ft (assist by A. Horford),,24,21
105,1,0:29.0,,K. Olynyk makes 2-pt jump shot from 20 ft,24,23
106,1,0:07.0,T. Sefolosha makes 2-pt layup from 2 ft (assist by A. Horford),,26,23
107,1,0:00.0,,K. Olynyk misses 3-pt jump shot from 24 ft,26,23
108,1,0:00.0,,Offensive rebound by Team,26,23
109,2,11:42.0,,R. Hunter makes 3-pt jump shot from 26 ft (assist by E. Turner),26,26
110,2,11:31.0,Personal foul by E. Turner (drawn by A. Horford),,26,26
111,2,11:16.0,T. Sefolosha misses 2-pt layup from 2 ft,,26,26
112,2,11:16.0,,Defensive rebound by D. Lee,26,26
113,2,11:11.0,,Turnover by J. Jerebko (lost ball),26,26
114,2,11:11.0,,M. Smart enters the game for E. Turner,26,26
115,2,10:53.0,Turnover by D. Schröder (discontinued dribble),,26,26
116,2,10:34.0,,Turnover by M. Smart (bad pass; steal by A. Horford),26,26
117,2,10:28.0,J. Holiday misses 3-pt jump shot from 24 ft,,26,26
118,2,10:26.0,,Defensive rebound by R. Hunter,26,26
119,2,10:18.0,,K. Olynyk misses 3-pt jump shot from 25 ft,26,26
120,2,10:17.0,Defensive rebound by A. Horford,,26,26
121,2,10:13.0,Personal foul by R. Hunter (drawn by M. Scott),,26,26
122,2,10:13.0,K. Korver enters the game for J. Holiday,,26,26
123,2,9:58.0,M. Scott makes 2-pt layup from 1 ft (assist by D. Schröder),,28,26
124,2,9:43.0,,R. Hunter misses 2-pt layup from 1 ft (block by A. Horford),28,26
125,2,9:42.0,Defensive rebound by D. Schröder,,28,26
126,2,9:35.0,T. Sefolosha makes 2-pt layup from 1 ft (assist by K. Korver),,30,26
127,2,9:35.0,,Boston full timeout,30,26
128,2,9:35.0,,T. Zeller enters the game for K. Olynyk,30,26
129,2,9:35.0,,J. Crowder enters the game for J. Jerebko,30,26
130,2,9:20.0,,R. Hunter misses 2-pt jump shot from 9 ft,30,26
131,2,9:19.0,Defensive rebound by K. Korver,,30,26
132,2,9:05.0,D. Schröder misses 3-pt jump shot from 26 ft,,30,26
133,2,9:03.0,,Defensive rebound by R. Hunter,30,26
134,2,8:52.0,,M. Smart makes 3-pt jump shot from 25 ft (assist by D. Lee),30,29
135,2,8:31.0,A. Horford makes 2-pt jump shot from 18 ft (assist by D. Schröder),,32,29
136,2,8:22.0,,Turnover by T. Zeller (lost ball; steal by M. Scott),32,29
137,2,8:12.0,A. Horford makes 2-pt dunk at rim (assist by M. Scott),,34,29
138,2,7:58.0,,D. Lee makes 2-pt layup from 1 ft (assist by T. Zeller),34,31
139,2,7:37.0,M. Scott misses 2-pt dunk at rim,,34,31
140,2,7:36.0,,Defensive rebound by M. Smart,34,31
141,2,7:29.0,,J. Crowder misses 3-pt jump shot from 26 ft,34,31
142,2,7:29.0,Defensive rebound by Team,,34,31
143,2,7:29.0,J. Teague enters the game for D. Schröder,,34,31
144,2,7:29.0,K. Bazemore enters the game for T. Sefolosha,,34,31
145,2,7:18.0,J. Teague makes 2-pt jump shot from 3 ft,,36,31
146,2,7:07.0,,Shooting foul by M. Scott (drawn by J. Crowder),36,31
147,2,7:07.0,,J. Crowder makes free throw 1 of 2,36,32
148,2,7:07.0,,I. Thomas enters the game for R. Hunter,36,32
149,2,7:07.0,T. Splitter enters the game for A. Horford,,36,32
150,2,7:07.0,,J. Crowder makes free throw 2 of 2,36,33
151,2,6:42.0,K. Bazemore misses 2-pt layup from 2 ft,,36,33
152,2,6:41.0,,Defensive rebound by T. Zeller,36,33
153,2,6:38.0,,M. Smart misses 3-pt jump shot from 24 ft,36,33
154,2,6:37.0,Defensive rebound by K. Korver,,36,33
155,2,6:33.0,Turnover by J. Teague (traveling),,36,33
156,2,6:18.0,,T. Zeller makes 2-pt hook shot from 8 ft,36,35
157,2,6:18.0,,Shooting foul by K. Korver (drawn by T. Zeller),36,35
158,2,6:18.0,,T. Zeller makes free throw 1 of 1,36,36
159,2,6:15.0,P. Millsap enters the game for M. Scott,,36,36
160,2,6:15.0,,A. Johnson enters the game for D. Lee,36,36
161,2,6:13.0,Offensive foul by K. Korver (drawn by A. Johnson),,36,36
162,2,6:13.0,Turnover by K. Korver (offensive foul),,36,36
163,2,6:00.0,,I. Thomas misses 3-pt jump shot from 26 ft,36,36
164,2,5:59.0,Defensive rebound by K. Bazemore,,36,36
165,2,5:43.0,J. Teague misses 2-pt jump shot from 16 ft,,36,36
166,2,5:42.0,Offensive rebound by T. Splitter,,36,36
167,2,5:35.0,Personal block foul by J. Crowder (drawn by J. Teague),,36,36
168,2,5:35.0,Official timeout,,36,36
169,2,5:25.0,K. Korver misses 3-pt jump shot from 28 ft,,36,36
170,2,5:24.0,,Defensive rebound by T. Zeller,36,36
171,2,5:10.0,,Personal foul by K. Bazemore (drawn by J. Crowder),36,36
172,2,4:58.0,,A. Johnson misses 2-pt layup from 2 ft,36,36
173,2,4:54.0,,Offensive rebound by J. Crowder,36,36
174,2,4:54.0,,J. Crowder misses 2-pt jump shot from 1 ft,36,36
175,2,4:52.0,,Offensive rebound by A. Johnson,36,36
176,2,4:52.0,,A. Johnson misses 2-pt jump shot at rim,36,36
177,2,4:51.0,Defensive rebound by P. Millsap,,36,36
178,2,4:37.0,T. Splitter makes 2-pt layup from 1 ft (assist by J. Teague),,38,36
179,2,4:24.0,,J. Crowder misses 2-pt jump shot from 15 ft,38,36
180,2,4:23.0,Defensive rebound by J. Teague,,38,36
181,2,4:13.0,K. Korver makes 3-pt jump shot from 26 ft (assist by J. Teague),,41,36
182,2,3:59.0,,T. Zeller makes 2-pt dunk at rim (assist by A. Johnson),41,38
183,2,3:45.0,T. Splitter misses 2-pt layup from 1 ft,,41,38
184,2,3:44.0,Offensive rebound by J. Teague,,41,38
185,2,3:29.0,K. Bazemore misses 2-pt layup from 1 ft,,41,38
186,2,3:28.0,,Defensive rebound by J. Crowder,41,38
187,2,3:21.0,,I. Thomas makes 3-pt jump shot from 25 ft (assist by M. Smart),41,41
188,2,3:18.0,Atlanta full timeout,,41,41
189,2,3:18.0,A. Horford enters the game for T. Splitter,,41,41
190,2,3:18.0,,J. Sullinger enters the game for T. Zeller,41,41
191,2,3:11.0,Turnover by J. Teague (bad pass; steal by J. Crowder),,41,41
192,2,3:08.0,Violation by J. Teague (def goaltending),,41,41
193,2,3:08.0,,I. Thomas makes 2-pt layup from 1 ft,41,43
194,2,2:52.0,A. Horford misses 2-pt layup from 2 ft,,41,43
195,2,2:51.0,,Defensive rebound by A. Johnson,41,43
196,2,2:44.0,,Turnover by M. Smart (traveling),41,43
