,QUARTER,TIME_REMAINING,HOUSTON_ACTION,MIAMI_ACTION,HOUSTON_SCORE,MIAMI_SCORE
0,1,11:43.0,,C. Bosh misses 3-pt jump shot from 24 ft,0,0
1,1,11:42.0,Defensive rebound by Team,,0,0
2,1,11:27.0,C. Capela makes 2-pt layup from 1 ft (assist by T. Ariza),,2,0
3,1,11:06.0,,C. Bosh misses 2-pt jump shot from 16 ft,2,0
4,1,11:05.0,Defensive rebound by T. Ariza,,2,0
5,1,10:54.0,J. Harden misses 3-pt jump shot from 24 ft,,2,0
6,1,10:53.0,Offensive rebound by Team,,2,0
7,1,10:47.0,M. Thornton makes 3-pt jump shot from 24 ft (assist by T. Ariza),,5,0
8,1,10:29.0,,L. Deng misses 3-pt jump shot from 24 ft,5,0
9,1,10:28.0,,Offensive rebound by C. Bosh,5,0
10,1,10:27.0,,C. Bosh misses 2-pt layup from 1 ft,5,0
11,1,10:26.0,Defensive rebound by M. Thornton,,5,0
12,1,10:17.0,Turnover by C. Capela (lost ball; steal by D. Wade),,5,0
13,1,10:13.0,,H. Whiteside makes 2-pt layup from 1 ft (assist by L. Deng),5,2
14,1,10:02.0,T. Ariza misses 2-pt jump shot from 22 ft,,5,2
15,1,10:01.0,,Defensive rebound by H. Whiteside,5,2
16,1,9:58.0,,Personal foul by M. Thornton (drawn by D. Wade),5,2
17,1,9:45.0,,L. Deng misses 3-pt jump shot from 23 ft,5,2
18,1,9:44.0,Defensive rebound by C. Capela,,5,2
19,1,9:41.0,Shooting block foul by G. Dragić (drawn by J. Harden),,5,2
20,1,9:41.0,J. Harden makes free throw 1 of 2,,6,2
21,1,9:41.0,J. Harden makes free throw 2 of 2,,7,2
22,1,9:27.0,,Turnover by L. Deng (lost ball),7,2
23,1,9:15.0,T. Ariza misses 2-pt layup from 1 ft,,7,2
24,1,9:14.0,Offensive rebound by C. Capela,,7,2
25,1,9:13.0,C. Capela makes 2-pt dunk at rim,,9,2
26,1,8:51.0,,L. Deng makes 2-pt jump shot from 6 ft (assist by G. Dragić),9,4
27,1,8:30.0,T. Ariza makes 3-pt jump shot from 23 ft (assist by T. Lawson),,12,4
28,1,8:13.0,,Shooting foul by J. Harden (drawn by D. Wade),12,4
29,1,8:13.0,,D. Wade makes free throw 1 of 2,12,5
30,1,8:13.0,,D. Wade makes free throw 2 of 2,12,6
31,1,7:54.0,,Violation by C. Bosh (def goaltending),12,6
32,1,7:54.0,C. Capela makes 2-pt layup from 2 ft,,14,6
33,1,7:37.0,,Personal block foul by C. Capela (drawn by D. Wade),14,6
34,1,7:37.0,,Shooting foul by C. Capela (drawn by D. Wade),14,6
35,1,7:37.0,,L. Deng makes free throw 1 of 2,14,7
36,1,7:37.0,M. Harrell enters the game for C. Capela,,14,7
37,1,7:37.0,,J. Winslow enters the game for C. Bosh,14,7
38,1,7:37.0,,L. Deng makes free throw 2 of 2,14,8
39,1,7:18.0,M. Harrell misses 2-pt hook shot from 7 ft,,14,8
40,1,7:17.0,,Defensive rebound by L. Deng,14,8
41,1,7:13.0,,Shooting block foul by M. Harrell (drawn by D. Wade),14,8
42,1,7:13.0,,D. Wade makes free throw 1 of 2,14,9
43,1,7:13.0,,D. Wade makes free throw 2 of 2,14,10
44,1,6:59.0,Turnover by M. Thornton (lost ball; steal by J. Winslow),,14,10
45,1,6:54.0,,D. Wade misses 2-pt jump shot from 8 ft,14,10
46,1,6:54.0,Defensive rebound by T. Ariza,,14,10
47,1,6:39.0,J. Harden makes 2-pt layup from 1 ft (assist by T. Ariza),,16,10
48,1,6:32.0,,H. Whiteside makes 2-pt dunk at rim (assist by G. Dragić),16,12
49,1,6:12.0,M. Thornton makes 2-pt jump shot from 3 ft,,18,12
50,1,5:50.0,,G. Dragić makes 2-pt jump shot from 5 ft,18,14
51,1,5:44.0,T. Ariza misses 3-pt jump shot from 23 ft,,18,14
52,1,5:43.0,,Defensive rebound by H. Whiteside,18,14
53,1,5:41.0,,Turnover by H. Whiteside (bad pass; steal by J. Harden),18,14
54,1,5:41.0,J. Harden makes 2-pt layup at rim,,20,14
55,1,5:41.0,Shooting block foul by H. Whiteside (drawn by J. Harden),,20,14
56,1,5:41.0,,Miami full timeout,20,14
57,1,5:41.0,P. Beverley enters the game for T. Lawson,,20,14
58,1,5:41.0,J. Harden makes free throw 1 of 1,,21,14
