,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,MIAMI_ACTION,CHARLOTTE_SCORE,MIAMI_SCORE
0,1,11:36.0,,G. Dragić makes 2-pt jump shot from 5 ft (assist by D. Wade),0,2
1,1,11:16.0,M. Williams misses 3-pt jump shot from 25 ft,,0,2
2,1,11:15.0,,Defensive rebound by D. Wade,0,2
3,1,11:03.0,,H. Whiteside makes 2-pt hook shot from 9 ft (assist by L. Deng),0,4
4,1,10:39.0,A. Jefferson misses 2-pt jump shot from 17 ft (block by H. Whiteside),,0,4
5,1,10:38.0,,Defensive rebound by J. Johnson,0,4
6,1,10:31.0,,D. Wade makes 2-pt layup from 1 ft,0,6
7,1,10:16.0,A. Jefferson makes 2-pt hook shot from 4 ft (assist by K. Walker),,2,6
8,1,10:03.0,,H. Whiteside makes 2-pt layup from 2 ft (assist by D. Wade),2,8
9,1,9:57.0,Charlotte full timeout,,2,8
10,1,9:45.0,,Violation by H. Whiteside (def goaltending),2,8
11,1,9:45.0,F. Kaminsky makes 2-pt jump shot from 5 ft (assist by M. Williams),,4,8
12,1,9:27.0,,G. Dragić makes 2-pt jump shot from 18 ft (assist by L. Deng),4,10
13,1,9:12.0,K. Walker misses 2-pt jump shot from 15 ft,,4,10
14,1,9:11.0,,Defensive rebound by H. Whiteside,4,10
15,1,9:02.0,,Turnover by D. Wade (bad pass; steal by M. Williams),4,10
16,1,8:55.0,F. Kaminsky misses 3-pt jump shot from 25 ft,,4,10
17,1,8:54.0,,Defensive rebound by H. Whiteside,4,10
18,1,8:43.0,,D. Wade misses 2-pt hook shot from 8 ft,4,10
19,1,8:42.0,Defensive rebound by A. Jefferson,,4,10
20,1,8:31.0,M. Williams makes 2-pt jump shot from 7 ft,,6,10
21,1,8:20.0,,G. Dragić misses 2-pt jump shot from 14 ft,6,10
22,1,8:19.0,,Offensive rebound by L. Deng,6,10
23,1,8:18.0,,Shooting foul by A. Jefferson (drawn by L. Deng),6,10
24,1,8:18.0,,L. Deng makes free throw 1 of 2,6,11
25,1,8:18.0,,L. Deng makes free throw 2 of 2,6,12
26,1,8:00.0,A. Jefferson misses 2-pt jump shot from 4 ft,,6,12
27,1,7:59.0,,Defensive rebound by L. Deng,6,12
28,1,7:51.0,,G. Dragić misses 2-pt jump shot from 11 ft,6,12
29,1,7:50.0,,Offensive rebound by H. Whiteside,6,12
30,1,7:48.0,,H. Whiteside makes 2-pt layup from 2 ft,6,14
31,1,7:34.0,C. Lee makes 3-pt jump shot from 25 ft (assist by K. Walker),,9,14
32,1,7:25.0,,Offensive foul by H. Whiteside (drawn by M. Williams),9,14
33,1,7:25.0,,Turnover by H. Whiteside (offensive foul),9,14
34,1,7:07.0,M. Williams makes 3-pt jump shot from 25 ft (assist by A. Jefferson),,12,14
35,1,6:47.0,,Turnover by G. Dragić (traveling),12,14
36,1,6:35.0,C. Lee misses 2-pt layup from 2 ft (block by H. Whiteside),,12,14
37,1,6:34.0,Offensive rebound by A. Jefferson,,12,14
38,1,6:33.0,A. Jefferson makes 2-pt layup from 2 ft,,14,14
