,QUARTER,TIME_REMAINING,INDIANA_ACTION,UTAH_ACTION,INDIANA_SCORE,UTAH_SCORE
0,1,11:46.0,Turnover by M. Ellis (bad pass; steal by R. Neto),,0,0
1,1,11:39.0,,R. Neto misses 2-pt jump shot from 2 ft,0,0
2,1,11:35.0,,Offensive rebound by T. Lyles,0,0
3,1,11:35.0,,T. Lyles makes 2-pt layup from 1 ft,0,2
4,1,11:27.0,M. Ellis misses 3-pt jump shot from 24 ft,,0,2
5,1,11:27.0,,Defensive rebound by R. Hood,0,2
6,1,11:09.0,,Turnover by G. Hayward (bad pass; steal by M. Ellis),0,2
7,1,11:00.0,G. Hill makes 3-pt jump shot from 22 ft (assist by I. Mahinmi),,3,2
8,1,10:45.0,,Shooting foul by I. Mahinmi (drawn by D. Favors),3,2
9,1,10:45.0,,D. Favors makes free throw 1 of 2,3,3
10,1,10:45.0,,D. Favors makes free throw 2 of 2,3,4
11,1,10:33.0,P. George misses 2-pt jump shot from 18 ft,,3,4
12,1,10:32.0,,Defensive rebound by R. Hood,3,4
13,1,10:14.0,,R. Neto misses 3-pt jump shot from 22 ft,3,4
14,1,10:13.0,,Offensive rebound by G. Hayward,3,4
15,1,10:05.0,,R. Neto makes 3-pt jump shot from 23 ft (assist by G. Hayward),3,7
16,1,9:52.0,C. Miles misses 2-pt jump shot from 19 ft,,3,7
17,1,9:51.0,Offensive rebound by I. Mahinmi,,3,7
18,1,9:34.0,M. Ellis misses 3-pt jump shot from 24 ft,,3,7
19,1,9:34.0,,Defensive rebound by R. Neto,3,7
20,1,9:17.0,,T. Lyles misses 2-pt jump shot from 10 ft,3,7
21,1,9:17.0,Defensive rebound by I. Mahinmi,,3,7
22,1,8:56.0,Turnover by G. Hill (traveling),,3,7
23,1,8:43.0,,Turnover by R. Neto (palming),3,7
24,1,8:34.0,P. George makes 2-pt jump shot from 18 ft,,5,7
25,1,8:13.0,,D. Favors misses 2-pt jump shot from 15 ft,5,7
26,1,8:13.0,,Offensive rebound by T. Lyles,5,7
27,1,8:03.0,,R. Hood makes 2-pt jump shot from 15 ft,5,9
28,1,7:54.0,Shooting foul by G. Hayward (drawn by P. George),,5,9
29,1,7:54.0,P. George makes free throw 1 of 3,,6,9
30,1,7:54.0,P. George makes free throw 2 of 3,,7,9
31,1,7:54.0,P. George makes free throw 3 of 3,,8,9
32,1,7:43.0,,G. Hayward makes 2-pt jump shot from 7 ft,8,11
33,1,7:33.0,C. Miles misses 2-pt jump shot from 2 ft (block by D. Favors),,8,11
34,1,7:31.0,,Defensive rebound by Team,8,11
35,1,7:17.0,,G. Hayward makes 3-pt jump shot from 24 ft (assist by R. Hood),8,14
36,1,6:55.0,P. George makes 2-pt dunk at rim (assist by M. Ellis),,10,14
37,1,6:35.0,,Turnover by D. Favors (lost ball; steal by I. Mahinmi),10,14
38,1,6:34.0,Personal foul by R. Hood (drawn by G. Hill),,10,14
39,1,6:25.0,I. Mahinmi makes 2-pt dunk at rim (assist by P. George),,12,14
40,1,6:04.0,,D. Favors makes 2-pt jump shot from 3 ft,12,16
41,1,5:53.0,P. George misses 2-pt jump shot from 16 ft,,12,16
42,1,5:53.0,,Defensive rebound by G. Hayward,12,16
43,1,5:41.0,,D. Favors misses 2-pt jump shot from 15 ft,12,16
44,1,5:40.0,Defensive rebound by P. George,,12,16
45,1,5:26.0,G. Hill misses 2-pt jump shot from 19 ft,,12,16
46,1,5:25.0,,Defensive rebound by R. Hood,12,16
47,1,5:15.0,,R. Hood misses 3-pt jump shot from 24 ft,12,16
48,1,5:14.0,,Offensive rebound by D. Favors,12,16
49,1,4:57.0,,R. Neto misses 2-pt jump shot from 6 ft,12,16
50,1,4:57.0,Defensive rebound by P. George,,12,16
51,1,4:53.0,C. Miles misses 3-pt jump shot from 24 ft,,12,16
52,1,4:53.0,Offensive rebound by Team,,12,16
53,1,4:53.0,,Loose ball foul by G. Hayward (drawn by P. George),12,16
54,1,4:53.0,,Utah full timeout,12,16
55,1,4:53.0,,A. Burks enters the game for G. Hayward,12,16
56,1,4:53.0,,T. Booker enters the game for T. Lyles,12,16
57,1,4:53.0,,T. Burke enters the game for R. Neto,12,16
58,1,4:33.0,P. George misses 3-pt jump shot from 23 ft,,12,16
59,1,4:32.0,,Defensive rebound by D. Favors,12,16
60,1,4:16.0,,Personal foul by M. Ellis (drawn by A. Burks),12,16
61,1,4:16.0,J. Hill enters the game for I. Mahinmi,,12,16
62,1,4:16.0,R. Stuckey enters the game for G. Hill,,12,16
63,1,4:10.0,,Personal foul by P. George (drawn by D. Favors),12,16
64,1,4:02.0,,A. Burks makes 3-pt jump shot from 22 ft (assist by T. Burke),12,19
65,1,3:49.0,J. Hill misses 2-pt layup from 2 ft,,12,19
66,1,3:48.0,,Defensive rebound by A. Burks,12,19
67,1,3:42.0,L. Allen enters the game for C. Miles,,12,19
68,1,3:35.0,,T. Burke misses 3-pt jump shot from 25 ft,12,19
69,1,3:35.0,Defensive rebound by P. George,,12,19
70,1,3:25.0,R. Stuckey misses 3-pt jump shot from 22 ft,,12,19
71,1,3:24.0,,Defensive rebound by R. Hood,12,19
72,1,3:18.0,,T. Burke makes 3-pt jump shot from 23 ft (assist by R. Hood),12,22
73,1,3:17.0,Indiana full timeout,,12,22
74,1,3:05.0,M. Ellis misses 2-pt jump shot from 17 ft,,12,22
75,1,3:04.0,,Defensive rebound by T. Booker,12,22
76,1,2:44.0,,R. Hood makes 2-pt jump shot from 12 ft,12,24
77,1,2:33.0,P. George makes 2-pt jump shot from 13 ft,,14,24
78,1,2:17.0,,D. Favors misses 2-pt jump shot from 6 ft (block by M. Ellis),14,24
79,1,2:14.0,Defensive rebound by P. George,,14,24
80,1,2:12.0,Shooting foul by R. Hood (drawn by P. George),,14,24
81,1,2:12.0,P. George makes free throw 1 of 3,,15,24
82,1,2:12.0,P. George makes free throw 2 of 3,,16,24
83,1,2:12.0,,E. Millsap enters the game for R. Hood,16,24
84,1,2:12.0,,J. Withey enters the game for D. Favors,16,24
85,1,2:12.0,P. George makes free throw 3 of 3,,17,24
86,1,1:53.0,,Turnover by T. Booker (bad pass; steal by P. George),17,24
87,1,1:42.0,P. George misses 2-pt jump shot from 19 ft,,17,24
88,1,1:40.0,,Defensive rebound by T. Burke,17,24
89,1,1:34.0,,A. Burks misses 2-pt layup from 1 ft,17,24
90,1,1:33.0,,Offensive rebound by T. Booker,17,24
91,1,1:24.0,,Personal foul by M. Ellis (drawn by J. Withey),17,24
92,1,1:24.0,G. Hill enters the game for M. Ellis,,17,24
93,1,1:13.0,,Turnover by E. Millsap (lost ball; steal by P. George),17,24
94,1,1:05.0,P. George misses 2-pt layup from 2 ft (block by J. Withey),,17,24
95,1,1:04.0,Offensive rebound by L. Allen,,17,24
96,1,1:03.0,L. Allen misses 2-pt hook shot from 3 ft,,17,24
97,1,1:03.0,,Defensive rebound by Team,17,24
98,1,0:42.0,,T. Burke makes 2-pt jump shot from 12 ft,17,26
99,1,0:33.0,Shooting foul by T. Booker (drawn by J. Hill),,17,26
100,1,0:33.0,J. Hill makes free throw 1 of 2,,18,26
101,1,0:33.0,J. Hill makes free throw 2 of 2,,19,26
102,1,0:19.0,,J. Withey misses 2-pt jump shot from 6 ft,19,26
103,1,0:18.0,,Offensive rebound by T. Booker,19,26
104,1,0:03.0,,Shooting foul by L. Allen (drawn by A. Burks),19,26
105,1,0:03.0,,A. Burks makes free throw 1 of 2,19,27
106,1,0:03.0,,A. Burks misses free throw 2 of 2,19,27
107,1,0:02.0,Defensive rebound by L. Allen,,19,27
108,2,11:45.0,,Turnover by J. Withey (lost ball; steal by G. Hill),19,27
109,2,11:40.0,R. Stuckey makes 2-pt layup from 2 ft (assist by G. Hill),,21,27
110,2,11:19.0,,A. Burks misses 2-pt jump shot from 19 ft,21,27
111,2,11:19.0,Defensive rebound by C. Budinger,,21,27
112,2,10:58.0,Turnover by J. Hill (lost ball),,21,27
113,2,10:39.0,,Turnover by T. Booker (bad pass; steal by G. Hill),21,27
114,2,10:36.0,Turnover by L. Allen (bad pass; steal by T. Booker),,21,27
