,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,BROOKLYN_ACTION,OKLAHOMA CITY_SCORE,BROOKLYN_SCORE
0,1,11:43.0,,Turnover by J. Johnson (bad pass),0,0
1,1,11:20.0,Turnover by K. Durant (bad pass),,0,0
2,1,11:03.0,,W. Ellington misses 3-pt jump shot from 24 ft,0,0
3,1,11:02.0,,Offensive rebound by B. Lopez,0,0
4,1,11:01.0,,B. Lopez makes 2-pt layup from 1 ft,0,2
5,1,10:44.0,K. Durant misses 2-pt jump shot from 21 ft,,0,2
6,1,10:43.0,,Defensive rebound by W. Ellington,0,2
7,1,10:33.0,,B. Lopez makes 2-pt layup at rim (assist by W. Ellington),0,4
8,1,10:04.0,N. Collison makes 2-pt hook shot from 9 ft (assist by K. Durant),,2,4
9,1,9:53.0,,B. Lopez misses 2-pt jump shot from 3 ft,2,4
10,1,9:52.0,,Offensive rebound by D. Sloan,2,4
11,1,9:44.0,,T. Young makes 2-pt jump shot from 4 ft (assist by D. Sloan),2,6
12,1,9:34.0,R. Westbrook misses 2-pt layup from 3 ft (block by B. Lopez),,2,6
13,1,9:33.0,Offensive rebound by Team,,2,6
14,1,9:32.0,K. Durant makes 2-pt jump shot from 8 ft (assist by R. Westbrook),,4,6
15,1,9:18.0,,J. Johnson misses 2-pt jump shot from 20 ft,4,6
16,1,9:17.0,Defensive rebound by R. Westbrook,,4,6
17,1,9:14.0,K. Durant makes 2-pt dunk at rim (assist by R. Westbrook),,6,6
18,1,8:58.0,,D. Sloan misses 2-pt jump shot from 16 ft,6,6
19,1,8:57.0,Defensive rebound by R. Westbrook,,6,6
20,1,8:51.0,K. Durant misses 3-pt jump shot from 24 ft,,6,6
21,1,8:50.0,Offensive rebound by N. Collison,,6,6
22,1,8:43.0,S. Ibaka misses 3-pt jump shot from 24 ft,,6,6
23,1,8:42.0,,Defensive rebound by D. Sloan,6,6
24,1,8:23.0,,Shooting foul by N. Collison (drawn by B. Lopez),6,6
25,1,8:23.0,,B. Lopez makes free throw 1 of 2,6,7
26,1,8:23.0,,B. Lopez makes free throw 2 of 2,6,8
