,QUARTER,TIME_REMAINING,INDIANA_ACTION,ORLANDO_ACTION,INDIANA_SCORE,ORLANDO_SCORE
0,1,11:34.0,G. Hill misses 2-pt jump shot from 18 ft,,0,0
1,1,11:32.0,Offensive rebound by L. Allen,,0,0
2,1,11:18.0,Shooting foul by N. Vučević (drawn by I. Mahinmi),,0,0
3,1,11:18.0,I. Mahinmi makes free throw 1 of 2,,1,0
4,1,11:18.0,I. Mahinmi misses free throw 2 of 2,,1,0
5,1,11:17.0,,Defensive rebound by T. Harris,1,0
6,1,11:03.0,,T. Harris misses 2-pt jump shot from 16 ft,1,0
7,1,11:02.0,Defensive rebound by M. Ellis,,1,0
8,1,10:51.0,I. Mahinmi makes 2-pt layup from 2 ft (assist by G. Hill),,3,0
9,1,10:36.0,,E. Fournier misses 3-pt jump shot from 26 ft,3,0
10,1,10:34.0,Defensive rebound by Team,,3,0
11,1,10:10.0,L. Allen misses 2-pt jump shot from 18 ft,,3,0
12,1,10:09.0,,Defensive rebound by V. Oladipo,3,0
13,1,10:00.0,,Personal foul by I. Mahinmi (drawn by N. Vučević),3,0
14,1,9:49.0,,C. Frye misses 3-pt jump shot from 26 ft,3,0
15,1,9:48.0,Defensive rebound by P. George,,3,0
16,1,9:36.0,P. George makes 2-pt jump shot from 17 ft,,5,0
17,1,9:14.0,,N. Vučević misses 2-pt hook shot from 13 ft,5,0
18,1,9:13.0,Defensive rebound by M. Ellis,,5,0
19,1,9:03.0,L. Allen makes 2-pt jump shot from 19 ft (assist by G. Hill),,7,0
20,1,8:44.0,,V. Oladipo misses 3-pt jump shot from 26 ft,7,0
21,1,8:43.0,Defensive rebound by M. Ellis,,7,0
22,1,8:33.0,L. Allen misses 2-pt jump shot from 6 ft,,7,0
23,1,8:31.0,,Defensive rebound by C. Frye,7,0
24,1,8:19.0,,C. Frye misses 3-pt jump shot from 24 ft,7,0
25,1,8:18.0,Defensive rebound by I. Mahinmi,,7,0
26,1,8:08.0,Turnover by M. Ellis (bad pass),,7,0
27,1,7:52.0,,N. Vučević makes 2-pt hook shot from 10 ft,7,2
28,1,7:41.0,P. George makes 2-pt jump shot from 19 ft,,9,2
29,1,7:25.0,,T. Harris misses 3-pt jump shot from 25 ft,9,2
30,1,7:24.0,Defensive rebound by I. Mahinmi,,9,2
31,1,7:04.0,P. George misses 3-pt jump shot from 25 ft,,9,2
32,1,7:03.0,,Defensive rebound by N. Vučević,9,2
33,1,6:53.0,,T. Harris misses 3-pt jump shot from 24 ft,9,2
34,1,6:52.0,Defensive rebound by I. Mahinmi,,9,2
35,1,6:43.0,M. Ellis makes 2-pt jump shot from 16 ft,,11,2
36,1,6:43.0,,Orlando full timeout,11,2
37,1,6:22.0,,E. Fournier misses 2-pt jump shot from 4 ft,11,2
38,1,6:21.0,Defensive rebound by I. Mahinmi,,11,2
39,1,6:09.0,Turnover by L. Allen (bad pass; steal by E. Fournier),,11,2
40,1,6:02.0,,V. Oladipo makes 2-pt dunk at rim (assist by E. Fournier),11,4
41,1,5:38.0,L. Allen misses 2-pt layup from 2 ft (block by C. Frye),,11,4
42,1,5:35.0,,Defensive rebound by C. Frye,11,4
43,1,5:23.0,,N. Vučević misses 2-pt jump shot from 16 ft,11,4
44,1,5:21.0,Defensive rebound by P. George,,11,4
45,1,5:16.0,Turnover by P. George (lost ball),,11,4
46,1,5:16.0,C. Miles enters the game for L. Allen,,11,4
47,1,5:00.0,,N. Vučević makes 2-pt layup from 2 ft,11,6
48,1,4:44.0,I. Mahinmi makes 2-pt layup from 1 ft (assist by P. George),,13,6
49,1,4:22.0,,Shooting foul by I. Mahinmi (drawn by C. Frye),13,6
50,1,4:22.0,,C. Frye makes free throw 1 of 2,13,7
51,1,4:22.0,R. Stuckey enters the game for G. Hill,,13,7
52,1,4:22.0,M. Turner enters the game for I. Mahinmi,,13,7
53,1,4:22.0,,C. Frye makes free throw 2 of 2,13,8
54,1,4:10.0,C. Miles misses 3-pt jump shot from 25 ft,,13,8
55,1,4:08.0,,Defensive rebound by T. Harris,13,8
56,1,4:00.0,,E. Fournier makes 2-pt layup from 2 ft,13,10
57,1,3:52.0,Turnover by M. Ellis (discontinued dribble),,13,10
58,1,3:42.0,,Turnover by V. Oladipo (bad pass; steal by R. Stuckey),13,10
59,1,3:36.0,M. Turner makes 2-pt dunk from 1 ft (assist by M. Ellis),,15,10
60,1,3:16.0,,N. Vučević makes 2-pt hook shot from 9 ft,15,12
61,1,3:16.0,Indiana full timeout,,15,12
62,1,3:16.0,,A. Nicholson enters the game for C. Frye,15,12
63,1,3:01.0,M. Turner makes 2-pt jump shot from 14 ft (assist by M. Ellis),,17,12
64,1,2:49.0,,E. Fournier makes 2-pt jump shot from 20 ft (assist by N. Vučević),17,14
65,1,2:36.0,C. Miles misses 3-pt jump shot from 27 ft,,17,14
66,1,2:35.0,Offensive rebound by M. Turner,,17,14
67,1,2:22.0,P. George misses 2-pt jump shot from 10 ft,,17,14
68,1,2:20.0,,Defensive rebound by A. Nicholson,17,14
69,1,2:16.0,,Turnover by T. Harris (lost ball; steal by M. Ellis),17,14
70,1,2:04.0,R. Stuckey makes 2-pt jump shot from 16 ft,,19,14
71,1,1:47.0,,A. Nicholson makes 2-pt dunk at rim (assist by T. Harris),19,16
72,1,1:28.0,M. Ellis misses 3-pt jump shot from 27 ft,,19,16
73,1,1:27.0,,Defensive rebound by N. Vučević,19,16
74,1,1:10.0,,A. Nicholson makes 2-pt layup from 2 ft (assist by E. Fournier),19,18
75,1,0:59.0,P. George misses 3-pt jump shot from 25 ft,,19,18
76,1,0:58.0,,Defensive rebound by E. Fournier,19,18
77,1,0:52.0,,E. Fournier misses 3-pt jump shot from 24 ft,19,18
78,1,0:50.0,Defensive rebound by M. Turner,,19,18
79,1,0:37.0,P. George makes 3-pt jump shot from 23 ft (assist by M. Ellis),,22,18
