,QUARTER,TIME_REMAINING,NEW YORK_ACTION,MINNESOTA_ACTION,NEW YORK_SCORE,MINNESOTA_SCORE
0,1,11:44.0,J. Calderón makes 2-pt jump shot from 21 ft,,2,0
1,1,11:22.0,,R. Rubio misses 2-pt jump shot from 19 ft,2,0
2,1,11:21.0,Defensive rebound by J. Calderón,,2,0
3,1,11:03.0,K. Porziņģis misses 2-pt jump shot from 14 ft,,2,0
4,1,11:02.0,Offensive rebound by R. Lopez,,2,0
5,1,10:59.0,R. Lopez makes 2-pt hook shot from 4 ft,,4,0
6,1,10:36.0,,K. Towns misses 2-pt jump shot from 14 ft,4,0
7,1,10:35.0,,Offensive rebound by G. Dieng,4,0
8,1,10:29.0,,T. Prince misses 3-pt jump shot from 22 ft,4,0
9,1,10:27.0,Defensive rebound by J. Calderón,,4,0
10,1,10:06.0,R. Lopez makes 2-pt hook shot from 6 ft,,6,0
11,1,9:48.0,,A. Wiggins misses 2-pt jump shot from 16 ft,6,0
12,1,9:45.0,Defensive rebound by J. Calderón,,6,0
13,1,9:43.0,Personal foul by R. Rubio (drawn by J. Calderón),,6,0
14,1,9:37.0,Shooting foul by T. Prince (drawn by C. Anthony),,6,0
15,1,9:37.0,C. Anthony misses free throw 1 of 2,,6,0
16,1,9:37.0,Offensive rebound by Team,,6,0
17,1,9:37.0,C. Anthony makes free throw 2 of 2,,7,0
18,1,9:19.0,,A. Wiggins misses 2-pt jump shot from 7 ft,7,0
19,1,9:18.0,Defensive rebound by A. Afflalo,,7,0
20,1,9:06.0,K. Porziņģis misses 2-pt layup from 1 ft (block by K. Towns),,7,0
21,1,9:05.0,Offensive rebound by Team,,7,0
22,1,9:02.0,Shooting foul by K. Towns (drawn by K. Porziņģis),,7,0
23,1,9:02.0,K. Porziņģis makes free throw 1 of 2,,8,0
24,1,9:02.0,K. Porziņģis makes free throw 2 of 2,,9,0
25,1,8:49.0,,G. Dieng misses 2-pt jump shot from 6 ft,9,0
26,1,8:48.0,,Offensive rebound by K. Towns,9,0
27,1,8:48.0,,K. Towns misses 2-pt layup from 1 ft,9,0
28,1,8:46.0,Defensive rebound by R. Lopez,,9,0
29,1,8:35.0,Turnover by J. Calderón (bad pass; steal by K. Towns),,9,0
30,1,8:32.0,,Shooting foul by J. Calderón (drawn by A. Wiggins),9,0
31,1,8:32.0,,A. Wiggins makes free throw 1 of 2,9,1
32,1,8:32.0,,A. Wiggins misses free throw 2 of 2,9,1
33,1,8:31.0,Defensive rebound by R. Lopez,,9,1
34,1,8:11.0,R. Lopez makes 2-pt hook shot from 4 ft (assist by A. Afflalo),,11,1
35,1,8:03.0,,Minnesota full timeout,11,1
36,1,7:49.0,,G. Dieng misses 2-pt jump shot from 19 ft,11,1
37,1,7:47.0,Defensive rebound by K. Porziņģis,,11,1
38,1,7:37.0,J. Calderón makes 3-pt jump shot from 23 ft (assist by C. Anthony),,14,1
39,1,7:17.0,,K. Towns makes 2-pt jump shot from 15 ft (assist by R. Rubio),14,3
40,1,7:02.0,,Violation by G. Dieng (def goaltending),14,3
41,1,7:02.0,R. Lopez makes 2-pt layup from 1 ft (assist by J. Calderón),,16,3
42,1,6:49.0,,Turnover by R. Rubio (bad pass; steal by A. Afflalo),16,3
43,1,6:32.0,K. Porziņģis misses 2-pt jump shot from 10 ft,,16,3
44,1,6:31.0,,Defensive rebound by Team,16,3
45,1,6:06.0,,K. Towns makes 2-pt layup at rim (assist by R. Rubio),16,5
46,1,6:06.0,,Shooting foul by K. Porziņģis (drawn by K. Towns),16,5
47,1,6:06.0,,K. Towns makes free throw 1 of 1,16,6
48,1,5:52.0,K. Porziņģis misses 2-pt jump shot from 12 ft,,16,6
49,1,5:51.0,Offensive rebound by R. Lopez,,16,6
50,1,5:50.0,Shooting foul by G. Dieng (drawn by R. Lopez),,16,6
51,1,5:50.0,R. Lopez makes free throw 1 of 2,,17,6
52,1,5:50.0,L. Thomas enters the game for K. Porziņģis,,17,6
53,1,5:50.0,R. Lopez makes free throw 2 of 2,,18,6
54,1,5:35.0,,R. Rubio makes 2-pt layup at rim,18,8
55,1,5:17.0,L. Thomas misses 3-pt jump shot from 23 ft,,18,8
56,1,5:16.0,,Defensive rebound by G. Dieng,18,8
57,1,5:03.0,,K. Towns misses 2-pt jump shot from 13 ft,18,8
58,1,5:02.0,Defensive rebound by A. Afflalo,,18,8
59,1,4:52.0,R. Lopez misses 2-pt jump shot from 4 ft,,18,8
60,1,4:50.0,Offensive rebound by L. Thomas,,18,8
61,1,4:49.0,L. Thomas misses 2-pt layup from 2 ft (block by K. Towns),,18,8
62,1,4:47.0,,Defensive rebound by K. Towns,18,8
63,1,4:38.0,,A. Wiggins misses 2-pt jump shot from 16 ft,18,8
64,1,4:37.0,Defensive rebound by J. Calderón,,18,8
65,1,4:28.0,J. Calderón misses 3-pt jump shot from 24 ft,,18,8
66,1,4:27.0,,Defensive rebound by A. Wiggins,18,8
67,1,4:15.0,,K. Towns misses 2-pt dunk at rim (block by R. Lopez),18,8
68,1,4:14.0,Defensive rebound by Team,,18,8
69,1,4:14.0,New York full timeout,,18,8
70,1,4:14.0,L. Galloway enters the game for J. Calderón,,18,8
71,1,4:14.0,,Z. LaVine enters the game for R. Rubio,18,8
72,1,4:14.0,,S. Muhammad enters the game for T. Prince,18,8
73,1,3:51.0,R. Lopez makes 2-pt hook shot from 4 ft (assist by A. Afflalo),,20,8
74,1,3:39.0,,Shooting foul by L. Thomas (drawn by A. Wiggins),20,8
75,1,3:39.0,,A. Wiggins makes free throw 1 of 2,20,9
76,1,3:39.0,,A. Wiggins misses free throw 2 of 2,20,9
77,1,3:37.0,Defensive rebound by Team,,20,9
78,1,3:24.0,L. Thomas misses 2-pt jump shot from 19 ft,,20,9
79,1,3:23.0,Offensive rebound by C. Anthony,,20,9
80,1,3:13.0,L. Galloway misses 3-pt jump shot from 22 ft,,20,9
81,1,3:12.0,,Defensive rebound by Z. LaVine,20,9
82,1,3:02.0,,Shooting foul by C. Anthony (drawn by S. Muhammad),20,9
83,1,3:02.0,,S. Muhammad makes free throw 1 of 2,20,10
84,1,3:02.0,S. Vujačić enters the game for A. Afflalo,,20,10
85,1,3:02.0,,S. Muhammad makes free throw 2 of 2,20,11
