,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,NEW YORK_ACTION,WASHINGTON_SCORE,NEW YORK_SCORE
0,1,11:39.0,Turnover by B. Beal (bad pass),,0,0
1,1,11:23.0,,K. Porziņģis misses 3-pt jump shot from 23 ft,0,0
2,1,11:21.0,Defensive rebound by B. Beal,,0,0
3,1,11:16.0,M. Gortat makes 2-pt jump shot from 4 ft (assist by B. Beal),,2,0
4,1,10:53.0,,R. Lopez makes 2-pt hook shot from 4 ft,2,2
5,1,10:42.0,B. Beal misses 2-pt jump shot from 9 ft,,2,2
6,1,10:40.0,,Defensive rebound by C. Anthony,2,2
7,1,10:30.0,,Turnover by C. Anthony (bad pass; steal by J. Dudley),2,2
8,1,10:21.0,O. Porter makes 2-pt jump shot from 13 ft (assist by B. Beal),,4,2
9,1,9:59.0,,A. Afflalo misses 2-pt jump shot from 10 ft,4,2
10,1,9:57.0,Defensive rebound by M. Gortat,,4,2
11,1,9:49.0,J. Wall makes 2-pt jump shot from 14 ft,,6,2
12,1,9:41.0,,C. Anthony misses 2-pt jump shot from 21 ft,6,2
13,1,9:39.0,Defensive rebound by M. Gortat,,6,2
14,1,9:35.0,B. Beal makes 2-pt dunk at rim (assist by J. Wall),,8,2
15,1,9:05.0,,R. Lopez makes 2-pt jump shot from 11 ft,8,4
16,1,8:38.0,Shooting foul by J. Calderón (drawn by J. Wall),,8,4
17,1,8:38.0,J. Wall makes free throw 1 of 2,,9,4
18,1,8:38.0,J. Wall misses free throw 2 of 2,,9,4
19,1,8:37.0,,Defensive rebound by R. Lopez,9,4
20,1,8:18.0,,A. Afflalo makes 2-pt jump shot from 13 ft,9,6
21,1,8:12.0,J. Wall misses 2-pt layup from 2 ft,,9,6
22,1,8:10.0,,Defensive rebound by R. Lopez,9,6
23,1,8:07.0,,Turnover by J. Calderón (bad pass; steal by O. Porter),9,6
24,1,8:01.0,J. Wall makes 3-pt jump shot from 24 ft (assist by O. Porter),,12,6
25,1,7:34.0,,J. Calderón misses 3-pt jump shot from 25 ft,12,6
26,1,7:32.0,,Offensive rebound by R. Lopez,12,6
27,1,7:29.0,,J. Calderón misses 3-pt jump shot from 23 ft,12,6
28,1,7:27.0,Defensive rebound by J. Wall,,12,6
29,1,7:20.0,O. Porter makes 3-pt jump shot from 24 ft (assist by J. Dudley),,15,6
30,1,7:18.0,,New York full timeout,15,6
31,1,6:53.0,,C. Anthony makes 3-pt jump shot from 24 ft (assist by J. Calderón),15,9
32,1,6:49.0,Shooting foul by A. Afflalo (drawn by B. Beal),,15,9
33,1,6:49.0,B. Beal makes free throw 1 of 2,,16,9
34,1,6:49.0,B. Beal makes free throw 2 of 2,,17,9
35,1,6:39.0,,Shooting foul by O. Porter (drawn by R. Lopez),17,9
36,1,6:39.0,,R. Lopez makes free throw 1 of 2,17,10
37,1,6:39.0,,R. Lopez makes free throw 2 of 2,17,11
38,1,6:25.0,M. Gortat misses 2-pt jump shot from 5 ft,,17,11
39,1,6:24.0,,Defensive rebound by J. Calderón,17,11
40,1,6:15.0,,R. Lopez makes 2-pt hook shot from 4 ft (assist by J. Calderón),17,13
41,1,6:03.0,J. Wall makes 3-pt jump shot from 25 ft (assist by J. Dudley),,20,13
42,1,5:47.0,,Turnover by K. Porziņģis (lost ball),20,13
