,QUARTER,TIME_REMAINING,PHOENIX_ACTION,PHILADELPHIA_ACTION,PHOENIX_SCORE,PHILADELPHIA_SCORE
0,1,11:42.0,A. Len makes 2-pt jump shot from 17 ft (assist by P. Tucker),,2,0
1,1,11:31.0,,R. Covington misses 3-pt jump shot from 26 ft,2,0
2,1,11:29.0,Defensive rebound by P. Tucker,,2,0
3,1,11:11.0,D. Booker misses 2-pt jump shot from 22 ft,,2,0
4,1,11:10.0,,Defensive rebound by I. Smith,2,0
5,1,10:59.0,,N. Noel makes 2-pt layup from 1 ft (assist by I. Smith),2,2
6,1,10:40.0,A. Len makes 2-pt hook shot from 3 ft (assist by D. Booker),,4,2
7,1,10:27.0,,J. Grant misses 3-pt jump shot from 24 ft,4,2
8,1,10:26.0,Defensive rebound by A. Goodwin,,4,2
9,1,10:19.0,Turnover by P. Tucker (bad pass; steal by N. Noel),,4,2
10,1,10:16.0,,Shooting foul by A. Len (drawn by N. Noel),4,2
11,1,10:16.0,,N. Noel makes free throw 1 of 2,4,3
12,1,10:16.0,,N. Noel makes free throw 2 of 2,4,4
13,1,10:05.0,D. Booker makes 2-pt layup from 2 ft (assist by P. Tucker),,6,4
14,1,9:45.0,,R. Covington makes 3-pt jump shot from 25 ft (assist by I. Smith),6,7
15,1,9:25.0,A. Len makes 2-pt jump shot from 18 ft (assist by A. Goodwin),,8,7
16,1,9:08.0,,N. Stauskas misses 3-pt jump shot from 23 ft,8,7
17,1,9:07.0,,Offensive rebound by N. Noel,8,7
18,1,9:05.0,,N. Noel misses 2-pt layup from 1 ft (block by T. Chandler),8,7
19,1,9:03.0,Defensive rebound by A. Len,,8,7
20,1,8:58.0,P. Tucker misses 2-pt jump shot from 13 ft (block by J. Grant),,8,7
21,1,8:55.0,Offensive rebound by A. Goodwin,,8,7
22,1,8:55.0,Phoenix full timeout,,8,7
23,1,8:42.0,A. Len misses 2-pt jump shot from 17 ft,,8,7
24,1,8:39.0,,Defensive rebound by N. Noel,8,7
25,1,8:34.0,,J. Grant misses 2-pt dunk at rim,8,7
26,1,8:34.0,Defensive rebound by Team,,8,7
27,1,8:11.0,P. Tucker misses 3-pt jump shot from 26 ft,,8,7
28,1,8:09.0,,Defensive rebound by Team,8,7
29,1,7:53.0,,I. Smith misses 2-pt layup at rim,8,7
30,1,7:52.0,,Offensive rebound by Team,8,7
31,1,7:44.0,,R. Covington makes 3-pt jump shot from 26 ft (assist by I. Smith),8,10
32,1,7:30.0,D. Booker misses 3-pt jump shot from 25 ft,,8,10
33,1,7:28.0,,Defensive rebound by N. Noel,8,10
34,1,7:20.0,,N. Stauskas misses 2-pt layup from 1 ft,8,10
35,1,7:18.0,Defensive rebound by A. Len,,8,10
36,1,7:12.0,T. Chandler makes 2-pt dunk at rim (assist by A. Goodwin),,10,10
37,1,7:06.0,,I. Smith makes 2-pt jump shot from 4 ft,10,12
38,1,6:52.0,A. Goodwin misses 2-pt layup from 2 ft (block by N. Noel),,10,12
39,1,6:50.0,,Defensive rebound by N. Stauskas,10,12
40,1,6:46.0,,I. Smith makes 2-pt layup from 1 ft,10,14
41,1,6:28.0,A. Len makes 2-pt dunk at rim (assist by D. Booker),,12,14
42,1,6:15.0,,I. Smith makes 2-pt jump shot from 12 ft,12,16
43,1,5:56.0,A. Goodwin makes 2-pt dunk at rim (assist by T. Chandler),,14,16
44,1,5:32.0,,I. Smith misses 3-pt jump shot from 25 ft,14,16
45,1,5:30.0,Defensive rebound by A. Len,,14,16
46,1,5:21.0,P. Tucker makes 3-pt jump shot from 22 ft (assist by A. Goodwin),,17,16
