,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,CHARLOTTE_ACTION,BROOKLYN_SCORE,CHARLOTTE_SCORE
0,1,11:43.0,,M. Williams makes 3-pt jump shot from 24 ft (assist by N. Batum),0,3
1,1,11:18.0,S. Larkin misses 2-pt jump shot from 19 ft,,0,3
2,1,11:14.0,Offensive rebound by T. Robinson,,0,3
3,1,11:14.0,T. Robinson makes 2-pt layup at rim,,2,3
4,1,11:01.0,,Turnover by N. Batum (bad pass; steal by C. McCullough),2,3
5,1,10:57.0,W. Ellington makes 2-pt jump shot from 18 ft (assist by C. McCullough),,4,3
6,1,10:41.0,,Personal block foul by W. Ellington,4,3
7,1,10:26.0,,C. Lee makes 2-pt layup from 1 ft (assist by M. Williams),4,5
8,1,10:04.0,B. Bogdanović misses 2-pt jump shot from 11 ft,,4,5
9,1,10:04.0,Offensive rebound by Team,,4,5
10,1,10:04.0,,Loose ball foul by C. Lee,4,5
11,1,9:58.0,B. Bogdanović makes 2-pt jump shot from 15 ft (assist by W. Ellington),,6,5
12,1,9:42.0,,K. Walker misses 2-pt layup from 1 ft,6,5
13,1,9:41.0,Defensive rebound by C. McCullough,,6,5
14,1,9:27.0,W. Ellington makes 3-pt jump shot from 26 ft (assist by S. Larkin),,9,5
15,1,9:05.0,,M. Williams misses 3-pt jump shot from 24 ft,9,5
16,1,9:04.0,,Offensive rebound by N. Batum,9,5
17,1,9:00.0,,K. Walker makes 3-pt jump shot from 24 ft (assist by N. Batum),9,8
18,1,8:43.0,B. Bogdanović misses 2-pt jump shot from 14 ft,,9,8
19,1,8:41.0,,Defensive rebound by C. Lee,9,8
20,1,8:30.0,,N. Batum makes 3-pt jump shot from 23 ft (assist by C. Zeller),9,11
21,1,8:09.0,W. Ellington makes 3-pt jump shot from 23 ft (assist by S. Larkin),,12,11
22,1,7:42.0,,N. Batum misses 3-pt jump shot from 26 ft,12,11
23,1,7:41.0,Defensive rebound by C. McCullough,,12,11
24,1,7:27.0,B. Bogdanović misses 2-pt jump shot from 13 ft (block by K. Walker),,12,11
25,1,7:27.0,Offensive rebound by Team,,12,11
26,1,7:24.0,C. McCullough makes 2-pt dunk at rim (assist by B. Bogdanović),,14,11
27,1,7:16.0,,Charlotte full timeout,14,11
28,1,7:07.0,,N. Batum misses 3-pt jump shot from 24 ft,14,11
29,1,7:06.0,Defensive rebound by T. Robinson,,14,11
30,1,6:48.0,T. Robinson makes 2-pt jump shot from 17 ft,,16,11
31,1,6:28.0,,Shooting foul by T. Robinson (drawn by C. Zeller),16,11
32,1,6:28.0,,C. Zeller makes free throw 1 of 2,16,12
33,1,6:28.0,,C. Zeller makes free throw 2 of 2,16,13
34,1,6:14.0,S. Larkin misses 2-pt jump shot from 18 ft,,16,13
35,1,6:13.0,,Defensive rebound by C. Zeller,16,13
36,1,5:52.0,,N. Batum makes 2-pt jump shot from 20 ft,16,15
37,1,5:35.0,T. Robinson misses 2-pt layup from 2 ft,,16,15
38,1,5:34.0,,Defensive rebound by K. Walker,16,15
