,QUARTER,TIME_REMAINING,PHOENIX_ACTION,SACRAMENTO_ACTION,PHOENIX_SCORE,SACRAMENTO_SCORE
0,1,11:34.0,,S. Curry misses 2-pt jump shot from 7 ft,0,0
1,1,11:34.0,Defensive rebound by A. Len,,0,0
2,1,11:17.0,A. Len misses 2-pt jump shot from 15 ft,,0,0
3,1,11:16.0,,Defensive rebound by D. Cousins,0,0
4,1,10:57.0,,S. Curry misses 2-pt jump shot from 22 ft,0,0
5,1,10:56.0,Defensive rebound by J. Jenkins,,0,0
6,1,10:45.0,P. Tucker misses 3-pt jump shot from 25 ft,,0,0
7,1,10:44.0,,Defensive rebound by R. Gay,0,0
8,1,10:33.0,,Shooting foul by J. Leuer (drawn by D. Cousins),0,0
9,1,10:33.0,,D. Cousins makes free throw 1 of 2,0,1
10,1,10:33.0,,D. Cousins makes free throw 2 of 2,0,2
11,1,10:16.0,A. Len makes 2-pt dunk at rim (assist by D. Booker),,2,2
12,1,9:57.0,,R. Gay misses 2-pt jump shot from 18 ft,2,2
13,1,9:56.0,Defensive rebound by J. Leuer,,2,2
14,1,9:45.0,A. Len misses 2-pt jump shot from 4 ft (block by Q. Acy),,2,2
15,1,9:43.0,Offensive rebound by J. Jenkins,,2,2
16,1,9:42.0,J. Jenkins misses 2-pt jump shot from 7 ft,,2,2
17,1,9:42.0,,Defensive rebound by Q. Acy,2,2
18,1,9:23.0,,Q. Acy makes 3-pt jump shot from 23 ft (assist by R. Gay),2,5
19,1,9:11.0,J. Leuer misses 2-pt jump shot from 6 ft,,2,5
20,1,9:10.0,Offensive rebound by A. Len,,2,5
21,1,9:10.0,A. Len misses 2-pt layup from 1 ft,,2,5
22,1,9:09.0,,Defensive rebound by D. Cousins,2,5
23,1,8:50.0,,D. Cousins makes 2-pt jump shot from 20 ft (assist by R. Gay),2,7
24,1,8:33.0,D. Booker misses 2-pt jump shot from 20 ft,,2,7
25,1,8:33.0,,Defensive rebound by Q. Acy,2,7
26,1,8:23.0,,Q. Acy misses 2-pt layup from 4 ft,2,7
27,1,8:22.0,Defensive rebound by P. Tucker,,2,7
28,1,8:16.0,J. Jenkins misses 2-pt layup from 3 ft (block by S. Curry),,2,7
29,1,8:15.0,Offensive rebound by J. Jenkins,,2,7
30,1,8:12.0,J. Jenkins makes 3-pt jump shot from 23 ft (assist by D. Booker),,5,7
31,1,8:02.0,,S. Curry misses 2-pt layup from 2 ft,5,7
