,QUARTER,TIME_REMAINING,PHOENIX_ACTION,DENVER_ACTION,PHOENIX_SCORE,DENVER_SCORE
0,1,11:49.0,Turnover by D. Booker (bad pass; steal by K. Faried),,0,0
1,1,11:28.0,,J. Sampson misses 2-pt jump shot from 7 ft,0,0
2,1,11:28.0,Defensive rebound by T. Chandler,,0,0
3,1,11:08.0,A. Len misses 2-pt layup from 1 ft (block by N. Jokić),,0,0
4,1,11:06.0,,Defensive rebound by E. Mudiay,0,0
5,1,11:00.0,,G. Harris misses 2-pt jump shot from 8 ft,0,0
6,1,10:59.0,,Offensive rebound by Team,0,0
7,1,10:48.0,,E. Mudiay makes 2-pt layup from 2 ft,0,2
8,1,10:32.0,A. Len makes 2-pt hook shot from 2 ft,,2,2
9,1,10:19.0,,E. Mudiay makes 3-pt jump shot from 24 ft (assist by J. Sampson),2,5
10,1,9:58.0,A. Len misses 2-pt layup from 1 ft,,2,5
11,1,9:58.0,,Defensive rebound by J. Sampson,2,5
12,1,9:54.0,,Turnover by K. Faried (bad pass; steal by D. Booker),2,5
13,1,9:54.0,Personal foul by N. Jokić,,2,5
14,1,9:40.0,R. Price misses 3-pt jump shot from 26 ft,,2,5
15,1,9:39.0,,Defensive rebound by J. Sampson,2,5
16,1,9:34.0,,Turnover by E. Mudiay (bad pass),2,5
17,1,9:20.0,D. Booker makes 2-pt jump shot from 6 ft,,4,5
18,1,9:11.0,,Turnover by E. Mudiay (lost ball; steal by R. Price),4,5
19,1,9:09.0,Shooting foul by E. Mudiay (drawn by R. Price),,4,5
20,1,9:09.0,R. Price misses free throw 1 of 2,,4,5
21,1,9:09.0,Offensive rebound by Team,,4,5
22,1,9:09.0,R. Price misses free throw 2 of 2,,4,5
23,1,9:08.0,,Defensive rebound by N. Jokić,4,5
24,1,8:59.0,,K. Faried misses 2-pt jump shot from 7 ft,4,5
25,1,8:58.0,Defensive rebound by A. Len,,4,5
26,1,8:51.0,Turnover by D. Booker (lost ball; steal by G. Harris),,4,5
27,1,8:46.0,,G. Harris makes 2-pt dunk at rim,4,7
28,1,8:32.0,T. Chandler misses 2-pt jump shot from 17 ft,,4,7
29,1,8:31.0,,Defensive rebound by K. Faried,4,7
30,1,8:18.0,,J. Sampson misses 2-pt layup from 2 ft,4,7
31,1,8:17.0,,Offensive rebound by K. Faried,4,7
32,1,8:17.0,,K. Faried misses 2-pt layup from 1 ft,4,7
33,1,8:15.0,Defensive rebound by T. Chandler,,4,7
34,1,7:57.0,R. Price misses 3-pt jump shot from 25 ft,,4,7
35,1,7:57.0,,Defensive rebound by K. Faried,4,7
36,1,7:52.0,,Turnover by E. Mudiay (lost ball; steal by R. Price),4,7
37,1,7:45.0,D. Booker misses 2-pt layup from 2 ft,,4,7
38,1,7:45.0,Offensive rebound by P. Tucker,,4,7
39,1,7:45.0,P. Tucker misses 2-pt layup from 1 ft,,4,7
40,1,7:44.0,Offensive rebound by P. Tucker,,4,7
41,1,7:41.0,P. Tucker misses 2-pt layup from 2 ft (block by N. Jokić),,4,7
42,1,7:40.0,Offensive rebound by R. Price,,4,7
43,1,7:36.0,P. Tucker misses 3-pt jump shot from 24 ft,,4,7
44,1,7:35.0,,Defensive rebound by N. Jokić,4,7
45,1,7:26.0,,G. Harris misses 3-pt jump shot from 24 ft,4,7
46,1,7:25.0,Defensive rebound by A. Len,,4,7
47,1,7:08.0,A. Len misses 2-pt layup from 2 ft (block by N. Jokić),,4,7
48,1,7:07.0,Offensive rebound by Team,,4,7
