,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,LA CLIPPERS_ACTION,SACRAMENTO_SCORE,LA CLIPPERS_SCORE
0,1,11:38.0,,B. Griffin makes 2-pt jump shot from 7 ft,0,2
1,1,11:23.0,R. Gay makes 3-pt jump shot from 24 ft (assist by D. Cousins),,3,2
2,1,11:15.0,,L. Stephenson misses 2-pt jump shot from 18 ft,3,2
3,1,11:15.0,Defensive rebound by B. McLemore,,3,2
4,1,11:05.0,D. Cousins misses 3-pt jump shot from 25 ft,,3,2
5,1,11:04.0,,Defensive rebound by B. Griffin,3,2
6,1,11:00.0,,Turnover by C. Paul (lost ball; steal by R. Gay),3,2
7,1,10:44.0,R. Rondo misses 2-pt jump shot from 19 ft,,3,2
8,1,10:44.0,,Defensive rebound by D. Jordan,3,2
9,1,10:34.0,,J. Redick makes 2-pt jump shot from 20 ft (assist by B. Griffin),3,4
10,1,10:29.0,Offensive foul by W. Cauley-Stein (drawn by C. Paul),,3,4
11,1,10:29.0,Turnover by W. Cauley-Stein (offensive foul),,3,4
12,1,10:12.0,,J. Redick makes 3-pt jump shot from 24 ft (assist by B. Griffin),3,7
13,1,10:04.0,B. McLemore makes 2-pt layup from 1 ft (assist by R. Rondo),,5,7
14,1,10:04.0,Shooting foul by J. Redick (drawn by B. McLemore),,5,7
15,1,10:04.0,B. McLemore makes free throw 1 of 1,,6,7
16,1,9:56.0,,D. Jordan makes 2-pt layup at rim (assist by C. Paul),6,9
17,1,9:56.0,,Shooting foul by R. Gay (drawn by D. Jordan),6,9
18,1,9:56.0,,D. Jordan misses free throw 1 of 1,6,9
19,1,9:55.0,Defensive rebound by Team,,6,9
20,1,9:37.0,B. McLemore misses 2-pt layup from 1 ft,,6,9
21,1,9:36.0,Offensive rebound by W. Cauley-Stein,,6,9
22,1,9:33.0,W. Cauley-Stein makes 2-pt dunk at rim,,8,9
23,1,9:33.0,,Turnover by C. Paul (bad pass),8,9
24,1,9:24.0,Personal foul by C. Paul (drawn by R. Rondo),,8,9
25,1,9:13.0,D. Cousins makes 2-pt jump shot from 20 ft (assist by R. Rondo),,10,9
26,1,9:10.0,,Turnover by B. Griffin (bad pass; steal by W. Cauley-Stein),10,9
27,1,9:06.0,Turnover by W. Cauley-Stein (bad pass; steal by C. Paul),,10,9
28,1,8:54.0,,D. Jordan makes 2-pt dunk at rim (assist by L. Stephenson),10,11
29,1,8:41.0,Turnover by R. Gay (bad pass; steal by D. Jordan),,10,11
30,1,8:33.0,,J. Redick misses 2-pt jump shot from 13 ft,10,11
31,1,8:27.0,Defensive rebound by W. Cauley-Stein,,10,11
32,1,8:21.0,R. Rondo makes 2-pt jump shot from 18 ft,,12,11
33,1,8:02.0,,B. Griffin makes 2-pt jump shot from 18 ft (assist by C. Paul),12,13
34,1,7:37.0,D. Cousins misses 2-pt jump shot from 21 ft,,12,13
35,1,7:36.0,,Defensive rebound by C. Paul,12,13
36,1,7:27.0,,B. Griffin misses 2-pt jump shot from 18 ft,12,13
37,1,7:26.0,Defensive rebound by D. Cousins,,12,13
38,1,7:17.0,D. Cousins makes 2-pt jump shot from 5 ft,,14,13
39,1,7:03.0,,Turnover by D. Jordan (bad pass; steal by D. Cousins),14,13
40,1,6:59.0,Shooting foul by L. Stephenson (drawn by R. Rondo),,14,13
41,1,6:59.0,R. Rondo makes free throw 1 of 2,,15,13
42,1,6:59.0,O. Casspi enters the game for W. Cauley-Stein,,15,13
43,1,6:59.0,R. Rondo misses free throw 2 of 2,,15,13
44,1,6:58.0,,Defensive rebound by C. Paul,15,13
45,1,6:35.0,,C. Paul misses 3-pt jump shot from 25 ft,15,13
46,1,6:35.0,Defensive rebound by R. Gay,,15,13
47,1,6:27.0,R. Rondo misses 2-pt layup from 2 ft,,15,13
48,1,6:23.0,Offensive rebound by D. Cousins,,15,13
49,1,6:17.0,D. Cousins makes 2-pt layup from 1 ft,,17,13
50,1,6:09.0,,Shooting block foul by B. McLemore (drawn by B. Griffin),17,13
51,1,6:09.0,,B. Griffin makes free throw 1 of 2,17,14
52,1,6:09.0,,B. Griffin misses free throw 2 of 2,17,14
53,1,6:07.0,Defensive rebound by R. Gay,,17,14
54,1,5:53.0,D. Cousins misses 2-pt jump shot from 21 ft,,17,14
55,1,5:52.0,,Defensive rebound by L. Stephenson,17,14
