,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,MIAMI_ACTION,CHARLOTTE_SCORE,MIAMI_SCORE
0,1,11:36.0,,D. Wade misses 2-pt jump shot from 4 ft,0,0
1,1,11:35.0,Defensive rebound by N. Batum,,0,0
2,1,11:31.0,,Violation by A. Stoudemire (kicked ball),0,0
3,1,11:22.0,Turnover by N. Batum (bad pass; steal by G. Dragić),,0,0
4,1,11:17.0,,G. Dragić makes 2-pt layup from 1 ft,0,2
5,1,10:56.0,K. Walker misses 2-pt jump shot from 10 ft (block by L. Deng),,0,2
6,1,10:55.0,,Defensive rebound by G. Dragić,0,2
7,1,10:43.0,,J. Johnson makes 2-pt layup from 2 ft (assist by G. Dragić),0,4
8,1,10:27.0,M. Williams makes 3-pt jump shot from 24 ft (assist by K. Walker),,3,4
9,1,10:09.0,,L. Deng makes 3-pt jump shot from 24 ft (assist by G. Dragić),3,7
10,1,9:52.0,C. Lee makes 2-pt jump shot from 16 ft,,5,7
11,1,9:38.0,,A. Stoudemire makes 2-pt dunk at rim (assist by G. Dragić),5,9
12,1,9:21.0,M. Williams makes 3-pt jump shot from 24 ft (assist by N. Batum),,8,9
13,1,9:07.0,,L. Deng misses 3-pt jump shot from 24 ft,8,9
14,1,9:06.0,Defensive rebound by N. Batum,,8,9
15,1,8:56.0,C. Zeller misses 2-pt jump shot from 17 ft,,8,9
16,1,8:55.0,,Defensive rebound by D. Wade,8,9
17,1,8:41.0,,Turnover by D. Wade (bad pass),8,9
18,1,8:28.0,N. Batum misses 2-pt jump shot from 14 ft,,8,9
19,1,8:27.0,,Defensive rebound by L. Deng,8,9
20,1,8:09.0,,G. Dragić misses 3-pt jump shot from 24 ft,8,9
21,1,8:08.0,Defensive rebound by C. Zeller,,8,9
22,1,8:03.0,K. Walker makes 3-pt jump shot from 24 ft (assist by N. Batum),,11,9
23,1,7:37.0,,G. Dragić misses 2-pt layup from 1 ft,11,9
24,1,7:36.0,Defensive rebound by K. Walker,,11,9
25,1,7:28.0,C. Lee makes 3-pt jump shot from 24 ft (assist by K. Walker),,14,9
26,1,7:17.0,,G. Dragić makes 2-pt layup from 1 ft,14,11
27,1,7:01.0,C. Lee misses 2-pt layup from 1 ft (block by D. Wade),,14,11
28,1,7:00.0,,Defensive rebound by D. Wade,14,11
29,1,6:58.0,,Turnover by G. Dragić (traveling),14,11
30,1,6:42.0,K. Walker misses 2-pt jump shot from 14 ft,,14,11
31,1,6:41.0,,Defensive rebound by J. Johnson,14,11
32,1,6:36.0,,G. Dragić makes 2-pt jump shot from 12 ft (assist by J. Johnson),14,13
33,1,6:23.0,Turnover by N. Batum (bad pass),,14,13
34,1,6:12.0,,Personal block foul by C. Zeller,14,13
35,1,6:03.0,,D. Wade misses 2-pt jump shot from 16 ft,14,13
36,1,6:02.0,,Offensive rebound by L. Deng,14,13
37,1,5:56.0,,J. Johnson makes 3-pt jump shot from 24 ft (assist by L. Deng),14,16
38,1,5:40.0,C. Zeller misses 2-pt layup from 2 ft,,14,16
39,1,5:39.0,,Defensive rebound by A. Stoudemire,14,16
40,1,5:30.0,,G. Dragić makes 2-pt hook shot from 3 ft,14,18
41,1,5:26.0,Charlotte full timeout,,14,18
42,1,5:26.0,A. Jefferson enters the game for C. Zeller,,14,18
43,1,5:26.0,,J. Richardson enters the game for L. Deng,14,18
44,1,5:26.0,,J. Winslow enters the game for G. Dragić,14,18
45,1,5:14.0,C. Lee makes 3-pt jump shot from 25 ft (assist by N. Batum),,17,18
46,1,4:46.0,,J. Richardson misses 2-pt jump shot from 8 ft,17,18
47,1,4:45.0,Defensive rebound by A. Jefferson,,17,18
48,1,4:33.0,M. Williams misses 2-pt layup from 1 ft,,17,18
49,1,4:32.0,Offensive rebound by A. Jefferson,,17,18
50,1,4:30.0,A. Jefferson misses 2-pt layup from 2 ft,,17,18
51,1,4:29.0,Offensive rebound by M. Williams,,17,18
52,1,4:21.0,K. Walker misses 2-pt jump shot from 6 ft,,17,18
53,1,4:20.0,,Defensive rebound by A. Stoudemire,17,18
54,1,4:05.0,,D. Wade misses 2-pt layup from 1 ft,17,18
55,1,4:04.0,Defensive rebound by M. Williams,,17,18
56,1,3:49.0,F. Kaminsky enters the game for M. Williams,,17,18
57,1,3:49.0,J. Lin enters the game for C. Lee,,17,18
58,1,3:49.0,,H. Whiteside enters the game for A. Stoudemire,17,18
59,1,3:40.0,A. Jefferson makes 2-pt jump shot from 16 ft (assist by K. Walker),,19,18
60,1,3:20.0,,J. Richardson makes 2-pt layup from 1 ft,19,20
61,1,3:04.0,N. Batum misses 2-pt jump shot from 12 ft,,19,20
62,1,3:03.0,,Defensive rebound by D. Wade,19,20
63,1,2:52.0,,D. Wade misses 2-pt jump shot from 10 ft,19,20
64,1,2:51.0,Defensive rebound by N. Batum,,19,20
65,1,2:43.0,N. Batum misses 2-pt jump shot from 17 ft,,19,20
66,1,2:42.0,,Defensive rebound by J. Johnson,19,20
67,1,2:33.0,,H. Whiteside makes 2-pt layup from 1 ft (assist by J. Johnson),19,22
68,1,2:16.0,J. Lin makes 2-pt jump shot from 10 ft,,21,22
69,1,2:10.0,,Miami full timeout,21,22
70,1,2:10.0,T. Daniels enters the game for N. Batum,,21,22
71,1,2:10.0,,L. Deng enters the game for J. Johnson,21,22
72,1,2:10.0,,G. Dragić enters the game for D. Wade,21,22
73,1,2:01.0,,J. Richardson misses 3-pt jump shot from 24 ft,21,22
74,1,2:00.0,Defensive rebound by A. Jefferson,,21,22
75,1,1:47.0,K. Walker misses 2-pt jump shot from 17 ft,,21,22
76,1,1:46.0,Offensive rebound by A. Jefferson,,21,22
77,1,1:38.0,A. Jefferson misses 2-pt jump shot from 3 ft,,21,22
78,1,1:37.0,,Defensive rebound by J. Winslow,21,22
79,1,1:30.0,,L. Deng makes 2-pt layup from 1 ft,21,24
80,1,1:14.0,A. Jefferson makes 2-pt hook shot from 7 ft,,23,24
81,1,0:59.0,,H. Whiteside makes 2-pt jump shot from 16 ft (assist by G. Dragić),23,26
82,1,0:43.0,A. Jefferson makes 2-pt jump shot from 7 ft,,25,26
83,1,0:43.0,Shooting foul by H. Whiteside (drawn by A. Jefferson),,25,26
84,1,0:43.0,A. Jefferson makes free throw 1 of 1,,26,26
85,1,0:34.0,,Shooting foul by F. Kaminsky (drawn by L. Deng),26,26
86,1,0:34.0,,L. Deng makes free throw 1 of 2,26,27
