,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,UTAH_ACTION,PHILADELPHIA_SCORE,UTAH_SCORE
0,1,11:46.0,Turnover by N. Noel (traveling),,0,0
1,1,11:32.0,,J. Withey makes 2-pt dunk at rim,0,2
2,1,11:17.0,N. Noel makes 2-pt jump shot from 16 ft (assist by I. Smith),,2,2
3,1,11:07.0,,Offensive foul by R. Hood (drawn by I. Canaan),2,2
4,1,11:07.0,,Turnover by R. Hood (offensive foul),2,2
5,1,10:51.0,C. Landry misses 2-pt jump shot from 16 ft,,2,2
6,1,10:51.0,,Defensive rebound by G. Hayward,2,2
7,1,10:40.0,,J. Withey makes 2-pt jump shot from 7 ft (assist by G. Hayward),2,4
8,1,10:28.0,J. Sampson makes 2-pt jump shot from 5 ft,,4,4
9,1,10:13.0,,G. Hayward makes 2-pt jump shot from 6 ft,4,6
10,1,9:56.0,C. Landry misses 2-pt jump shot from 8 ft,,4,6
11,1,9:55.0,,Defensive rebound by T. Lyles,4,6
12,1,9:42.0,,R. Hood makes 2-pt jump shot from 12 ft,4,8
13,1,9:29.0,N. Noel misses 2-pt layup from 2 ft,,4,8
14,1,9:28.0,,Defensive rebound by J. Withey,4,8
15,1,9:10.0,,R. Hood makes 2-pt jump shot from 17 ft,4,10
16,1,9:09.0,Philadelphia full timeout,,4,10
17,1,8:45.0,I. Smith misses 2-pt jump shot from 10 ft (block by G. Hayward),,4,10
18,1,8:43.0,,Defensive rebound by R. Neto,4,10
19,1,8:41.0,,Turnover by R. Neto (bad pass; steal by N. Noel),4,10
20,1,8:33.0,I. Smith makes 2-pt jump shot from 18 ft (assist by N. Noel),,6,10
21,1,8:12.0,,J. Withey makes 2-pt layup from 1 ft (assist by G. Hayward),6,12
22,1,7:50.0,I. Canaan misses 3-pt jump shot from 24 ft,,6,12
23,1,7:48.0,Offensive rebound by Team,,6,12
24,1,7:43.0,N. Noel makes 2-pt jump shot from 18 ft (assist by I. Canaan),,8,12
25,1,7:34.0,,Turnover by J. Withey (lost ball; steal by N. Noel),8,12
26,1,7:30.0,Turnover by N. Noel (lost ball),,8,12
27,1,7:17.0,,G. Hayward makes 2-pt jump shot from 7 ft,8,14
28,1,7:04.0,Def 3 sec tech foul by J. Withey,,8,14
29,1,7:04.0,I. Canaan makes technical free throw,,9,14
30,1,7:04.0,R. Holmes enters the game for C. Landry,,9,14
31,1,7:04.0,J. Grant enters the game for J. Sampson,,9,14
32,1,6:53.0,N. Noel makes 2-pt dunk at rim (assist by I. Smith),,11,14
33,1,6:37.0,,G. Hayward misses 2-pt jump shot from 16 ft,11,14
34,1,6:36.0,,Offensive rebound by T. Lyles,11,14
35,1,6:27.0,,R. Hood makes 2-pt jump shot from 7 ft,11,16
36,1,6:27.0,,Shooting foul by I. Canaan (drawn by R. Hood),11,16
37,1,6:27.0,,T. Booker enters the game for T. Lyles,11,16
38,1,6:27.0,H. Thompson enters the game for I. Canaan,,11,16
39,1,6:27.0,,R. Hood makes free throw 1 of 1,11,17
40,1,6:19.0,Def 3 sec tech foul by R. Hood,,11,17
41,1,6:19.0,J. Grant misses technical free throw,,11,17
42,1,6:19.0,Offensive rebound by Team,,11,17
43,1,6:19.0,,J. Ingles enters the game for R. Hood,11,17
44,1,6:10.0,I. Smith misses 2-pt jump shot from 6 ft,,11,17
45,1,6:09.0,,Defensive rebound by J. Ingles,11,17
46,1,6:03.0,,G. Hayward misses 3-pt jump shot from 24 ft,11,17
47,1,6:03.0,,Offensive rebound by J. Withey,11,17
48,1,5:53.0,,R. Neto misses 2-pt jump shot from 17 ft,11,17
49,1,5:52.0,,Offensive rebound by T. Booker,11,17
50,1,5:49.0,,G. Hayward misses 3-pt jump shot from 24 ft,11,17
51,1,5:48.0,Defensive rebound by I. Smith,,11,17
52,1,5:36.0,R. Holmes makes 2-pt layup from 2 ft,,13,17
53,1,5:30.0,,Personal foul by J. Grant (drawn by G. Hayward),13,17
54,1,5:30.0,N. Stauskas enters the game for N. Noel,,13,17
55,1,5:25.0,,Shooting foul by I. Smith (drawn by J. Withey),13,17
56,1,5:25.0,,J. Withey misses free throw 1 of 2,13,17
57,1,5:25.0,,Offensive rebound by Team,13,17
58,1,5:25.0,,J. Withey makes free throw 2 of 2,13,18
59,1,5:15.0,Turnover by I. Smith (bad pass; steal by J. Withey),,13,18
60,1,5:05.0,,J. Ingles misses 3-pt jump shot from 25 ft,13,18
61,1,5:04.0,,Offensive rebound by Team,13,18
62,1,4:56.0,,Offensive foul by T. Booker (drawn by J. Grant),13,18
63,1,4:56.0,,Turnover by T. Booker (offensive foul),13,18
64,1,4:46.0,Turnover by I. Smith (bad pass; steal by R. Neto),,13,18
65,1,4:41.0,,J. Ingles makes 2-pt layup from 2 ft (assist by R. Neto),13,20
66,1,4:25.0,R. Holmes makes 2-pt layup from 2 ft (assist by I. Smith),,15,20
67,1,4:07.0,,Shooting foul by R. Holmes (drawn by T. Booker),15,20
68,1,4:07.0,,T. Booker makes free throw 1 of 2,15,21
69,1,4:07.0,,E. Millsap enters the game for J. Withey,15,21
70,1,4:07.0,K. Marshall enters the game for I. Smith,,15,21
71,1,4:07.0,,T. Booker makes free throw 2 of 2,15,22
72,1,3:46.0,R. Holmes makes 2-pt layup from 1 ft (assist by H. Thompson),,17,22
73,1,3:30.0,,T. Booker misses 2-pt layup from 3 ft (block by R. Holmes),17,22
74,1,3:30.0,,Offensive rebound by Team,17,22
75,1,3:30.0,,Utah full timeout,17,22
76,1,3:24.0,,G. Hayward misses 2-pt jump shot from 15 ft,17,22
77,1,3:22.0,,Offensive rebound by Team,17,22
78,1,3:21.0,,Shooting foul by H. Thompson (drawn by G. Hayward),17,22
79,1,3:21.0,,G. Hayward makes free throw 1 of 2,17,23
80,1,3:21.0,,G. Hayward makes free throw 2 of 2,17,24
81,1,3:07.0,K. Marshall misses 2-pt jump shot from 19 ft,,17,24
82,1,3:07.0,,Defensive rebound by T. Booker,17,24
83,1,2:52.0,,R. Neto makes 3-pt jump shot from 23 ft (assist by G. Hayward),17,27
84,1,2:39.0,J. Grant makes 2-pt layup from 2 ft,,19,27
85,1,2:17.0,,T. Booker misses 3-pt jump shot from 24 ft,19,27
86,1,2:17.0,Defensive rebound by J. Grant,,19,27
87,1,2:08.0,Personal foul by E. Millsap (drawn by H. Thompson),,19,27
88,1,1:57.0,R. Holmes makes 2-pt dunk at rim (assist by J. Grant),,21,27
89,1,1:34.0,,J. Ingles makes 3-pt jump shot from 23 ft (assist by E. Millsap),21,30
90,1,1:24.0,N. Stauskas misses 2-pt layup from 2 ft,,21,30
91,1,1:24.0,,Defensive rebound by T. Booker,21,30
92,1,1:21.0,,Shooting foul by K. Marshall (drawn by G. Hayward),21,30
93,1,1:21.0,,G. Hayward makes free throw 1 of 2,21,31
94,1,1:21.0,,G. Hayward makes free throw 2 of 2,21,32
95,1,1:07.0,Turnover by K. Marshall (bad pass; steal by T. Booker),,21,32
96,1,1:00.0,,Shooting block foul by J. Grant (drawn by E. Millsap),21,32
97,1,1:00.0,,E. Millsap makes free throw 1 of 2,21,33
98,1,1:00.0,,R. Hood enters the game for G. Hayward,21,33
99,1,1:00.0,J. Sampson enters the game for J. Grant,,21,33
100,1,1:00.0,,E. Millsap makes free throw 2 of 2,21,34
101,1,0:44.0,H. Thompson misses 3-pt jump shot from 24 ft,,21,34
102,1,0:43.0,,Defensive rebound by Team,21,34
103,1,0:31.0,,R. Hood misses 2-pt jump shot from 4 ft,21,34
104,1,0:30.0,Defensive rebound by J. Sampson,,21,34
105,1,0:09.0,K. Marshall makes 2-pt jump shot from 6 ft,,23,34
106,1,0:01.0,,J. Ingles makes 3-pt jump shot from 23 ft,23,37
107,2,11:43.0,,R. Hood misses 2-pt jump shot from 7 ft (block by N. Stauskas),23,37
108,2,11:43.0,,Offensive rebound by Team,23,37
109,2,11:36.0,,R. Hood misses 3-pt jump shot from 24 ft,23,37
110,2,11:36.0,Defensive rebound by T. McConnell,,23,37
111,2,11:25.0,I. Canaan misses 2-pt layup from 1 ft,,23,37
112,2,11:25.0,,Defensive rebound by E. Millsap,23,37
113,2,11:13.0,,J. Ingles misses 3-pt jump shot from 24 ft,23,37
114,2,11:12.0,Defensive rebound by R. Covington,,23,37
115,2,11:02.0,Personal foul by R. Hood (drawn by I. Canaan),,23,37
116,2,11:02.0,,C. Johnson enters the game for R. Hood,23,37
