,QUARTER,TIME_REMAINING,PORTLAND_ACTION,ORLANDO_ACTION,PORTLAND_SCORE,ORLANDO_SCORE
0,1,11:40.0,,N. Vučević makes 2-pt jump shot from 7 ft,0,2
1,1,11:22.0,N. Vonleh makes 2-pt jump shot from 15 ft (assist by D. Lillard),,2,2
2,1,11:04.0,,N. Vučević misses 2-pt layup from 1 ft (block by M. Plumlee),2,2
3,1,11:01.0,Defensive rebound by M. Plumlee,,2,2
4,1,10:54.0,Turnover by D. Lillard (bad pass; steal by E. Fournier),,2,2
5,1,10:49.0,,T. Harris makes 2-pt layup at rim (assist by E. Fournier),2,4
6,1,10:32.0,C. McCollum makes 2-pt jump shot from 16 ft,,4,4
7,1,10:10.0,,N. Vučević makes 2-pt hook shot from 9 ft,4,6
8,1,9:55.0,Def 3 sec tech foul by C. Frye,,4,6
9,1,9:55.0,D. Lillard makes technical free throw,,5,6
10,1,9:49.0,C. McCollum makes 3-pt jump shot from 24 ft (assist by D. Lillard),,8,6
11,1,9:30.0,,N. Vučević misses 2-pt jump shot from 15 ft,8,6
12,1,9:29.0,Defensive rebound by M. Plumlee,,8,6
13,1,9:18.0,C. McCollum misses 3-pt jump shot from 24 ft,,8,6
14,1,9:16.0,,Defensive rebound by N. Vučević,8,6
15,1,9:11.0,,Shooting foul by N. Vonleh (drawn by E. Payton),8,6
16,1,9:11.0,,E. Payton makes 2-pt layup from 1 ft,8,8
17,1,9:11.0,,E. Payton misses free throw 1 of 1,8,8
18,1,9:10.0,Defensive rebound by D. Lillard,,8,8
19,1,8:52.0,N. Vonleh makes 2-pt dunk from 1 ft (assist by A. Aminu),,10,8
20,1,8:44.0,,Personal foul by C. McCollum (drawn by E. Fournier),10,8
21,1,8:44.0,,V. Oladipo enters the game for E. Fournier,10,8
22,1,8:33.0,,T. Harris misses 3-pt jump shot from 24 ft,10,8
23,1,8:31.0,,Offensive rebound by N. Vučević,10,8
24,1,8:24.0,,T. Harris makes 2-pt dunk at rim (assist by C. Frye),10,10
25,1,8:09.0,D. Lillard makes 2-pt layup from 1 ft (assist by C. McCollum),,12,10
26,1,7:52.0,,N. Vučević makes 2-pt hook shot from 3 ft (assist by E. Payton),12,12
27,1,7:37.0,Shooting foul by N. Vučević (drawn by D. Lillard),,12,12
28,1,7:37.0,D. Lillard makes free throw 1 of 2,,13,12
29,1,7:37.0,D. Lillard makes free throw 2 of 2,,14,12
30,1,7:18.0,,N. Vučević makes 2-pt hook shot from 5 ft (assist by C. Frye),14,14
31,1,6:54.0,N. Vonleh misses 3-pt jump shot from 25 ft,,14,14
32,1,6:53.0,,Defensive rebound by V. Oladipo,14,14
33,1,6:42.0,,E. Payton misses 2-pt layup at rim,14,14
34,1,6:40.0,Defensive rebound by M. Plumlee,,14,14
35,1,6:32.0,C. McCollum misses 2-pt jump shot from 13 ft (block by E. Payton),,14,14
36,1,6:30.0,,Defensive rebound by N. Vučević,14,14
37,1,6:27.0,,T. Harris makes 2-pt dunk at rim (assist by V. Oladipo),14,16
38,1,6:14.0,Turnover by M. Plumlee (lost ball; steal by T. Harris),,14,16
39,1,6:01.0,,C. Frye misses 3-pt jump shot from 25 ft,14,16
40,1,6:00.0,Defensive rebound by M. Plumlee,,14,16
41,1,5:49.0,C. McCollum makes 3-pt jump shot from 25 ft (assist by M. Plumlee),,17,16
42,1,5:28.0,,V. Oladipo makes 2-pt jump shot from 4 ft,17,18
43,1,5:10.0,Turnover by D. Lillard (lost ball),,17,18
44,1,5:10.0,,Orlando full timeout,17,18
45,1,5:10.0,M. Leonard enters the game for N. Vonleh,,17,18
46,1,5:01.0,,N. Vučević makes 2-pt jump shot from 8 ft (assist by V. Oladipo),17,20
47,1,4:43.0,Turnover by M. Plumlee (traveling),,17,20
48,1,4:32.0,,N. Vučević misses 2-pt jump shot from 18 ft,17,20
49,1,4:30.0,,Offensive rebound by T. Harris,17,20
50,1,4:22.0,,C. Frye makes 2-pt jump shot from 16 ft (assist by V. Oladipo),17,22
51,1,4:09.0,Shooting foul by E. Payton (drawn by D. Lillard),,17,22
52,1,4:09.0,D. Lillard makes free throw 1 of 2,,18,22
53,1,4:09.0,M. Harkless enters the game for C. McCollum,,18,22
54,1,4:09.0,A. Crabbe enters the game for A. Aminu,,18,22
55,1,4:09.0,D. Lillard makes free throw 2 of 2,,19,22
56,1,3:59.0,,Turnover by V. Oladipo (traveling),19,22
57,1,3:47.0,A. Crabbe misses 3-pt jump shot from 25 ft,,19,22
58,1,3:45.0,,Defensive rebound by N. Vučević,19,22
59,1,3:27.0,,N. Vučević misses 2-pt jump shot from 9 ft,19,22
60,1,3:26.0,,Offensive rebound by T. Harris,19,22
61,1,3:26.0,,T. Harris makes 2-pt layup from 1 ft,19,24
62,1,3:06.0,A. Crabbe makes 2-pt jump shot from 14 ft (assist by D. Lillard),,21,24
63,1,2:44.0,,E. Payton misses 3-pt jump shot from 25 ft,21,24
64,1,2:43.0,Defensive rebound by A. Crabbe,,21,24
65,1,2:34.0,Turnover by D. Lillard (bad pass; steal by T. Harris),,21,24
66,1,2:31.0,,T. Harris makes 2-pt dunk at rim,21,26
67,1,2:30.0,Portland full timeout,,21,26
68,1,2:30.0,,A. Nicholson enters the game for C. Frye,21,26
