,QUARTER,TIME_REMAINING,NEW YORK_ACTION,CLEVELAND_ACTION,NEW YORK_SCORE,CLEVELAND_SCORE
0,1,11:47.0,,K. Love makes 2-pt jump shot from 16 ft (assist by K. Irving),0,2
1,1,11:31.0,K. Porziņģis misses 2-pt dunk from 2 ft (block by T. Mozgov),,0,2
2,1,11:31.0,Offensive rebound by Team,,0,2
3,1,11:23.0,A. Afflalo misses 2-pt layup at rim,,0,2
4,1,11:21.0,,Defensive rebound by L. James,0,2
5,1,11:15.0,,K. Love makes 3-pt jump shot from 24 ft (assist by L. James),0,5
6,1,10:52.0,R. Lopez makes 2-pt hook shot from 10 ft (assist by J. Calderón),,2,5
7,1,10:26.0,,T. Mozgov misses 2-pt jump shot from 15 ft,2,5
8,1,10:25.0,,Offensive rebound by K. Love,2,5
9,1,10:22.0,,K. Love misses 2-pt jump shot from 6 ft,2,5
10,1,10:21.0,Defensive rebound by A. Afflalo,,2,5
11,1,10:12.0,R. Lopez misses 2-pt hook shot from 8 ft,,2,5
12,1,10:10.0,,Defensive rebound by T. Mozgov,2,5
13,1,10:08.0,Violation by L. Thomas (kicked ball),,2,5
14,1,10:03.0,,Turnover by K. Irving (bad pass; steal by J. Calderón),2,5
15,1,9:54.0,L. Thomas makes 2-pt hook shot from 10 ft (assist by J. Calderón),,4,5
16,1,9:28.0,,K. Irving makes 2-pt jump shot from 15 ft (assist by T. Mozgov),4,7
17,1,9:18.0,K. Porziņģis makes 3-pt jump shot from 27 ft (assist by J. Calderón),,7,7
18,1,8:59.0,,Def 3 sec tech foul by R. Lopez,7,7
19,1,8:59.0,,K. Love makes technical free throw,7,8
20,1,8:46.0,,J. Smith misses 2-pt jump shot from 14 ft,7,8
21,1,8:45.0,Defensive rebound by R. Lopez,,7,8
22,1,8:29.0,L. Thomas misses 2-pt jump shot from 8 ft,,7,8
23,1,8:29.0,,Defensive rebound by Team,7,8
24,1,8:20.0,,K. Irving misses 2-pt jump shot from 8 ft (block by R. Lopez),7,8
25,1,8:19.0,Defensive rebound by A. Afflalo,,7,8
26,1,8:11.0,A. Afflalo misses 3-pt jump shot from 22 ft,,7,8
27,1,8:09.0,,Defensive rebound by K. Love,7,8
28,1,7:57.0,,J. Smith makes 2-pt jump shot from 10 ft (assist by K. Irving),7,10
29,1,7:40.0,K. Porziņģis misses 2-pt jump shot from 18 ft,,7,10
30,1,7:39.0,,Defensive rebound by K. Love,7,10
31,1,7:30.0,,K. Love misses 3-pt jump shot from 25 ft,7,10
32,1,7:30.0,Defensive rebound by Team,,7,10
33,1,7:14.0,K. Porziņģis makes 2-pt jump shot from 18 ft (assist by A. Afflalo),,9,10
34,1,6:54.0,,T. Mozgov makes 2-pt dunk at rim (assist by K. Irving),9,12
35,1,6:33.0,K. Porziņģis misses 2-pt jump shot from 15 ft,,9,12
36,1,6:32.0,Offensive rebound by L. Thomas,,9,12
37,1,6:25.0,,M. Dellavedova enters the game for K. Irving,9,12
38,1,6:25.0,New York full timeout,,9,12
39,1,6:17.0,R. Lopez makes 2-pt layup at rim (assist by K. Porziņģis),,11,12
40,1,6:02.0,,L. James makes 2-pt layup at rim (assist by M. Dellavedova),11,14
41,1,5:50.0,Personal foul by L. James (drawn by L. Thomas),,11,14
42,1,5:42.0,A. Afflalo misses 2-pt jump shot from 19 ft,,11,14
43,1,5:42.0,,Defensive rebound by K. Love,11,14
44,1,5:30.0,,T. Mozgov misses 2-pt jump shot from 4 ft (block by R. Lopez),11,14
45,1,5:28.0,Defensive rebound by L. Thomas,,11,14
46,1,5:21.0,L. Thomas makes 2-pt jump shot from 22 ft,,13,14
47,1,5:06.0,,L. James makes 2-pt layup at rim (assist by J. Smith),13,16
48,1,4:51.0,R. Lopez misses 2-pt jump shot from 11 ft,,13,16
49,1,4:51.0,,Defensive rebound by T. Mozgov,13,16
50,1,4:35.0,,L. James misses 2-pt jump shot from 17 ft,13,16
51,1,4:34.0,Defensive rebound by K. Porziņģis,,13,16
52,1,4:24.0,J. Calderón makes 2-pt jump shot from 16 ft,,15,16
53,1,4:07.0,,Personal foul by L. Thomas (drawn by L. James),15,16
54,1,4:07.0,,I. Shumpert enters the game for J. Smith,15,16
55,1,4:07.0,,T. Thompson enters the game for T. Mozgov,15,16
56,1,4:07.0,K. Séraphin enters the game for R. Lopez,,15,16
57,1,4:07.0,L. Galloway enters the game for A. Afflalo,,15,16
