,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,UTAH_ACTION,OKLAHOMA CITY_SCORE,UTAH_SCORE
0,1,11:40.0,S. Adams makes 2-pt jump shot from 5 ft,,2,0
1,1,11:20.0,,Def 3 sec tech foul by S. Ibaka,2,0
2,1,11:20.0,,G. Hayward makes technical free throw,2,1
3,1,11:08.0,,R. Hood misses 3-pt jump shot from 25 ft,2,1
4,1,11:07.0,Defensive rebound by S. Ibaka,,2,1
5,1,10:53.0,S. Ibaka misses 3-pt jump shot from 23 ft,,2,1
6,1,10:52.0,,Defensive rebound by G. Hayward,2,1
7,1,10:37.0,,Turnover by R. Gobert (bad pass; steal by R. Westbrook),2,1
8,1,10:34.0,Shooting foul by R. Neto (drawn by R. Westbrook),,2,1
9,1,10:34.0,R. Westbrook makes free throw 1 of 2,,3,1
10,1,10:34.0,R. Westbrook makes free throw 2 of 2,,4,1
11,1,10:18.0,,R. Neto misses 2-pt jump shot from 8 ft,4,1
12,1,10:17.0,Defensive rebound by K. Durant,,4,1
13,1,10:10.0,K. Durant makes 2-pt jump shot from 6 ft,,6,1
14,1,9:55.0,,Turnover by R. Hood (bad pass; steal by K. Durant),6,1
15,1,9:51.0,Shooting foul by R. Hood (drawn by S. Adams),,6,1
16,1,9:51.0,S. Adams makes free throw 1 of 2,,7,1
17,1,9:51.0,S. Adams misses free throw 2 of 2,,7,1
18,1,9:51.0,,Defensive rebound by D. Favors,7,1
19,1,9:29.0,,R. Hood makes 2-pt jump shot from 9 ft (assist by D. Favors),7,3
20,1,9:09.0,R. Westbrook misses 3-pt jump shot from 24 ft,,7,3
21,1,9:09.0,,Defensive rebound by D. Favors,7,3
22,1,8:52.0,,R. Gobert misses 2-pt layup from 2 ft (block by S. Ibaka),7,3
23,1,8:50.0,Defensive rebound by R. Westbrook,,7,3
24,1,8:48.0,K. Durant makes 2-pt dunk at rim (assist by R. Westbrook),,9,3
25,1,8:31.0,,D. Favors misses 2-pt layup from 1 ft (block by S. Ibaka),9,3
26,1,8:30.0,,Offensive rebound by D. Favors,9,3
27,1,8:29.0,,D. Favors misses 2-pt layup from 2 ft (block by K. Durant),9,3
28,1,8:26.0,Defensive rebound by K. Durant,,9,3
29,1,8:09.0,A. Roberson misses 3-pt jump shot from 23 ft,,9,3
30,1,8:09.0,,Defensive rebound by D. Favors,9,3
31,1,7:50.0,,R. Gobert makes 2-pt layup from 2 ft (assist by G. Hayward),9,5
32,1,7:36.0,Turnover by S. Ibaka (bad pass; steal by D. Favors),,9,5
33,1,7:30.0,,Turnover by D. Favors (bad pass; steal by K. Durant),9,5
34,1,7:07.0,K. Durant misses 3-pt jump shot from 24 ft,,9,5
35,1,7:06.0,,Defensive rebound by R. Neto,9,5
36,1,7:01.0,,R. Hood makes 2-pt layup from 1 ft (assist by R. Neto),9,7
37,1,6:42.0,Turnover by K. Durant (lost ball; steal by G. Hayward),,9,7
38,1,6:38.0,,G. Hayward makes 2-pt dunk at rim,9,9
39,1,6:23.0,R. Westbrook misses 2-pt jump shot from 13 ft,,9,9
40,1,6:21.0,,Defensive rebound by R. Hood,9,9
