,QUARTER,TIME_REMAINING,DALLAS_ACTION,SACRAMENTO_ACTION,DALLAS_SCORE,SACRAMENTO_SCORE
0,1,11:39.0,Turnover by W. Matthews (lost ball),,0,0
1,1,11:15.0,,D. Cousins misses 2-pt jump shot from 8 ft,0,0
2,1,11:15.0,Defensive rebound by W. Matthews,,0,0
3,1,11:05.0,Shooting foul by W. Cauley-Stein (drawn by C. Parsons),,0,0
4,1,11:05.0,C. Parsons makes free throw 1 of 2,,1,0
5,1,11:05.0,C. Parsons misses free throw 2 of 2,,1,0
6,1,11:02.0,,Defensive rebound by Team,1,0
7,1,10:37.0,,R. Rondo makes 3-pt jump shot from 23 ft (assist by D. Cousins),1,3
8,1,10:23.0,Z. Pachulia makes 2-pt jump shot from 16 ft (assist by D. Williams),,3,3
9,1,10:13.0,,D. Cousins misses 2-pt hook shot from 7 ft,3,3
10,1,10:11.0,Defensive rebound by Z. Pachulia,,3,3
11,1,9:57.0,C. Parsons makes 2-pt jump shot from 10 ft (assist by D. Williams),,5,3
12,1,9:34.0,,B. McLemore misses 3-pt jump shot from 23 ft,5,3
13,1,9:33.0,Defensive rebound by Z. Pachulia,,5,3
14,1,9:22.0,D. Nowitzki makes 2-pt jump shot from 15 ft,,7,3
15,1,9:04.0,,D. Cousins makes 3-pt jump shot from 24 ft (assist by R. Rondo),7,6
16,1,8:48.0,Turnover by W. Matthews (bad pass),,7,6
17,1,8:36.0,,R. Rondo misses 2-pt jump shot from 5 ft,7,6
18,1,8:35.0,,Offensive rebound by W. Cauley-Stein,7,6
19,1,8:28.0,,R. Rondo makes 3-pt jump shot from 23 ft (assist by D. Cousins),7,9
20,1,8:20.0,C. Parsons misses 3-pt jump shot from 25 ft,,7,9
21,1,8:19.0,,Defensive rebound by R. Gay,7,9
22,1,8:12.0,,B. McLemore makes 2-pt jump shot from 18 ft (assist by R. Gay),7,11
23,1,7:51.0,D. Williams makes 3-pt jump shot from 25 ft,,10,11
24,1,7:33.0,,R. Rondo misses 3-pt jump shot from 23 ft,10,11
25,1,7:33.0,Defensive rebound by Team,,10,11
26,1,7:33.0,,Loose ball foul by D. Cousins (drawn by Z. Pachulia),10,11
27,1,7:19.0,Z. Pachulia makes 2-pt jump shot from 17 ft,,12,11
28,1,7:12.0,,Personal foul by Z. Pachulia (drawn by D. Cousins),12,11
29,1,7:02.0,,R. Gay misses 2-pt jump shot from 12 ft,12,11
30,1,7:02.0,,Offensive rebound by W. Cauley-Stein,12,11
31,1,6:57.0,,D. Cousins misses 3-pt jump shot from 24 ft,12,11
32,1,6:56.0,Defensive rebound by Z. Pachulia,,12,11
33,1,6:43.0,W. Matthews misses 3-pt jump shot from 23 ft,,12,11
34,1,6:42.0,,Defensive rebound by W. Cauley-Stein,12,11
35,1,6:36.0,,D. Cousins misses 3-pt jump shot from 24 ft,12,11
36,1,6:35.0,,Offensive rebound by R. Rondo,12,11
37,1,6:29.0,,B. McLemore misses 3-pt jump shot from 24 ft,12,11
38,1,6:28.0,Defensive rebound by Z. Pachulia,,12,11
39,1,6:20.0,D. Williams misses 3-pt jump shot from 25 ft,,12,11
40,1,6:19.0,,Defensive rebound by B. McLemore,12,11
41,1,6:15.0,,B. McLemore misses 2-pt layup from 2 ft,12,11
42,1,6:14.0,Defensive rebound by D. Nowitzki,,12,11
43,1,6:09.0,Shooting foul by W. Cauley-Stein (drawn by Z. Pachulia),,12,11
44,1,6:09.0,Z. Pachulia makes free throw 1 of 2,,13,11
45,1,6:09.0,,K. Koufos enters the game for W. Cauley-Stein,13,11
46,1,6:09.0,R. Felton enters the game for C. Parsons,,13,11
47,1,6:09.0,D. Powell enters the game for D. Nowitzki,,13,11
48,1,6:09.0,Z. Pachulia makes free throw 2 of 2,,14,11
49,1,5:58.0,,R. Gay misses 2-pt jump shot from 18 ft,14,11
50,1,5:57.0,Defensive rebound by W. Matthews,,14,11
51,1,5:45.0,Z. Pachulia misses 2-pt jump shot from 13 ft,,14,11
52,1,5:45.0,Offensive rebound by Team,,14,11
53,1,5:45.0,,Loose ball foul by K. Koufos (drawn by D. Powell),14,11
54,1,5:45.0,,Sacramento full timeout,14,11
55,1,5:33.0,R. Felton misses 3-pt jump shot from 23 ft,,14,11
56,1,5:33.0,,Defensive rebound by D. Cousins,14,11
57,1,5:13.0,,R. Gay makes 2-pt jump shot from 15 ft,14,13
58,1,5:01.0,D. Powell misses 3-pt jump shot from 24 ft,,14,13
59,1,5:00.0,,Defensive rebound by K. Koufos,14,13
60,1,4:58.0,,Turnover by R. Rondo (bad pass),14,13
61,1,4:58.0,,M. Belinelli enters the game for B. McLemore,14,13
62,1,4:46.0,D. Williams makes 2-pt jump shot from 12 ft (assist by R. Felton),,16,13
